"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.005892","0.005892","0.089178","0.089178","6.28311330717959"
"0.007378","0.007378","0.148582","0.148582","6.28299130717959"
"0.009457","0.009457","0.207913","0.207913","6.28282230717959"
"0.015758","0.021101","0.630114","1.164401","6.282604"
"0.067496","0.079364","5.173805","5.826303","6.282338"
"0.128644","0.148215","6.114761","6.885147","6.282023"
"0.199204","0.227655","7.056062","7.943989","6.281661"
"0.279179","0.317680","7.997503","9.002536","6.28125"
"0.368571","0.418289","8.939161","10.060815","6.280793"
"0.467382","0.529477","9.881116","11.118855","6.280287"
"0.575616","0.651243","10.823384","12.176611","6.279735"
"0.693276","0.783584","11.765980","13.234041","6.279136"
"0.820365","0.926495","12.708922","14.291101","6.27849"
"0.956887","1.079972","13.652227","15.347750","6.277798"
"1.102846","1.244012","14.595931","16.403964","6.27706"
"1.258249","1.418611","15.540224","17.459895","6.276277"
"1.423096","1.603762","16.484772","18.515104","6.275448"
"1.597397","1.799462","17.430052","19.570063","6.274574"
"1.781154","2.005705","18.375682","20.624280","6.273657"
"1.974373","2.222485","19.321922","21.677982","6.272695"
"2.177061","2.449797","20.268855","22.731196","6.27169"
"2.389225","2.687634","21.216328","23.783688","6.270642"
"2.610869","2.935989","22.164461","24.835525","6.269552"
"2.842002","3.194856","23.113280","25.886670","6.26842"
"3.082631","3.464227","24.062875","26.937159","6.267247"
"3.332763","3.744096","25.013189","27.986861","6.266033"
"3.592405","4.034453","25.964231","29.035718","6.264779"
"3.861567","4.335292","26.916166","30.083847","6.263486"
"4.140256","4.646602","27.868898","31.131072","6.262155"
"4.428481","4.968377","28.822560","32.177475","6.260785"
"4.726252","5.300606","29.777061","33.222885","6.259379"
"5.033577","5.643280","30.732547","34.267394","6.257936"
"5.350468","5.996390","31.689053","35.310975","6.256458"
"5.676933","6.359925","32.646514","36.353482","6.254945"
"6.012983","6.733874","33.605022","37.394948","6.253398"
"6.358630","7.118228","34.564627","38.435359","6.251818"
"6.713883","7.512974","35.525361","39.474681","6.250206"
"7.078755","7.918102","36.487190","40.512803","6.248563"
"7.453257","8.333600","37.450188","41.549737","6.24689"
"7.837402","8.759455","38.414490","42.585561","6.245187"
"8.231201","9.195656","39.379928","43.620017","6.243456"
"8.634668","9.642188","40.346720","44.653275","6.241699"
"9.047816","10.099040","41.314810","45.685201","6.239915"
"9.470659","10.566198","42.284227","46.715756","6.238106"
"9.903209","11.043647","43.255038","47.744941","6.236273"
"10.345482","11.531374","44.227269","48.772714","6.234418"
"10.797491","12.029365","45.200950","49.799034","6.232541"
"11.259252","12.537603","46.176110","50.823863","6.230644"
"11.730780","13.056075","47.152780","51.847163","6.228728"
"12.212091","13.584765","48.131053","52.868964","6.226794"
"12.703199","14.123656","49.110855","53.889114","6.224844"
"13.204122","14.672733","50.092310","54.907678","6.222879"
"13.714876","15.231978","51.075393","55.924557","6.220899"
"14.235478","15.801376","52.060210","56.939796","6.218908"
"14.765945","16.380909","53.046710","57.953271","6.216905"
"15.306295","16.970559","54.034974","58.964999","6.214893"
"15.856546","17.570308","55.025032","59.974943","6.212872"
"16.416715","18.180139","56.016912","60.983065","6.210845"
"16.986821","18.800032","57.010645","61.989331","6.208813"
"17.566884","19.429969","58.006263","62.993705","6.206778"
"18.156922","20.069931","59.003806","63.996165","6.20474"
"18.756955","20.719898","60.003307","64.996678","6.202702"
"19.367003","21.379850","61.004774","65.995188","6.200665"
"19.987085","22.049767","62.008279","66.991706","6.198631"
"20.617224","22.729628","63.013815","67.986157","6.196601"
"21.257438","23.419414","64.021434","68.978536","6.194578"
"21.907750","24.119102","65.031168","69.968809","6.192563"
"22.568180","24.828671","66.043037","70.956938","6.190557"
"23.238751","25.548100","67.057078","71.942896","6.188563"
"23.919484","26.277367","68.073321","72.926655","6.186582"
"24.610402","27.016448","69.091793","73.908182","6.184616"
"25.311527","27.765323","70.112526","74.887447","6.182667"
"26.022883","28.523967","71.135551","75.864426","6.180737"
"26.744492","29.292358","72.160893","76.839083","6.178827"
"27.471529","30.065321","72.703694","77.296281","6.176953"
"28.199153","30.837697","72.762405","77.237575","6.175126"
"28.927364","31.609485","72.821121","77.178854","6.173348"
"29.656162","32.380686","72.879849","77.120135","6.171617"
"30.385548","33.151300","72.938572","77.061404","6.169934"
"31.115521","33.921327","72.997305","77.002683","6.168299"
"31.846081","34.690767","73.056024","76.943953","6.166712"
"32.577229","35.459619","73.114751","76.885240","6.165173"
"33.308963","36.227884","73.173457","76.826521","6.163682"
"34.041285","36.995563","73.232170","76.767825","6.162239"
"34.774194","37.762654","73.290856","76.709123","6.160844"
"35.507689","38.529158","73.349547","76.650451","6.159497"
"36.241771","39.295076","73.408206","76.591773","6.158197"
"36.976440","40.060407","73.466872","76.533130","6.156946"
"37.711695","40.825152","73.525499","76.474480","6.155742"
"38.447536","41.589311","73.584134","76.415871","6.154586"
"39.183963","42.352883","73.642728","76.357252","6.153478"
"39.920977","43.115870","73.701330","76.298678","6.152418"
"40.658576","43.878271","73.759887","76.240092","6.151406"
"41.396760","44.640087","73.818455","76.181555","6.150441"
"42.135530","45.401317","73.876976","76.123004","6.149524"
"42.874885","46.161962","73.935508","76.064502","6.148655"
"43.614825","46.922022","73.993995","76.005988","6.147834"
"44.355350","47.681497","74.052490","75.947519","6.147061"
"45.096459","48.440387","74.110945","75.889041","6.146335"
"45.838153","49.198693","74.169405","75.830602","6.145657"
"46.580432","49.956415","74.227830","75.772159","6.145027"
"47.323294","50.713552","74.286258","75.713749","6.144444"
"48.066741","51.470106","74.344656","75.655337","6.143909"
"48.810771","52.226075","74.403054","75.596951","6.143422"
"49.555386","52.981461","74.461428","75.538567","6.142982"
"50.300584","53.736263","74.519801","75.480203","6.14259"
"51.046365","54.490481","74.578156","75.421842","6.142246"
"51.792730","55.244116","74.636507","75.363496","6.141949"
"52.539679","55.997168","74.694846","75.305153","6.1417"
"53.287211","56.749636","74.753182","75.246820","6.141498"
"54.035326","57.501521","74.811510","75.188491","6.141345"
"54.784024","58.252823","74.869835","75.130167","6.141238"
"55.533306","59.003541","74.928156","75.071845","6.14118"
"56.283170","59.753676","74.986476","75.013525","6.141169"
"57.033618","60.503228","75.044796","74.955206","6.141205"
"57.784649","61.252197","75.103117","74.896885","6.141289"
"58.536264","62.000583","75.161439","74.838562","6.141421"
"59.288462","62.748385","75.219766","74.780236","6.141601"
"60.041242","63.495604","75.278097","74.721903","6.141828"
"60.794607","64.242240","75.336436","74.663567","6.142102"
"61.548555","64.988292","75.394778","74.605219","6.142424"
"62.303086","65.733761","75.453135","74.546869","6.142794"
"63.058201","66.478646","75.511494","74.488501","6.143212"
"63.813900","67.222947","75.569873","74.430132","6.143677"
"64.570182","67.966665","75.628253","74.371740","6.14419"
"65.327049","68.709798","75.686658","74.313348","6.14475"
"66.084499","69.452347","75.745062","74.254928","6.145359"
"66.842534","70.194312","75.803498","74.196510","6.146015"
"67.601154","70.935693","75.861930","74.138057","6.146718"
"68.360358","71.676489","75.920400","74.079610","6.14747"
"69.120146","72.416700","75.978861","74.021122","6.148269"
"69.880520","73.156327","76.037367","73.962644","6.149115"
"70.641479","73.895368","76.095862","73.904120","6.15001"
"71.403023","74.633824","76.154403","73.845607","6.150952"
"72.165152","75.371694","76.212933","73.787048","6.151943"
"72.927867","76.108979","76.271509","73.728498","6.152981"
"73.691168","76.845678","76.330076","73.669904","6.154066"
"74.455055","77.581792","76.388686","73.611318","6.1552"
"75.219528","78.317319","76.447289","73.552691","6.156381"
"75.984587","79.052259","76.505931","73.494071","6.157611"
"76.750232","79.786613","76.564567","73.435413","6.158888"
"77.516465","80.520381","76.623238","73.376760","6.160213"
"78.283284","81.253562","76.681905","73.318075","6.161586"
"79.050690","81.986156","76.740601","73.259394","6.163007"
"79.818683","82.718163","76.799292","73.200687","6.164476"
"80.587263","83.449582","76.858008","73.141983","6.165993"
"81.356430","84.180415","76.916718","73.083260","6.167557"
"82.126185","84.910660","76.975445","73.024542","6.16917"
"82.896526","85.640319","77.034166","72.965811","6.17083"
"83.667455","86.369389","77.092897","72.907087","6.172539"
"84.438971","87.097873","77.151619","72.848358","6.174295"
"85.211075","87.825769","77.210342","72.789638","6.1761"
"85.983765","88.553079","77.269053","72.730923","6.177952"
"86.753480","89.276455","76.971453","72.337630","6.179843"
"87.515049","89.991067","76.156932","71.461257","6.18176"
"88.266857","90.695441","75.180791","70.437393","6.183696"
"89.008881","91.389600","74.202358","69.415831","6.18565"
"89.741097","92.073565","73.221652","68.396536","6.187619"
"90.463484","92.747360","72.238706","67.379480","6.189602"
"91.176020","93.411006","71.253552","66.364635","6.191598"
"91.878682","94.064526","70.266218","65.351970","6.193604"
"92.571449","94.707940","69.276735","64.341455","6.195618"
"93.254301","95.341271","68.285128","63.333053","6.197639"
"93.927215","95.964538","67.291442","62.326747","6.199666"
"94.590172","96.577763","66.295694","61.322494","6.201696"
"95.243151","97.180966","65.297921","60.320267","6.203727"
"95.886133","97.774166","64.298151","59.320031","6.205759"
"96.519097","98.357384","63.296430","58.321766","6.20779"
"97.142025","98.930638","62.292775","57.325428","6.209817"
"97.754897","99.493948","61.287208","56.330974","6.21184"
"98.357695","100.047332","60.279791","55.338399","6.213857"
"98.950400","100.590809","59.270543","54.347657","6.215866"
"99.532995","101.124396","58.259477","53.358697","6.217867"
"100.105461","101.648111","57.246658","52.371516","6.219857"
"100.667783","102.161972","56.232121","51.386079","6.221835"
"101.219941","102.665995","55.215869","50.402328","6.223799"
"101.761921","103.160197","54.197945","49.420237","6.225749"
"102.293705","103.644595","53.178402","48.439788","6.227684"
"102.815278","104.119205","52.157281","47.460956","6.2296"
"103.326623","104.584041","51.134530","46.483629","6.231499"
"103.827726","105.039120","50.110302","45.507878","6.233377"
"104.318572","105.484456","49.084573","44.533619","6.235235"
"104.799145","105.920064","48.057379","43.560818","6.23707"
"105.269433","106.345959","47.028761","42.589448","6.238882"
"105.729421","106.762153","45.998761","41.619481","6.24067"
"106.179094","107.168662","44.967333","40.650813","6.242431"
"106.618441","107.565497","43.934655","39.683536","6.244167"
"107.047447","107.952672","42.900684","38.717548","6.245874"
"107.466101","108.330200","41.865401","37.752767","6.247553"
"107.874391","108.698093","40.828942","36.789252","6.249201"
"108.272304","109.056362","39.791313","35.826943","6.25082"
"108.659829","109.405019","38.752463","34.865730","6.252406"
"109.036954","109.744076","37.712516","33.905661","6.25396"
"109.403669","110.073543","36.671502","32.946698","6.25548"
"109.759963","110.393431","35.629433","31.988791","6.256966"
"110.105826","110.703750","34.586336","31.031898","6.258417"
"110.441248","111.004509","33.542192","30.075941","6.259832"
"110.766220","111.295719","32.497177","29.121015","6.26121"
"111.080733","111.577390","31.451256","28.167027","6.26255"
"111.384776","111.849528","30.404311","27.213809","6.263852"
"111.678342","112.112144","29.356665","26.261588","6.265116"
"111.961424","112.365245","28.308104","25.310113","6.266339"
"112.234011","112.608839","27.258734","24.359418","6.267523"
"112.496097","112.842934","26.208661","23.409537","6.268665"
"112.747676","113.067538","25.157840","22.460369","6.269766"
"112.988739","113.282657","24.106312","21.511893","6.270825"
"113.219280","113.488298","23.054121","20.564089","6.271842"
"113.439293","113.684467","22.001312","19.616937","6.272815"
"113.648772","113.871171","20.947880","18.670377","6.273744"
"113.847710","114.048414","19.893794","17.724321","6.27463"
"114.036103","114.216204","18.839340","16.778967","6.275471"
"114.213945","114.374543","17.784165","15.833944","6.276267"
"114.381232","114.523439","16.728709","14.889586","6.277018"
"114.537959","114.662895","15.672643","13.945545","6.277722"
"114.684121","114.792914","14.616192","13.001965","6.278381"
"114.819714","114.913502","13.559384","12.058815","6.278994"
"114.944736","115.024662","12.502193","11.116016","6.27956"
"115.059183","115.126398","11.444663","10.173552","6.280078"
"115.163051","115.218712","10.386835","9.231406","6.28055"
"115.256339","115.301608","9.328755","8.289562","6.280974"
"115.339041","115.375086","8.270265","7.347827","6.281351"
"115.411159","115.439151","7.211740","6.406480","6.281679"
"115.472688","115.493803","6.152959","5.465269","6.28196"
"115.523629","115.539046","5.094007","4.524217","6.282193"
"115.563977","115.574878","4.034884","3.583270","6.282377"
"115.593735","115.601303","2.975743","2.642511","6.282513"
