"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.002494","0.002494","0.249442","0.249442","0"
"0.002844","0.002844","0.017477","0.017477","2.9000000001389E-05"
"0.003426","0.003426","0.029124","0.029124","7.5999999999965E-05"
"0.004242","0.004242","0.040765","0.040765","0.000143000000001337"
"0.005290","0.005290","0.052396","0.052396","0.000227999999999895"
"0.006570","0.006570","0.064017","0.064017","0.000333000000001249"
"0.008082","0.008082","0.075623","0.075623","0.00045599999999979"
"0.038561","0.035072","1.523919","1.349491","0.000598307179586755"
"0.082942","0.075502","2.219050","2.021479","0.000760307179586306"
"0.132542","0.120689","2.480008","2.259339","0.000940307179586597"
"0.187362","0.170634","2.741018","2.497291","0.00113930717958688"
"0.247401","0.225339","3.001940","2.735213","0.00135630717958701"
"0.312658","0.284802","3.262853","2.973183","0.00159330717958639"
"0.383133","0.349026","3.523742","3.211190","0.00184830717958651"
"0.458825","0.418011","3.784588","3.449223","0.00212230717958661"
"0.539733","0.491756","4.045386","3.687280","0.00241430717958657"
"0.625856","0.570265","4.306193","3.925420","0.00272530717958652"
"0.717194","0.653535","4.566890","4.163540","0.00305430717958632"
"0.813746","0.741570","4.827588","4.401744","0.00340230717958701"
"0.915511","0.834370","5.088252","4.640007","0.00376830717958665"
"1.022488","0.931936","5.348828","4.878282","0.00415230717958703"
"1.134675","1.034268","5.609359","5.116616","0.00455430717958638"
"1.252072","1.141369","5.869842","5.355009","0.00497430717958647"
"1.374677","1.253238","6.130278","5.593468","0.00541330717958655"
"1.502490","1.369878","6.390663","5.831994","0.00586930717958634"
"1.635510","1.491289","6.650967","6.070564","0.00634330717958687"
"1.773734","1.617473","6.911207","6.309200","0.00683430717958622"
"1.917161","1.748431","7.171380","6.547902","0.00734330717958631"
"2.065791","1.884165","7.431489","6.786680","0.007869307179587"
"2.219622","2.024676","7.691540","7.025543","0.00841330717958666"
"2.378652","2.169965","7.951498","7.264465","0.00897430717958692"
"2.542879","2.320034","8.211373","7.503460","0.00955230717958688"
"2.712303","2.474885","8.471162","7.742531","0.0101463071795864"
"2.886920","2.634518","8.730871","7.981687","0.0107583071795867"
"3.066731","2.798938","8.990545","8.220975","0.0113863071795866"
"3.251732","2.968144","9.250064","8.460290","0.012031307179587"
"3.441922","3.142138","9.509506","8.699709","0.012692307179587"
"3.637300","3.320923","9.768898","8.939263","0.0133693071795866"
"3.837863","3.504500","10.028115","9.178840","0.0140633071795868"
"4.043609","3.692872","10.287335","9.418611","0.0147723071795864"
"4.254536","3.886040","10.546347","9.658386","0.0154973071795865"
"4.470643","4.084007","10.805347","9.898351","0.0162373071795869"
"4.691927","4.286774","11.064172","10.138361","0.0169933071795869"
"4.918385","4.494344","11.322905","10.378499","0.0177643071795863"
"5.150016","4.706720","11.581560","10.618781","0.0185503071795869"
"5.386817","4.923903","11.840053","10.859137","0.0193503071795869"
"5.628786","5.145895","12.098435","11.099617","0.0201663071795863"
"5.875920","5.372700","12.356714","11.340236","0.0209963071795869"
"6.128218","5.604319","12.614876","11.580986","0.0218403071795867"
"6.385675","5.840756","12.872891","11.821844","0.0226983071795868"
"6.648291","6.082013","13.130779","12.062834","0.0235693071795868"
"6.916062","6.328092","13.388535","12.303957","0.0244553071795863"
"7.188985","6.578996","13.646158","12.545217","0.0253533071795866"
"7.467058","6.834729","13.903642","12.786615","0.0262653071795862"
"7.750277","7.095292","14.160984","13.028154","0.0271903071795867"
"8.038641","7.360688","14.418181","13.269835","0.0281273071795862"
"8.332146","7.630922","14.675229","13.511661","0.0290773071795867"
