"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.014706","0.014706","1.470588","1.470588","6.282370"
"0.021454","0.021454","0.337411","0.337411","6.282921"
"0.062548","0.085084","2.054719","3.181478","0.000655"
"0.149659","0.203841","4.355546","5.937881","0.001947"
"0.261583","0.356639","5.596168","7.639864","0.003615"
"0.398231","0.543519","6.832431","9.344003","0.005665"
"0.559521","0.764567","8.064470","11.052398","0.008105"
"0.745366","1.019907","9.292242","12.766998","0.010941"
"0.955628","1.309633","10.513142","14.486319","0.014185"
"1.190192","1.633912","11.728157","16.213928","0.017846"
"1.448878","1.992872","12.934298","17.948028","0.021939"
"1.731513","2.386700","14.131768","19.691376","0.026478"
"2.037906","2.815607","15.319652","21.445356","0.031478"
"2.367823","3.279804","16.495852","23.209878","0.036959"
"2.721017","3.779545","17.659688","24.987041","0.042941"
"3.097213","4.315110","18.809801","26.778235","0.049445"
"3.496108","4.886810","19.944756","28.584998","0.056499"
"3.917355","5.494970","21.062331","30.408028","0.064128"
"4.360585","6.139973","22.161544","32.250116","0.072364"
"4.825387","6.822223","23.240095","34.112508","0.081239"
"5.311313","7.542177","24.296303","35.997721","0.090791"
"5.817860","8.300317","25.327346","37.907000","0.101060"
"6.344500","9.097205","26.332000","39.844403","0.112091"
"6.890632","9.933421","27.306580","41.810761","0.123931"
"7.455607","10.809608","28.248738","43.809360","0.136634"
"8.038727","11.726484","29.156029","45.843837","0.150257"
"8.639217","12.684802","30.024494","47.915898","0.164862"
"9.256249","13.685400","30.851603","50.029873","0.180518"
"9.888925","14.729175","31.633800","52.188770","0.197298"
"10.536278","15.817093","32.367636","54.395880","0.215280"
"11.197271","16.950181","33.049678","56.654402","0.234550"
"11.870814","18.129544","33.677126","58.968166","0.255196"
"12.555754","19.356339","34.246977","61.339719","0.277313"
"13.250882","20.631744","34.756424","63.770248","0.300998"
"13.944868","21.937711","34.699311","65.298394","0.325977"
"14.627074","23.255449","34.110289","65.886883","0.351918"
"15.297409","24.585051","33.516742","66.480089","0.378828"
"15.955876","25.926512","32.923342","67.073047","0.406706"
"16.602596","27.279730","32.335995","67.660888","0.435544"
"17.237803","28.644445","31.760355","68.235792","0.465321"
"17.861884","30.020282","31.204052","68.791829","0.496006"
"18.475377","31.406705","30.674684","69.321141","0.527555"
