"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.007994","0.007994","0.299399","0.299399","0.000244000000000355"
"0.012986","0.012986","0.499189","0.499189","0.000652000000000541"
"0.019979","0.019979","0.699265","0.699265","0.00122299999999953"
"0.052481","0.034479","3.250257","1.450044","0.00195700000000087"
"0.118497","0.078463","6.601563","4.398386","0.00285699999999878"
"0.196549","0.130421","7.805209","5.195848","0.00392199999999931"
"0.286627","0.190325","9.007845","5.990388","0.00515299999999996"
"0.388763","0.258169","10.213583","6.784388","0.00655300000000025"
"0.502993","0.333948","11.422993","7.577863","0.00812200000000018"
"0.629311","0.417624","12.631784","8.367606","0.00986299999999929"
"0.767759","0.509189","13.844843","9.156491","0.0117770000000004"
"0.918355","0.608613","15.059525","9.942396","0.0138649999999991"
"1.081105","0.715857","16.275087","10.724460","0.0161309999999997"
"1.256051","0.830900","17.494585","11.504323","0.0185759999999995"
"1.443240","0.953722","18.718859","12.282148","0.0212029999999999"
"1.642689","1.084277","19.944871","13.055547","0.0240150000000003"
"1.854423","1.222524","21.173480","13.824701","0.0270139999999994"
"2.078497","1.368434","22.407320","14.590929","0.0302050000000005"
"2.314961","1.521972","23.646410","15.353830","0.0335900000000002"
"2.563848","1.683089","24.888778","16.111711","0.037172"
"2.825213","1.851744","26.136430","16.865462","0.0409559999999995"
"3.099087","2.027878","27.387397","17.613394","0.0449450000000002"
"3.385504","2.211429","28.641701","18.355115","0.0491440000000001"
"3.684580","2.402384","29.907582","19.095469","0.0535569999999996"
"3.996301","2.600641","31.172126","19.825773","0.0581879999999995"
"4.320770","2.806171","32.446901","20.552987","0.0630430000000004"
"4.658043","3.018909","33.727314","21.273747","0.0681259999999995"
"5.008170","3.238781","35.012740","21.987247","0.0734429999999993"
"5.371220","3.465723","36.304918","22.694168","0.0789980000000003"
"5.747262","3.699666","37.604261","23.394357","0.0847979999999993"
"6.136396","3.940557","38.913389","24.089027","0.0908490000000004"
"6.538646","4.188289","40.224974","24.773258","0.097156"
"6.954134","4.442816","41.548799","25.452718","0.103725000000001"
"7.382899","4.704036","42.876503","26.121916","0.110564"
"7.825039","4.971877","44.214024","26.784170","0.117678"
"8.280648","5.246266","45.560855","27.438857","0.125074999999999"
"8.749805","5.527116","46.915778","28.084979","0.132761"
"9.232595","5.814340","48.278961","28.722426","0.140743000000001"
"9.729087","6.107843","49.649159","29.350307","0.149029000000001"
"10.239378","6.407545","51.029147","29.970171","0.157624"
"10.763555","6.713357","52.417655","30.581228","0.166537"
"11.301719","7.025202","53.816392","31.184516","0.175775"
"11.853936","7.342983","55.221715","31.778055","0.185343"
"12.420294","7.666617","56.635879","32.363401","0.195250999999999"
"13.000872","7.996019","58.057781","32.940274","0.205503"
"13.595774","8.331126","59.490149","33.510693","0.216107000000001"
"14.205043","8.671845","60.926937","34.071868","0.227067999999999"
"14.828774","9.018118","62.373066","34.627347","0.238393"
"15.467011","9.369872","63.823706","35.175386","0.250086"
"16.119820","9.727055","65.280964","35.718299","0.262153"
"16.787251","10.089619","66.743028","36.256420","0.274595999999999"
"17.469331","10.457522","68.208031","36.790295","0.287420000000001"
"18.166103","10.830746","69.677202","37.322364","0.300625999999999"
"18.877561","11.209267","71.145791","37.852099","0.314215000000001"
"19.603728","11.593100","72.616699","38.383314","0.328188000000001"
"20.344565","11.982253","74.083741","38.915250","0.342542999999999"
"21.100039","12.376762","75.547318","39.450911","0.357275999999999"
