"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.002500","0.002500","0.250000","0.250000","0"
"0.003521","0.003521","0.051036","0.051036","6.28310230717959"
"0.005222","0.005222","0.085068","0.085068","6.28296330717959"
"0.007604","0.007604","0.119112","0.119112","6.28276830717959"
"0.010668","0.010668","0.153172","0.153172","6.28251830717959"
"0.014413","0.014413","0.187253","0.187253","6.28221330717959"
"0.018840","0.018840","0.221360","0.221360","6.28185130717959"
"0.023950","0.023950","0.255497","0.255497","6.28143430717959"
"0.029743","0.029743","0.289669","0.289669","6.28096130717959"
"0.036221","0.036221","0.323881","0.323881","6.28043230717959"
"0.072455","0.086794","1.811720","2.528637","6.27984730717959"
"0.122126","0.152179","2.483513","3.269250","6.27920630717959"
"0.176079","0.223222","2.697661","3.552188","6.27850830717959"
"0.234306","0.299918","2.911359","3.834793","6.27775430717959"
"0.296881","0.382369","3.128742","4.122532","6.27694330717959"
"0.363771","0.470538","3.344518","4.408456","6.27607530717959"
"0.434914","0.564348","3.557115","4.690511","6.27514930717959"
"0.510359","0.663874","3.772267","4.976278","6.27416630717959"
"0.590141","0.769167","3.989121","5.264657","6.27312530717959"
"0.674147","0.880086","4.200296","5.545924","6.27202730717959"
"0.762490","0.996787","4.417135","5.835076","6.27086930717959"
"0.855100","1.119188","4.630495","6.120060","6.26965330717959"
"0.951956","1.247271","4.842827","6.404133","6.26837930717959"
"1.053145","1.381157","5.059423","6.694314","6.26704430717959"
"1.158525","1.520672","5.269030","6.975736","6.26565130717959"
"1.268261","1.666041","5.486791","7.268466","6.26419630717959"
"1.382170","1.817034","5.695429","7.549641","6.26268330717959"
"1.500416","1.973880","5.912310","7.842296","6.26110730717959"
"1.622850","2.136392","6.121713","8.125606","6.25947130717959"
"1.749564","2.304704","6.335697","8.415589","6.25777430717959"
"1.880516","2.478772","6.547573","8.703388","6.25601430717959"
"2.015649","2.658534","6.756675","8.988132","6.25419230717959"
"2.155103","2.844189","6.972703","9.282747","6.25230630717959"
"2.298723","3.035544","7.181011","9.567764","6.25035830717959"
"2.446539","3.232652","7.390766","9.855398","6.24834630717959"
"2.598638","3.435646","7.604960","10.149673","6.24626930717959"
"2.754903","3.644382","7.813258","10.436817","6.24412730717959"
"2.915336","3.858879","8.021652","10.724839","6.24192030717959"
"3.079992","4.079226","8.232807","11.017327","6.23964730717959"
"3.248858","4.305419","8.443270","11.309689","6.23730730717959"
"3.421881","4.537408","8.651172","11.599434","6.23490130717959"
"3.599061","4.775206","8.859006","11.889914","6.23242630717959"
"3.780396","5.018828","9.066729","12.181095","6.22988430717959"
"3.965882","5.268287","9.274301","12.472937","6.22727330717959"
"4.155553","5.523646","9.483574","12.767955","6.22459230717959"
"4.349366","5.784864","9.690635","13.060899","6.22184130717959"
"4.547307","6.051941","9.897023","13.353853","6.21901930717959"
"4.749369","6.324888","10.103106","13.647329","6.21612530717959"
"4.955546","6.603713","10.308847","13.941288","6.21316030717959"
"5.165830","6.888427","10.514209","14.235696","6.21012230717959"
"5.380213","7.179038","10.719155","14.530515","6.20701130717959"
"5.598686","7.475552","10.923649","14.825710","6.20382630717959"
"5.821239","7.777977","11.127658","15.121244","6.20056630717959"
"6.047862","8.086318","11.331148","15.417082","6.19723030717959"
"6.278564","8.400610","11.535108","15.714579","6.19381830717959"
"6.513347","8.720874","11.739155","16.013227","6.19032930717959"
"6.752173","9.047081","11.941307","16.310329","6.18676330717959"
"6.995030","9.379233","12.142811","16.607584","6.18311830717959"
"7.241902","9.717332","12.343642","16.904958","6.17939430717959"
"7.492778","10.061380","12.543773","17.202419","6.17559130717959"
"7.747727","10.411496","12.747462","17.505813","6.17170730717959"
"8.006667","10.767588","12.946994","17.804553","6.16774230717959"
"8.269572","11.129639","13.145245","18.102571","6.16369530717959"
"8.536475","11.497717","13.345155","18.403912","6.15956530717959"
"8.807388","11.871859","13.545660","18.707114","6.15535230717959"
"9.082225","12.251966","13.741816","19.005335","6.15105530717959"
"9.361058","12.638160","13.941685","19.309704","6.14667330717959"
"9.643837","13.030390","14.138948","19.611468","6.14220630717959"
"9.930539","13.428643","14.335094","19.912663","6.13765330717959"
"10.221217","13.833014","14.533913","20.218540","6.13301230717959"
"10.515778","14.243391","14.728057","20.518854","6.12828530717959"
"10.814310","14.659914","14.926562","20.826162","6.12346930717959"
"11.116716","15.082469","15.120336","21.127760","6.11856530717959"
"11.423052","15.511148","15.316789","21.433953","6.11357130717959"
"11.733287","15.945926","15.511737","21.738865","6.10848830717959"
"12.047378","16.386756","15.704535","22.041539","6.10331530717959"
"12.365420","16.833790","15.902111","22.351660","6.09805030717959"
"12.687308","17.286890","16.094391","22.655031","6.09269430717959"
"13.013045","17.746076","16.286872","22.959311","6.08724730717959"
"13.342713","18.211473","16.483369","23.269840","6.08170730717959"
"13.676227","18.682975","16.675745","23.575075","6.07607530717959"
"14.013591","19.160591","16.868159","23.880812","6.07035130717959"
"14.354805","19.644333","17.060697","24.187104","6.06453330717959"
"14.699892","20.134240","17.254390","24.495341","6.05862230717959"
"15.048850","20.630311","17.447898","24.803544","6.05261830717959"
"15.401657","21.132517","17.640312","25.110333","6.04652030717959"
"15.758313","21.640864","17.832840","25.417328","6.04032830717959"
"16.118823","22.155353","18.025484","25.724437","6.03404330717959"
"16.483188","22.675984","18.218253","26.031569","6.02766530717959"
"16.851411","23.202757","18.411159","26.338636","6.02119430717959"
"17.223496","23.735668","18.604220","26.645546","6.01462930717959"
"17.599445","24.274712","18.797459","26.952213","6.00797230717959"
"17.979263","24.819883","18.990903","27.258549","6.00122330717959"
"18.362955","25.371172","19.184584","27.564470","5.99438230717959"
"18.750525","25.928570","19.378540","27.869893","5.98745130717959"
"19.142004","26.492098","19.573949","28.176368","5.98042830717959"
"19.537394","27.061734","19.769459","28.481809","5.97331630717959"
"19.936688","27.637444","19.964704","28.785528","5.96611530717959"
"20.339896","28.219212","20.160404","29.088406","5.95882730717959"
"20.747041","28.807038","20.357252","29.391278","5.95145330717959"
"21.158166","29.400947","20.556281","29.695471","5.94399230717959"
"21.573243","30.000859","20.753848","29.995553","5.93644830717959"
"21.992301","30.606770","20.952871","30.295560","5.92882130717959"
"22.415391","31.218710","21.154528","30.597020","5.92111330717959"
"22.842482","31.836581","21.354532","30.893548","5.91332630717959"
"23.273649","32.460438","21.558340","31.192855","5.90546130717959"
"23.708870","33.090192","21.761086","31.487712","5.89752130717959"
"24.148207","33.725869","21.966832","31.783809","5.88950730717959"
"24.591653","34.367393","22.172308","32.076224","5.88142230717959"
"25.039275","35.014792","22.381104","32.369960","5.87326830717959"
"25.491059","35.667973","22.589204","32.659020","5.86504830717959"
"25.947082","36.326968","22.801143","32.949770","5.85676330717959"
"26.407346","36.991701","23.013185","33.236623","5.84841730717959"
"26.871882","37.662131","23.226811","33.521537","5.84001330717959"
"27.340759","38.338271","23.443852","33.806967","5.83155430717959"
"27.813988","39.020043","23.661455","34.088621","5.82304230717959"
"28.291608","39.707409","23.881003","34.368320","5.81448130717959"
"28.773663","40.400334","24.102709","34.646203","5.80587430717959"
"29.260205","41.098792","24.327147","34.922928","5.79722430717959"
"29.751271","41.802730","24.553294","35.196872","5.78853530717959"
"30.246901","42.512097","24.781496","35.468383","5.77981130717959"
"30.747142","43.226851","25.012022","35.737706","5.77105630717959"
"31.252040","43.946947","25.244905","36.004760","5.76227230717959"
"31.761643","44.672336","25.480183","36.269472","5.75346430717959"
"32.276001","45.402972","25.717888","36.531780","5.74463730717959"
"32.795162","46.138804","25.958054","36.791628","5.73579330717959"
"33.319177","46.879784","26.200713","37.048973","5.72693730717959"
"33.848094","47.625859","26.445894","37.303776","5.71807430717959"
"34.381967","48.376979","26.693624","37.556010","5.70920630717959"
"34.920845","49.133092","26.943928","37.805653","5.70034030717959"
"35.464782","49.894146","27.196826","38.052694","5.69147830717959"
"36.013831","50.660092","27.452438","38.297267","5.68262530717959"
"36.568044","51.430876","27.710657","38.539207","5.67378530717959"
"37.127471","52.206443","27.971374","38.778356","5.66496330717959"
"37.692166","52.986741","28.234725","39.014911","5.65616330717959"
"38.262180","53.771719","28.500724","39.248913","5.64738930717959"
"38.837568","54.561327","28.769370","39.480390","5.63864530717959"
"39.418378","55.355511","29.040514","39.709180","5.62993630717959"
"40.004663","56.154221","29.314268","39.935492","5.62126530717959"
"40.596473","56.957404","29.590461","40.159159","5.61263830717959"
"41.193858","57.765014","29.869263","40.380487","5.60405730717959"
"41.796867","58.576999","30.150456","40.599266","5.59552830717959"
"42.405548","59.393311","30.434044","40.815598","5.58705330717959"
"43.019951","60.213906","30.720146","41.029744","5.57863730717959"
"43.640117","61.038730","31.008308","41.241211","5.57028330717959"
"44.266099","61.867747","31.299097","41.450872","5.56199630717959"
"44.897933","62.700903","31.591708","41.657784","5.55377930717959"
"45.535670","63.538164","31.886859","41.863025","5.54563530717959"
"46.179348","64.379480","32.183867","42.065835","5.53756830717959"
"46.829007","65.224813","32.482962","42.266655","5.52958230717959"
"47.484694","66.074132","32.784372","42.465923","5.52167830717959"
"48.146433","66.927377","33.086928","42.662272","5.51386230717959"
"48.814275","67.784532","33.392098","42.857750","5.50613430717959"
"49.488254","68.645558","33.698953","43.051300","5.49850030717959"
"50.168392","69.510405","34.006902","43.242327","5.49096130717959"
"50.854736","70.379056","34.317182","43.432558","5.48352030717959"
"51.547316","71.251479","34.629034","43.621168","5.47617930717959"
"52.246157","72.127635","34.942033","43.807777","5.46894230717959"
"52.951287","73.007493","35.256485","43.992919","5.46181030717959"
"53.662740","73.891035","35.572657","44.177067","5.45478630717959"
"54.380542","74.778231","35.890139","44.359848","5.44787230717959"
"55.104720","75.669058","36.208867","44.541321","5.44107030717959"
"55.835293","76.563486","36.528663","44.721401","5.43438230717959"
"56.572281","77.461487","36.849400","44.900067","5.42781030717959"
"57.315713","78.363048","37.171573","45.078044","5.42135630717959"
"58.065608","79.268147","37.494774","45.254952","5.41502130717959"
"58.821987","80.176764","37.818954","45.430847","5.40880730717959"
"59.584868","81.088880","38.144066","45.605782","5.40271630717959"
"60.354270","82.004476","38.470068","45.779805","5.39674930717959"
"61.130208","82.923535","38.796917","45.952967","5.39090730717959"
"61.912700","83.846041","39.124575","46.125310","5.38519230717959"
"62.701760","84.771979","39.453008","46.296880","5.37960530717959"
"63.497403","85.701333","39.782183","46.467714","5.37414830717959"
"64.299645","86.634090","40.112070","46.637849","5.36882030717959"
"65.108498","87.570237","40.442643","46.807320","5.36362530717959"
