"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.010726","0.010726","0.572595","0.572595","6.28271730717958"
"0.020275","0.020275","0.954924","0.954924","6.28193830717959"
"0.040264","0.067042","1.998838","4.676689","6.28084530717959"
"0.068012","0.129294","2.774878","6.225191","6.27943630717959"
"0.101865","0.205436","3.385271","7.614158","6.27771030717959"
"0.141790","0.295515","3.992527","9.007904","6.27566330717959"
"0.187739","0.399561","4.594865","10.404609","6.27329230717959"
"0.239667","0.517638","5.192823","11.807709","6.27059230717959"
"0.297513","0.649790","5.784555","13.215263","6.26755930717959"
"0.361213","0.796084","6.369989","14.629372","6.26418830717959"
"0.430702","0.956604","6.948977","16.052017","6.26047230717959"
"0.505896","1.131409","7.519320","17.480457","6.25640730717959"
"0.586711","1.320592","8.081565","18.918305","6.25198330717959"
"0.673058","1.524248","8.634683","20.365561","6.24719530717959"
"0.764833","1.742465","9.177453","21.821745","6.24203430717959"
"0.861936","1.975369","9.710327","23.290355","6.23649230717959"
"0.964248","2.223056","10.231179","24.768735","6.23055830717959"
"1.071650","2.485653","10.740190","26.259704","6.22422330717959"
"1.184011","2.763280","11.236144","27.762681","6.21747830717959"
"1.301207","3.056093","11.719581","29.281354","6.21031030717959"
"1.423087","3.364212","12.188045","30.811875","6.20270830717959"
"1.549508","3.687789","12.642068","32.357687","6.19466130717959"
"1.680315","4.026972","13.080659","33.918270","6.18615630717959"
"1.815356","4.381936","13.504184","35.496399","6.17717930717959"
"1.954465","4.752826","13.910874","37.089005","6.16771930717958"
"2.097476","5.139808","14.301086","38.698205","6.15776130717959"
"2.244225","5.543060","14.674945","40.325187","6.14729130717959"
"2.394540","5.962736","15.031488","41.967627","6.13629730717959"
"2.548258","6.399016","15.371737","43.628064","6.12476430717959"
"2.705212","6.852063","15.695399","45.304679","6.11267830717959"
"2.865239","7.322026","16.002733","46.996271","6.10002830717958"
"3.028191","7.809067","16.295186","48.704119","6.08679930717959"
"3.193926","8.313332","16.573538","50.426443","6.07298230717959"
"3.362313","8.834935","16.838674","52.160345","6.05856530717959"
"3.533244","9.373999","17.093117","53.906440","6.04353930717959"
"3.706628","9.930604","17.338358","55.660464","6.02789730717959"
"3.882405","10.504824","17.577685","57.421961","6.01163430717959"
"4.060539","11.096678","17.813452","59.185421","5.99474730717959"
"4.241038","11.706170","18.049871","60.949210","5.97723730717959"
"4.423944","12.333247","18.290643","62.707724","5.95910730717959"
"4.609354","12.977828","18.540959","64.458064","5.94036530717959"
"4.797408","13.639757","18.805410","66.192922","5.92102330717958"
"4.988311","14.318844","19.090284","67.908655","5.90109730717959"
"5.182323","15.014815","19.401175","69.597142","5.88060830717959"
"5.379773","15.727348","19.745018","71.253297","5.85958430717958"
"5.581057","16.456043","20.128384","72.869463","5.83805730717959"
"5.786641","17.200438","20.558472","74.439515","5.81606430717959"
"5.997062","17.959998","21.042123","75.955979","5.79365030717959"
"6.212923","18.734115","21.586082","77.411748","5.77086330717959"
"6.434893","19.522123","22.196961","78.800778","5.74775930717959"
"6.663699","20.323291","22.880657","80.116833","5.72439730717959"
"6.900125","21.136842","23.642560","81.355075","5.70084030717959"
"7.144994","21.961947","24.486896","82.510526","5.67715630717959"
"7.399166","22.797750","25.417164","83.580233","5.65341630717959"
"7.663521","23.643367","26.435544","84.561738","5.62969030717959"
"7.938953","24.497909","27.543142","85.454222","5.60605330717959"
"8.226349","25.360485","28.739685","86.257632","5.58257530717959"
"8.526587","26.230221","30.023808","86.973520","5.55933030717959"
"8.840517","27.106265","31.392948","87.604406","5.53638630717959"
"9.168952","27.987803","32.843509","88.153869","5.51381030717959"
"9.512662","28.874068","34.371027","88.626450","5.49166430717959"
"9.872365","29.764341","35.970263","89.027275","5.47000830717959"
"10.248720","30.657962","37.635479","89.362122","5.44889530717959"
"10.642326","31.554333","39.360577","89.637096","5.42837330717959"
"11.053719","32.452918","41.139320","89.858509","5.40848830717959"
"11.483373","33.353244","42.965451","90.032596","5.38927630717959"
"11.931701","34.254896","44.832755","90.165189","5.37077330717959"
"12.399058","35.157522","46.735719","90.262627","5.35300730717959"
"12.885744","36.060818","48.668636","90.329646","5.33600230717959"
"13.392013","36.964535","50.626870","90.371616","5.31978030717959"
"13.918072","37.868460","52.605927","90.392568","5.30435630717959"
"14.464094","38.772425","54.602191","90.396449","5.28974630717959"
"15.030220","39.676288","56.612540","90.386361","5.27596130717959"
"15.616564","40.579935","58.634415","90.364681","5.26301030717959"
"16.219164","41.477325","60.260054","89.738941","5.25097730717959"
"16.833732","42.362749","61.456726","88.542445","5.23992230717959"
"17.459886","43.236589","62.615439","87.383970","5.22981230717959"
"18.097269","44.099202","63.738268","86.261278","5.22061930717959"
"18.745544","44.950921","64.827587","85.171911","5.21231530717959"
"19.404407","45.792056","65.886224","84.113541","5.20487630717959"
"20.073573","46.622886","66.916634","83.083036","5.19827730717959"
"20.752792","47.443665","67.921931","82.077893","5.19249930717959"
"21.441841","48.254616","68.904886","81.095038","5.18752430717959"
"22.140525","49.055930","69.868381","80.131465","5.18333530717959"
"22.848680","49.847775","70.815541","79.184410","5.17991930717959"
"23.566173","50.630282","71.749224","78.250782","5.17726530717959"
"24.292897","51.403558","72.672385","77.327613","5.17536530717959"
"24.821588","51.961629","52.869147","55.807096","5.17416630717959"
"25.544748","52.738475","72.316036","77.684563","5.17197430717959"
"26.267911","53.515310","72.316236","77.683475","5.16978430717959"
"26.991081","54.292138","72.316978","77.682854","5.16759430717959"
"27.714260","55.068962","72.317965","77.682380","5.16540430717959"
"28.437444","55.845774","72.318362","77.681158","5.16321530717959"
"29.160639","56.622580","72.319526","77.680645","5.16102730717959"
"29.883843","57.399377","72.320424","77.679730","5.15883930717959"
"30.607053","58.176161","72.321015","77.678371","5.15665330717959"
"31.330279","58.952940","72.322533","77.677891","5.15446730717959"
"32.053513","59.729706","72.323410","77.676609","5.15228230717959"
"32.776755","60.506457","72.324193","77.675111","5.15009830717959"
"33.500015","61.283203","72.326000","77.674598","5.14791530717959"
"34.223284","62.059933","72.326918","77.673014","5.14573330717959"
"34.946564","62.836648","72.327966","77.671457","5.14355230717959"
"35.669862","63.613355","72.329854","77.670687","5.14137230717959"
"36.393172","64.390044","72.330942","77.668943","5.13919330717959"
"37.116494","65.166717","72.332221","77.667289","5.13701530717959"
"37.839836","65.943380","72.334206","77.666280","5.13483930717959"
"38.563191","66.720024","72.335479","77.664393","5.13266430717959"
"39.286560","67.496650","72.336942","77.662595","5.13049030717959"
"40.009951","68.273264","72.339066","77.661395","5.12831830717959"
"40.733356","69.049857","72.340523","77.659365","5.12614730717959"
"41.456777","69.826431","72.342128","77.657380","5.12397730717959"
"42.180222","70.602992","72.344431","77.656033","5.12180930717959"
"42.903682","71.379530","72.346069","77.653858","5.11964330717959"
"43.627160","72.156047","72.347780","77.651651","5.11747830717959"
"44.350663","72.932549","72.350296","77.650194","5.11531530717959"
"45.074184","73.709027","72.352111","77.647875","5.11315330717959"
"45.797724","74.485483","72.353994","77.645516","5.11099430717959"
"46.521290","75.261920","72.356558","77.643777","5.10883630717959"
"47.244876","76.038334","72.358644","77.641415","5.10667930717959"
"47.968483","76.814724","72.360701","77.638911","5.10452530717959"
"48.692116","77.591092","72.363278","77.636856","5.10237230717959"
"49.415773","78.367437","72.365662","77.634483","5.10022230717959"
"50.139451","79.143755","72.367891","77.631834","5.09807330717959"
"50.863156","79.920050","72.370462","77.629444","5.09592730717959"
"51.586888","80.696321","72.373159","77.627080","5.09378230717959"
"52.310643","81.472563","72.375556","77.624287","5.09164030717959"
"53.034424","82.248779","72.378105","77.621549","5.08950030717959"
"53.758236","83.024971","72.381127","77.619211","5.08736230717959"
"54.482072","83.801134","72.383691","77.616275","5.08522630717959"
"55.205936","84.577267","72.386317","77.613298","5.08309330717959"
"55.929830","85.353374","72.389452","77.610762","5.08096130717959"
"56.653753","86.129452","72.392289","77.607801","5.07883330717959"
"57.377704","86.905499","72.395077","77.604682","5.07670630717959"
"58.101685","87.681517","72.398141","77.601755","5.07458230717959"
"58.825699","88.457505","72.401342","77.598871","5.07246130717959"
"59.549741","89.233462","72.404289","77.595611","5.07034230717959"
"60.273814","90.009385","72.407295","77.592311","5.06822630717959"
"60.997923","90.785279","72.410829","77.589475","5.06611230717959"
"61.722062","91.561140","72.413947","77.586091","5.06400130717959"
"62.446233","92.336967","72.417108","77.582652","5.06189330717959"
"63.170439","93.112761","72.420543","77.579406","5.05978730717959"
"63.894679","93.888522","72.424042","77.576128","5.05768430717958"
"64.618953","94.664248","72.427355","77.572552","5.05558430717959"
"65.343260","95.439937","72.430724","77.568936","5.05348730717959"
"66.067605","96.215594","72.434540","77.565700","5.05139230717959"
"66.791986","96.991214","72.438030","77.562017","5.04930130717959"
"67.516401","97.766797","72.441546","77.558266","5.04721230717959"
"68.240854","98.542343","72.445251","77.554620","5.04512730717959"
"68.965345","99.317854","72.449123","77.551056","5.04304530717959"
"69.689873","100.093325","72.452784","77.547172","5.04096530717959"
"70.414438","100.868758","72.456498","77.543250","5.03888930717959"
"71.139043","101.644153","72.460517","77.539559","5.03681630717959"
"71.863687","102.419510","72.464429","77.535662","5.03474630717959"
"72.588370","103.194826","72.468283","77.531609","5.03267930717959"
"73.313092","103.970101","72.472193","77.527525","5.03061630717959"
"74.037857","104.745339","72.476472","77.523743","5.02855630717959"
"74.762661","105.520534","72.480463","77.519562","5.02649930717959"
"75.487506","106.295688","72.484504","77.515346","5.02444630717959"
"76.212393","107.070800","72.488680","77.511185","5.02239630717959"
"76.937323","107.845871","72.493029","77.507119","5.02034930717959"
"77.662295","108.620899","72.497202","77.502778","5.01830630717959"
"78.387310","109.395883","72.501424","77.498401","5.01626630717959"
"79.112368","110.170824","72.505832","77.494137","5.01423030717959"
"79.837471","110.945722","72.510274","77.489824","5.01219830717959"
"80.562617","111.720576","72.514623","77.485326","5.01016930717959"
"81.287807","112.495384","72.519019","77.480794","5.00814430717959"
"82.013043","113.270148","72.523631","77.476409","5.00612230717959"
"82.738325","114.044866","72.528184","77.471879","5.00410430717959"
"83.463652","114.819539","72.532702","77.467229","5.00209030717959"
"84.189025","115.594164","72.537265","77.462546","5.00008030717959"
"84.914445","116.368744","72.542056","77.458026","4.99807430717959"
"85.639913","117.143277","72.546733","77.453304","4.99607130717959"
"86.365427","117.917763","72.551415","77.448508","4.99407230717959"
"87.090988","118.692199","72.556139","77.443679","4.99207730717959"
"87.816599","119.466590","72.561089","77.439014","4.99008630717959"
"88.542258","120.240931","72.565898","77.434122","4.98809930717958"
"89.267966","121.015223","72.570736","77.429184","4.98611630717959"
"89.993722","121.789465","72.575616","77.424216","4.98413730717959"
"90.719529","122.563659","72.580706","77.419398","4.98216230717959"
"91.445385","123.337802","72.585654","77.414354","4.98019130717959"
"92.171292","124.111895","72.590641","77.409280","4.97822430717959"
"92.897249","124.885937","72.595676","77.404184","4.97626230717959"
"93.623257","125.659929","72.600883","77.399201","4.97430330717959"
"94.349317","126.433869","72.605976","77.394026","4.97234930717959"
"95.075428","127.207757","72.611106","77.388821","4.97039930717959"
"95.801591","127.981593","72.616282","77.383596","4.96845330717959"
"96.527807","128.755378","72.621607","77.378461","4.96651130717959"
"97.254075","129.529110","72.626838","77.373159","4.96457430717959"
"97.980396","130.302788","72.632105","77.367829","4.96264130717959"
"98.706771","131.076413","72.637414","77.362477","4.96071330717959"
"99.433199","131.849985","72.642853","77.357200","4.95878830717959"
"100.159681","132.623502","72.648216","77.351778","4.95686930717959"
"100.886217","133.396966","72.653613","77.346329","4.95495330717959"
"101.612808","134.170374","72.659046","77.340855","4.95304230717959"
"102.339454","134.943729","72.664596","77.335445","4.95113630717959"
"103.066155","135.717028","72.670084","77.329907","4.94923430717959"
"103.792911","136.490271","72.675605","77.324345","4.94733630717959"
"104.519722","137.263459","72.681159","77.318757","4.94544330717959"
"105.246590","138.036591","72.686808","77.313214","4.94355530717959"
"105.973515","138.809667","72.692418","77.307571","4.94167130717959"
"106.700495","139.582686","72.698056","77.301901","4.93979230717959"
"107.427532","140.355648","72.703725","77.296208","4.93791830717959"
"108.154627","141.128553","72.709467","77.290537","4.93604830717959"
"108.881779","141.901401","72.715192","77.284794","4.93418330717959"
"109.608988","142.674191","72.720941","77.279022","4.93232230717959"
"110.336256","143.446923","72.726719","77.273229","4.93046730717959"
"111.063581","144.219598","72.732550","77.267440","4.92861630717959"
"111.790965","144.992214","72.738382","77.261601","4.92676930717959"
"112.518407","145.764771","72.744235","77.255733","4.92492830717959"
"113.245908","146.537270","72.750115","77.249845","4.92309130717959"
"113.973469","147.309709","72.756032","77.243948","4.92126030717959"
"114.701088","148.082089","72.761962","77.238015","4.91943330717959"
"115.428767","148.854410","72.767913","77.232058","4.91761130717959"
"116.156506","149.626671","72.773890","77.226082","4.91579330717959"
"116.884305","150.398872","72.779890","77.220085","4.91398130717959"
"117.612164","151.171012","72.785909","77.214062","4.91217430717959"
"118.340084","151.943092","72.791952","77.208021","4.91037130717959"
"119.068064","152.715112","72.798019","77.201963","4.90857430717959"
"119.796105","153.487071","72.804099","77.195875","4.90678130717959"
"120.524207","154.258968","72.810198","77.189765","4.90499330717959"
"121.252370","155.030805","72.816327","77.183647","4.90321130717959"
"121.980595","155.802580","72.822478","77.177511","4.90143330717959"
"122.708881","156.574293","72.828635","77.171342","4.89966130717959"
"123.437230","157.345945","72.834806","77.165149","4.89789330717959"
"124.165640","158.117535","72.841015","77.158958","4.89613130717959"
"124.894112","158.889062","72.847245","77.152752","4.89437330717959"
"125.622647","159.660527","72.853475","77.146510","4.89262130717959"
"126.351244","160.431929","72.859709","77.140236","4.89087430717959"
"127.079904","161.203269","72.865992","77.133979","4.88913230717959"
"127.808627","161.974546","72.872295","77.127707","4.88739530717959"
"128.537413","162.745760","72.878594","77.121400","4.88566330717959"
"129.266262","163.516911","72.884885","77.115050","4.88393730717959"
"129.995174","164.287998","72.891237","77.108732","4.88221530717959"
"130.724150","165.059022","72.897606","77.102401","4.88049930717959"
"131.453190","165.829983","72.903970","77.096034","4.87878830717959"
"132.182293","166.600879","72.910312","77.089614","4.87708230717959"
