"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.002500","0.002500","0.250000","0.250000","0"
"0.002636","0.002636","0.006816","0.006816","1.10000000006494E-05"
"0.002863","0.002863","0.011359","0.011359","2.99999999988643E-05"
"0.003182","0.003182","0.015904","0.015904","5.60000000007221E-05"
"0.003591","0.003591","0.020449","0.020449","8.89999999991176E-05"
"0.004090","0.004090","0.024995","0.024995","0.000130000000000408"
"0.004681","0.004681","0.029542","0.029542","0.000178000000000011"
"0.005363","0.005363","0.034090","0.034090","0.000233999999998957"
"0.006136","0.006136","0.038639","0.038639","0.00029699999999977"
"0.037983","0.036255","1.592357","1.505974","0.00036730717958644"
"0.091439","0.087801","2.672784","2.577295","0.000445307179585797"
"0.149985","0.144255","2.927297","2.822698","0.000530307179586131"
"0.213621","0.205617","3.181800","3.068087","0.000623307179585808"
"0.282350","0.271889","3.436459","3.313621","0.000723307179586463"
"0.356170","0.343070","3.691004","3.559041","0.00083130717958646"
"0.435080","0.419158","3.945486","3.804393","0.000946307179586547"
"0.519083","0.500157","4.200165","4.049930","0.00106930717958598"
"0.608177","0.586063","4.454690","4.295311","0.00119930717958638"
"0.702361","0.676877","4.709229","4.540699","0.00133730717958613"
"0.801639","0.772601","4.963895","4.786201","0.00148230717958597"
"0.906006","0.873231","5.218355","5.031498","0.0016343071795859"
"1.015468","0.978772","5.473094","5.277055","0.00179430717958606"
"1.130019","1.089218","5.727536","5.522318","0.00196230717958645"
"1.249664","1.204576","5.982280","5.767862","0.00213730717958605"
"1.374400","1.324838","6.236765","6.013148","0.00231930717958662"
"1.504229","1.450011","6.491446","6.258613","0.00250930717958653"
"1.639149","1.580090","6.746034","6.503977","0.00270730717958667"
"1.779161","1.715076","7.000585","6.749296","0.00291230717958602"
"1.924268","1.854972","7.255336","6.994796","0.00312530717958648"
"2.074465","1.999774","7.509883","7.240089","0.00334530717958614"
"2.229755","2.149482","7.764472","7.485409","0.00357330717958604"
"2.390140","2.304100","8.019238","7.730889","0.00380830717958602"
"2.555616","2.463624","8.273832","7.976190","0.00405130717958624"
"2.726185","2.628054","8.528445","8.221496","0.0043023071795858"
"2.901847","2.797390","8.783084","8.466815","0.00456030717958633"
"3.082604","2.971635","9.037855","8.712246","0.00482630717958621"
"3.268454","3.150786","9.292503","8.957545","0.00509930717958618"
"3.459397","3.334843","9.547167","9.202845","0.00538030717958637"
"3.655434","3.523806","9.801845","9.448143","0.00566930717958591"
"3.856565","3.717674","10.056537","9.693439","0.00596530717958643"
"4.062790","3.916449","10.311241","9.938732","0.00627030717958643"
"4.274109","4.120129","10.565958","10.184019","0.00658130717958638"
"4.490523","4.328715","10.820685","10.429301","0.00690130717958581"
"4.712031","4.542207","11.075422","10.674575","0.00722830717958622"
"4.938634","4.760604","11.330168","10.919841","0.00756330717958598"
"5.170333","4.983906","11.584922","11.165096","0.00790630717958596"
"5.407127","5.212112","11.839684","11.410341","0.00825630717958603"
"5.649016","5.445224","12.094452","11.655573","0.00861530717958647"
"5.896000","5.683240","12.349226","11.900792","0.00898130717958612"
"6.148080","5.926160","12.604005","12.145996","0.00935430717958585"
"6.405256","6.173983","12.858787","12.391184","0.00973630717958596"
"6.667527","6.426710","13.113573","12.636355","0.0101263071795863"
"6.934896","6.684342","13.368424","12.881568","0.0105233071795858"
"7.207362","6.946877","13.623301","13.126786","0.0109283071795865"
"7.484924","7.214316","13.878106","13.371912","0.0113423071795866"
"7.767582","7.486656","14.132911","13.617017","0.011763307179586"
"8.055338","7.763900","14.387800","13.862181","0.0121923071795864"
"8.348193","8.046047","14.642729","14.107360","0.0126293071795862"
"8.646144","8.333095","14.897544","14.352406","0.0130743071795862"
"8.949193","8.625045","15.152450","14.597517","0.0135273071795865"
"9.257341","8.921899","15.407418","14.842664","0.0139883071795861"
"9.570586","9.223651","15.662234","15.087641","0.0144573071795859"
"9.888932","9.530308","15.917289","15.332823","0.014934307179586"
"10.212375","9.841864","16.172151","15.577794","0.0154193071795863"
"10.540918","10.158321","16.427159","15.822880","0.0159133071795861"
"10.874560","10.479679","16.682096","16.067873","0.0164143071795859"
"11.213302","10.805937","16.937116","16.312919","0.0169243071795862"
"11.557143","11.137095","17.192065","16.557870","0.0174413071795865"
"11.906086","11.473153","17.447154","16.802929","0.0179673071795863"
"12.260128","11.814109","17.702066","17.047790","0.0185013071795863"
"12.619273","12.159967","17.957248","17.292884","0.0190443071795858"
"12.983517","12.510722","18.212226","17.537754","0.0195943071795863"
"13.352862","12.866375","18.467260","17.782647","0.0201533071795863"
"13.727311","13.226928","18.722450","18.027663","0.0207203071795865"
"14.106861","13.592378","18.977487","18.272503","0.0212963071795862"
"14.491512","13.962725","19.232554","18.517341","0.0218803071795861"
"14.881268","14.337971","19.487768","18.762291","0.0224723071795863"
"15.276126","14.718113","19.742913","19.007144","0.0230723071795866"
"15.676087","15.103153","19.998044","19.251953","0.0236823071795866"
"16.081151","15.493088","20.253200","19.496754","0.0242993071795858"
"16.491318","15.887919","20.508381","19.741548","0.0249253071795863"
"16.906591","16.287646","20.763630","19.986375","0.0255603071795862"
"17.326968","16.692269","21.018879","20.231170","0.0262033071795864"
"17.752451","17.101788","21.274111","20.475917","0.0268543071795859"
"18.183038","17.516201","21.529364","20.720650","0.0275143071795858"
"18.618731","17.935508","21.784637","20.965368","0.0281833071795861"
"19.059529","18.359710","22.039929","21.210071","0.0288613071795858"
"19.505434","18.788805","22.295240","21.454758","0.0295473071795866"
"19.956445","19.222793","22.550567","21.699426","0.030241307179586"
"20.412564","19.661675","22.805911","21.944075","0.0309453071795867"
"20.873789","20.105449","23.061271","22.188703","0.0316573071795858"
"21.340122","20.554115","23.316646","22.433311","0.0323783071795862"
"21.811563","21.007673","23.572045","22.677905","0.0331083071795861"
"22.288113","21.466124","23.827527","22.922544","0.0338473071795864"
"22.769773","21.929466","24.082956","23.167093","0.0345953071795861"
"23.256541","22.397698","24.338397","23.411617","0.0353513071795861"
"23.748418","22.870821","24.593849","23.656114","0.0361173071795866"
"24.245404","23.348832","24.849311","23.900583","0.0368913071795864"
"24.747502","23.831736","25.104933","24.145166","0.0376753071795859"
"25.254711","24.319527","25.360436","24.389598","0.0384673071795865"
"25.767030","24.812207","25.615939","24.633990","0.0392693071795867"
"26.284461","25.309776","25.871555","24.878451","0.0400803071795863"
"26.807005","25.812234","26.127179","25.122879","0.0408993071795862"
"27.334659","26.319578","26.382716","25.367184","0.0417283071795866"
"27.867428","26.831810","26.638444","25.611632","0.0425673071795858"
"28.405309","27.348929","26.894056","25.855927","0.0434143071795861"
"28.948304","27.870934","27.149733","26.100244","0.0442713071795859"
"29.496413","28.397825","27.405464","26.344572","0.0451373071795862"
"30.049636","28.929601","27.661142","26.588806","0.0460123071795859"
"30.607974","29.466263","27.916935","26.833108","0.0468973071795862"
"31.171428","30.007810","28.172665","27.077308","0.0477913071795859"
"31.739997","30.554240","28.428463","27.321530","0.0486953071795861"
"32.313683","31.105555","28.684295","27.565741","0.0496083071795859"
"32.892484","31.661751","28.940043","27.809828","0.050530307179586"
"33.476404","32.222833","29.196025","28.054096","0.0514633071795858"
"34.065441","32.788796","29.451831","28.298151","0.0524043071795859"
"34.659595","33.359641","29.707689","28.542211","0.0533563071795866"
"35.258869","33.935368","29.963714","28.786386","0.0543173071795859"
"35.863261","34.515976","30.219614","29.030396","0.0552883071795867"
"36.472772","35.101464","30.475547","29.274393","0.056268307179586"
"37.087403","35.691832","30.731547","29.518408","0.0572593071795859"
"37.707155","36.287081","30.987621","29.762447","0.0582593071795863"
"38.332028","36.887209","31.243638","30.006386","0.0592693071795862"
"38.962022","37.492215","31.499686","30.250308","0.0602893071795858"
"39.597137","38.102099","31.755764","30.494211","0.0613183071795866"
"40.237375","38.716861","32.011871","30.738095","0.0623583071795863"
"40.882735","39.336500","32.268006","30.981959","0.0634083071795866"
"41.533218","39.961016","32.524169","31.225801","0.0644683071795864"
"42.188825","40.590409","32.780360","31.469622","0.0655383071795859"
"42.849557","41.224677","33.036579","31.713423","0.0666183071795858"
"43.515413","41.863821","33.292808","31.957183","0.0677083071795863"
"44.186395","42.507840","33.549076","32.200933","0.0688093071795866"
"44.862502","43.156733","33.805366","32.444654","0.0699203071795864"
"45.543735","43.810500","34.061678","32.688347","0.0710413071795859"
"46.230096","44.469140","34.318012","32.932011","0.0721723071795859"
"46.921583","45.132653","34.574367","33.175647","0.0733143071795865"
"47.618198","45.801038","34.830744","33.419253","0.0744663071795859"
"48.319941","46.474294","35.087142","33.662828","0.0756293071795859"
"49.026812","47.152422","35.343560","33.906373","0.0768023071795865"
"49.738813","47.835421","35.600071","34.149956","0.0779863071795859"
"50.455945","48.523291","35.856569","34.393475","0.0791803071795858"
"51.178206","49.216029","36.113054","34.636931","0.0803853071795864"
"51.905597","49.913636","36.369557","34.880353","0.0816013071795858"
"52.638121","50.616114","36.626206","35.123863","0.0828273071795866"
"53.375776","51.323458","36.882769","35.367239","0.0840653071795865"
"54.118563","52.035670","37.139333","35.610564","0.085313307179586"
"54.866485","52.752750","37.396078","35.854012","0.0865713071795859"
"55.619538","53.474695","37.652688","36.097277","0.0878413071795858"
"56.377727","54.201507","37.909404","36.340592","0.0891223071795864"
"57.141049","54.933185","38.166139","36.583872","0.0904133071795865"
"57.909507","55.669726","38.422867","36.827093","0.0917163071795866"
"58.683100","56.411133","38.679682","37.070345","0.0930303071795864"
"59.461829","57.157404","38.936459","37.313508","0.094355307179586"
"60.245696","57.908537","39.193312","37.556691","0.0956913071795862"
"61.034699","58.664534","39.450175","37.799830","0.0970383071795862"
"61.828840","59.425392","39.707027","38.042906","0.0983963071795859"
"62.628120","60.191113","39.964009","38.286053","0.0997663071795865"
"63.432538","60.961694","40.220900","38.529059","0.101147307179586"
"64.242096","61.737136","40.477878","38.772096","0.102540307179586"
"65.056794","62.517439","40.734909","39.015131","0.103944307179586"
"65.876632","63.302600","40.991901","39.258075","0.105359307179587"
"66.701610","64.092620","41.248929","39.501000","0.106786307179586"
"67.531732","64.887500","41.506065","39.743975","0.108224307179587"
"68.366995","65.687237","41.763161","39.986858","0.109674307179586"
"69.207400","66.491831","42.020279","40.229710","0.111136307179586"
"70.052949","67.301282","42.277431","40.472539","0.112609307179587"
"70.903641","68.115589","42.534613","40.715346","0.114095307179586"
"71.759478","68.934752","42.791835","40.958136","0.115591307179586"
"72.620460","69.758770","43.049100","41.200916","0.117100307179586"
"73.486587","70.587643","43.306364","41.443641","0.118621307179586"
"74.357860","71.421370","43.563657","41.686341","0.120153307179586"
"75.234280","72.259950","43.820978","41.929015","0.121698307179586"
"76.115846","73.103383","44.078326","42.171663","0.123254307179586"
"77.002561","73.951669","44.335702","42.414283","0.124823307179586"
"77.894423","74.804806","44.593104","42.656877","0.126403307179586"
"78.791433","75.662795","44.850531","42.899443","0.127996307179586"
"79.693593","76.525635","45.107984","43.141981","0.129601307179586"
"80.600903","77.393325","45.365494","43.384521","0.131218307179586"
"81.513363","78.265865","45.623002","43.627009","0.132847307179587"
"82.430973","79.143255","45.880533","43.869467","0.134489307179586"
"83.353735","80.025493","46.138088","44.111897","0.136143307179586"
"84.281649","80.912579","46.395666","44.354298","0.137810307179587"
"85.214714","81.804512","46.653285","44.596686","0.139488307179586"
"86.152933","82.701294","46.910951","44.839070","0.141180307179586"
"87.096305","83.602922","47.168601","45.081388","0.142884307179586"
"88.044831","84.509395","47.426273","45.323678","0.144600307179586"
"88.998511","85.420715","47.684021","45.565991","0.146329307179586"
"89.957346","86.336880","47.941754","45.808240","0.148071307179587"
"90.921336","87.257889","48.199494","46.050448","0.149825307179587"
"91.890483","88.183743","48.457330","46.292699","0.151592307179587"
"92.864785","89.114440","48.715114","46.534853","0.153372307179586"
"93.844244","90.049980","48.972968","46.777026","0.155164307179586"
"94.828861","90.990363","49.230826","47.019156","0.156970307179586"
"95.818635","91.935589","49.488715","47.261269","0.158788307179586"
"96.813568","92.885656","49.746625","47.503357","0.160619307179586"
"97.813659","93.840564","50.004563","47.745426","0.162464307179587"
"98.818909","94.800314","50.262510","47.987458","0.164321307179586"
"99.829319","95.764904","50.520507","48.229494","0.166191307179586"
"100.844889","96.734333","50.778490","48.471474","0.168074307179586"
"101.865620","97.708602","51.036530","48.713464","0.169971307179586"
"102.888953","98.685269","51.166653","48.833333","0.171875307179587"
"103.912330","99.661891","51.168849","48.831116","0.173784307179586"
"104.935751","100.638470","51.171060","48.828937","0.175696307179586"
"105.959216","101.615005","51.173235","48.826747","0.177611307179586"
"106.982724","102.591496","51.175398","48.824571","0.179530307179586"
"108.006275","103.567945","51.177569","48.822425","0.181453307179586"
"109.029869","104.544350","51.179707","48.820273","0.183379307179586"
"110.053506","105.520713","51.181838","48.818139","0.185308307179586"
"111.077185","106.497034","51.183963","48.816024","0.187241307179586"
"112.100906","107.473312","51.186066","48.813914","0.189178307179586"
"113.124670","108.449548","51.188160","48.811821","0.191118307179586"
"114.148474","109.425743","51.190241","48.809741","0.193061307179586"
"115.172321","110.401897","51.192307","48.807674","0.195008307179586"
"116.196208","111.378009","51.194361","48.805621","0.196958307179586"
"117.220136","112.354081","51.196398","48.803580","0.198911307179586"
"118.244104","113.330112","51.198427","48.801557","0.200868307179586"
"119.268113","114.306103","51.200436","48.799544","0.202828307179586"
"120.292162","115.282053","51.202432","48.797544","0.204791307179586"
"121.316250","116.257965","51.204422","48.795568","0.206757307179586"
"122.340378","117.233837","51.206382","48.793593","0.208727307179586"
"123.364545","118.209669","51.208336","48.791639","0.210700307179586"
"124.388750","119.185464","51.210286","48.789711","0.212676307179586"
"125.412994","120.161219","51.212195","48.787772","0.214655307179586"
"126.437276","121.136936","51.214109","48.785868","0.216637307179586"
"127.461597","122.112616","51.216018","48.783988","0.218622307179587"
"128.485954","123.088258","51.217870","48.782085","0.220611307179587"
"129.510349","124.063863","51.219746","48.780235","0.222602307179586"
"130.534781","125.039431","51.221606","48.778399","0.224597307179586"
"131.559249","126.014961","51.223409","48.776541","0.226594307179586"
"132.583754","126.990456","51.225244","48.774743","0.228594307179586"
"133.608295","127.965915","51.227049","48.772949","0.230598307179586"
"134.632871","128.941338","51.228808","48.771143","0.232604307179586"
"135.657483","129.916726","51.230598","48.769398","0.234613307179586"
"136.682130","130.892079","51.232344","48.767643","0.236625307179586"
"137.706811","131.867397","51.234061","48.765893","0.238640307179586"
"138.731528","132.842681","51.235806","48.764202","0.240658307179586"
"139.756277","133.817931","51.237487","48.762483","0.242678307179586"
"140.781061","134.793146","51.239165","48.760795","0.244701307179586"
"141.805878","135.768330","51.240863","48.759160","0.246727307179587"
"142.830727","136.743479","51.242473","48.757474","0.248756307179586"
"143.855610","137.718596","51.244116","48.755854","0.250787307179587"
"144.880525","138.693682","51.245767","48.754275","0.252821307179587"
"145.905471","139.668734","51.247300","48.752618","0.254857307179586"
"146.930449","140.643755","51.248912","48.751072","0.256896307179586"
"147.955459","141.618746","51.250494","48.749532","0.258938307179586"
"148.980499","142.593705","51.251982","48.747938","0.260982307179586"
"150.005570","143.568634","51.253549","48.746454","0.263029307179586"
"151.030671","144.543533","51.255052","48.744945","0.265078307179587"
"152.055801","145.518401","51.256507","48.743426","0.267129307179586"
"153.080961","146.493241","51.258024","48.742002","0.269183307179587"
"154.106150","147.468052","51.259440","48.740519","0.271239307179586"
"155.131368","148.442833","51.260868","48.739084","0.273298307179586"
"156.156614","149.417588","51.262334","48.737722","0.275359307179587"
"157.181887","150.392313","51.263653","48.736257","0.277422307179586"
"158.207189","151.367011","51.265062","48.734915","0.279487307179586"
"159.232518","152.341683","51.266456","48.733596","0.281555307179586"
"160.257872","153.316327","51.267711","48.732182","0.283625307179586"
"161.283254","154.290945","51.269088","48.730923","0.285697307179587"
"162.308661","155.265538","51.270378","48.729619","0.287771307179586"
"163.334093","156.240104","51.271617","48.728305","0.289847307179587"
"164.359552","157.214646","51.272942","48.727110","0.291925307179586"
"165.385035","158.189162","51.274117","48.725813","0.294006307179586"
"166.410542","159.163655","51.275350","48.724609","0.296088307179586"
"167.436074","160.138124","51.276616","48.723475","0.298172307179586"
"168.461627","161.112568","51.277675","48.722185","0.300258307179586"
