"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.006999","0.006999","0.199854","0.199854","6.28302230717959"
"0.010329","0.010329","0.333076","0.333076","6.28275030717959"
"0.014992","0.014992","0.466276","0.466276","6.28236930717959"
"0.020987","0.020987","0.599445","0.599445","6.28188030717959"
"0.027015","0.029610","0.602820","0.862345","6.281282"
"0.083370","0.103285","5.635564","7.367544","6.280575"
"0.148375","0.188271","6.500464","8.498590","6.27976"
"0.222051","0.284599","7.367643","9.632752","6.278835"
"0.304389","0.392256","8.233792","10.765714","6.277802"
"0.395398","0.511257","9.100914","11.900107","6.276659"
"0.495055","0.641572","9.965648","13.031542","6.275408"
"0.603396","0.783253","10.834135","14.168058","6.274047"
"0.720394","0.936263","11.699733","15.300968","6.272577"
"0.846047","1.100604","12.565367","16.434096","6.270998"
"0.980360","1.276281","13.431301","17.567784","6.26931"
"1.123335","1.463300","14.297419","18.701871","6.267512"
"1.274971","1.661662","15.163611","19.836202","6.265605"
"1.435268","1.871368","16.029771","20.970621","6.263588"
"1.604226","2.092418","16.895800","22.104976","6.261462"
"1.781842","2.324809","17.761602","23.239114","6.259226"
"1.968113","2.568538","18.627088","24.372889","6.256881"
"2.163035","2.823600","19.492175","25.506153","6.254426"
"2.366625","3.090016","20.358964","26.641613","6.251862"
"2.578874","3.367776","21.224970","27.775967","6.249188"
"2.799768","3.656856","22.089345","28.908050","6.246405"
"3.029343","3.957306","22.957570","30.044971","6.243512"
"3.267561","4.269069","23.821731","31.176303","6.24051"
"3.514455","4.592187","24.689390","32.311866","6.237399"
"3.770009","4.926637","25.555452","33.444907","6.234179"
"4.034223","5.272408","26.421333","34.577184","6.23085"
"4.307109","5.629515","27.288620","35.710676","6.227412"
"4.588675","5.997959","28.156665","36.844422","6.223866"
"4.878915","6.377723","29.023992","37.976373","6.220212"
"5.177834","6.768804","29.891899","39.108100","6.216451"
"5.485438","7.171198","30.760339","40.239404","6.212582"
"5.801730","7.584899","31.629277","41.370091","6.208606"
"6.126717","8.009899","32.498687","42.499972","6.204524"
"6.460419","8.446208","33.370128","43.630919","6.200335"
"6.802831","8.893804","34.241224","44.759649","6.196042"
"7.153955","9.352670","35.112452","45.886599","6.191645"
"7.513812","9.822811","35.985707","47.014048","6.187143"
"7.882413","10.304216","36.860027","48.140532","6.182539"
"8.259757","10.796862","37.734451","49.264578","6.177833"
"8.645870","11.300752","38.611302","50.388991","6.173026"
"9.040759","11.815865","39.488909","51.511352","6.168118"
"9.444431","12.342179","40.367204","52.631324","6.163113"
"9.856916","12.879695","41.248484","53.751644","6.158009"
"10.278225","13.428392","42.130925","54.869663","6.15281"
"10.708372","13.988245","43.014700","55.985331","6.147516"
"11.143030","14.553586","43.465787","56.534052","6.142182"
"11.577865","15.118748","43.483465","56.516290","6.136862"
"12.012886","15.683724","43.502099","56.497591","6.131558"
"12.448103","16.248504","43.521680","56.477962","6.12627"
"12.883525","16.813078","43.542199","56.457409","6.120998"
"13.319161","17.377438","43.563646","56.435941","6.115744"
"13.755021","17.941573","43.586010","56.413565","6.110508"
"14.191114","18.505476","43.609281","56.390291","6.105292"
"14.627449","19.069137","43.633448","56.366129","6.100095"
"15.064035","19.632550","43.658637","56.341269","6.094918"
"15.500881","20.195705","43.684622","56.315445","6.089763"
"15.937995","20.758591","43.711374","56.288648","6.084629"
"16.375385","21.321201","43.738974","56.261011","6.079518"
"16.813059","21.883527","43.767407","56.232546","6.07443"
"17.251025","22.445559","43.796661","56.203268","6.069366"
"17.689293","23.007291","43.826720","56.173188","6.064327"
"18.127868","23.568714","43.857570","56.142322","6.059313"
"18.566760","24.129821","43.889195","56.110683","6.054324"
"19.005976","24.690604","43.921582","56.078287","6.049362"
"19.445523","25.251056","43.954713","56.045149","6.044427"
"19.885409","25.811168","43.988573","56.011283","6.03952"
"20.325640","26.370935","44.023146","55.976706","6.034641"
"20.766224","26.930350","44.058416","55.941433","6.029791"
"21.207168","27.489405","44.094367","55.905482","6.02497"
"21.648478","28.048093","44.130981","55.868867","6.020179"
"22.090160","28.606409","44.168242","55.831607","6.015419"
"22.532222","29.164346","44.206133","55.793716","6.010689"
"22.974668","29.721899","44.244637","55.755214","6.005991"
"23.417505","30.279060","44.283737","55.716115","6.001324"
"23.860740","30.835824","44.323415","55.676438","5.996691"
"24.304376","31.392186","44.363656","55.636200","5.99209"
"24.748421","31.948140","44.404441","55.595417","5.987522"
"25.192878","32.503681","44.445753","55.554107","5.982988"
"25.637754","33.058804","44.487575","55.512286","5.978488"
"26.083053","33.613504","44.529891","55.469973","5.974023"
"26.528780","34.167776","44.572683","55.427183","5.969592"
"26.974939","34.721615","44.615934","55.383935","5.965197"
"27.421535","35.275018","44.659627","55.340244","5.960838"
"27.868573","35.827979","44.703746","55.296127","5.956514"
"28.316055","36.380495","44.748274","55.251602","5.952227"
"28.763987","36.932562","44.793195","55.206683","5.947977"
"29.212372","37.484176","44.838492","55.161389","5.943763"
"29.661214","38.035333","44.884149","55.115734","5.939587"
"30.110515","38.586030","44.930150","55.069735","5.935448"
"30.560280","39.136264","44.976481","55.023408","5.931348"
"31.010511","39.686032","45.023124","54.976767","5.927285"
"31.461212","40.235330","45.070065","54.929828","5.923261"
"31.912385","40.784156","45.117290","54.882607","5.919275"
"32.364033","41.332508","45.164782","54.835117","5.915328"
"32.816158","41.880381","45.212528","54.787374","5.91142"
"33.268763","42.427775","45.260514","54.739391","5.907551"
"33.721850","42.974687","45.308725","54.691183","5.903721"
"34.175422","43.521115","45.357148","54.642763","5.899931"
"34.629480","44.067056","45.405770","54.594144","5.896181"
"35.084025","44.612510","45.454577","54.545340","5.89247"
"35.539061","45.157473","45.503557","54.496363","5.8888"
"35.994588","45.701945","45.552696","54.447227","5.885169"
"36.450608","46.245925","45.601984","54.397942","5.881579"
"36.907122","46.789410","45.651408","54.348521","5.878029"
"37.364131","47.332400","45.700956","54.298975","5.87452"
"37.821637","47.874893","45.750618","54.249316","5.871051"
"38.279641","48.416889","45.800382","54.199554","5.867623"
"38.738144","48.958386","45.850238","54.149701","5.864235"
"39.197145","49.499383","45.900176","54.099765","5.860888"
"39.656647","50.039881","45.950185","54.049758","5.857582"
"40.116650","50.579878","46.000257","53.999689","5.854317"
"40.577154","51.119373","46.050381","53.949567","5.851093"
"41.038159","51.658367","46.100549","53.899401","5.84791"
"41.499667","52.196859","46.150752","53.849200","5.844768"
"41.961677","52.734849","46.200982","53.798971","5.841666"
"42.424189","53.272336","46.251231","53.748724","5.838606"
"42.887204","53.809321","46.301490","53.698466","5.835587"
"43.350721","54.345803","46.351753","53.648204","5.832609"
"43.814741","54.881782","46.402013","53.597946","5.829672"
"44.279264","55.417259","46.452262","53.547698","5.826776"
"44.744289","55.952234","46.502495","53.497466","5.823921"
"45.209816","56.486707","46.552704","53.447258","5.821107"
"45.675845","57.020677","46.602885","53.397078","5.818333"
"46.142375","57.554147","46.653030","53.346933","5.815601"
"46.609407","58.087115","46.703136","53.296828","5.81291"
"47.076938","58.619583","46.753197","53.246768","5.810259"
"47.544971","59.151550","46.803208","53.196757","5.80765"
"48.013502","59.683018","46.853164","53.146801","5.805081"
"48.482533","60.213987","46.903061","53.096904","5.802553"
"48.952062","60.744458","46.952896","53.047070","5.800065"
"49.422088","61.274431","47.002665","52.997302","5.797619"
"49.892612","61.803907","47.052363","52.947604","5.795212"
"50.363632","62.332887","47.101988","52.897980","5.792847"
"50.835147","62.861371","47.151536","52.848432","5.790521"
"51.307157","63.389361","47.201005","52.798963","5.788237"
"51.779661","63.916857","47.250393","52.749576","5.785992"
"52.252658","64.443859","47.299696","52.700273","5.783788"
"52.726147","64.970370","47.348913","52.651057","5.781624"
"53.200128","65.496389","47.398041","52.601930","5.7795"
"53.674599","66.021918","47.447080","52.552892","5.777416"
"54.149559","66.546958","47.496027","52.503946","5.775371"
"54.625008","67.071509","47.544881","52.455093","5.773367"
"55.100944","67.595572","47.593641","52.406334","5.771403"
"55.577367","68.119149","47.642305","52.357671","5.769478"
"56.054276","68.642240","47.690874","52.309103","5.767593"
"56.531669","69.164846","47.739346","52.260632","5.765748"
"57.009547","69.686969","47.787722","52.212259","5.763942"
"57.487907","70.208608","47.836000","52.163982","5.762175"
"57.966748","70.729766","47.884180","52.115804","5.760448"
"58.446071","71.250444","47.932263","52.067722","5.75876"
"58.925873","71.770641","47.980249","52.019738","5.757112"
"59.406155","72.290359","48.028138","51.971851","5.755502"
"59.886914","72.809600","48.075931","51.924061","5.753931"
"60.368150","73.328364","48.123627","51.876367","5.752399"
"60.849863","73.846651","48.171229","51.828768","5.750907"
"61.332050","74.364464","48.218736","51.781263","5.749452"
"61.814712","74.881803","48.266149","51.733852","5.748037"
"62.297846","75.398668","48.313470","51.686533","5.74666"
"62.781453","75.915061","48.360700","51.639305","5.745322"
"63.265532","76.430983","48.407840","51.592167","5.744022"
"63.750081","76.946434","48.454892","51.545118","5.742761"
"64.235099","77.461415","48.501857","51.498156","5.741538"
"64.720587","77.975928","48.548736","51.451278","5.740353"
"65.206542","78.489973","48.595532","51.404485","5.739207"
"65.692964","79.003551","48.642246","51.357773","5.738099"
"66.179853","79.516662","48.688880","51.311141","5.737028"
"66.667207","80.029308","48.735435","51.264587","5.735996"
"67.155027","80.541489","48.781915","51.218108","5.735002"
"67.643310","81.053206","48.828321","51.171704","5.734045"
"68.132056","81.564460","48.874655","51.125371","5.733126"
"68.621266","82.075251","48.920920","51.079107","5.732246"
"69.110937","82.585580","48.967118","51.032910","5.731402"
"69.601069","83.095448","49.013250","50.986778","5.730597"
"70.091662","83.604855","49.059309","50.940695","5.729829"
"70.582715","84.113801","49.105309","50.894673","5.729099"
"71.074228","84.622289","49.151264","50.848721","5.728406"
"71.566200","85.130317","49.197165","50.802824","5.72775"
"72.058630","85.637887","49.243014","50.756979","5.727132"
"72.551518","86.144999","49.288814","50.711182","5.726552"
"73.044864","86.651653","49.334567","50.665432","5.726009"
"73.538666","87.157850","49.380277","50.619726","5.725503"
"74.032926","87.663591","49.425945","50.574060","5.725034"
"74.527642","88.168875","49.471576","50.528431","5.724603"
"75.022813","88.673703","49.517172","50.482838","5.724209"
"75.518441","89.178076","49.562735","50.437277","5.723852"
"76.014523","89.681994","49.608269","50.391744","5.723532"
"76.511061","90.185456","49.653776","50.346238","5.723249"
"77.008054","90.688464","49.699261","50.300755","5.723004"
"77.505501","91.191016","49.744725","50.255292","5.722795"
"78.003403","91.693115","49.790171","50.209846","5.722624"
"78.501759","92.194759","49.835603","50.164413","5.72249"
"79.000569","92.695949","49.881024","50.118992","5.722393"
"79.499833","93.196685","49.926437","50.073579","5.722333"
"79.999552","93.696966","49.971845","50.028170","5.72231"
"80.499724","94.196794","50.017250","49.982763","5.722324"
"81.000351","94.696168","50.062657","49.937355","5.722375"
"81.501432","95.195087","50.108067","49.891942","5.722463"
"82.002966","95.693552","50.153485","49.846522","5.722588"
"82.504956","96.191563","50.198913","49.801091","5.722751"
"83.007399","96.689120","50.244354","49.755647","5.72295"
"83.510297","97.186222","50.289813","49.710188","5.723187"
