"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.008212","0.008212","0.321248","0.321248","0.000263000000000346"
"0.013569","0.013569","0.535681","0.535681","0.000700000000000145"
"0.021074","0.021074","0.750517","0.750517","0.00131299999999968"
"0.070800","0.051468","4.972562","3.039394","0.00210200000000071"
"0.137624","0.094626","6.682346","4.315750","0.00306800000000074"
"0.216646","0.145602","7.902281","5.097649","0.00421200000000077"
"0.307882","0.204376","9.123573","5.877404","0.00553700000000035"
"0.411339","0.270919","10.345729","6.654218","0.00704400000000049"
"0.527042","0.345204","11.570278","7.428588","0.00873400000000046"
"0.655034","0.427217","12.799223","8.201298","0.0106110000000008"
"0.795343","0.516925","14.030833","8.970729","0.012677"
"0.947966","0.614270","15.262294","9.734569","0.0149329999999992"
"1.113006","0.719260","16.503986","10.498910","0.0173839999999998"
"1.290447","0.831817","17.744178","11.255730","0.0200320000000005"
"1.480349","0.951908","18.990129","12.009102","0.0228819999999992"
"1.682764","1.079491","20.241591","12.758290","0.0259359999999997"
"1.897746","1.214515","21.498177","13.502461","0.0291990000000002"
"2.125341","1.356923","22.759500","14.240773","0.0326769999999996"
"2.365593","1.506647","24.025179","14.972381","0.0363720000000001"
"2.618610","1.663654","25.301679","15.700673","0.0402900000000006"
"2.884400","1.827842","26.579035","16.418806","0.0444370000000003"
"3.163079","1.999168","27.867837","17.132676","0.0488189999999999"
"3.454704","2.177550","29.162495","17.838135","0.0534409999999994"
"3.759347","2.362903","30.464323","18.535298","0.0583100000000005"
"4.077089","2.555143","31.774199","19.223988","0.0634329999999999"
"4.408052","2.754203","33.096313","19.905987","0.0688169999999992"
"4.752285","2.959964","34.423297","20.576105","0.0744690000000006"
"5.109911","3.172344","35.762579","21.238042","0.0803969999999996"
"5.481011","3.391230","37.110018","21.888550","0.0866100000000003"
"5.865708","3.616522","38.469733","22.529284","0.0931160000000002"
"6.264121","3.848114","39.841245","23.159151","0.0999250000000007"
"6.676361","4.085885","41.224071","23.777072","0.107046"
"7.102538","4.329704","42.617719","24.381987","0.11449"
"7.542786","4.579450","44.024758","24.974596","0.122265000000001"
"7.997234","4.834990","45.444831","25.553926","0.130383999999999"
"8.466037","5.096195","46.880247","26.120525","0.138857"
"8.949314","5.362913","48.327720","26.671853","0.147696"
"9.447210","5.634999","49.789603","27.208579","0.156912999999999"
"9.959906","5.912320","51.269603","27.732110","0.16652"
"10.487510","6.194700","52.760401","28.237959","0.17653"
"11.030216","6.482003","54.270566","28.730319","0.186954"
"11.588156","6.774059","55.793993","29.205614","0.197807000000001"
"12.161495","7.070713","57.333946","29.665411","0.209099999999999"
"12.750387","7.371804","58.889165","30.109045","0.220846999999999"
"13.355010","7.677185","60.462359","30.538072","0.233060999999999"
"13.975487","7.986684","62.047617","30.949912","0.245754"
"14.612001","8.300169","63.651446","31.348494","0.258939"
"15.264673","8.617483","65.267235","31.731485","0.272627"
"15.933657","8.938502","66.898315","32.101815","0.28683"
"16.619059","9.263091","68.540222","32.458985","0.301557000000001"
"17.320996","9.591146","70.193718","32.805443","0.316818"
"18.039558","9.922571","71.856162","33.142466","0.33262"
"18.774821","10.257296","73.526382","33.472516","0.348967999999999"
"19.526828","10.595270","75.200644","33.797412","0.365868000000001"
"20.295609","10.936478","76.878077","34.120830","0.383319999999999"
"21.081138","11.280927","78.552954","34.444856","0.401323"
"21.883379","11.628669","80.224136","34.774201","0.419874999999999"
"22.702242","11.979792","81.886292","35.112311","0.438966000000001"
"23.537582","12.334424","83.533986","35.463178","0.458588000000001"
"24.389239","12.692753","85.165630","35.832942","0.478724"
"25.256964","13.055005","86.772543","36.225193","0.499356000000001"
"26.140477","13.421466","88.351260","36.646101","0.52046"
"27.039437","13.792477","89.896011","37.101117","0.542009"
"27.953452","14.168437","91.401535","37.596024","0.563971"
"28.882065","14.549798","92.861271","38.136038","0.586309"
"29.824767","14.937066","94.270186","38.726790","0.608979999999999"
"30.780997","15.330800","95.623085","39.373443","0.631938999999999"
"31.750159","15.731611","96.916116","40.081120","0.655138000000001"
"32.731591","16.140144","98.143266","40.853271","0.678522000000001"
"33.724617","16.557084","99.302542","41.694041","0.702036"
"34.728524","16.983144","100.390731","42.605962","0.725623000000001"
"35.742582","17.419052","101.405794","43.590810","0.749221"
"36.766051","17.865547","102.346869","44.649525","0.772771000000001"
"37.798194","18.323370","103.214348","45.782223","0.796213999999999"
"38.831415","18.790114","103.322071","46.674489","0.819336"
"39.858313","19.263184","102.689806","47.306931","0.841941"
"40.878495","19.742971","102.018262","47.978705","0.863999"
"41.891630","20.229806","101.313446","48.683498","0.885481"
"42.897448","20.723960","100.581767","49.415402","0.906365000000001"
"43.895737","21.225645","99.828957","50.168559","0.926635000000001"
"44.886339","21.735019","99.060160","50.937309","0.946278"
"45.869147","22.252186","98.280839","51.716755","0.965284"
"46.844106","22.777210","97.495838","52.502363","0.983649"
"47.811188","23.310103","96.708255","53.289371","1.001371"
"48.770423","23.850853","95.923466","54.074989","1.018452"
"49.721852","24.399403","95.142946","54.855008","1.034896"
"50.665564","24.955680","94.371166","55.627618","1.05071"
"51.601651","25.519574","93.608748","56.389470","1.065902"
"52.530243","26.090969","92.859124","57.139507","1.080481"
"53.451475","26.669727","92.123263","57.875811","1.09446"
"54.365495","27.255696","91.401929","58.596849","1.10785"
"55.272461","27.848717","90.696688","59.302086","1.120664"
"56.172543","28.448625","90.008155","59.990842","1.132916"
"57.065909","29.055251","89.336572","60.662567","1.14462"
"57.952730","29.668421","88.682178","61.317051","1.15579"
"58.833181","30.287964","88.045038","61.954257","1.166439"
"59.707432","30.913707","87.425067","62.574299","1.176582"
"60.575652","31.545481","86.822050","63.177417","1.186233"
"61.438009","32.183121","86.235665","63.763953","1.195405"
"62.294664","32.826464","85.665500","64.334335","1.204112"
"63.145770","33.475351","85.110586","64.888685","1.212366"
"63.991482","34.129633","84.571275","65.428228","1.220179"
"64.831948","34.789166","84.046595","65.953274","1.227564"
"65.667304","35.453807","83.535555","66.464153","1.234532"
"66.497682","36.123425","83.037830","66.961762","1.241094"
"67.323213","36.797896","82.553109","67.447059","1.24726"
"68.144009","37.477094","82.079615","67.919823","1.253039"
"68.960191","38.160913","81.618157","68.381964","1.258442"
"69.771857","38.849243","81.166619","68.832980","1.263476"
"70.579113","39.541990","80.725587","69.274625","1.26815"
"71.382044","40.239054","80.293108","69.706497","1.272471"
"72.180741","40.940358","79.869728","70.130328","1.276446"
"72.975280","41.645818","79.453890","70.546016","1.280082"
"73.765733","42.355364","79.045325","70.954571","1.283384"
"74.552168","43.068931","78.643434","71.356701","1.286358"
"75.334640","43.786458","78.247178","71.752699","1.289009"
"76.113203","44.507894","77.856359","72.143607","1.291341"
"76.887905","45.233193","77.470183","72.529910","1.293357"
"77.658784","45.962314","77.087884","72.912104","1.295062"
"78.425874","46.695223","76.709012","73.290965","1.296457"
"79.189203","47.431894","76.332947","73.667100","1.297545"
"79.948794","48.172305","75.959013","74.041057","1.298328"
"80.552707","48.766637","60.391335","59.433233","1.298719"
"81.279150","49.482859","72.644268","71.622137","1.299136"
"82.034335","50.227674","75.518547","74.481480","1.299559"
"82.789595","50.972414","75.526011","74.474004","1.299989"
"83.544930","51.717079","75.533478","74.466524","1.300424"
"84.300339","52.461669","75.540949","74.459041","1.300866"
"85.055824","53.206185","75.548422","74.451554","1.301313"
"85.811383","53.950626","75.555916","74.444082","1.301767"
"86.567017","54.694992","75.563415","74.436608","1.302227"
"87.322726","55.439283","75.570898","74.429112","1.302693"
"88.078510","56.183499","75.578384","74.421613","1.303165"
"88.834368","56.927640","75.585874","74.414109","1.303644"
"89.590302","57.671706","75.593366","74.406603","1.304128"
"90.346311","58.415697","75.600896","74.399128","1.304619"
"91.102395","59.159614","75.608400","74.391619","1.305115"
"91.858554","59.903455","75.615902","74.384102","1.305618"
"92.614788","60.647220","75.623408","74.376582","1.306127"
"93.371097","61.390911","75.630917","74.369059","1.306642"
"94.127482","62.134526","75.638443","74.361546","1.307163"
"94.883942","62.878067","75.645985","74.354042","1.30769"
"95.640477","63.621532","75.653504","74.346508","1.308224"
"96.397087","64.364922","75.661026","74.338971","1.308764"
"97.153772","65.108236","75.668552","74.331431","1.309309"
"97.910533","65.851475","75.676080","74.323886","1.309861"
"98.667370","66.594639","75.683648","74.316373","1.310419"
"99.424282","67.337727","75.691191","74.308830","1.310984"
"100.181269","68.080740","75.698730","74.301275","1.311554"
"100.938332","68.823677","75.706272","74.293717","1.31213"
"101.695470","69.566538","75.713817","74.286156","1.312713"
"102.452684","70.309324","75.721382","74.278606","1.313302"
"103.209973","71.052035","75.728963","74.271065","1.313897"
"103.967338","71.794670","75.736518","74.263494","1.314498"
"104.724779","72.537229","75.744077","74.255918","1.315106"
"105.482296","73.279713","75.751640","74.248340","1.315719"
"106.239888","74.022120","75.759205","74.240757","1.316339"
"106.997556","74.764452","75.766816","74.233213","1.316965"
"107.755300","75.506708","75.774392","74.225627","1.317597"
"108.513119","76.248889","75.781967","74.218035","1.318236"
"109.271015","76.990993","75.789546","74.210439","1.31888"
"110.028986","77.733022","75.797128","74.202840","1.319531"
"110.787034","78.474974","75.804738","74.195261","1.320188"
"111.545157","79.216851","75.812348","74.187677","1.320851"
"112.303356","79.958652","75.819940","74.180068","1.32152"
"113.061632","80.700376","75.827535","74.172456","1.322196"
"113.819983","81.442025","75.835133","74.164841","1.322878"
"114.578411","82.183597","75.842742","74.157229","1.323566"
"115.336914","82.925093","75.850386","74.149646","1.32426"
"116.095494","83.666514","75.857993","74.142021","1.32496"
"116.854150","84.407858","75.865604","74.134393","1.325667"
"117.612883","85.149125","75.873218","74.126762","1.32638"
"118.371691","85.890316","75.880834","74.119128","1.327099"
"119.130576","86.631432","75.888493","74.111529","1.327824"
"119.889537","87.372471","75.896123","74.103896","1.328555"
"120.648575","88.113433","75.903749","74.096253","1.329293"
"121.407688","88.854319","75.911377","74.088607","1.330037"
"122.166878","89.595129","75.919008","74.080958","1.330787"
"122.926145","90.335862","75.926668","74.073332","1.331544"
"123.685488","91.076519","75.934326","74.065698","1.332307"
"124.444908","91.817100","75.941965","74.058041","1.333076"
"125.204404","92.557603","75.949607","74.050381","1.333851"
"125.963977","93.298031","75.957252","74.042719","1.334632"
"126.723626","94.038381","75.964913","74.035067","1.33542"
"127.483352","94.778656","75.972596","74.027432","1.336214"
"128.243154","95.518853","75.980248","74.019762","1.337014"
"129.003033","96.258974","75.987902","74.012090","1.33782"
"129.762989","96.999018","75.995559","74.004416","1.338633"
"130.523021","97.738986","76.003222","73.996742","1.339452"
"131.283130","98.478877","76.010926","73.989105","1.340277"
"132.043316","99.218691","76.018589","73.981424","1.341109"
"132.803579","99.958428","76.026255","73.973741","1.341947"
"133.563918","100.698089","76.033922","73.966056","1.342791"
"134.324334","101.437673","76.041592","73.958369","1.343641"
"135.084827","102.177180","76.049304","73.950719","1.344498"
"135.845397","102.916610","76.056982","73.943033","1.34536"
"136.606043","103.655964","76.064657","73.935341","1.346229"
"137.366767","104.395240","76.072334","73.927647","1.347105"
"138.127567","105.134440","76.080012","73.919952","1.347986"
"138.888444","105.873562","76.087724","73.912287","1.348874"
"139.649398","106.612608","76.095417","73.904600","1.349769"
"140.410429","107.351577","76.103099","73.896901","1.350669"
"141.171537","108.090469","76.110783","73.889200","1.351576"
"141.932722","108.829284","76.118468","73.881499","1.352489"
"142.693983","109.568023","76.126180","73.873821","1.353408"
"143.455322","110.306684","76.133883","73.866134","1.354334"
"144.216738","111.045268","76.141571","73.858430","1.355266"
"144.978231","111.783776","76.149260","73.850725","1.356204"
"145.739800","112.522206","76.156949","73.843020","1.357148"
"146.501447","113.260559","76.164660","73.835335","1.358099"
"147.263170","113.998836","76.172369","73.827647","1.359056"
"148.024971","114.737035","76.180060","73.819941","1.36002"
"148.786848","115.475157","76.187751","73.812235","1.360989"
"149.548803","116.213203","76.195443","73.804529","1.361965"
"150.310834","116.951171","76.203151","73.796839","1.362947"
"151.072943","117.689063","76.210863","73.789153","1.363936"
"151.835129","118.426877","76.218554","73.781447","1.36493"
"152.597391","119.164614","76.226245","73.773742","1.365931"
"153.359730","119.902275","76.233935","73.766038","1.366939"
"154.122147","120.639858","76.241639","73.758348","1.367952"
"154.884640","121.377365","76.249349","73.750665","1.368972"
"155.647211","122.114795","76.257037","73.742963","1.369998"
"156.409858","122.852147","76.264725","73.735263","1.371031"
"157.172582","123.589423","76.272411","73.727564","1.372069"
"157.935383","124.326622","76.280108","73.719877","1.373114"
"158.698261","125.063744","76.287812","73.712200","1.374166"
"159.461216","125.800789","76.295494","73.704505","1.375223"
"160.224248","126.537757","76.303175","73.696813","1.376287"
"160.987356","127.274648","76.310854","73.689123","1.377357"
"161.750542","128.011462","76.318541","73.681444","1.378434"
"162.513804","128.748200","76.326234","73.673775","1.379516"
"163.277143","129.484861","76.333906","73.666091","1.380605"
"164.040559","130.221445","76.341577","73.658411","1.3817"
"164.804051","130.957953","76.349245","73.650733","1.382802"
"165.567621","131.694383","76.356919","73.643067","1.383909"
"166.331267","132.430737","76.364596","73.635409","1.385023"
"167.094989","133.167015","76.372255","73.627740","1.386144"
"167.858788","133.903215","76.379912","73.620075","1.38727"
"168.622664","134.639340","76.387565","73.612415","1.388403"
"169.386616","135.375387","76.395222","73.604765","1.389542"
"170.150645","136.111358","76.402879","73.597122","1.390687"
"170.914750","136.847253","76.410520","73.589473","1.391838"
"171.678932","137.583071","76.418159","73.581829","1.392996"
"172.443190","138.318813","76.425793","73.574190","1.39416"
"173.207524","139.054479","76.433428","73.566560","1.39533"
"173.971935","139.790068","76.441060","73.558937","1.396506"
"174.736421","140.525581","76.448679","73.551312","1.397689"
"175.500984","141.261018","76.456294","73.543693","1.398878"
"176.265623","141.996379","76.463905","73.536080","1.400073"
"177.030338","142.731664","76.471513","73.528476","1.401274"
"177.795130","143.466873","76.479115","73.520877","1.402482"
"178.559997","144.202006","76.486708","73.513281","1.403695"
"179.324940","144.937062","76.494295","73.505693","1.404915"
"180.089958","145.672044","76.501877","73.498111","1.406141"
"180.855053","146.406949","76.509452","73.490536","1.407373"
"181.620223","147.141779","76.517020","73.482968","1.408612"
"182.385469","147.876533","76.524581","73.475406","1.409856"
"183.150790","148.611211","76.532135","73.467853","1.411107"
"183.916187","149.345814","76.539683","73.460308","1.412364"
"184.681659","150.080342","76.547219","73.452768","1.413627"
"185.447207","150.814794","76.554747","73.445236","1.414896"
"186.212829","151.549172","76.562271","73.437715","1.416171"
"186.978527","152.283474","76.569787","73.430203","1.417453"
"187.744300","153.017701","76.577295","73.422700","1.41874"
"188.510148","153.751853","76.584786","73.415200","1.420034"
"189.276071","154.485930","76.592269","73.407709","1.421334"
"190.042068","155.219932","76.599749","73.400234","1.42264"
"190.808141","155.953860","76.607221","73.392770","1.423952"
"191.574287","156.687713","76.614683","73.385316","1.42527"
"192.340509","157.421491","76.622123","73.377861","1.426594"
"193.106804","158.155196","76.629555","73.370418","1.427925"
"193.873174","158.888826","76.636986","73.362996","1.429261"
"194.639618","159.622381","76.644407","73.355585","1.430603"
"195.406136","160.355863","76.651818","73.348187","1.431952"
"196.172728","161.089271","76.659198","73.340782","1.433306"
"196.939394","161.822605","76.666573","73.333395","1.434667"
"197.706133","162.555865","76.673949","73.326031","1.436033"
"198.472947","163.289052","76.681313","73.318681","1.437406"
"199.239833","164.022166","76.688665","73.311344","1.438784"
"200.006793","164.755206","76.695981","73.303997","1.440169"
"200.773826","165.488172","76.703291","73.296671","1.441559"
"201.540932","166.221066","76.710604","73.289374","1.442955"
"202.308111","166.953887","76.717904","73.282091","1.444358"
"203.075363","167.686635","76.725191","73.274823","1.445766"
"203.842687","168.419311","76.732436","73.267542","1.44718"
"204.610084","169.151913","76.739674","73.260283","1.448601"
"205.377553","169.884444","76.746917","73.253058","1.450027"
"206.145095","170.616903","76.754146","73.245849","1.451459"
"206.912708","171.349289","76.761361","73.238657","1.452896"
"207.680394","172.081604","76.768529","73.231451","1.45434"
"208.448150","172.813846","76.775684","73.224265","1.45579"
"209.215979","173.546017","76.782851","73.217120","1.457245"
"209.983879","174.278117","76.790001","73.209994","1.458706"
"210.751850","175.010146","76.797136","73.202885","1.460173"
"211.519893","175.742104","76.804224","73.195765","1.461646"
"212.288005","176.473990","76.811286","73.188654","1.463125"
"213.056189","177.205806","76.818367","73.181598","1.464609"
"213.824443","177.937552","76.825432","73.174561","1.466099"
"214.592768","178.669227","76.832479","73.167543","1.467595"
"215.361163","179.400833","76.839484","73.160522","1.469097"
"216.129627","180.132368","76.846439","73.153490","1.470604"
"216.898162","180.863833","76.853428","73.146529","1.472117"
"217.666766","181.595229","76.860399","73.139590","1.473636"
"218.435439","182.326555","76.867350","73.132671","1.47516"
"219.204182","183.057813","76.874272","73.125763","1.47669"
"219.972993","183.789001","76.881103","73.118811","1.478226"
"220.741873","184.520121","76.887992","73.111954","1.479767"
"221.510821","185.251172","76.894860","73.105120","1.481314"
"222.279839","185.982155","76.901708","73.098309","1.482866"
"223.048924","186.713070","76.908535","73.091521","1.484424"
"223.818076","187.443917","76.915251","73.084671","1.485988"
"224.587297","188.174696","76.922017","73.077914","1.487557"
"225.356584","188.905408","76.928775","73.071193","1.489131"
"226.125939","189.636053","76.935510","73.064497","1.490711"
"226.895362","190.366631","76.942223","73.057826","1.492297"
"227.664850","191.097142","76.948851","73.051122","1.493888"
"228.434405","191.827587","76.955462","73.044450","1.495484"
"229.204026","192.557965","76.962100","73.037851","1.497086"
"229.973713","193.288278","76.968714","73.031279","1.498693"
"230.743466","194.018526","76.975304","73.024733","1.500305"
"231.513285","194.748708","76.981854","73.018201","1.501923"
"232.283167","195.478824","76.988282","73.011603","1.503546"
"233.053115","196.208875","76.994792","73.005136","1.505175"
"233.823128","196.938862","77.001276","72.998696","1.506808"
"234.589633","197.665399","76.650536","72.653740","1.50844"
"235.347496","198.383623","75.786218","71.822337","1.510058"
"236.095150","199.092054","74.765408","70.843131","1.511659"
