"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.005112","0.005112","0.011210","0.011210","6.28317630717959"
"0.005299","0.005299","0.018694","0.018694","6.28316130717959"
"0.005561","0.005561","0.026193","0.026193","6.28313930717959"
"0.005898","0.005898","0.033715","0.033715","6.28311230717959"
"0.006662","0.007487","0.076348","0.158878","6.283079"
"0.071173","0.072976","6.451184","6.548883","6.283039"
"0.145609","0.148540","7.443515","7.556465","6.282993"
"0.229967","0.234182","8.435856","8.564153","6.28294"
"0.324248","0.329901","9.428120","9.571871","6.282882"
"0.428452","0.435697","10.420348","10.579674","6.282817"
"0.542576","0.551572","11.412453","11.587485","6.282745"
"0.666622","0.677527","12.404582","12.595469","6.282667"
"0.800588","0.813561","13.396559","13.603456","6.282583"
"0.944472","0.959677","14.388454","14.611533","6.282492"
"1.098275","1.115874","15.380267","15.619712","6.282394"
"1.261995","1.282154","16.371988","16.627995","6.282289"
"1.435631","1.458518","17.363608","17.636387","6.282178"
"1.619182","1.644967","18.355119","18.644890","6.28206"
"1.812647","1.841502","19.346511","19.653510","6.281935"
"2.016025","2.048124","20.337774","20.662248","6.281802"
"2.229314","2.264835","21.328900","21.671108","6.281662"
"2.452513","2.491636","22.319880","22.680095","6.281515"
"2.685620","2.728529","23.310735","23.689244","6.281361"
"2.928635","2.975514","24.301474","24.698574","6.281199"
"3.181555","3.232594","25.291974","25.707976","6.281029"
"3.444379","3.499771","26.282409","26.717639","6.280851"
"3.717104","3.777044","27.272577","27.727370","6.280666"
"3.999731","4.064418","28.262675","28.737382","6.280472"
"4.292256","4.361893","29.252492","29.747474","6.28027"
"4.594678","4.669471","30.242178","30.757812","6.280059"
"4.906995","4.987155","31.231683","31.768357","6.27984"
"5.229204","5.314945","32.220946","32.779060","6.279613"
"5.561304","5.652845","33.210011","33.789981","6.279376"
"5.903293","6.000856","34.198869","34.801122","6.27913"
"6.255168","6.358981","35.187511","35.812487","6.278875"
"6.616927","6.727222","36.175927","36.824080","6.27861"
"6.988568","7.105581","37.164108","37.835903","6.278336"
"7.370089","7.494060","38.152043","38.847961","6.278052"
"7.761486","7.892663","39.139724","39.860256","6.277758"
"8.162758","8.301391","40.127146","40.872798","6.277454"
"8.573901","8.720248","41.114389","41.885682","6.277139"
"8.994914","9.149235","42.101264","42.898728","6.276813"
"9.425793","9.588356","43.087898","43.912078","6.276477"
"9.866536","10.037613","44.074289","44.925745","6.27613"
"10.317139","10.497010","45.060336","45.939638","6.275771"
"10.777601","10.966548","46.046134","46.953868","6.2754"
"11.247917","11.446232","47.031633","47.968398","6.275018"
"11.728085","11.936064","48.016777","48.983184","6.274623"
"12.218101","12.436047","49.001646","49.998321","6.274217"
"12.717964","12.946186","49.986232","51.013814","6.273797"
"13.227668","13.466481","50.970439","52.029579","6.273365"
"13.747211","13.996938","51.954321","53.045685","6.272919"
"14.276590","14.537560","52.937866","54.062134","6.27246"
"14.815801","15.088349","53.921065","55.078930","6.271988"
"15.364840","15.649310","54.903907","56.096076","6.271501"
"15.923703","16.220445","55.886382","57.113575","6.271"
"16.492389","16.801760","56.868533","58.131484","6.270485"
"17.070892","17.393258","57.850296","59.149752","6.269954"
"17.659208","17.994941","58.831627","60.168351","6.269409"
"18.257334","18.606815","59.812603","61.187370","6.268848"
"18.865266","19.228883","60.793224","62.206824","6.268271"
"19.483000","19.861149","61.773349","63.226585","6.267678"
"20.110532","20.503618","62.753184","64.246875","6.267068"
"20.747857","21.156293","63.732504","65.267480","6.266441"
"21.394971","21.819178","64.711419","66.288526","6.265798"
"22.051871","22.492279","65.689983","67.310083","6.265136"
"22.718551","23.175599","66.668022","68.331986","6.264457"
"23.395007","23.869142","67.645631","69.354349","6.26376"
"24.081235","24.572914","68.622800","70.377175","6.263044"
"24.777230","25.286918","69.599517","71.400467","6.262309"
"25.482988","26.011161","70.575772","72.424228","6.261554"
"26.198504","26.745645","71.551554","73.448462","6.26078"
"26.923772","27.490377","72.526850","74.473171","6.259986"
"27.658789","28.245361","73.501650","75.498358","6.259171"
"28.398616","29.005533","73.982767","76.017207","6.25834"
"29.138322","29.765827","73.970531","76.029405","6.2575"
"29.877905","30.526243","73.958346","76.041676","6.256649"
"30.617366","31.286783","73.946119","76.053924","6.255789"
"31.356705","32.047444","73.933852","76.066152","6.254919"
"32.095920","32.808228","73.921574","76.078390","6.254038"
"32.835013","33.569135","73.909286","76.090638","6.253148"
"33.573984","34.330164","73.897073","76.102984","6.252248"
"34.312832","35.091317","73.884773","76.115261","6.251337"
"35.051556","35.852592","73.872454","76.127539","6.250417"
"35.790158","36.613991","73.860125","76.139827","6.249486"
"36.528636","37.375512","73.847804","76.152145","6.248546"
"37.266991","38.137157","73.835531","76.164532","6.247595"
"38.005223","38.898926","73.823172","76.176849","6.246635"
"38.743331","39.660818","73.810803","76.189177","6.245664"
"39.481315","40.422833","73.798423","76.201514","6.244683"
"40.219176","41.184972","73.786085","76.213913","6.243692"
"40.956913","41.947235","73.773732","76.226317","6.242691"
"41.694526","42.709622","73.761324","76.238682","6.24168"
"42.432015","43.472133","73.748906","76.251057","6.240659"
"43.169380","44.234767","73.736479","76.263441","6.239627"
"43.906621","44.997526","73.724130","76.275925","6.238586"
"44.643738","45.760410","73.711694","76.288338","6.237534"
"45.380731","46.523417","73.699239","76.300749","6.236472"
"46.117599","47.286549","73.686775","76.313169","6.2354"
