"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.007281","0.007281","0.228129","0.228129","6.28299930717959"
"0.011083","0.011083","0.380145","0.380145","6.28268830717959"
"0.016403","0.016403","0.532054","0.532054","6.28225430717959"
"0.021940","0.024543","0.553699","0.813938","6.281696"
"0.068591","0.087904","4.665058","6.336175","6.281014"
"0.123716","0.162768","5.512480","7.486324","6.280208"
"0.187337","0.249158","6.362108","8.639040","6.279279"
"0.259440","0.347052","7.210368","9.789398","6.278226"
"0.340033","0.456452","8.059214","10.939972","6.277051"
"0.429123","0.577364","8.909042","12.091218","6.275752"
"0.526710","0.709779","9.758720","13.241517","6.27433"
"0.632797","0.853692","10.608638","14.391305","6.272786"
"0.747386","1.009099","11.458939","15.540685","6.27112"
"0.870486","1.176000","12.310035","16.690113","6.269332"
"1.002102","1.354391","13.161600","17.839041","6.267423"
"1.142234","1.544258","14.013154","18.986707","6.265393"
"1.290889","1.745598","14.865469","20.134039","6.263243"
"1.448079","1.958413","15.719013","21.281541","6.260972"
"1.613803","2.182686","16.572426","22.427242","6.258583"
"1.788073","2.418413","17.426967","23.572703","6.256074"
"1.970900","2.665591","18.282695","24.717856","6.253448"
"2.162287","2.924205","19.138709","25.861324","6.250704"
"2.362245","3.194245","19.995837","27.004061","6.247843"
"2.570786","3.475704","20.854071","28.145880","6.244867"
"2.787920","3.768570","21.713409","29.286595","6.241776"
"3.013658","4.072830","22.573860","30.426025","6.238571"
"3.248013","4.388470","23.435442","31.563994","6.235253"
"3.491002","4.715483","24.298891","32.701278","6.231824"
"3.742637","5.053850","25.163506","33.836712","6.228283"
"4.002930","5.403551","26.029326","34.970118","6.224634"
"4.271905","5.764579","26.897506","36.102808","6.220877"
"4.549575","6.136910","27.766955","37.233065","6.217013"
"4.835956","6.520523","28.638175","38.361303","6.213045"
"5.131073","6.915403","29.511705","39.487974","6.208973"
"5.434948","7.321530","30.387463","40.612691","6.204799"
"5.747600","7.738877","31.265146","41.734759","6.200526"
"6.069051","8.167422","32.145195","42.854471","6.196155"
"6.399332","8.607144","33.028088","43.972161","6.191688"
"6.738466","9.058012","33.913351","45.086885","6.187127"
"7.086477","9.519998","34.801159","46.198555","6.182475"
"7.443399","9.993075","35.692135","47.307673","6.177734"
"7.809261","10.477213","36.586210","48.413815","6.172906"
"8.184094","10.972379","37.483327","49.516564","6.167995"
"8.567930","11.478536","38.383607","50.615742","6.163002"
"8.960810","11.995659","39.288019","51.712276","6.157931"
"9.362766","12.523703","40.195532","52.804457","6.152784"
"9.773835","13.062633","41.106921","53.892954","6.147566"
"10.194058","13.612408","42.022288","54.977545","6.142278"
"10.623475","14.172988","42.941744","56.058021","6.136924"
"11.057784","14.738677","43.430844","56.568818","6.131562"
"11.492659","15.303799","43.487526","56.512237","6.126246"
"11.928111","15.868347","43.545237","56.454825","6.120976"
