"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.014706","0.014706","1.470588","1.470588","6.281500"
"0.031057","0.031057","0.817532","0.817532","6.282835"
"0.065740","0.120252","1.734171","4.459781","0.001874"
"0.130496","0.261385","3.237814","7.056659","0.004992"
"0.213700","0.442884","4.160190","9.074930","0.009004"
"0.315324","0.664793","5.081193","11.095460","0.013913"
"0.435328","0.927138","6.000209","13.117236","0.019723"
"0.573683","1.229961","6.917741","15.141153","0.026436"
"0.730353","1.573276","7.833517","17.165780","0.034054"
"0.905330","1.957123","8.748817","19.192329","0.042580"
"1.098607","2.381500","9.663878","21.218855","0.052012"
"1.310198","2.846376","10.579557","23.243769","0.062351"
"1.540153","3.351707","11.497714","25.266568","0.073590"
"1.788557","3.897418","12.420222","27.285546","0.085726"
"2.055535","4.483369","13.348903","29.297549","0.098745"
"2.341275","5.109391","14.286985","31.301093","0.112634"
"2.646015","5.775226","15.237030","33.291766","0.127373"
"2.970078","6.480566","16.203120","35.267013","0.142935"
"3.313858","7.225008","17.189002","37.222105","0.159289"
"3.677842","8.008064","18.199236","39.152760","0.176394"
"4.062619","8.829154","19.238833","41.054507","0.194203"
"4.468873","9.687587","20.312674","42.921687","0.212660"
"4.897396","10.582572","21.426185","44.749218","0.231699"
"5.349092","11.513207","22.584771","46.531768","0.251248"
"5.824965","12.478485","23.793673","48.263895","0.271224"
"6.326126","13.477298","25.058019","49.940628","0.291537"
"6.853776","14.508443","26.382499","51.557271","0.312088"
"7.409200","15.570635","27.771226","53.109597","0.332773"
"7.993755","16.662520","29.227746","54.594239","0.353480"
"8.608850","17.782688","30.754737","56.008432","0.374096"
"9.255930","18.929694","32.354032","57.350255","0.394502"
"9.936464","20.102069","34.026677","58.618790","0.414577"
"10.651920","21.298347","35.772825","59.813873","0.434203"
"11.403757","22.517068","37.591829","60.936053","0.453260"
"12.181851","23.738946","38.904687","61.093906","0.471373"
"12.975131","24.945643","39.664016","60.334831","0.488248"
"13.783563","26.137190","40.421601","59.577351","0.503885"
"14.607056","27.313678","41.174655","58.824442","0.518293"
"15.445477","28.475243","41.921045","58.078248","0.531483"
"16.298662","29.622048","42.659249","57.340213","0.543468"
"17.166428","30.754271","43.388296","56.611185","0.554262"
"18.048585","31.872106","44.107873","55.891718","0.563881"
"18.944944","32.975741","44.817950","55.181754","0.572342"
"19.855322","34.065359","45.518884","54.480911","0.579658"
"20.779549","35.141130","46.211337","53.788528","0.585843"
"21.717473","36.203204","46.896216","53.103703","0.590910"
"22.668966","37.251710","47.574619","52.425339","0.594870"
"23.633921","38.286754","48.247795","51.752189","0.597731"
"24.612263","39.308412","48.917101","51.082891","0.599499"
"25.603943","40.316732","49.583988","50.416021","0.600178"
"26.608942","41.311734","50.249930","49.750084","0.599770"
"27.627270","42.293406","50.916432","49.083577","0.598274"
"28.658970","43.261706","51.584984","48.415009","0.595686"
"29.704111","44.216564","52.257039","47.742925","0.592001"
"30.762791","45.157883","52.933979","47.065945","0.587211"
"31.835132","46.085539","53.617080","46.382787","0.581305"
"32.921282","46.999385","54.307482","45.692313","0.574272"
"34.021405","47.899257","55.006139","44.993564","0.566099"
"35.135680","48.784973","55.713797","44.285826","0.556770"
"36.264299","49.656346","56.430925","43.568669","0.546270"
"37.407450","50.513185","57.157536","42.841921","0.534584"
"38.565317","51.355303","57.893369","42.105921","0.521696"
"39.738070","52.182532","58.637642","41.361456","0.507593"
"40.925853","52.994731","59.389133","40.609947","0.492263"
"42.128765","53.791795","60.145645","39.853208","0.475697"
"43.346858","54.573675","60.904617","39.093994","0.457893"
"44.580112","55.340392","61.662699","38.335808","0.438850"
"45.828421","56.092048","62.415459","37.582798","0.418578"
"47.091579","56.828850","63.157908","36.840131","0.397094"
"48.369261","57.551124","63.884098","36.113716","0.374423"
"49.661008","58.259330","64.587349","35.410260","0.350605"
"50.966213","58.954072","65.260259","34.737102","0.325687"
"52.284113","59.636114","65.894982","34.102108","0.299733"
"53.613783","60.306383","66.483509","33.513471","0.272818"
"54.954135","60.965968","67.017572","32.979228","0.245031"
"56.303921","61.616110","67.489299","32.507112","0.216473"
"57.661759","62.258197","67.891939","32.104365","0.187258"
"59.026145","62.893736","68.219282","31.776929","0.157508"
"60.395479","63.524325","68.466709","31.529478","0.127354"
"61.768106","64.151627","68.631327","31.365082","0.096931"
"63.142326","64.777317","68.711023","31.284516","0.066378"
"64.516493","65.403076","68.708365","31.287928","0.035829"
"65.888970","66.030512","68.623842","31.371816","0.005418"
"67.163942","66.614671","63.748606","29.207958","6.260406"
"68.537576","67.240953","68.681674","31.314083","6.229901"
"69.911981","67.866473","68.720269","31.275990","6.199333"
"71.285497","68.492879","68.675800","31.320279","6.168837"
"72.656443","69.121852","68.547282","31.448697","6.138552"
"74.023147","69.755071","68.335226","31.660917","6.108612"
"75.383982","70.394163","68.041724","31.954615","6.079152"
"76.737396","71.040679","67.670704","32.325788","6.050298"
"78.081949","71.696058","67.227650","32.768955","6.022168"
"79.416334","72.361607","66.719268","33.277457","5.994868"
"80.739399","73.038484","66.153246","33.843858","5.968492"
"82.050145","73.727684","65.537293","34.459991","5.943122"
"83.347739","74.430039","64.879699","35.117755","5.918826"
"84.631510","75.146223","64.188552","35.809193","5.895658"
"85.900936","75.876756","63.471316","36.526630","5.873662"
"87.155638","76.622018","62.735069","37.263115","5.852869"
"88.395358","77.382265","61.986009","38.012342","5.833298"
"89.619952","78.157643","61.229690","38.768914","5.814962"
"90.829364","78.948206","60.470624","39.528151","5.797866"
"92.023617","79.753932","59.712624","40.286278","5.782008"
"93.202792","80.574739","58.958768","41.040355","5.767380"
"94.367017","81.410500","58.211249","41.788068","5.753974"
"95.516448","82.261055","57.471570","42.527745","5.741775"
"96.651268","83.126225","56.740952","43.258523","5.730768"
"97.771663","84.005822","56.019787","43.979823","5.720940"
"98.877826","84.899654","55.308136","44.691582","5.712273"
"99.969940","85.807536","54.605696","45.394106","5.704754"
"101.048177","86.729296","53.911844","46.088004","5.698367"
"102.112691","87.664779","53.225727","46.774149","5.693100"
"103.163617","88.613851","52.546302","47.453630","5.688943"
"104.201064","89.576404","51.872323","48.127650","5.685886"
"105.225113","90.552355","51.202448","48.797553","5.683923"
"106.235818","91.541651","50.535252","49.464764","5.683049"
"107.233203","92.544266","49.869256","50.130764","5.683262"
"108.217262","93.560207","49.202960","50.797054","5.684564"
"109.187959","94.589510","48.534866","51.465128","5.686956"
"110.145230","95.632239","47.863513","52.136450","5.690444"
"111.088980","96.688487","47.187504","52.812415","5.695036"
"112.019090","97.758373","46.505537","53.494321","5.700741"
"112.935420","98.842040","45.816451","54.183343","5.707571"
"113.837805","99.939650","45.119277","54.880502","5.715539"
"114.726069","101.051380","44.413185","55.586505","5.724660"
"115.600023","102.177418","43.697698","56.301877","5.734950"
"116.459476","103.317954","42.972647","57.026787","5.746422"
"117.304241","104.473174","42.238257","57.761008","5.759094"
"118.134147","105.643253","41.495300","58.503956","5.772979"
