"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.029123","0.029123","2.912281","2.912281","0.000000"
"0.097614","0.097614","3.424562","3.424562","0.000000"
"0.243228","0.243228","7.280702","7.280702","0.000000"
"0.447088","0.447088","10.192983","10.192983","0.000000"
"0.709193","0.709193","13.105264","13.105264","0.000000"
"1.029544","1.029544","16.017545","16.017545","0.000000"
"1.408140","1.408140","18.929825","18.929825","0.000000"
"1.844983","1.844983","21.842106","21.842106","0.000000"
"2.340070","2.340070","24.754387","24.754387","0.000000"
"2.893404","2.893404","27.666668","27.666668","0.000000"
"3.504983","3.504983","30.578949","30.578949","0.000000"
"4.174807","4.174807","33.491230","33.491230","0.000000"
"4.902877","4.902877","36.403510","36.403510","0.000000"
"5.689193","5.689193","39.315791","39.315791","0.000000"
"6.533755","6.533755","42.228072","42.228072","0.000000"
"7.436562","7.436562","45.140353","45.140353","0.000000"
"8.397614","8.397614","48.052634","48.052634","0.000000"
"9.416913","9.416913","50.964914","50.964914","0.000000"
"10.494457","10.494457","53.877195","53.877195","0.000000"
"11.630246","11.630246","56.789476","56.789476","0.000000"
"12.824281","12.824281","59.701757","59.701757","0.000000"
"14.076562","14.076562","62.614038","62.614038","0.000000"
"15.387088","15.387088","65.526319","65.526319","0.000000"
"16.755860","16.755860","68.438599","68.438599","0.000000"
"18.182878","18.182878","71.350880","71.350880","0.000000"
"19.668141","19.668141","74.263161","74.263161","0.000000"
"21.211650","21.211650","77.175442","77.175442","0.000000"
"22.813404","22.813404","80.087723","80.087723","0.000000"
"24.428134","24.428134","80.736481","80.736481","0.000000"
"25.997593","25.997593","78.472958","78.472958","0.000000"
"27.508807","27.508807","75.560677","75.560677","0.000000"
"28.961775","28.961775","72.648396","72.648396","0.000000"
"30.356497","30.356497","69.736116","69.736116","0.000000"
"31.692974","31.692974","66.823835","66.823835","0.000000"
"32.971205","32.971205","63.911554","63.911554","0.000000"
"34.191190","34.191190","60.999273","60.999273","0.000000"
"35.352930","35.352930","58.086992","58.086992","0.000000"
"36.456424","36.456424","55.174711","55.174711","0.000000"
"37.501673","37.501673","52.262431","52.262431","0.000000"
"38.488676","38.488676","49.350150","49.350150","0.000000"
"39.417433","39.417433","46.437869","46.437869","0.000000"
"40.287945","40.287945","43.525588","43.525588","0.000000"
"41.100211","41.100211","40.613307","40.613307","0.000000"
"41.854232","41.854232","37.701026","37.701026","0.000000"
"42.550007","42.550007","34.788746","34.788746","0.000000"
"43.187536","43.187536","31.876465","31.876465","0.000000"
"43.766820","43.766820","28.964184","28.964184","0.000000"
"44.287858","44.287858","26.051903","26.051903","0.000000"
"44.750650","44.750650","23.139622","23.139622","0.000000"
"45.155197","45.155197","20.227342","20.227342","0.000000"
"45.501498","45.501498","17.315061","17.315061","0.000000"
"45.789554","45.789554","14.402780","14.402780","0.000000"
"46.019364","46.019364","11.490499","11.490499","0.000000"
"46.190928","46.190928","8.578218","8.578218","0.000000"
"46.304247","46.304247","5.665937","5.665937","0.000000"
"46.359320","46.359320","2.753657","2.753657","0.000000"
"46.372295","46.372295","0.648758","0.648758","0.000000"
"46.372295","46.372295","0.000000","0.000000","0.000000"
"46.372295","46.372295","0.000000","0.000000","0.000000"
