"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.029895","0.029895","2.989462","2.989462","1.579297"
"0.043021","0.065680","0.656323","1.789268","1.580222"
"0.173546","0.234097","6.526248","8.420833","1.581769"
"0.356131","0.470026","9.129267","11.796476","1.583946"
"0.590636","0.773631","11.725239","15.180240","1.586766"
"0.876859","1.145101","14.311134","18.573501","1.590246"
"1.214548","1.584673","16.884457","21.978603","1.594404"
"1.603409","2.092646","19.443029","25.398656","1.599266"
"2.043092","2.669377","21.984162","28.836550","1.604860"
"2.533182","3.315273","24.504496","32.294816","1.611219"
"3.073210","4.030825","27.001428","35.777599","1.618384"
"3.662616","4.816566","29.470269","39.287008","1.626397"
"4.300779","5.673134","31.908187","42.828441","1.635312"
"4.986979","6.601237","34.310000","46.405126","1.645185"
"5.720403","7.601682","36.671202","50.022270","1.656084"
"6.500145","8.675404","38.987102","53.686076","1.668084"
"7.325153","9.823413","41.250368","57.400475","1.681267"
"8.194273","11.046896","43.456020","61.174119","1.695731"
"9.106192","12.347154","45.595959","65.012919","1.711582"
"10.059448","13.725661","47.662763","68.925345","1.728940"
"11.052395","15.184042","49.647351","72.919069","1.747937"
"12.083211","16.724109","51.540791","77.003331","1.768723"
"13.149897","18.347882","53.334338","81.188645","1.791462"
"14.250253","20.057552","55.017796","85.483517","1.816333"
"15.381891","21.855485","56.581879","89.896611","1.843529"
"16.542288","23.744233","58.019862","94.437400","1.873259"
"17.728794","25.726421","59.325276","99.109405","1.905737"
"18.938740","27.804710","60.497301","103.914455","1.941182"
"20.169561","29.981659","61.541075","108.847446","1.979801"
"21.418979","32.259543","62.470902","113.894228","2.021783"
"22.685247","34.640107","63.313373","119.028209","2.067268"
"23.967456","37.124242","64.110448","124.206743","2.116331"
"25.265908","39.711640","64.922629","129.369869","2.168947"
"26.582488","42.400412","65.829017","134.438622","2.224962"
"27.920984","45.186770","66.924762","139.317913","2.284067"
"29.287265","48.064849","68.314062","143.903935","2.345783"
"30.653998","50.952453","68.336638","144.380207","2.407870"
"31.991200","53.760058","66.860105","140.380259","2.467895"
"33.302552","56.474007","65.567623","135.697456","2.525152"
"34.592943","59.089410","64.519562","130.770111","2.579240"
"35.865311","61.603330","63.618377","125.696033","2.629922"
"37.120870","64.014550","62.777951","120.560960","2.677096"
"38.359447","66.323230","61.928845","115.434013","2.720777"
"39.579839","68.530563","61.019614","110.366661","2.761063"
"40.780147","70.638443","60.015389","105.393994","2.798109"
"41.958049","72.649189","58.895106","100.537318","2.832104"
"43.111012","74.565326","57.648148","95.806857","2.863255"
"44.236451","76.389437","56.271923","91.205526","2.891773"
"45.331832","78.124053","54.769074","86.730812","2.917865"
"46.394732","79.771571","53.145013","82.375874","2.941728"
"47.422903","81.334253","51.408510","78.134097","2.963545"
"48.414268","82.814178","49.568258","73.996258","2.983487"
"49.366932","84.213235","47.633227","69.952875","3.001707"
"50.279181","85.533135","45.612462","65.994972","3.018346"
"51.149476","86.775418","43.514715","62.114162","3.033529"
"51.976442","87.941474","41.348320","58.302802","3.047370"
"52.758824","89.032499","39.119099","54.551233","3.059968"
"53.495552","90.049624","36.836385","50.856243","3.071413"
"54.185643","90.993807","34.504568","47.209177","3.081784"
"54.828241","91.865914","32.129868","43.605327","3.091151"
"55.422579","92.666695","29.716910","40.039049","3.099578"
"55.967996","93.396826","27.270874","36.506580","3.107117"
"56.463900","94.056883","24.795203","33.002819","3.113817"
"56.909798","94.647394","22.294872","29.525587","3.119720"
"57.305224","95.168769","19.771305","26.068755","3.124861"
"57.649823","95.621413","17.229964","22.632192","3.129271"
"57.943256","96.005616","14.671631","19.210154","3.132975"
"58.185278","96.321670","12.101121","15.802661","3.135997"
"58.375675","96.569782","9.519816","12.405616","3.138353"
"58.514266","96.750099","6.929587","9.015883","3.140056"
"58.600949","96.862758","4.334135","5.632941","3.141116"
"58.635653","96.907836","1.735218","2.253906","3.141540"
"58.640000","96.913481","0.217336","0.282249","3.141593"
"58.640000","96.913481","0.000000","0.000000","3.141593"
