"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.014706","0.014706","1.470588","1.470588","6.282339"
"0.020329","0.020329","0.281133","0.281133","6.282798"
"0.047308","0.066078","1.348966","2.287456","0.000379"
"0.137078","0.182191","4.488491","5.805683","0.001454"
"0.252428","0.331536","5.767532","7.467236","0.002842"
"0.393327","0.514178","7.044915","9.132080","0.004546"
"0.559700","0.730157","8.318684","10.798955","0.006570"
"0.751479","0.979543","9.588942","12.469316","0.008922"
"0.968596","1.262437","10.855828","14.144715","0.011606"
"1.210941","1.578915","12.117261","15.823873","0.014632"
"1.478411","1.929088","13.373526","17.508662","0.018008"
"1.770888","2.313081","14.623829","19.199626","0.021743"
"2.088233","2.731025","15.867249","20.897231","0.025849"
"2.430302","3.183081","17.103440","22.602801","0.030339"
"2.796910","3.669393","18.330424","24.315611","0.035224"
"3.187894","4.190173","19.549179","26.038980","0.040522"
"3.603047","4.745620","20.757652","27.772352","0.046249"
"4.042133","5.335939","21.954285","29.515964","0.052421"
"4.504917","5.961390","23.139225","31.272507","0.059061"
"4.991129","6.622233","24.310615","33.042174","0.066189"
"5.500478","7.318762","25.467409","34.826444","0.073829"
"6.032642","8.051293","26.608239","36.626581","0.082007"
"6.587288","8.820190","27.732270","38.444821","0.090752"
"7.164018","9.625803","28.836509","40.280662","0.100094"
"7.762435","10.468561","29.920859","42.137882","0.110067"
"8.382085","11.348895","30.982476","44.016707","0.120707"
"9.022494","12.267304","32.020492","45.920429","0.132054"
"9.683135","13.224299","33.032037","47.849778","0.144151"
"10.363445","14.220450","34.015490","49.807540","0.157042"
"11.062809","15.256355","34.968218","51.795280","0.170779"
"11.780582","16.332682","35.888635","53.816315","0.185414"
"12.516064","17.450133","36.774089","55.872542","0.201004"
"13.268493","18.609436","37.621476","57.965165","0.217612"
"14.037092","19.811411","38.429949","60.098745","0.235301"
"14.809699","21.038759","38.630317","61.367423","0.253862"
"15.574620","22.273818","38.246052","61.752940","0.273051"
"16.331672","23.516735","37.852630","62.145826","0.292883"
"17.080713","24.767657","37.452018","62.546120","0.313368"
"17.821624","26.026700","37.045550","62.952165","0.334517"
"18.554331","27.293959","36.635388","63.362949","0.356336"
"19.278787","28.569461","36.222796","63.775076","0.378828"
"19.995001","29.853202","35.810665","64.187083","0.401993"
"20.703029","31.145118","35.401393","64.595763","0.425826"
"21.402999","32.445099","34.998511","64.999079","0.450316"
"22.095093","33.752952","34.604731","65.392640","0.475450"
"22.779570","35.068417","34.223823","65.773232","0.501205"
"23.456765","36.391165","33.859770","66.137430","0.527555"
"24.127091","37.720782","33.516287","66.480836","0.554466"
"24.791038","39.056768","33.197345","66.799309","0.581897"
"25.449183","40.398558","32.907271","67.089494","0.609802"
"26.102176","41.745496","32.649633","67.346892","0.638127"
"26.750741","43.096862","32.428276","67.568317","0.666814"
"27.395667","44.451864","32.246254","67.750060","0.695797"
"28.037798","45.809660","32.106598","67.889843","0.725009"
"28.678025","47.169361","32.011311","67.985042","0.754377"
"29.317265","48.530047","31.962010","68.034292","0.783824"
