"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.008973","0.008973","0.397276","0.397276","6.28286030717959"
"0.015590","0.015590","0.661768","0.661768","6.28232030717959"
"0.031051","0.049567","1.546067","3.397666","6.281565"
"0.064159","0.106458","3.310809","5.689113","6.280594"
"0.104642","0.175976","4.048244","6.951748","6.279409"
"0.152509","0.258109","4.786698","8.213370","6.27801"
"0.207771","0.352846","5.526272","9.473615","6.276399"
"0.270445","0.460172","6.267399","10.732666","6.274576"
"0.340545","0.580070","7.009983","11.989786","6.272544"
"0.418091","0.712524","7.754611","13.245372","6.270303"
"0.503104","0.857511","8.501247","14.498739","6.267855"
"0.595607","1.015010","9.250289","15.749911","6.265202"
"0.695624","1.184992","10.001737","16.998207","6.262346"
"0.803186","1.367431","10.756162","18.243884","6.25929"
"0.918322","1.562294","11.513612","19.486280","6.256036"
"1.041067","1.769548","12.274559","20.725415","6.252586"
"1.171459","1.989156","13.039215","21.960834","6.248945"
"1.309538","2.221077","13.807816","23.192087","6.245115"
"1.455346","2.465269","14.580863","24.419137","6.241099"
"1.608931","2.721682","15.358495","25.641300","6.236902"
"1.770344","2.990268","16.141307","26.858620","6.232528"
"1.939640","3.270973","16.929524","28.070485","6.22798"
"2.116875","3.563738","17.723542","29.276542","6.223265"
"2.302111","3.868500","18.523638","30.476201","6.218386"
"2.495416","4.185196","19.330505","31.669534","6.21335"
"2.696859","4.513752","20.144269","32.855644","6.208161"
"2.906514","4.854096","20.965530","34.034395","6.202827"
"3.124461","5.206148","21.794658","35.205245","6.197354"
"3.350782","5.569826","22.632073","36.367720","6.191747"
"3.585566","5.945042","23.478383","37.521629","6.186015"
"3.828903","6.331703","24.333787","38.666119","6.180165"
"4.080892","6.729713","25.198898","39.800987","6.174205"
"4.341634","7.138970","26.074143","40.925738","6.168143"
"4.611233","7.559369","26.959938","42.039858","6.161988"
"4.889802","7.990800","27.856859","43.143090","6.155749"
"5.177453","8.433147","28.765151","44.234677","6.149435"
"5.474307","8.886291","29.685412","45.314428","6.143056"
"5.780488","9.350109","30.618031","46.381847","6.136621"
"6.096122","9.824474","31.563400","47.436473","6.130143"
"6.421341","10.309253","32.521914","48.477883","6.12363"
