"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.007306","0.007306","0.230580","0.230580","6.28299730717959"
"0.011151","0.011151","0.384483","0.384483","6.28268330717959"
"0.016537","0.016537","0.538661","0.538661","6.28224330717959"
"0.023469","0.023469","0.693224","0.693224","6.28167730717959"
"0.050178","0.067156","2.670804","4.368690","6.28098430717959"
"0.105131","0.142213","5.495334","7.505676","6.28016430717959"
"0.168494","0.228834","6.336275","8.662074","6.27921430717959"
"0.240269","0.327056","7.177496","9.822246","6.27813530717959"
"0.320448","0.436908","8.017899","10.985178","6.27692430717959"
"0.408971","0.558351","8.852347","12.144311","6.27558030717959"
"0.505838","0.691433","9.686730","13.308216","6.27410230717959"
"0.611071","0.836238","10.523276","14.480492","6.27248730717959"
"0.724597","0.992725","11.352558","15.648707","6.27073330717959"
"0.846391","1.160927","12.179473","16.820127","6.26883930717959"
"0.976425","1.340870","13.003327","17.994360","6.26680230717959"
"1.114681","1.532611","13.825609","19.174057","6.26461930717959"
"1.261139","1.736202","14.645799","20.359117","6.26228730717959"
"1.415721","1.951625","15.458264","21.542330","6.25980430717959"
"1.578373","2.178898","16.265127","22.727263","6.25716630717959"
"1.749149","2.418201","17.077634","23.930347","6.25436930717959"
"1.927873","2.669397","17.872450","25.119610","6.25141130717959"
"2.114626","2.932716","18.675299","26.331889","6.24828630717959"
"2.309261","3.208077","19.463503","27.536061","6.24499130717959"
"2.511739","3.495557","20.247772","28.747978","6.24152130717959"
"2.722025","3.795249","21.028619","29.969249","6.23787230717959"
"2.940065","4.107227","21.803913","31.197756","6.23403830717959"
"3.165765","4.431520","22.570059","32.429270","6.23001430717959"
"3.399064","4.768207","23.329869","33.668765","6.22579430717959"
"3.639913","5.117403","24.084919","34.919567","6.22137230717959"
"3.888201","5.479138","24.828833","36.173508","6.21674130717959"
"4.143827","5.853469","25.562602","37.433068","6.21189630717959"
"4.406760","6.240566","26.293233","38.709704","6.20682830717959"
"4.676851","6.640442","27.009156","39.987654","6.20153130717959"
"4.954057","7.053275","27.720581","41.283272","6.19599530717959"
"5.238220","7.479087","28.416285","42.581229","6.19021330717959"
"5.529250","7.918017","29.103028","43.892960","6.18417730717959"
"5.827051","8.370206","29.780095","45.218924","6.17787530717959"
"6.131490","8.835759","30.443920","46.555263","6.17129930717959"
"6.442454","9.314823","31.096366","47.906409","6.16443830717959"
"6.759796","9.807513","31.734193","49.269035","6.15728130717959"
"7.083359","10.313945","32.356348","50.643151","6.14981730717959"
"7.412999","10.834267","32.963969","52.032243","6.14203430717959"
"7.748600","11.368698","33.560138","53.443068","6.13391830717959"
"8.089960","11.917331","34.135949","54.863340","6.12545830717959"
"8.436911","12.480338","34.695097","56.300718","6.11663930717959"
"8.789300","13.057932","35.238934","57.759334","6.10744730717959"
"9.146940","13.650286","35.763973","59.235434","6.09786730717959"
