"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.010726","0.010726","0.572595","0.572595","6.28271730717958"
"0.020275","0.020275","0.954924","0.954924","6.28193830717959"
"0.040264","0.067042","1.998838","4.676689","6.28084530717959"
"0.068012","0.129294","2.774878","6.225191","6.27943630717959"
"0.101865","0.205436","3.385271","7.614158","6.27771030717959"
"0.141790","0.295515","3.992527","9.007904","6.27566330717959"
"0.187739","0.399561","4.594865","10.404609","6.27329230717959"
"0.239667","0.517638","5.192823","11.807709","6.27059230717959"
"0.297513","0.649790","5.784555","13.215263","6.26755930717959"
"0.361213","0.796084","6.369989","14.629372","6.26418830717959"
"0.430702","0.956604","6.948977","16.052017","6.26047230717959"
"0.505896","1.131409","7.519320","17.480457","6.25640730717959"
"0.586711","1.320592","8.081565","18.918305","6.25198330717959"
"0.673058","1.524248","8.634683","20.365561","6.24719530717959"
"0.764833","1.742465","9.177453","21.821745","6.24203430717959"
"0.861936","1.975369","9.710327","23.290355","6.23649230717959"
"0.964248","2.223056","10.231179","24.768735","6.23055830717959"
"1.071650","2.485653","10.740190","26.259704","6.22422330717959"
"1.184011","2.763280","11.236144","27.762681","6.21747830717959"
"1.301207","3.056093","11.719581","29.281354","6.21031030717959"
"1.423087","3.364212","12.188045","30.811875","6.20270830717959"
"1.549508","3.687789","12.642068","32.357687","6.19466130717959"
"1.680315","4.026972","13.080659","33.918270","6.18615630717959"
"1.815356","4.381936","13.504184","35.496399","6.17717930717959"
"1.954465","4.752826","13.910874","37.089005","6.16771930717958"
"2.097476","5.139808","14.301086","38.698205","6.15776130717959"
"2.244225","5.543060","14.674945","40.325187","6.14729130717959"
"2.394540","5.962736","15.031488","41.967627","6.13629730717959"
"2.548258","6.399016","15.371737","43.628064","6.12476430717959"
"2.705212","6.852063","15.695399","45.304679","6.11267830717959"
"2.865239","7.322026","16.002733","46.996271","6.10002830717958"
"3.028191","7.809067","16.295186","48.704119","6.08679930717959"
"3.193926","8.313332","16.573538","50.426443","6.07298230717959"
"3.362313","8.834935","16.838674","52.160345","6.05856530717959"
"3.533244","9.373999","17.093117","53.906440","6.04353930717959"
"3.706628","9.930604","17.338358","55.660464","6.02789730717959"
"3.882405","10.504824","17.577685","57.421961","6.01163430717959"
"4.060539","11.096678","17.813452","59.185421","5.99474730717959"
"4.241038","11.706170","18.049871","60.949210","5.97723730717959"
"4.423944","12.333247","18.290643","62.707724","5.95910730717959"
"4.609354","12.977828","18.540959","64.458064","5.94036530717959"
"4.797408","13.639757","18.805410","66.192922","5.92102330717958"
"4.988311","14.318844","19.090284","67.908655","5.90109730717959"
"5.182323","15.014815","19.401175","69.597142","5.88060830717959"
"5.379773","15.727348","19.745018","71.253297","5.85958430717958"
"5.581057","16.456043","20.128384","72.869463","5.83805730717959"
"5.786641","17.200438","20.558472","74.439515","5.81606430717959"
"5.997062","17.959998","21.042123","75.955979","5.79365030717959"
"6.212923","18.734115","21.586082","77.411748","5.77086330717959"
"6.432685","19.514332","21.976143","78.021689","5.74798730717959"
"6.654761","20.292234","22.207609","77.790163","5.72530030717959"
"6.879719","21.067253","22.495863","77.501935","5.70284830717959"
"7.108102","21.838849","22.838256","77.159609","5.68067530717959"
"7.340418","22.606512","23.231608","76.766342","5.65882430717959"
"7.577141","23.369770","23.672297","76.325760","5.63733230717959"
"7.818704","24.128188","24.156334","75.841793","5.61623630717959"
"8.065499","24.881375","24.679502","75.318693","5.59556630717959"
"8.317874","25.628983","25.237419","74.760850","5.57535230717959"
"8.576130","26.370710","25.825642","74.172705","5.55561930717959"
"8.840528","27.106297","26.439751","73.558674","5.53638630717959"
"9.111282","27.835528","27.075426","72.923078","5.51767330717959"
"9.388567","28.558229","27.728511","72.270073","5.49949230717959"
"9.672518","29.274265","28.395067","71.603599","5.48185630717959"
"9.963232","29.983538","29.071413","70.927341","5.46477130717959"
"10.260773","30.685985","29.754155","70.244701","5.44824430717959"
"10.565175","31.381573","30.440201","69.558775","5.43227830717959"
"10.876443","32.070296","31.126753","68.872299","5.41687130717959"
"11.194556","32.752172","31.811302","68.187658","5.40202330717959"
"11.519474","33.427245","32.491822","67.507289","5.38773130717959"
"11.851138","34.095575","33.166394","66.832927","5.37399030717959"
"12.189471","34.757233","33.833303","66.165885","5.36079330717959"
"12.534385","35.412312","34.491427","65.507873","5.34813330717959"
"12.885782","36.060911","35.139642","64.859853","5.33600230717959"
"13.243551","36.703134","35.776931","64.222376","5.32439230717959"
"13.607581","37.339101","36.402958","63.596653","5.31329230717959"
"13.977750","37.968926","37.016901","62.982523","5.30269430717959"
"14.353937","38.592735","37.618764","62.380833","5.29258730717959"
"14.736020","39.210649","38.208234","61.791481","5.28296130717959"
"15.123871","39.822793","38.785169","61.214353","5.27380630717959"
"15.517370","40.429291","39.349907","60.649803","5.26511230717959"
"15.916395","41.030265","39.902441","60.097397","5.25686930717959"
"16.320824","41.625833","40.442936","59.556782","5.24906830717959"
"16.730543","42.216111","40.971844","59.027864","5.24169830717959"
"17.145438","42.801214","41.489524","58.510258","5.23475130717959"
"17.565401","43.381249","41.996346","58.003486","5.22821730717959"
"17.990329","43.956320","42.492765","57.507098","5.22208930717959"
"18.420122","44.526526","42.979270","57.020613","5.21635830717959"
"18.854685","45.091961","43.456374","56.543523","5.21101630717959"
"19.293931","45.652714","43.924611","56.075297","5.20605730717959"
"19.737777","46.208868","44.384530","55.615391","5.20147330717959"
"20.186144","46.760500","44.836690","55.163244","5.19725830717959"
"20.638960","47.307683","45.281663","54.718289","5.19340630717959"
"21.096161","47.850483","45.720022","54.279948","5.18991230717959"
"21.557684","48.388959","46.152349","53.847640","5.18677130717959"
"22.023476","48.923167","46.579226","53.420783","5.18397930717959"
"22.493489","49.453155","47.001235","52.998788","5.18153130717959"
"22.967678","49.978965","47.418926","52.581029","5.17942430717959"
"23.446008","50.500635","47.832967","52.167015","5.17765530717959"
"23.928447","51.018196","48.243898","51.756106","5.17622130717959"
"24.414970","51.531674","48.652302","51.347716","5.17512130717959"
"24.701126","51.832286","28.615626","30.061220","5.17453130717959"
"25.183229","52.350181","48.210286","51.789548","5.17307030717959"
"25.665334","52.868074","48.210578","51.789309","5.17160930717959"
"26.147445","53.385967","48.211045","51.789222","5.17014930717959"
"26.629554","53.903851","48.210884","51.788428","5.16868930717959"
"27.111672","54.421739","48.211861","51.788822","5.16722930717959"
"27.593789","54.939618","48.211638","51.787892","5.16576930717959"
"28.075912","55.457498","48.212369","51.787953","5.16431030717959"
"28.558038","55.975371","48.212546","51.787384","5.16285030717959"
"29.040167","56.493241","48.212863","51.786932","5.16139230717959"
"29.522302","57.011109","48.213512","51.786803","5.15993330717959"
"30.004436","57.528967","48.213437","51.785862","5.15847530717959"
"30.486581","58.046829","48.214535","51.786146","5.15701730717959"
"30.968726","58.564680","48.214438","51.785113","5.15556030717959"
"31.450878","59.082530","48.215271","51.785044","5.15410330717959"
"31.933034","59.600374","48.215555","51.784352","5.15264630717959"
"32.415194","60.118212","48.216029","51.783831","5.15119030717959"
"32.897362","60.636047","48.216729","51.783517","5.14973430717959"
"33.379530","61.153873","48.216867","51.782566","5.14827930717959"
"33.861710","61.671699","48.217961","51.782608","5.14682430717959"
"34.343890","62.189514","48.217993","51.781474","5.14536930717959"
"34.826080","62.707328","48.219043","51.781401","5.14391530717959"
"35.308273","63.225132","48.219318","51.780462","5.14246230717959"
"35.790474","63.742932","48.220061","51.779990","5.14100930717959"
"36.272681","64.260726","48.220702","51.779376","5.13955630717959"
"36.754893","64.778511","48.221156","51.778527","5.13810430717959"
"37.237114","65.296294","48.222144","51.778218","5.13665330717959"
"37.719337","65.814064","48.222328","51.777010","5.13520230717959"
"38.201574","66.331834","48.223645","51.776987","5.13375130717959"
"38.683812","66.849591","48.223842","51.775727","5.13230230717959"
"39.166062","67.367345","48.224938","51.775398","5.13085230717959"
"39.648316","67.885089","48.225436","51.774394","5.12940430717959"
"40.130579","68.402826","48.226284","51.773733","5.12795630717959"
"40.612850","68.920556","48.227089","51.772991","5.12650930717959"
"41.095127","69.438276","48.227706","51.772014","5.12506230717959"
"41.577415","69.955991","48.228800","51.771515","5.12361630717959"
"42.059707","70.473694","48.229202","51.770240","5.12217130717959"
"42.542012","70.991393","48.230569","51.769969","5.12072630717959"
"43.024322","71.509079","48.230933","51.768587","5.11928230717959"
"43.506644","72.026761","48.232235","51.768178","5.11783930717959"
"43.988972","72.544430","48.232797","51.766942","5.11639630717959"
"44.471311","73.062093","48.233900","51.766254","5.11495530717959"
"44.953658","73.579745","48.234718","51.765227","5.11351430717959"
"45.436015","74.097388","48.235637","51.764275","5.11207330717959"
"45.918382","74.615022","48.236698","51.763442","5.11063430717959"
"46.400756","75.132645","48.237446","51.762242","5.10919530717959"
"46.883143","75.650261","48.238735","51.761588","5.10775730717959"
"47.365537","76.167862","48.239327","51.760154","5.10632030717959"
"47.847945","76.685459","48.240831","51.759666","5.10488430717959"
"48.330359","77.203040","48.241398","51.758140","5.10344830717959"
"48.812788","77.720616","48.242863","51.757545","5.10201430717959"
"49.295223","78.238177","48.243587","51.756122","5.10058030717959"
"49.777673","78.755730","48.244906","51.755305","5.09914730717959"
"50.260131","79.273270","48.245833","51.754036","5.09771530717959"
"50.742601","79.790800","48.247018","51.753011","5.09628430717959"
"51.225082","80.308319","48.248137","51.751883","5.09485430717959"
"51.707574","80.825826","48.249198","51.750661","5.09342530717959"
"52.190079","81.343323","48.250499","51.749664","5.09199730717959"
"52.672594","81.860805","48.251447","51.748256","5.09057030717959"
"53.155123","82.378279","48.252917","51.747377","5.08914330717959"
"53.637661","82.895737","48.253763","51.745797","5.08771830717959"
"54.120215","83.413187","48.255392","51.745025","5.08629430717959"
"54.602777","83.930621","48.256198","51.743339","5.08487030717959"
"55.085355","84.448046","48.257871","51.742551","5.08344830717959"
"55.567943","84.965455","48.258766","51.740897","5.08202730717959"
"56.050546","85.482854","48.260341","51.739941","5.08060730717959"
"56.533160","86.000238","48.261390","51.738390","5.07918730717959"
"57.015789","86.517611","48.262877","51.737277","5.07776930717959"
"57.498430","87.034969","48.264070","51.735819","5.07635230717959"
"57.981084","87.552315","48.265477","51.734558","5.07493630717959"
"58.463753","88.069647","48.266806","51.733184","5.07352130717959"
"58.946434","88.586965","48.268141","51.731785","5.07210830717959"
"59.429130","89.104269","48.269598","51.730486","5.07069530717959"
"59.911839","89.621559","48.270869","51.728957","5.06928430717959"
"60.394563","90.138836","48.272445","51.727726","5.06787330717959"
"60.877300","90.656097","48.273659","51.726075","5.06646430717959"
"61.360053","91.173346","48.275348","51.724903","5.06505630717959"
"61.842818","91.690577","48.276512","51.723140","5.06364930717959"
"62.325601","92.207798","48.278305","51.722019","5.06224430717959"
"62.808396","92.724999","48.279427","51.720150","5.06083930717959"
"63.291209","93.242190","48.281317","51.719075","5.05943630717959"
"63.774033","93.759362","48.282463","51.717172","5.05803430717959"
"64.256877","94.276522","48.284323","51.716005","5.05663430717959"
"64.739732","94.793663","48.285564","51.714145","5.05523430717959"
"65.222606","95.310792","48.287378","51.712870","5.05383630717959"
"65.705493","95.827902","48.288718","51.711059","5.05243930717959"
"66.188398","96.344999","48.290494","51.709683","5.05104430717959"
"66.671317","96.862078","48.291926","51.707913","5.04964930717959"
"67.154254","97.379143","48.293668","51.706444","5.04825630717959"
"67.637206","97.896190","48.295188","51.704709","5.04686530717959"
"68.120175","98.413221","48.296900","51.703152","5.04547430717959"
"68.603160","98.930236","48.298501","51.701448","5.04408530717959"
"69.086162","99.447234","48.300190","51.699808","5.04269830717959"
"69.569181","99.964215","48.301868","51.698129","5.04131230717959"
"70.052216","100.481179","48.303538","51.696413","5.03992730717959"
"70.535269","100.998127","48.305286","51.694754","5.03854330717959"
"71.018338","101.515057","48.306941","51.692966","5.03716130717959"
"71.501426","102.031970","48.308756","51.691322","5.03578130717959"
"71.984530","102.548864","48.310401","51.689469","5.03440130717959"
"72.467653","103.065743","48.312277","51.687836","5.03302430717959"
"72.950792","103.582602","48.313915","51.685920","5.03164730717959"
"73.433950","104.099445","48.315850","51.684295","5.03027230717959"
"73.917125","104.616268","48.317484","51.682321","5.02889930717959"
"74.400320","105.133075","48.319472","51.680699","5.02752730717959"
"74.883531","105.649862","48.321107","51.678673","5.02615730717959"
"75.366762","106.166632","48.323145","51.677051","5.02478830717959"
"75.850010","106.683382","48.324783","51.674975","5.02342030717959"
"76.333279","107.200116","48.326867","51.673349","5.02205430717959"
"76.816564","107.716828","48.328511","51.671227","5.02069030717959"
"77.299870","108.233524","48.330638","51.669595","5.01932730717959"
"77.783193","108.750198","48.332292","51.667431","5.01796630717959"
"78.266538","109.266856","48.334459","51.665790","5.01660630717959"
"78.749899","109.783492","48.336125","51.663588","5.01524830717959"
"79.233282","110.300111","48.338325","51.661932","5.01389130717959"
"79.716683","110.816708","48.340025","51.659715","5.01253630717959"
"80.200105","111.333289","48.342224","51.658007","5.01118330717959"
"80.683545","111.849846","48.343972","51.655791","5.00983130717959"
"81.167006","112.366387","48.346172","51.654035","5.00848130717959"
"81.650486","112.882905","48.347966","51.651819","5.00713330717959"
"82.133988","113.399405","48.350170","51.650016","5.00578630717959"
"82.617508","113.915883","48.352007","51.647797","5.00444030717959"
"83.101050","114.432343","48.354216","51.645951","5.00309730717959"
"83.584611","114.948780","48.356094","51.643727","5.00175530717959"
"84.068194","115.465198","48.358309","51.641840","5.00041530717959"
"84.551796","115.981594","48.360227","51.639610","4.99907630717959"
"85.035421","116.497971","48.362450","51.637684","4.99773930717959"
"85.519065","117.014326","48.364404","51.635447","4.99640430717958"
"86.002731","117.530660","48.366637","51.633483","4.99507130717959"
"86.486417","118.046973","48.368626","51.631237","4.99373930717959"
"86.970126","118.563265","48.370870","51.629238","4.99240930717959"
"87.453855","119.079535","48.372893","51.626982","4.99108130717959"
"87.937606","119.595785","48.375148","51.624950","4.98975530717959"
"88.421378","120.112011","48.377202","51.622681","4.98843030717959"
"88.905173","120.628218","48.379470","51.620618","4.98710730717959"
"89.388989","121.144401","48.381555","51.618337","4.98578630717959"
"89.872827","121.660563","48.383836","51.616244","4.98446730717959"
