"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.008212","0.008212","0.321248","0.321248","0.000263000000000346"
"0.013569","0.013569","0.535681","0.535681","0.000700000000000145"
"0.021074","0.021074","0.750517","0.750517","0.00131299999999968"
"0.070800","0.051468","4.972562","3.039394","0.00210200000000071"
"0.137624","0.094626","6.682346","4.315750","0.00306800000000074"
"0.216646","0.145602","7.902281","5.097649","0.00421200000000077"
"0.307882","0.204376","9.123573","5.877404","0.00553700000000035"
"0.411339","0.270919","10.345729","6.654218","0.00704400000000049"
"0.527042","0.345204","11.570278","7.428588","0.00873400000000046"
"0.655034","0.427217","12.799223","8.201298","0.0106110000000008"
"0.795343","0.516925","14.030833","8.970729","0.012677"
"0.947966","0.614270","15.262294","9.734569","0.0149329999999992"
"1.113006","0.719260","16.503986","10.498910","0.0173839999999998"
"1.290447","0.831817","17.744178","11.255730","0.0200320000000005"
"1.480349","0.951908","18.990129","12.009102","0.0228819999999992"
"1.682764","1.079491","20.241591","12.758290","0.0259359999999997"
"1.897746","1.214515","21.498177","13.502461","0.0291990000000002"
"2.125341","1.356923","22.759500","14.240773","0.0326769999999996"
"2.365593","1.506647","24.025179","14.972381","0.0363720000000001"
"2.618610","1.663654","25.301679","15.700673","0.0402900000000006"
"2.884400","1.827842","26.579035","16.418806","0.0444370000000003"
"3.163079","1.999168","27.867837","17.132676","0.0488189999999999"
"3.454704","2.177550","29.162495","17.838135","0.0534409999999994"
"3.759347","2.362903","30.464323","18.535298","0.0583100000000005"
"4.077089","2.555143","31.774199","19.223988","0.0634329999999999"
"4.408052","2.754203","33.096313","19.905987","0.0688169999999992"
"4.752285","2.959964","34.423297","20.576105","0.0744690000000006"
"5.109911","3.172344","35.762579","21.238042","0.0803969999999996"
"5.481011","3.391230","37.110018","21.888550","0.0866100000000003"
"5.865708","3.616522","38.469733","22.529284","0.0931160000000002"
"6.264121","3.848114","39.841245","23.159151","0.0999250000000007"
"6.676361","4.085885","41.224071","23.777072","0.107046"
"7.102538","4.329704","42.617719","24.381987","0.11449"
"7.542786","4.579450","44.024758","24.974596","0.122265000000001"
"7.997234","4.834990","45.444831","25.553926","0.130383999999999"
"8.466037","5.096195","46.880247","26.120525","0.138857"
"8.949314","5.362913","48.327720","26.671853","0.147696"
"9.447210","5.634999","49.789603","27.208579","0.156912999999999"
"9.959906","5.912320","51.269603","27.732110","0.16652"
"10.487510","6.194700","52.760401","28.237959","0.17653"
"11.030216","6.482003","54.270566","28.730319","0.186954"
"11.588156","6.774059","55.793993","29.205614","0.197807000000001"
"12.161495","7.070713","57.333946","29.665411","0.209099999999999"
"12.750387","7.371804","58.889165","30.109045","0.220846999999999"
"13.355010","7.677185","60.462359","30.538072","0.233060999999999"
"13.975487","7.986684","62.047617","30.949912","0.245754"
"14.612001","8.300169","63.651446","31.348494","0.258939"
"15.264673","8.617483","65.267235","31.731485","0.272627"
"15.933657","8.938502","66.898315","32.101815","0.28683"
"16.612260","9.259893","67.860329","32.139098","0.301410000000001"
"17.293675","9.578458","68.141501","31.856523","0.316221000000001"
"17.977852","9.894280","68.417716","31.582197","0.331256"
"18.664685","10.207432","68.683349","31.315211","0.346508"
"19.354088","10.518014","68.940302","31.058195","0.361969999999999"
"20.045962","10.826137","69.187367","30.812349","0.377634"
"20.740171","11.131916","69.420905","30.577826","0.393488"
"21.436587","11.435483","69.641601","30.356709","0.409523"
"22.135068","11.736984","69.848113","30.150148","0.425727"
"22.835464","12.036579","70.039534","29.959443","0.442086"
"23.537600","12.334431","70.213647","29.785280","0.458588000000001"
"24.241298","12.630721","70.369777","29.628934","0.475217000000001"
"24.946368","12.925636","70.507035","29.491480","0.491958"
"25.652619","13.219377","70.625061","29.374100","0.508794999999999"
"26.359838","13.512148","70.721916","29.277176","0.525712"
"27.067811","13.804164","70.797278","29.201616","0.54269"
"27.776316","14.095645","70.850547","29.148038","0.559711"
"28.485129","14.386814","70.881260","29.116934","0.576758"
"29.194030","14.677905","70.890066","29.109056","0.593812"
"29.902779","14.969143","70.874968","29.123871","0.610853000000001"
"30.611145","15.260760","70.836574","29.161705","0.627864000000001"
"31.318906","15.552990","70.776135","29.222944","0.644824"
"32.025827","15.846056","70.692075","29.306604","0.661716999999999"
"32.731686","16.140184","70.585895","29.412763","0.678522000000001"
"33.436266","16.435592","70.458030","29.540873","0.695223"
"34.139352","16.732493","70.308542","29.690044","0.711802"
"34.840743","17.031092","70.139094","29.859891","0.728242999999999"
"35.540238","17.331583","69.949551","30.049116","0.744529"
"36.237656","17.634154","69.741826","30.257161","0.760645"
"36.932818","17.938981","69.516163","30.482633","0.776578000000001"
"37.625561","18.246228","69.274281","30.724686","0.792311999999999"
"38.315730","18.556047","69.016942","30.981982","0.807836999999999"
"39.003186","18.868582","68.745552","31.253408","0.82314"
"39.687799","19.183959","68.461309","31.537731","0.838211000000001"
"40.369452","19.502295","68.165320","31.833656","0.85304"
"41.048043","19.823696","67.859075","32.140073","0.867620000000001"
"41.723477","20.148252","67.543415","32.455585","0.881940999999999"
"42.395677","20.476044","67.220036","32.779238","0.895999"
"43.064572","20.807140","66.889450","33.109556","0.909787"
"43.730108","21.141598","66.553617","33.445835","0.923300000000001"
"44.392233","21.479463","66.212516","33.786452","0.936536"
"45.050917","21.820773","65.868425","34.131029","0.949490000000001"
"45.706129","22.165553","65.521142","34.478004","0.962160000000001"
"46.357853","22.513822","65.172426","34.826918","0.974546"
"47.006081","22.865590","64.822779","35.176757","0.986647"
"47.650807","23.220855","64.472609","35.526535","0.998462"
"48.292043","23.579616","64.123545","35.876040","1.009991"
"48.929796","23.941857","63.775363","36.224133","1.021237"
"49.564085","24.307561","63.428907","36.570357","1.0322"
"50.194937","24.676705","63.085167","36.914445","1.042882"
"50.822379","25.049262","62.744188","37.255674","1.053285"
"51.446438","25.425195","62.405899","37.593323","1.063413"
"52.067156","25.804472","62.071786","37.927687","1.073267"
"52.684571","26.187053","61.741580","38.258099","1.082853"
"53.298727","26.572896","61.415556","38.584281","1.092172"
"53.909666","26.961955","61.093859","38.905944","1.101228"
"54.517432","27.354184","60.776607","39.222844","1.110025"
"55.122076","27.749535","60.464433","39.535131","1.118568"
"55.723648","28.147960","60.157156","39.842492","1.12686"
"56.322196","28.549408","59.854868","40.144838","1.134905"
"56.917773","28.953829","59.557638","40.442106","1.142707"
"57.510428","29.361172","59.265504","40.734262","1.150271"
"58.100212","29.771385","58.978487","41.021294","1.1576"
"58.687178","30.184417","58.696581","41.303211","1.164699"
"59.271376","30.600217","58.419765","41.580040","1.171573"
"59.852856","31.018736","58.148001","41.851825","1.178224"
"60.431668","31.439922","57.881234","42.118625","1.184658"
"61.007862","31.863727","57.619398","42.380510","1.190878"
"61.581486","32.290102","57.362413","42.637562","1.196888"
"62.152588","32.719001","57.110190","42.889874","1.202692"
"62.721212","33.150375","56.862407","43.137373","1.208295"
"63.287405","33.584179","56.619281","43.380411","1.213698"
"63.851212","34.020370","56.380704","43.619104","1.218907"
"64.412677","34.458905","56.146456","43.853497","1.223924"
"64.971841","34.899742","55.916416","44.083711","1.228754"
"65.528743","35.342839","55.690228","44.309691","1.233399"
"66.083423","35.788156","55.467981","44.531732","1.237863"
"66.635921","36.235658","55.249783","44.750162","1.242149"
"67.186274","36.685307","55.035269","44.964930","1.246259"
"67.734513","37.137066","54.823932","45.175860","1.250197"
"68.280675","37.590902","54.616251","45.383591","1.253965"
"68.824795","38.046784","54.411978","45.588170","1.257567"
"69.366901","38.504677","54.210547","45.789370","1.261004"
"69.907023","38.964554","54.012203","45.987647","1.26428"
"70.445192","39.426386","53.816944","46.183249","1.267395"
"70.981432","39.890144","53.624033","46.375797","1.270354"
"71.515772","40.355804","53.433985","46.565980","1.273157"
"72.048237","40.823341","53.246438","46.753738","1.275807"
"72.578846","41.292730","53.060900","46.938884","1.278306"
"73.107625","41.763952","52.877961","47.122187","1.280655"
"73.634593","42.236983","52.696762","47.303130","1.282857"
"74.159770","42.711807","52.517705","47.482317","1.284912"
"74.683174","43.188403","52.340403","47.659643","1.286822"
"75.204821","43.666755","52.164714","47.835223","1.28859"
"75.724729","44.146849","51.990740","48.009390","1.290215"
"76.242908","44.628668","51.817972","48.181917","1.291699"
"76.759376","45.112202","51.646780","48.353385","1.293043"
"77.274141","45.597436","51.476478","48.523394","1.294248"
"77.787216","46.084362","51.307513","48.692600","1.295316"
"78.298609","46.572969","51.139272","48.860660","1.296246"
"78.808329","47.063249","50.972017","49.028061","1.297039"
"79.316382","47.555196","50.805332","49.194640","1.297697"
"79.822775","48.048803","50.639321","49.360731","1.298218"
"80.327512","48.544066","50.473701","49.526297","1.298605"
"80.650207","48.862282","32.269466","31.821581","1.298788"
"81.153614","49.358875","50.340708","49.659287","1.299066"
"81.657054","49.855434","50.344017","49.655959","1.299347"
"82.160528","50.351961","50.347349","49.652652","1.29963"
"82.664035","50.848454","50.350681","49.649343","1.299917"
"83.167575","51.344914","50.353993","49.646013","1.300206"
"83.671148","51.841341","50.357306","49.642681","1.300497"
"84.174754","52.337735","50.360620","49.639349","1.300792"
"84.678394","52.834095","50.363972","49.636052","1.301089"
"85.182066","53.330422","50.367295","49.632724","1.301389"
"85.685773","53.826716","50.370611","49.629389","1.301691"
"86.189512","54.322977","50.373929","49.626052","1.301997"
"86.693284","54.819204","50.377255","49.622723","1.302304"
"87.197091","55.315398","50.380611","49.619420","1.302615"
"87.700930","55.811559","50.383932","49.616081","1.302929"
"88.204802","56.307686","50.387253","49.612741","1.303245"
"88.708708","56.803780","50.390575","49.609399","1.303564"
"89.212647","57.299841","50.393921","49.606079","1.303885"
"89.716620","57.795869","50.397268","49.602758","1.304209"
"90.220626","58.291863","50.400593","49.599414","1.304536"
"90.724665","58.787824","50.403919","49.596068","1.304866"
"91.228738","59.283751","50.407245","49.592721","1.305199"
"91.732844","59.779645","50.410612","49.589412","1.305534"
"92.236983","60.275506","50.413949","49.586071","1.305872"
"92.741156","60.771333","50.417279","49.582722","1.306212"
"93.245362","61.267127","50.420609","49.579371","1.306556"
"93.749602","61.762887","50.423947","49.576025","1.306902"
"94.253875","62.258614","50.427321","49.572713","1.307251"
"94.758181","62.754308","50.430655","49.569360","1.307602"
"95.262521","63.249968","50.433989","49.566005","1.307956"
"95.766894","63.745594","50.437325","49.562649","1.308313"
"96.271301","64.241187","50.440682","49.559312","1.308673"
"96.775742","64.736747","50.444047","49.555982","1.309036"
"97.280216","65.232273","50.447386","49.552623","1.309401"
"97.784723","65.727766","50.450725","49.549263","1.309769"
"98.289264","66.223225","50.454066","49.545901","1.31014"
"98.793838","66.718651","50.457442","49.542574","1.310513"
"99.298446","67.214043","50.460799","49.539225","1.310889"
"99.803087","67.709401","50.464142","49.535861","1.311268"
"100.307762","68.204726","50.467486","49.532495","1.31165"
"100.812471","68.700018","50.470832","49.529129","1.312034"
"101.317213","69.195276","50.474228","49.525810","1.312421"
"101.821989","69.690500","50.477576","49.522443","1.312811"
"102.326798","70.185691","50.480924","49.519073","1.313204"
"102.831641","70.680848","50.484273","49.515703","1.313599"
"103.336517","71.175971","50.487636","49.512344","1.313997"
"103.841427","71.671062","50.491025","49.509009","1.314398"
"104.346371","72.166118","50.494378","49.505635","1.314801"
"104.851348","72.661140","50.497731","49.502261","1.315208"
"105.356359","73.156129","50.501085","49.498885","1.315617"
"105.861404","73.651085","50.504466","49.495534","1.316029"
"106.366482","74.146006","50.507848","49.492181","1.316443"
"106.871594","74.640894","50.511205","49.488803","1.31686"
"107.376740","75.135749","50.514563","49.485423","1.31728"
"107.881919","75.630569","50.517922","49.482043","1.317703"
"108.387132","76.125356","50.521321","49.478699","1.318129"
"108.892379","76.620109","50.524695","49.475329","1.318557"
"109.397660","77.114829","50.528057","49.471946","1.318988"
"109.902974","77.609515","50.531420","49.468561","1.319422"
"110.408322","78.104166","50.534784","49.465176","1.319859"
"110.913704","78.598785","50.538199","49.461839","1.320298"
"111.419120","79.093369","50.541566","49.458452","1.32074"
"111.924569","79.587920","50.544933","49.455064","1.321185"
"112.430052","80.082437","50.548301","49.451675","1.321632"
"112.935569","80.576920","50.551680","49.448294","1.322083"
"113.441120","81.071369","50.555092","49.444944","1.322536"
"113.946704","81.565784","50.558462","49.441552","1.322992"
"114.452323","82.060166","50.561834","49.438159","1.32345"
"114.957975","82.554514","50.565206","49.434765","1.323912"
"115.463661","83.048828","50.568601","49.431390","1.324376"
"115.969381","83.543108","50.572006","49.428025","1.324843"
"116.475134","84.037354","50.575382","49.424628","1.325313"
"116.980922","84.531566","50.578758","49.421230","1.325785"
"117.486743","85.025745","50.582135","49.417832","1.32626"
"117.992599","85.519889","50.585545","49.414463","1.326738"
"118.498488","86.014000","50.588944","49.411083","1.327219"
"119.004412","86.508077","50.592324","49.407681","1.327703"
"119.510369","87.002120","50.595705","49.404279","1.328189"
"120.016359","87.496129","50.599087","49.400876","1.328678"
"120.522385","87.990104","50.602510","49.397512","1.32917"
"121.028444","88.484045","50.605904","49.394119","1.329664"
"121.534536","88.977952","50.609288","49.390713","1.330162"
"122.040663","89.471825","50.612674","49.387307","1.330662"
"122.546824","89.965664","50.616060","49.383900","1.331165"
"123.053019","90.459469","50.619496","49.380540","1.331671"
"123.559248","90.953241","50.622885","49.377133","1.332179"
"124.065510","91.446978","50.626274","49.373724","1.33269"
"124.571807","91.940681","50.629663","49.370314","1.333204"
"125.078138","92.434350","50.633059","49.366909","1.333721"
"125.584503","92.927986","50.636495","49.363541","1.334241"
"126.090901","93.421587","50.639887","49.360129","1.334763"
"126.597334","93.915154","50.643279","49.356715","1.335288"
"127.103801","94.408687","50.646673","49.353302","1.335816"
"127.610302","94.902186","50.650080","49.349900","1.336347"
"128.116837","95.395651","50.653512","49.346521","1.33688"
"128.623406","95.889082","50.656907","49.343105","1.337416"
"129.130009","96.382479","50.660303","49.339689","1.337955"
"129.636646","96.875842","50.663700","49.336271","1.338497"
"130.143317","97.369171","50.667118","49.332873","1.339042"
"130.650023","97.862466","50.670546","49.329483","1.339589"
"131.156762","98.355726","50.673945","49.326064","1.340139"
"131.663535","98.848953","50.677344","49.322645","1.340692"
"132.170343","99.342145","50.680745","49.319225","1.341248"
"132.677185","99.835303","50.684171","49.315829","1.341807"
"133.184061","100.328427","50.687596","49.312430","1.342368"
"133.690971","100.821518","50.690998","49.309008","1.342932"
"134.197915","101.314573","50.694401","49.305586","1.343499"
"134.704893","101.807595","50.697805","49.302163","1.344068"
"135.211905","102.300583","50.701239","49.298769","1.344641"
"135.718952","102.793536","50.704661","49.295362","1.345216"
"136.226032","103.286456","50.708066","49.291938","1.345794"
"136.733147","103.779341","50.711472","49.288513","1.346375"
"137.240296","104.272192","50.714879","49.285088","1.346959"
"137.747479","104.765009","50.718319","49.281696","1.347545"
"138.254696","105.257792","50.721739","49.278282","1.348134"
"138.761948","105.750540","50.725147","49.274855","1.348726"
"139.269233","106.243254","50.728555","49.271429","1.349321"
"139.776553","106.735934","50.731964","49.268002","1.349918"
"140.283907","107.228581","50.735410","49.264611","1.350519"
"140.791295","107.721192","50.738827","49.261191","1.351122"
"141.298718","108.213770","50.742237","49.257763","1.351728"
"141.806174","108.706313","50.745648","49.254335","1.352336"
"142.313665","109.198822","50.749059","49.250907","1.352948"
"142.821190","109.691298","50.752509","49.247516","1.353562"
"143.328749","110.183739","50.755924","49.244092","1.354179"
"143.836343","110.676145","50.759336","49.240663","1.354799"
"144.343970","111.168518","50.762748","49.237234","1.355422"
"144.851632","111.660856","50.766161","49.233805","1.356047"
"145.359328","112.153160","50.769614","49.230415","1.356675"
"145.867058","112.645430","50.773028","49.226987","1.357306"
"146.374822","113.137665","50.776441","49.223557","1.35794"
"146.882621","113.629866","50.779854","49.220128","1.358577"
"147.390454","114.122033","50.783268","49.216699","1.359216"
"147.898321","114.614166","50.786721","49.213308","1.359859"
"148.406222","115.106265","50.790134","49.209878","1.360504"
"148.914158","115.598330","50.793548","49.206449","1.361151"
"149.422127","116.090360","50.796962","49.203019","1.361802"
"149.930131","116.582356","50.800379","49.199593","1.362455"
"150.438169","117.074318","50.803828","49.196198","1.363111"
"150.946242","117.566246","50.807242","49.192769","1.36377"
"151.454348","118.058139","50.810656","49.189340","1.364432"
"151.962489","118.549998","50.814070","49.185911","1.365097"
"152.470664","119.041823","50.817488","49.182487","1.365764"
"152.978873","119.533614","50.820934","49.179090","1.366434"
"153.487117","120.025370","50.824348","49.175662","1.367107"
"153.995394","120.517093","50.827762","49.172234","1.367783"
"154.503706","121.008781","50.831175","49.168807","1.368461"
"155.012052","121.500435","50.834593","49.165384","1.369143"
"155.520432","121.992055","50.838036","49.161986","1.369827"
"156.028847","122.483640","50.841449","49.158560","1.370514"
"156.537296","122.975192","50.844861","49.155134","1.371203"
"157.045778","123.466709","50.848274","49.151709","1.371896"
"157.554295","123.958191","50.851691","49.148289","1.372591"
"158.062847","124.449640","50.855130","49.144890","1.373289"
"158.571432","124.941055","50.858541","49.141466","1.37399"
"159.080051","125.432435","50.861952","49.138043","1.374694"
"159.588705","125.923782","50.865363","49.134621","1.3754"
"160.097393","126.415094","50.868778","49.131203","1.376109"
"160.606115","126.906372","50.872212","49.127806","1.376821"
"161.114871","127.397616","50.875621","49.124385","1.377536"
"161.623661","127.888825","50.879030","49.120965","1.378254"
"162.132486","128.380001","50.882439","49.117546","1.378974"
"162.641344","128.871142","50.885851","49.114132","1.379697"
"163.150237","129.362249","50.889280","49.110736","1.380423"
"163.659164","129.853323","50.892686","49.107319","1.381152"
"164.168125","130.344362","50.896092","49.103903","1.381883"
"164.677120","130.835367","50.899497","49.100489","1.382618"
"165.186149","131.326337","50.902905","49.097079","1.383355"
"165.695212","131.817274","50.906328","49.093685","1.384095"
"166.204310","132.308177","50.909731","49.090273","1.384837"
"166.713441","132.799046","50.913133","49.086862","1.385583"
"167.222606","133.289880","50.916535","49.083453","1.386331"
"167.731806","133.780681","50.919938","49.080047","1.387082"
