"LeftPosition","RightPosition","LeftVelocity","RightVelocity","Heading"
"0.005000","0.005000","1.000000","1.000000","0"
"0.005586","0.005586","0.058646","0.058646","6.28313830717959"
"0.006564","0.006564","0.097726","0.097726","6.28305830717959"
"0.007932","0.007932","0.136780","0.136780","6.28294630717959"
"0.009690","0.009690","0.175799","0.175799","6.28280330717959"
"0.052308","0.056604","4.261865","4.691416","6.282628"
"0.114771","0.124140","6.246282","6.753668","6.282421"
"0.186846","0.202066","7.207476","7.792581","6.282182"
"0.268532","0.290379","8.168586","8.831250","6.281911"
"0.359832","0.389080","9.130035","9.870112","6.281609"
"0.460746","0.498166","10.091371","10.908655","6.281276"
"0.571274","0.617638","11.052845","11.947132","6.280911"
"0.691419","0.747493","12.014456","12.985520","6.280514"
"0.821181","0.887731","12.976202","14.023796","6.280087"
"0.960561","1.038350","13.938082","15.061939","6.279628"
"1.109562","1.199349","14.900095","16.099925","6.279138"
"1.268185","1.370727","15.862241","17.137733","6.278618"
"1.436430","1.552480","16.824520","18.175342","6.278066"
"1.614302","1.744610","17.787163","19.212979","6.277484"
"1.801799","1.947112","18.749766","20.250188","6.276872"
"1.998926","2.159985","19.712693","21.287339","6.276229"
"2.205684","2.383227","20.675732","22.324181","6.275556"
"2.422075","2.616837","21.639136","23.360966","6.274853"
"2.648101","2.860810","22.602616","24.397359","6.274121"
"2.883765","3.115146","23.566373","25.433554","6.273359"
"3.129069","3.379841","24.530406","26.469528","6.272567"
"3.384016","3.654894","25.494732","27.505278","6.271747"
"3.648609","3.940301","26.459280","28.540704","6.270897"
"3.922851","4.236060","27.424159","29.575899","6.270019"
"4.206744","4.542168","28.389298","30.610765","6.269112"
"4.500291","4.858621","29.354718","31.645299","6.268177"
"4.803495","5.185415","30.320420","32.679482","6.267214"
"5.116361","5.522550","31.286584","33.713481","6.266224"
"5.438890","5.870020","32.252962","34.747008","6.265206"
"5.771088","6.227823","33.219764","35.780262","6.264161"
"6.112956","6.595953","34.186831","36.813050","6.263089"
"6.464501","6.974410","35.154449","37.845654","6.26199"
"6.825724","7.363187","36.122300","38.877709","6.260866"
"7.196630","7.762281","37.090577","39.909396","6.259715"
"7.577222","8.171688","38.059282","40.940693","6.258539"
"7.967507","8.591404","39.028417","41.971576","6.257338"
"8.367486","9.021424","39.997984","43.002025","6.256112"
"8.777166","9.461744","40.967989","44.032018","6.254861"
"9.196551","9.912359","41.938436","45.061535","6.253586"
"9.625644","10.373265","42.909330","46.090556","6.252288"
"10.064453","10.844458","43.880854","47.119251","6.250966"
"10.512979","11.325930","44.852691","48.147254","6.249621"
"10.971231","11.817679","45.825154","49.174875","6.248254"
"11.439211","12.319698","46.798038","50.201867","6.246865"
"11.916927","12.831982","47.771598","51.228476","6.245454"
"12.399556","13.349353","48.262904","51.737079","6.244036"
"12.882274","13.866635","48.271746","51.728167","6.242625"
"13.365081","14.383828","48.280706","51.719339","6.241221"
"13.847977","14.900932","48.289610","51.710407","6.239825"
"14.330962","15.417947","48.298516","51.701434","6.238436"
"14.814037","15.934871","48.307480","51.692482","6.237055"
"15.297202","16.451707","48.316499","51.683548","6.23568"
"15.780457","16.968452","48.325466","51.674518","6.234313"
"16.263801","17.485107","48.334454","51.665471","6.232954"
"16.747237","18.001672","48.343543","51.656494","6.231602"
"17.230762","18.518146","48.352585","51.647429","6.230257"
"17.714379","19.034529","48.361630","51.638329","6.228919"
"18.198086","19.550822","48.370721","51.629242","6.227589"
"18.681885","20.067023","48.379865","51.620176","6.226267"
"19.165774","20.583134","48.388962","51.611026","6.224952"
"19.649755","21.099152","48.398079","51.601861","6.223644"
"20.133828","21.615080","48.407274","51.592748","6.222344"
"20.617992","22.130915","48.416442","51.583572","6.221051"
"21.102248","22.646659","48.425608","51.574361","6.219766"
"21.586596","23.162311","48.434805","51.565153","6.218488"
"22.071037","23.677870","48.444061","51.555976","6.217218"
"22.555570","24.193338","48.453272","51.546722","6.215955"
"23.040195","24.708712","48.462499","51.537455","6.2147"
"23.524912","25.223994","48.471784","51.528221","6.213453"
"24.009723","25.739184","48.481063","51.518953","6.212213"
"24.494626","26.254280","48.490332","51.509647","6.21098"
"24.979623","26.769284","48.499619","51.500333","6.209756"
"25.464712","27.284194","48.508972","51.491063","6.208538"
"25.949895","27.799012","48.518280","51.481719","6.207329"
"26.435171","28.313735","48.527602","51.472365","6.206127"
"26.920541","28.828365","48.536962","51.463028","6.204933"
"27.406004","29.342902","48.546336","51.453681","6.203746"
"27.891561","29.857345","48.555693","51.444294","6.202567"
"28.377212","30.371694","48.565063","51.434897","6.201395"
"28.862957","30.885949","48.574485","51.425534","6.200232"
"29.348795","31.400111","48.583882","51.416122","6.199076"
"29.834728","31.914178","48.593283","51.406695","6.197927"
"30.320755","32.428150","48.602708","51.397270","6.196787"
"30.806877","32.942029","48.612160","51.387857","6.195654"
"31.293093","33.455813","48.621592","51.378402","6.194529"
"31.779403","33.969502","48.631034","51.368939","6.193411"
"32.265808","34.483097","48.640509","51.359493","6.192301"
"32.752308","34.996598","48.649981","51.350025","6.191199"
"33.238903","35.510003","48.659449","51.340537","6.190105"
"33.725592","36.023313","48.668928","51.331043","6.189018"
"34.212376","36.536529","48.678444","51.321573","6.18794"
"34.699256","37.049650","48.687937","51.312061","6.186868"
"35.186230","37.562675","48.697438","51.302544","6.185805"
"35.673300","38.075605","48.706958","51.293032","6.18475"
"36.160464","38.588441","48.716490","51.283517","6.183702"
"36.647725","39.101180","48.726013","51.273980","6.182662"
"37.135080","39.613825","48.735543","51.264437","6.18163"
"37.622531","40.126374","48.745097","51.254906","6.180605"
"38.110077","40.638827","48.754645","51.245355","6.179589"
"38.597719","41.151185","48.764194","51.235795","6.17858"
"39.085457","41.663448","48.773753","51.226232","6.177579"
"39.573290","42.175614","48.783330","51.216677","6.176586"
"40.061219","42.687685","48.792896","51.207100","6.1756"
"40.549244","43.199661","48.802469","51.197519","6.174623"
"41.037364","43.711540","48.812054","51.187941","6.173653"
"41.525581","44.223324","48.821643","51.178358","6.172691"
"42.013893","44.735011","48.831231","51.168763","6.171737"
"42.502301","45.246603","48.840823","51.159165","6.170791"
"42.990806","45.758099","48.850429","51.149572","6.169852"
"43.479406","46.269498","48.860031","51.139966","6.168922"
"43.968102","46.780802","48.869636","51.130356","6.167999"
"44.456895","47.292009","48.879248","51.120745","6.167084"
"44.945783","47.803121","48.888866","51.111134","6.166177"
"45.434768","48.314136","48.898482","51.101513","6.165278"
"45.923849","48.825055","48.908103","51.091891","6.164386"
"46.413027","49.335877","48.917729","51.082268","6.163503"
"46.902300","49.846604","48.927357","51.072640","6.162627"
"47.391670","50.357234","48.936986","51.063009","6.16176"
"47.881136","50.867768","48.946619","51.053376","6.1609"
"48.370699","51.378205","48.956256","51.043741","6.160048"
"48.860358","51.888546","48.965893","51.034103","6.159203"
"49.350113","52.398791","48.975534","51.024463","6.158367"
"49.839965","52.908939","48.985176","51.014821","6.157539"
"50.329913","53.418991","48.994820","51.005175","6.156718"
"50.819958","53.928946","49.004467","50.995530","6.155905"
"51.310099","54.438805","49.014116","50.985882","6.155101"
"51.800336","54.948567","49.023764","50.976232","6.154304"
"52.290671","55.458233","49.033415","50.966580","6.153515"
"52.781101","55.967802","49.043069","50.956929","6.152734"
"53.271629","56.477275","49.052724","50.947276","6.15196"
"53.762252","56.986651","49.062376","50.937617","6.151195"
"54.252973","57.495931","49.072033","50.927962","6.150437"
"54.743790","58.005114","49.081692","50.918307","6.149688"
"55.234703","58.514200","49.091350","50.908649","6.148946"
"55.725713","59.023190","49.101006","50.898987","6.148212"
"56.216820","59.532083","49.110668","50.889329","6.147486"
"56.708023","60.040880","49.120331","50.879671","6.146768"
"57.199323","60.549580","49.129988","50.870007","6.146058"
"57.690720","61.058184","49.139649","50.860345","6.145355"
"58.182213","61.566690","49.149313","50.850686","6.144661"
"58.673802","62.075101","49.158978","50.841027","6.143974"
"59.165489","62.583414","49.168633","50.831357","6.143296"
"59.657272","63.091631","49.178298","50.821698","6.142625"
"60.149151","63.599752","49.187964","50.812038","6.141962"
"60.641128","64.107775","49.197625","50.802375","6.141307"
"61.133200","64.615702","49.207283","50.792709","6.14066"
"61.625370","65.123533","49.216949","50.783050","6.140021"
"62.117636","65.631267","49.226614","50.773391","6.139389"
"62.609999","66.138904","49.236270","50.763723","6.138766"
"63.102458","66.646445","49.245932","50.754062","6.13815"
"63.595014","67.153889","49.255597","50.744405","6.137543"
"64.087667","67.661236","49.265259","50.734746","6.136943"
"64.580416","68.168487","49.274912","50.725078","6.136351"
"65.073262","68.675641","49.284575","50.715422","6.135767"
"65.566204","69.182699","49.294238","50.705766","6.135191"
"66.059243","69.689660","49.303894","50.696105","6.134623"
"66.552378","70.196524","49.313548","50.686444","6.134062"
"67.045610","70.703292","49.323209","50.676791","6.13351"
"67.538939","71.209964","49.332870","50.667138","6.132965"
"68.032364","71.716538","49.342517","50.657474","6.132428"
"68.525886","72.223017","49.352174","50.647821","6.1319"
"69.019504","72.729398","49.361832","50.638171","6.131379"
