dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,111.777545,174.480741,0.005000,1.000000,100.000000,10000.000000,0.000846
0.010000,111.779944,174.480743,0.007398,0.239835,-76.016530,-17601.652955,0.000650
0.010000,111.783939,174.480745,0.011394,0.399529,15.969384,9198.591382,0.000324
0.010000,111.799669,174.480745,0.027124,1.573016,117.348726,10137.934124,6.283053
0.010000,111.851849,174.480722,0.079304,5.217986,364.497027,24714.830104,6.282467
0.010000,111.915615,174.480654,0.143069,6.376560,115.857370,-24863.965640,6.281752
0.010000,111.990959,174.480514,0.218414,7.534474,115.791389,-6.598082,6.280907
0.010000,112.077876,174.480274,0.305331,8.691710,115.723672,-6.771726,6.279934
0.010000,112.176356,174.479899,0.403812,9.848087,115.637676,-8.599592,6.278834
0.010000,112.286391,174.479353,0.513848,11.003597,115.550965,-8.671088,6.277606
0.010000,112.407969,174.478592,0.635429,12.158080,115.448338,-10.262734,6.276253
0.010000,112.541078,174.477571,0.768541,13.311270,115.319004,-12.933384,6.274774
0.010000,112.685703,174.476239,0.913173,14.463155,115.188517,-13.048711,6.273172
0.010000,112.841831,174.474540,1.069310,15.613712,115.055676,-13.284056,6.271446
0.010000,113.009445,174.472418,1.236938,16.762745,114.903253,-15.242379,6.269599
0.010000,113.188527,174.469808,1.416038,17.910059,114.731480,-17.177248,6.267632
0.010000,113.379055,174.466646,1.606593,19.055466,114.540610,-19.087012,6.265545
0.010000,113.581010,174.462860,1.808583,20.198986,114.352077,-18.853264,6.263342
0.010000,113.794367,174.458378,2.021987,21.340411,114.142509,-20.956818,6.261023
0.010000,114.019102,174.453123,2.246784,22.479702,113.929093,-21.341659,6.258591
0.010000,114.255188,174.447015,2.482949,23.616492,113.678995,-25.009765,6.256047
0.010000,114.502596,174.439970,2.730457,24.750783,113.429019,-24.997627,6.253393
0.010000,114.761294,174.431903,2.989280,25.882367,113.158416,-27.060302,6.250632
0.010000,115.031251,174.422724,3.259393,27.011309,112.894191,-26.422418,6.247766
0.010000,115.312429,174.412343,3.540763,28.137018,112.570940,-32.325126,6.244797
0.010000,115.604794,174.400664,3.833361,29.259773,112.275461,-29.547886,6.241728
0.010000,115.908303,174.387592,4.137152,30.379072,111.929965,-34.549676,6.238561
0.010000,116.222916,174.373029,4.452101,31.494956,111.588344,-34.162068,6.235300
0.010000,116.548587,174.356874,4.778174,32.607203,111.224682,-36.366158,6.231947
0.010000,116.885271,174.339026,5.115330,33.715599,110.839640,-38.504217,6.228506
0.010000,117.232916,174.319382,5.463529,34.819971,110.437161,-40.247917,6.224979
0.010000,117.591473,174.297838,5.822733,35.920333,110.036249,-40.091207,6.221371
0.010000,117.960884,174.274289,6.192894,37.016172,109.583894,-45.235463,6.217684
0.010000,118.341095,174.248630,6.573970,38.107541,109.136873,-44.702103,6.213923
0.010000,118.732045,174.220754,6.965912,39.194245,108.670394,-46.647967,6.210091
0.010000,119.133672,174.190557,7.368673,40.276066,108.182111,-48.828268,6.206192
0.010000,119.545911,174.157931,7.782201,41.352795,107.672946,-50.916480,6.202230
0.010000,119.968694,174.122772,8.206443,42.424233,107.143800,-52.914588,6.198210
0.010000,120.401952,174.084977,8.641347,43.490369,106.613557,-53.024278,6.194137
0.010000,120.845612,174.044441,9.086855,44.550780,106.041108,-57.244952,6.190014
0.010000,121.299599,174.001062,9.542909,45.605460,105.468025,-57.308341,6.185846
0.010000,121.763836,173.954742,10.009451,46.654199,104.873933,-59.409108,6.181638
0.010000,122.238243,173.905382,10.486419,47.696799,104.260005,-61.392873,6.177396
0.010000,122.722738,173.852886,10.973750,48.733073,103.627357,-63.264805,6.173124
0.010000,123.217236,173.797162,11.471378,49.762844,102.977051,-65.030517,6.168828
0.010000,123.721653,173.738119,11.979239,50.786039,102.319503,-65.754837,6.164513
0.010000,124.235899,173.675672,12.497262,51.802361,101.632274,-68.722870,6.160184
0.010000,124.759884,173.609737,13.025380,52.811738,100.937667,-69.460696,6.155848
0.010000,125.293517,173.540235,13.563520,53.813993,100.225495,-71.217206,6.151510
0.010000,125.836704,173.467093,14.111609,54.808963,99.496993,-72.850259,6.147176
0.010000,126.389351,173.390239,14.669574,55.796496,98.753294,-74.369915,6.142852
0.010000,126.951361,173.309609,15.237339,56.776454,97.995852,-75.744187,6.138545
0.010000,127.522638,173.225143,15.814826,57.748706,97.225160,-77.069171,6.134260
0.010000,128.103082,173.136788,16.401957,58.713097,96.439131,-78.602945,6.130005
0.010000,128.692596,173.044493,16.998652,59.669506,95.640924,-79.820685,6.125785
0.010000,129.291080,172.948218,17.604830,60.617804,94.829755,-81.116890,6.121607
0.010000,129.898434,172.847926,18.220409,61.557866,94.006219,-82.353579,6.117478
0.010000,130.514558,172.743588,18.845304,62.489578,93.171184,-83.503532,6.113405
0.010000,131.139351,172.635182,19.479432,63.412806,92.322806,-84.837762,6.109394
0.010000,131.772714,172.522694,20.122707,64.327473,91.466708,-85.609821,6.105453
0.010000,132.414547,172.406115,20.775041,65.233419,90.594582,-87.212576,6.101589
0.010000,133.064750,172.285447,21.436347,66.130587,89.716846,-87.773664,6.097809
0.010000,133.723226,172.160698,22.106536,67.018851,88.826355,-89.049045,6.094120
0.010000,134.389876,172.031885,22.785517,67.898113,87.926160,-90.019463,6.090530
0.010000,135.064604,171.899033,23.473199,68.768251,87.013876,-91.228483,6.087046
0.010000,135.747314,171.762176,24.169491,69.629199,86.094802,-91.907346,6.083675
0.010000,136.437912,171.621359,24.874300,70.480837,85.163722,-93.107997,6.080425
0.010000,137.136305,171.476633,25.587530,71.323075,84.223868,-93.985403,6.077304
0.010000,137.842401,171.328062,26.309088,72.155792,83.271679,-95.218903,6.074320
0.010000,138.556111,171.175715,27.038877,72.978890,82.309779,-96.190037,6.071480
0.010000,139.277348,171.019677,27.776800,73.792269,81.337901,-97.187735,6.068792
0.010000,140.006024,170.860039,28.522758,74.595825,80.355597,-98.230426,6.066265
0.010000,140.742056,170.696903,29.276653,75.389439,79.361413,-99.418404,6.063907
0.010000,141.485362,170.530384,30.038382,76.172960,78.352056,-100.935722,6.061724
0.010000,142.235861,170.360605,30.807845,76.946306,77.334670,-101.738582,6.059727
0.010000,142.988467,170.188849,31.579801,77.195587,24.928090,-5240.658032,6.057935
0.010000,143.738174,170.016428,32.349080,76.927869,-26.771818,-5169.990817,6.056361
0.010000,144.485022,169.843511,33.115684,76.660437,-26.743231,2.858733,6.055006
0.010000,145.229052,169.670270,33.879617,76.393253,-26.718338,2.489326,6.053869
0.010000,145.970304,169.496871,34.640880,76.126300,-26.695301,2.303667,6.052949
0.010000,146.708818,169.323482,35.399475,75.859529,-26.677151,1.815029,6.052247
0.010000,147.444633,169.150266,36.155404,75.592898,-26.663096,1.405497,6.051763
0.010000,148.177790,168.977385,36.908668,75.326365,-26.653322,0.977368,6.051497
0.010000,148.908326,168.805001,37.659266,75.059885,-26.647951,0.537092,6.051448
0.010000,149.636278,168.633272,38.407201,74.793417,-26.646820,0.113079,6.051617
0.010000,150.361684,168.462356,39.152470,74.526914,-26.650308,-0.348702,6.052003
0.010000,151.084579,168.292409,39.895073,74.260330,-26.658359,-0.805164,6.052607
0.010000,151.804999,168.123587,40.635009,73.993623,-26.670749,-1.238960,6.053428
0.010000,152.522977,167.956040,41.372277,73.726750,-26.687311,-1.656188,6.054468
0.010000,153.238544,167.789923,42.106874,73.459673,-26.707702,-2.039179,6.055725
0.010000,153.951734,167.625384,42.838797,73.192363,-26.730931,-2.322816,6.057201
0.010000,154.662575,167.462573,43.568045,72.924771,-26.759245,-2.831465,6.058895
0.010000,155.368060,167.302324,44.291501,72.345662,-57.910913,-3115.166797,6.060799
0.010000,156.063546,167.145809,45.004381,71.287934,-105.772765,-4786.185178,6.062896
0.010000,156.747460,166.993469,45.705056,70.067552,-122.038179,-1626.541355,6.065172
0.010000,157.419913,166.845349,46.393629,68.857256,-121.029675,100.850361,6.067620
0.010000,158.081010,166.701483,47.070199,67.656980,-120.027578,100.209667,6.070232
0.010000,158.730852,166.561896,47.734864,66.466552,-119.042818,98.476009,6.072999
0.010000,159.369539,166.426602,48.387723,65.285886,-118.066516,97.630194,6.075914
0.010000,159.997163,166.295608,49.028872,64.114869,-117.101711,96.480533,6.078968
0.010000,160.613816,166.168911,49.658406,62.953405,-116.146458,95.525330,6.082154
0.010000,161.219585,166.046499,50.276420,61.801382,-115.202286,94.417173,6.085464
0.010000,161.814555,165.928354,50.883006,60.658685,-114.269692,93.259372,6.088891
0.010000,162.398808,165.814450,51.478259,59.525228,-113.345701,92.399157,6.092426
0.010000,162.972423,165.704755,52.062268,58.400927,-112.430098,91.560261,6.096063
0.010000,163.535476,165.599228,52.635124,57.285644,-111.528259,90.183907,6.099794
0.010000,164.088041,165.497824,53.196918,56.179306,-110.633870,89.438882,6.103612
0.010000,164.630191,165.400492,53.747736,55.081796,-109.750920,88.295008,6.107510
0.010000,165.161996,165.307176,54.287666,53.993001,-108.879537,87.138255,6.111480
0.010000,165.683524,165.217813,54.816794,52.912843,-108.015812,86.372531,6.115515
0.010000,166.194841,165.132338,55.335206,51.841176,-107.166678,84.913387,6.119609
0.010000,166.696011,165.050681,55.842985,50.777907,-106.326905,83.977370,6.123755
0.010000,167.187098,164.972766,56.340214,49.722913,-105.499444,82.746012,6.127946
0.010000,167.668162,164.898517,56.826975,48.676069,-104.684332,81.511262,6.132174
0.010000,168.139264,164.827851,57.303347,47.637254,-103.881523,80.280851,6.136435
0.010000,168.600462,164.760685,57.769410,46.606332,-103.092221,78.930183,6.140720
0.010000,169.051814,164.696931,58.225242,45.583179,-102.315306,77.691569,6.145025
0.010000,169.493374,164.636501,58.670919,44.567634,-101.554469,76.083666,6.149342
0.010000,169.925198,164.579303,59.106514,43.559581,-100.805293,74.917660,6.153666
0.010000,170.347340,164.525245,59.532103,42.558860,-100.072108,73.318491,6.157990
0.010000,170.759851,164.474230,59.947756,41.565326,-99.353459,71.864849,6.162310
0.010000,171.162782,164.426165,60.353544,40.578790,-98.653602,69.985759,6.166618
0.010000,171.556184,164.380951,60.749536,39.599152,-97.963723,68.987867,6.170909
0.010000,171.940105,164.338490,61.135798,38.626193,-97.295955,66.776779,6.175179
0.010000,172.314593,164.298686,61.512396,37.659797,-96.639619,65.633583,6.179421
0.010000,172.679696,164.261439,61.879393,36.699753,-96.004356,63.526307,6.183630
0.010000,173.035458,164.226651,62.236852,35.745899,-95.385366,61.899002,6.187802
0.010000,173.381924,164.194223,62.584833,34.798077,-94.782233,60.313349,6.191931
0.010000,173.719139,164.164057,62.923394,33.856133,-94.194448,58.778444,6.196013
0.010000,174.047144,164.136056,63.252592,32.919778,-93.635448,55.900061,6.200043
0.010000,174.365981,164.110122,63.572482,31.989012,-93.076584,55.886366,6.204016
0.010000,174.675690,164.086159,63.883117,31.063493,-92.551922,52.466180,6.207929
0.010000,174.976311,164.064073,64.184548,30.143108,-92.038510,51.341216,6.211776
0.010000,175.267882,164.043769,64.476825,29.227705,-91.540274,49.823585,6.215554
0.010000,175.550440,164.025155,64.759995,28.317001,-91.070416,46.985818,6.219260
0.010000,175.824021,164.008140,65.034105,27.410973,-90.602768,46.764845,6.222889
0.010000,176.088660,163.992634,65.299198,26.509339,-90.163436,43.933155,6.226437
0.010000,176.344392,163.978550,65.555318,25.611944,-89.739518,42.391784,6.229902
0.010000,176.591249,163.965801,65.802503,24.718537,-89.340657,39.886114,6.233280
0.010000,176.829262,163.954305,66.040794,23.829094,-88.944279,39.637824,6.236567
0.010000,177.058463,163.943979,66.270228,22.943365,-88.572941,37.133805,6.239762
0.010000,177.278881,163.934743,66.490839,22.061121,-88.224453,34.848750,6.242860
0.010000,177.490544,163.926520,66.702662,21.182266,-87.885412,33.904075,6.245859
0.010000,177.693480,163.919236,66.905729,20.306706,-87.556048,32.936401,6.248757
0.010000,177.887715,163.912817,67.100070,19.434107,-87.259859,29.618915,6.251550
0.010000,178.073274,163.907194,67.285714,18.564392,-86.971520,28.833885,6.254238
0.010000,178.250181,163.902300,67.462688,17.697472,-86.691985,27.953520,6.256816
0.010000,178.418459,163.898069,67.631020,16.833138,-86.433452,25.853348,6.259284
0.010000,178.578130,163.894440,67.790731,15.971164,-86.197348,23.610352,6.261639
0.010000,178.729213,163.891354,67.941846,15.111497,-85.966712,23.063589,6.263880
0.010000,178.871730,163.888753,68.084387,14.254059,-85.743858,22.285475,6.266004
0.010000,179.005698,163.886586,68.218372,13.398556,-85.550257,19.360093,6.268011
0.010000,179.131134,163.884800,68.343821,12.544862,-85.369379,18.087772,6.269898
0.010000,179.248055,163.883350,68.460751,11.692996,-85.186572,18.280686,6.271663
0.010000,179.356476,163.882190,68.569178,10.842737,-85.025901,16.067083,6.273307
0.010000,179.456410,163.881278,68.669117,9.993809,-84.892805,13.309648,6.274828
0.010000,179.547871,163.880578,68.760580,9.146373,-84.743607,14.919741,6.276224
0.010000,179.630871,163.880053,68.843582,8.300128,-84.624571,11.903601,6.277494
0.010000,179.705420,163.879671,68.918132,7.455045,-84.508261,11.631015,6.278638
0.010000,179.771527,163.879404,68.984240,6.610768,-84.427716,8.054487,6.279655
0.010000,179.829202,163.879226,69.041915,5.767505,-84.326259,10.145784,6.280543
0.010000,179.878452,163.879114,69.091164,4.924959,-84.254582,7.167659,6.281304
0.010000,179.919281,163.879050,69.131994,4.082976,-84.198328,5.625421,6.281935
0.010000,179.951698,163.879018,69.164411,3.241705,-84.127142,7.118592,6.282437
0.010000,179.975705,163.879005,69.188418,2.400671,-84.103406,2.373617,6.282809
0.010000,179.991306,163.879001,69.204019,1.560111,-84.056017,4.738849,6.283050
0.010000,179.998503,163.879000,69.211216,0.719657,-84.045377,1.063973,6.283162
0.010000,180.000000,163.879000,69.212713,0.149725,-56.993159,2705.221875,6.283185
0.010000,180.000000,163.879000,69.212713,0.000000,-14.972516,4202.064313,6.283185
