dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,111.798274,149.980750,0.005000,1.000000,100.000000,10000.000000,0.000846
0.010000,111.795875,149.980748,0.007398,0.239835,-76.016530,-17601.652955,0.000650
0.010000,111.791880,149.980746,0.011394,0.399529,15.969384,9198.591382,0.000324
0.010000,111.796431,149.980745,0.015945,0.455137,5.560812,-1040.857268,6.283053
0.010000,111.834252,149.980729,0.053766,3.782054,332.691761,32713.094979,6.282467
0.010000,111.880487,149.980679,0.100001,4.623514,84.145954,-24854.580770,6.281752
0.010000,111.935142,149.980578,0.154656,5.465529,84.201477,5.552283,6.280907
0.010000,111.998225,149.980403,0.217739,6.308279,84.275077,7.360083,6.279934
0.010000,112.069742,149.980131,0.289257,7.151830,84.355025,7.994741,6.278834
0.010000,112.149705,149.979734,0.369221,7.996373,84.454375,9.935049,6.277606
0.010000,112.238123,149.979181,0.457641,8.841998,84.562438,10.806289,6.276253
0.010000,112.335008,149.978438,0.554528,9.688715,84.671721,10.928274,6.274774
0.010000,112.440371,149.977467,0.659895,10.536727,84.801204,12.948331,6.273172
0.010000,112.554226,149.976228,0.773758,11.386232,84.950481,14.927703,6.271446
0.010000,112.676589,149.974679,0.896131,12.237306,85.107468,15.698687,6.269599
0.010000,112.807476,149.972772,1.027031,13.090034,85.272796,16.532839,6.267632
0.010000,112.946902,149.970457,1.166476,13.944506,85.447127,17.433067,6.265545
0.010000,113.094885,149.967683,1.314486,14.800972,85.646669,19.954149,6.263342
0.010000,113.251446,149.964395,1.471081,15.659521,85.854873,20.820430,6.261023
0.010000,113.416605,149.960533,1.636285,16.520370,86.084891,23.001809,6.258591
0.010000,113.590381,149.956036,1.810120,17.383502,86.313151,22.826001,6.256047
0.010000,113.772799,149.950842,1.992611,18.249174,86.567232,25.408136,6.253393
0.010000,113.963881,149.944883,2.183786,19.117498,86.832442,26.520940,6.250632
0.010000,114.163654,149.938091,2.383674,19.988791,87.129294,29.685177,6.247766
0.010000,114.372141,149.930393,2.592303,20.862891,87.409940,28.064656,6.244797
0.010000,114.589370,149.921715,2.809706,21.740282,87.739139,32.919868,6.241728
0.010000,114.815370,149.911982,3.035915,22.620879,88.059746,32.060752,6.238561
0.010000,115.050168,149.901113,3.270965,23.505002,88.412233,35.248670,6.235300
0.010000,115.293796,149.889027,3.514893,24.392780,88.777811,36.557755,6.231947
0.010000,115.546285,149.875643,3.767736,25.284353,89.157346,37.953583,6.228506
0.010000,115.807667,149.860873,4.029535,26.179895,89.554146,39.679924,6.224979
0.010000,116.077977,149.844631,4.300332,27.079724,89.982886,42.874036,6.221371
0.010000,116.357248,149.826828,4.580170,27.983763,90.403926,42.104043,6.217684
0.010000,116.645516,149.807374,4.869094,28.892365,90.860252,45.632510,6.213923
0.010000,116.942818,149.786175,5.167151,29.805700,91.333416,47.316473,6.210091
0.010000,117.249192,149.763139,5.474390,30.723917,91.821742,48.832596,6.206192
0.010000,117.564678,149.738170,5.790862,31.647177,92.325957,50.421525,6.202230
0.010000,117.889313,149.711173,6.116618,32.575644,92.846722,52.076434,6.198210
0.010000,118.223142,149.682051,6.451714,33.509629,93.398522,55.179976,6.194137
0.010000,118.566204,149.650706,6.796206,34.449125,93.949616,55.109446,6.190014
0.010000,118.918544,149.617039,7.150150,35.394443,94.531798,58.218158,6.185846
0.010000,119.280205,149.580953,7.513607,36.345735,95.129149,59.735171,6.181638
0.010000,119.651234,149.542349,7.886639,37.303157,95.742216,61.306647,6.177396
0.010000,120.031676,149.501127,8.269308,38.266871,96.371451,62.923509,6.173124
0.010000,120.421578,149.457189,8.661678,39.237044,97.017216,64.576557,6.168828
0.010000,120.820991,149.410436,9.063817,40.213916,97.687251,67.003423,6.164513
0.010000,121.229962,149.360772,9.475793,41.197549,98.363265,67.601442,6.160184
0.010000,121.648542,149.308100,9.897674,42.188171,99.062263,69.899807,6.155848
0.010000,122.076785,149.252324,10.329534,43.185927,99.775539,71.327573,6.151510
0.010000,122.514741,149.193350,10.771443,44.190960,100.503350,72.781071,6.147176
0.010000,122.962467,149.131087,11.223477,45.203419,101.245856,74.250607,6.142852
0.010000,123.420017,149.065443,11.685712,46.223453,102.003470,75.761417,6.138545
0.010000,123.887447,148.996330,12.158224,47.251212,102.775825,77.235549,6.134260
0.010000,124.364816,148.923664,12.641092,48.286816,103.560422,78.459713,6.130005
0.010000,124.852183,148.847361,13.134396,49.330406,104.359049,79.862634,6.125785
0.010000,125.349609,148.767341,13.638217,50.382109,105.170286,81.123713,6.121607
0.010000,125.857156,148.683529,14.152638,51.442048,105.993861,82.357551,6.117478
