dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,111.798256,175.037749,0.005000,1.000000,100.000000,10000.000000,6.282341
0.010000,111.795862,175.037751,0.007395,0.239454,-76.054624,-17605.462355,6.282536
0.010000,111.791873,175.037753,0.011383,0.398894,15.944007,9199.863021,6.282862
0.010000,111.796439,175.037754,0.015949,0.456602,5.770851,-1017.315568,0.000132
0.010000,111.834271,175.037770,0.053781,3.783196,332.659337,32688.848571,0.000717
0.010000,111.880520,175.037819,0.100031,4.624908,84.171266,-24848.807044,0.001432
0.010000,111.935191,175.037921,0.154702,5.467176,84.226757,5.549030,0.002275
0.010000,111.998293,175.038095,0.217804,6.310179,84.300302,7.354517,0.003246
0.010000,112.069832,175.038367,0.289344,7.153981,84.380200,7.989823,0.004345
0.010000,112.149819,175.038763,0.369332,7.998776,84.479512,9.931187,0.005570
0.010000,112.238264,175.039316,0.457778,8.844650,84.587405,10.789340,0.006922
0.010000,112.335177,175.040058,0.554694,9.691617,84.696726,10.932092,0.008398
0.010000,112.440571,175.041027,0.660093,10.539878,84.826062,12.933602,0.009998
0.010000,112.554461,175.042264,0.773989,11.389630,84.975200,14.913780,0.011721
0.010000,112.676861,175.043812,0.896399,12.240950,85.132048,15.684808,0.013565
0.010000,112.807786,175.045717,1.027338,13.093923,85.297236,16.518770,0.015529
0.010000,112.947253,175.048028,1.166825,13.948637,85.471421,17.418564,0.017612
0.010000,113.095281,175.050798,1.314878,14.805346,85.670887,19.946553,0.019811
0.010000,113.251888,175.054083,1.471519,15.664132,85.878644,20.775743,0.022126
0.010000,113.417095,175.057940,1.636771,16.525219,86.108672,23.002721,0.024555
0.010000,113.590923,175.062430,1.810657,17.388585,86.336581,22.790962,0.027095
0.010000,113.773394,175.067617,1.993202,18.254489,86.590377,25.379607,0.029744
0.010000,113.964532,175.073568,2.184433,19.123042,86.855287,26.491014,0.032501
0.010000,114.164362,175.080352,2.384378,19.994561,87.151942,29.665483,0.035362
0.010000,114.372909,175.088039,2.593067,20.868880,87.431925,27.998234,0.038326
0.010000,114.590202,175.096705,2.810532,21.746491,87.761052,32.912782,0.041391
0.010000,114.816266,175.106426,3.036805,22.627302,88.081080,32.002777,0.044552
0.010000,115.051131,175.117280,3.271921,23.511632,88.433086,35.200635,0.047808
0.010000,115.294829,175.129349,3.515917,24.399614,88.798160,36.507386,0.051155
0.010000,115.547389,175.142716,3.768831,25.291386,89.177166,37.900558,0.054591
0.010000,115.808845,175.157466,4.030703,26.187122,89.573616,39.644971,0.058111
0.010000,116.079230,175.173686,4.301574,27.087134,90.001268,42.765211,0.061714
0.010000,116.358578,175.191464,4.581487,27.991356,90.422133,42.086493,0.065394
0.010000,116.646926,175.210892,4.870489,28.900131,90.877529,45.539582,0.069149
0.010000,116.944310,175.232062,5.168625,29.813631,91.349945,47.241607,0.072975
0.010000,117.250768,175.255066,5.475945,30.732005,91.837489,48.754477,0.076867
0.010000,117.566338,175.280000,5.792499,31.655414,92.340888,50.339901,0.080822
0.010000,117.891061,175.306960,6.118339,32.584022,92.860799,51.991080,0.084835
0.010000,118.224979,175.336041,6.453521,33.518141,93.411859,55.106004,0.088901
0.010000,118.568132,175.367343,6.798098,34.457759,93.961822,54.996255,0.093018
0.010000,118.920564,175.400962,7.152130,35.403189,94.542997,58.117533,0.097178
0.010000,119.282319,175.436997,7.515676,36.354582,95.139310,59.631289,0.101378
0.010000,119.653443,175.475547,7.888797,37.312095,95.751303,61.199353,0.105613
0.010000,120.033982,175.516710,8.271556,38.275890,96.379430,62.812683,0.109878
0.010000,120.423983,175.560585,8.664017,39.246130,97.024051,64.462117,0.114167
