dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,179.980721,139.379015,0.005000,1.000000,100.000000,10000.000000,3.140019
0.010000,179.983715,139.379011,0.007994,0.299399,-70.060079,-17006.007927,3.140263
0.010000,179.988707,139.379005,0.012986,0.499189,19.978993,9003.907231,3.140671
0.010000,179.995700,139.379001,0.019979,0.699265,20.007552,2.855873,3.141242
0.010000,179.981199,139.378996,0.034479,1.450044,75.077925,5507.037314,3.141976
0.010000,179.937215,139.378960,0.078463,4.398386,294.834161,21975.623601,3.142876
0.010000,179.885257,139.378865,0.130421,5.195848,79.746287,-21508.787395,3.143941
0.010000,179.825353,139.378688,0.190325,5.990388,79.453953,-29.233436,3.145172
0.010000,179.757510,139.378398,0.258169,6.784388,79.399970,-5.398259,3.146572
0.010000,179.681733,139.377961,0.333948,7.577863,79.347557,-5.241271,3.148141
0.010000,179.598059,139.377340,0.417624,8.367606,78.974321,-37.323642,3.149882
0.010000,179.506498,139.376494,0.509189,9.156491,78.888465,-8.585577,3.151796
0.010000,179.407080,139.375375,0.608613,9.942396,78.590455,-29.801018,3.153884
0.010000,179.299845,139.373936,0.715857,10.724460,78.206426,-38.402919,3.156150
0.010000,179.184816,139.372121,0.830900,11.504323,77.986340,-22.008558,3.158595
0.010000,179.062016,139.369872,0.953722,12.282148,77.782447,-20.389298,3.161222
0.010000,178.931489,139.367126,1.084277,13.055547,77.339972,-44.247483,3.164034
0.010000,178.793282,139.363817,1.222524,13.824701,76.915310,-42.466242,3.167033
0.010000,178.647426,139.359873,1.368434,14.590929,76.622809,-29.250134,3.170224
0.010000,178.493958,139.355218,1.521972,15.353830,76.290110,-33.269841,3.173609
0.010000,178.332933,139.349772,1.683089,16.111711,75.788174,-50.193581,3.177191
0.010000,178.164397,139.343451,1.851744,16.865462,75.375085,-41.308931,3.180975
0.010000,177.988414,139.336166,2.027878,17.613394,74.793202,-58.188346,3.184964
0.010000,177.805052,139.327823,2.211429,18.355115,74.172036,-62.116590,3.189163
0.010000,177.614334,139.318323,2.402384,19.095469,74.035443,-13.659303,3.193576
0.010000,177.416368,139.307564,2.600641,19.825773,73.030422,-100.502039,3.198207
0.010000,177.211196,139.295437,2.806171,20.552987,72.721359,-30.906367,3.203062
0.010000,176.998895,139.281830,3.018909,21.273747,72.076050,-64.530892,3.208145
0.010000,176.779548,139.266626,3.238781,21.987247,71.349946,-72.610364,3.213462
0.010000,176.553239,139.249702,3.465723,22.694168,70.692141,-65.780550,3.219017
0.010000,176.320049,139.230932,3.699666,23.394357,70.018865,-67.327530,3.224817
0.010000,176.080054,139.210183,3.940557,24.089027,69.467053,-55.181211,3.230868
0.010000,175.833379,139.187320,4.188289,24.773258,68.423006,-104.404751,3.237175
0.010000,175.580095,139.162198,4.442816,25.452718,67.946007,-47.699884,3.243744
0.010000,175.320330,139.134675,4.704036,26.121916,66.919851,-102.615564,3.250583
0.010000,175.054182,139.104596,4.971877,26.784170,66.225375,-69.447604,3.257697
