dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,180.019279,163.878985,0.005000,1.000000,100.000000,10000.000000,3.140019
0.010000,180.016285,163.878989,0.007994,0.299399,-70.060079,-17006.007927,3.140263
0.010000,180.011293,163.878995,0.012986,0.499189,19.978993,9003.907231,3.140671
0.010000,180.004300,163.878999,0.019979,0.699265,20.007552,2.855873,3.141242
0.010000,179.971798,163.878995,0.052481,3.250257,255.099235,23509.168331,3.141976
0.010000,179.905782,163.878940,0.118497,6.601563,335.130555,8003.131978,3.142876
0.010000,179.827730,163.878798,0.196549,7.805209,120.364651,-21476.590397,3.143941
0.010000,179.737652,163.878531,0.286627,9.007845,120.263582,-10.106918,3.145172
0.010000,179.635517,163.878094,0.388763,10.213583,120.573803,31.022116,3.146572
0.010000,179.521289,163.877435,0.502993,11.422993,120.940993,36.718967,3.148141
0.010000,179.394975,163.876498,0.629311,12.631784,120.879162,-6.183081,3.149882
0.010000,179.256532,163.875218,0.767759,13.844843,121.305831,42.666895,3.151796
0.010000,179.105947,163.873525,0.918355,15.059525,121.468235,16.240481,3.153884
0.010000,178.943210,163.871340,1.081105,16.275087,121.556180,8.794408,3.156150
0.010000,178.768286,163.868580,1.256051,17.494585,121.949798,39.361870,3.158595
0.010000,178.581129,163.865152,1.443240,18.718859,122.427433,47.763493,3.161222
0.010000,178.381725,163.860957,1.642689,19.944871,122.601128,17.369472,3.164034
0.010000,178.170050,163.855888,1.854423,21.173480,122.860900,25.977234,3.167033
0.010000,177.946059,163.849831,2.078497,22.407320,123.384067,52.316716,3.170224
0.010000,177.709704,163.842662,2.314961,23.646410,123.909001,52.493396,3.173609
0.010000,177.460958,163.834250,2.563848,24.888778,124.236742,32.774071,3.177191
0.010000,177.199777,163.824454,2.825213,26.136430,124.765221,52.847921,3.180975
0.010000,176.926138,163.813126,3.099087,27.387397,125.096718,33.149684,3.184964
0.010000,176.640017,163.800108,3.385504,28.641701,125.430405,33.368644,3.189163
0.010000,176.341311,163.785227,3.684580,29.907582,126.588135,115.773075,3.193576
0.010000,176.030050,163.768310,3.996301,31.172126,126.454313,-13.382263,3.198207
0.010000,175.706146,163.749165,4.320770,32.446901,127.477581,102.326806,3.203062
0.010000,175.369563,163.727592,4.658043,33.727314,128.041298,56.371711,3.208145
0.010000,175.020274,163.703380,5.008170,35.012740,128.542606,50.130852,3.213462
0.010000,174.658236,163.676306,5.371220,36.304918,129.217797,67.519061,3.219017
0.010000,174.283406,163.646134,5.747262,37.604261,129.934280,71.648269,3.224817
0.010000,173.895718,163.612615,6.136396,38.913389,130.912781,97.850121,3.230868
0.010000,173.495185,163.575490,6.538646,40.224974,131.158493,24.571205,3.237175
0.010000,173.081726,163.534481,6.954134,41.548799,132.382544,122.405122,3.243744
0.010000,172.655348,163.489302,7.382899,42.876503,132.770400,38.785610,3.250583
0.010000,172.216005,163.439647,7.825039,44.214024,133.752057,98.165722,3.257697
0.010000,171.763662,163.385197,8.280648,45.560855,134.683133,93.107519,3.265094
0.010000,171.298302,163.325617,8.749805,46.915778,135.492304,80.917181,3.272780
0.010000,170.819917,163.260555,9.232595,48.278961,136.318250,82.594528,3.280762
0.010000,170.328514,163.189648,9.729087,49.649159,137.019832,70.158237,3.289048
0.010000,169.824087,163.112510,10.239378,51.029147,137.998765,97.893249,3.297643
0.010000,169.306647,163.028741,10.763555,52.417655,138.850776,85.201183,3.306556
0.010000,168.776203,162.937918,11.301719,53.816392,139.873795,102.301809,3.315794
0.010000,168.232806,162.839611,11.853936,55.221715,140.532220,65.842542,3.325362
