dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,180.020436,161.121017,0.005000,1.000000,100.000000,10000.000000,3.143261
0.010000,180.017756,161.121013,0.007680,0.268012,-73.198755,-17319.875454,3.143042
0.010000,180.013288,161.121007,0.012149,0.446862,17.884956,9108.371048,3.142677
0.010000,180.007028,161.121002,0.018408,0.625973,17.911143,2.618723,3.142166
0.010000,179.993234,161.121000,0.032202,1.379349,75.337582,5742.643876,3.141509
0.010000,179.928350,161.121032,0.097087,6.488477,510.912809,43557.522676,3.140704
0.010000,179.851699,161.121136,0.173737,7.665064,117.658703,-39325.410569,3.139751
0.010000,179.763174,161.121348,0.262263,8.852525,118.746021,108.731806,3.138648
0.010000,179.662824,161.121707,0.362613,10.035073,118.254879,-49.114162,3.137395
0.010000,179.550629,161.122256,0.474810,11.219675,118.460206,20.532620,3.135991
0.010000,179.426557,161.123048,0.598884,12.407374,118.769865,30.965918,3.134433
0.010000,179.290584,161.124138,0.734862,13.597815,119.044096,27.423091,3.132720
0.010000,179.142684,161.125588,0.882768,14.790644,119.282847,23.875091,3.130851
0.010000,178.982840,161.127467,1.042623,15.985505,119.486131,20.328444,3.128823
0.010000,178.811036,161.129849,1.214444,17.182045,119.654029,16.789823,3.126634
0.010000,178.627261,161.132815,1.398243,18.379912,119.786690,13.266032,3.124282
0.010000,178.431451,161.136451,1.594087,19.584384,120.447186,66.049593,3.121764
0.010000,178.223593,161.140852,1.801992,20.790483,120.609928,16.274240,3.119078
0.010000,178.003655,161.146119,2.021993,22.000102,120.961872,35.194450,3.116221
0.010000,177.771632,161.152359,2.254100,23.210719,121.061678,9.980531,3.113190
0.010000,177.527413,161.159689,2.498428,24.432850,122.213117,115.143912,3.109981
0.010000,177.271025,161.168231,2.754959,25.653019,122.016895,-19.622165,3.106591
0.010000,177.002421,161.178116,3.023745,26.878593,122.557419,54.052395,3.103017
0.010000,176.721559,161.189485,3.304836,28.109193,123.059982,50.256296,3.099254
0.010000,176.428403,161.202484,3.598281,29.344438,123.524570,46.458777,3.095299
0.010000,176.122914,161.217271,3.904127,30.584618,124.017904,49.333391,3.091147
0.010000,175.805002,161.234015,4.222480,31.835331,125.071358,105.345414,3.086793
0.010000,175.474696,161.252888,4.553325,33.084445,124.911413,-15.994463,3.082234
0.010000,175.131904,161.274079,4.896771,34.344642,126.019712,110.829913,3.077463
0.010000,174.776631,161.297782,5.252834,35.606313,126.167093,14.738035,3.072477
0.010000,174.408756,161.324210,5.621657,36.882310,127.599686,143.259328,3.067268
0.010000,174.028296,161.353578,6.003249,38.159153,127.684254,8.456772,3.061832
0.010000,173.635197,161.386119,6.397692,39.444340,128.518729,83.447523,3.056164
0.010000,173.229413,161.422075,6.805066,40.737405,129.306526,78.779670,3.050255
0.010000,172.810906,161.461704,7.225445,42.037878,130.047246,74.072049,3.044102
0.010000,172.379648,161.505274,7.658898,43.345294,130.741646,69.439930,3.037696
0.010000,171.935540,161.553077,8.105572,44.667389,132.209534,146.788822,3.031030
0.010000,171.478632,161.605401,8.565467,45.989467,132.207708,-0.182592,3.024099
0.010000,171.008825,161.662570,9.038739,47.327214,133.774785,156.707746,3.016894
0.010000,170.526145,161.724906,9.525427,48.668831,134.161677,38.689214,3.009408
0.010000,170.030550,161.792758,10.025646,50.021886,135.305433,114.375546,3.001634
0.010000,169.522010,161.866491,10.539503,51.385673,136.378784,107.335132,2.993564
0.010000,169.000515,161.946486,11.067097,52.759471,137.379766,100.098184,2.985189
0.010000,168.466069,162.033140,11.608523,54.142536,138.306498,92.673188,2.976502
0.010000,167.918695,162.126867,12.163864,55.534108,139.157172,85.067405,2.967495
0.010000,167.358418,162.228101,12.733213,56.934874,140.076674,91.950238,2.958159
0.010000,166.785222,162.337305,13.316719,58.350600,141.572572,149.589744,2.948486
0.010000,166.199194,162.454944,13.914438,59.771948,142.134827,56.225535,2.938468
