dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,179.979564,185.620983,0.005000,1.000000,100.000000,10000.000000,3.143261
0.010000,179.982244,185.620987,0.007680,0.268012,-73.198755,-17319.875454,3.143042
0.010000,179.986712,185.620993,0.012149,0.446862,17.884956,9108.371048,3.142677
0.010000,179.992972,185.620998,0.018408,0.625973,17.911143,2.618723,3.142166
0.010000,179.995289,185.621000,0.020726,0.231739,-39.423472,-5733.461542,3.141509
0.010000,179.950130,185.621022,0.065885,4.515899,428.416042,46783.951447,3.140704
0.010000,179.896824,185.621095,0.119192,5.330682,81.478290,-34693.775271,3.139751
0.010000,179.835314,185.621242,0.180701,6.150961,82.027939,54.964952,3.138648
0.010000,179.765660,185.621491,0.250356,6.965434,81.447232,-58.070662,3.137395
0.010000,179.687875,185.621872,0.328142,7.778613,81.317954,-12.927827,3.135991
0.010000,179.601968,185.622420,0.414051,8.590887,81.227324,-9.063005,3.134433
0.010000,179.507954,185.623174,0.508067,9.401665,81.077810,-14.951377,3.132720
0.010000,179.405856,185.624175,0.610171,10.210355,80.869030,-20.878027,3.130851
0.010000,179.295700,185.625470,0.720334,11.016362,80.600677,-26.835271,3.128823
0.010000,179.177520,185.627108,0.838525,11.819087,80.272527,-32.814990,3.126634
0.010000,179.051357,185.629144,0.964705,12.617931,79.884441,-38.808608,3.124282
0.010000,178.917219,185.631635,1.098866,13.416147,79.821526,-6.291554,3.121764
0.010000,178.775151,185.634643,1.240965,14.209936,79.378957,-44.256847,3.119078
0.010000,178.625192,185.638234,1.390968,15.000215,79.027838,-35.111890,3.116221
0.010000,178.467401,185.642477,1.548816,15.784877,78.466269,-56.156954,3.113190
0.010000,178.301769,185.647448,1.714523,16.570668,78.579024,11.275550,3.109981
0.010000,178.128385,185.653225,1.888003,17.348018,77.735081,-84.394329,3.106591
0.010000,177.947292,185.659889,2.069218,18.121522,77.350376,-38.470532,3.103017
0.010000,177.758542,185.667529,2.258123,18.890492,76.897022,-45.335405,3.099254
0.010000,177.562192,185.676236,2.454666,19.654240,76.374784,-52.223756,3.095299
0.010000,177.358306,185.686105,2.658791,20.412520,75.828011,-54.677318,3.091147
0.010000,177.146912,185.697238,2.870477,21.168606,75.608560,-21.945138,3.086793
0.010000,176.928130,185.709739,3.089617,21.913969,74.536309,-107.225080,3.082234
0.010000,176.701996,185.723718,3.316182,22.656576,74.260700,-27.560873,3.077463
0.010000,176.468618,185.739288,3.550079,23.389607,73.303130,-95.756989,3.072477
0.010000,176.228028,185.756571,3.791289,24.121035,73.142805,-16.032503,3.067268
0.010000,175.980349,185.775689,4.039704,24.841540,72.050478,-109.232737,3.061832
0.010000,175.725665,185.796771,4.295260,25.555568,71.402812,-64.766570,3.056164
0.010000,175.464066,185.819950,4.557883,26.262333,70.676447,-72.636549,3.050255
0.010000,175.195656,185.845366,4.827494,26.961058,69.872534,-80.391288,3.044102
0.010000,174.920547,185.873159,5.104004,27.650992,68.993372,-87.916154,3.037696
0.010000,174.638808,185.903484,5.387370,28.336590,68.559828,-43.354450,3.031030
0.010000,174.350611,185.936487,5.677451,29.008078,67.148760,-141.106749,3.024099
0.010000,174.056034,185.972332,5.974200,29.674969,66.689112,-45.964801,3.016894
0.010000,173.755238,186.011177,6.277494,30.329430,65.446171,-124.294081,3.009408
0.010000,173.448342,186.053193,6.587253,30.975848,64.641762,-80.440942,3.001634
0.010000,173.135479,186.098554,6.903387,31.613425,63.757684,-88.407781,2.993564
0.010000,172.816792,186.147437,7.225801,32.241412,62.798736,-95.894765,2.985189
0.010000,172.492436,186.200026,7.554393,32.859120,61.770759,-102.797752,2.976502
0.010000,172.162578,186.256506,7.889052,33.465927,60.680700,-109.005865,2.967495
