dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,271.749990,95.015897,0.005000,1.000000,100.000000,10000.000000,4.713687
0.010000,271.749996,95.010171,0.010726,0.572595,-42.740461,-14274.046121,4.713219
0.010000,271.750000,95.000622,0.020275,0.954924,38.232904,8097.336494,4.712440
0.010000,271.749976,94.953855,0.067042,4.676689,372.176475,33394.357123,4.711347
0.010000,271.749867,94.891603,0.129294,6.225191,154.850192,-21732.628258,4.709938
0.010000,271.749615,94.815462,0.205436,7.614158,138.896684,-1595.350863,4.708212
0.010000,271.749147,94.725384,0.295515,9.007904,139.374557,47.787364,4.706165
0.010000,271.748376,94.621341,0.399561,10.404609,139.670516,29.595871,4.703794
0.010000,271.747202,94.503270,0.517638,11.807709,140.309992,63.947610,4.701094
0.010000,271.745509,94.371128,0.649790,13.215263,140.755422,44.542945,4.698061
0.010000,271.743166,94.224853,0.796084,14.629372,141.410896,65.547472,4.694690
0.010000,271.740027,94.064364,0.956604,16.052017,142.264519,85.362222,4.690974
0.010000,271.735929,93.889607,1.131409,17.480457,142.843970,57.945113,4.686909
0.010000,271.730692,93.700497,1.320592,18.918305,143.784818,94.084784,4.682485
0.010000,271.724116,93.496947,1.524248,20.365561,144.725571,94.075320,4.677697
0.010000,271.715985,93.278881,1.742465,21.821745,145.618466,89.289522,4.672536
0.010000,271.706061,93.046189,1.975369,23.290355,146.860955,124.248917,4.666994
0.010000,271.694088,92.798792,2.223056,24.768735,147.838006,97.705042,4.661060
0.010000,271.679785,92.536584,2.485653,26.259704,149.096928,125.892226,4.654725
0.010000,271.662852,92.259474,2.763280,27.762681,150.297686,120.075804,4.647980
0.010000,271.642959,91.967337,3.056093,29.281354,151.867259,156.957287,4.640812
0.010000,271.619757,91.660093,3.364212,30.811875,153.052164,118.490482,4.633210
0.010000,271.592867,91.337636,3.687789,32.357687,154.581141,152.897713,4.625163
0.010000,271.561885,90.999871,4.026972,33.918270,156.058392,147.725116,4.616658
0.010000,271.526372,90.646688,4.381936,35.496399,157.812883,175.449160,4.607681
0.010000,271.485866,90.278016,4.752826,37.089005,159.260526,144.764290,4.598221
0.010000,271.439870,89.893778,5.139808,38.698205,160.920016,165.948943,4.588263
0.010000,271.387854,89.493895,5.543060,40.325187,162.698231,177.821553,4.577793
0.010000,271.329256,89.078330,5.962736,41.967627,164.244002,154.577100,4.566799
0.010000,271.263477,88.647036,6.399016,43.628064,166.043710,179.970801,4.555266
0.010000,271.189887,88.200006,6.852063,45.304679,167.661453,161.774306,4.543180
0.010000,271.107820,87.737264,7.322026,46.996271,169.159256,149.780222,4.530530
0.010000,271.016572,87.258847,7.809067,48.704119,170.784765,162.550966,4.517301
0.010000,270.915409,86.764834,8.313332,50.426443,172.232377,144.761155,4.503484
0.010000,270.803564,86.255363,8.834935,52.160345,173.390249,115.787172,4.489067
0.010000,270.680236,85.730596,9.373999,53.906440,174.609481,121.923252,4.474041
0.010000,270.544603,85.190770,9.930604,55.660464,175.402444,79.296290,4.458399
0.010000,270.395811,84.636163,10.504824,57.421961,176.149695,74.725073,4.442136
0.010000,270.232995,84.067144,11.096678,59.185421,176.345978,19.628285,4.425249
0.010000,270.055275,83.484137,11.706170,60.949210,176.378857,3.287943,4.407739
0.010000,269.861768,82.887664,12.333247,62.707724,175.851442,-52.741451,4.389609
0.010000,269.651590,82.278312,12.977828,64.458064,175.033938,-81.750435,4.370867
0.010000,269.423879,81.656783,13.639757,66.192922,173.485849,-154.808900,4.351525
0.010000,269.177791,81.023854,14.318844,67.908655,171.573273,-191.257605,4.331599
0.010000,268.912528,80.380417,15.014815,69.597142,168.848773,-272.450050,4.311110
0.010000,268.627338,79.727447,15.727348,71.253297,165.615445,-323.332708,4.290086
0.010000,268.321538,79.066023,16.456043,72.869463,161.616570,-399.887504,4.268559
0.010000,267.994519,78.397305,17.200438,74.439515,157.005267,-461.130360,4.246566
0.010000,267.645771,77.722542,17.959998,75.955979,151.646397,-535.887026,4.224152
0.010000,267.274886,77.043055,18.734115,77.411748,145.576913,-606.948321,4.201365
0.010000,266.881574,76.360221,19.522123,78.800778,138.902981,-667.393265,4.178261
0.010000,266.465671,75.675462,20.323291,80.116833,131.605491,-729.748939,4.154899
0.010000,266.027144,74.990218,21.136842,81.355075,123.824200,-778.129099,4.131342
0.010000,265.566096,74.305942,21.961947,82.510526,115.545108,-827.909226,4.107658
0.010000,265.082765,73.624065,22.797750,83.580233,106.970680,-857.442779,4.083918
0.010000,264.577522,72.945981,23.643367,84.561738,98.150489,-882.019091,4.060192
0.010000,264.050861,72.273024,24.497909,85.454222,89.248363,-890.212684,4.036555
0.010000,263.503393,71.606453,25.360485,86.257632,80.341072,-890.729062,4.013077
0.010000,262.935830,70.947430,26.230221,86.973520,71.588784,-875.228810,3.989832
0.010000,262.348971,70.297008,27.106265,87.604406,63.088557,-850.022695,3.966888
0.010000,261.743687,69.656117,27.987803,88.153869,54.946326,-814.223130,3.944312
0.010000,261.120901,69.025559,28.874068,88.626450,47.258157,-768.816890,3.922166
0.010000,260.481576,68.406004,29.764341,89.027275,40.082484,-717.567228,3.900510
0.010000,259.826693,67.797984,30.657962,89.362122,33.484682,-659.780266,3.879397
0.010000,259.157241,67.201902,31.554333,89.637096,27.497361,-598.732087,3.858875
0.010000,258.474198,66.618028,32.452918,89.858509,22.141275,-535.608579,3.838990
0.010000,257.778527,66.046514,33.353244,90.032596,17.408768,-473.250727,3.819778
0.010000,257.071161,65.487399,34.254896,90.165189,13.259241,-414.952717,3.801275
0.010000,256.352997,64.940613,35.157522,90.262627,9.743799,-351.544186,3.783509
0.010000,255.624895,64.406000,36.060818,90.329646,6.701895,-304.190338,3.766504
0.010000,254.887668,63.883314,36.964535,90.371616,4.197066,-250.482932,3.750282
0.010000,254.142091,63.372241,37.868460,90.392568,2.095156,-210.191010,3.734858
0.010000,253.388891,62.872400,38.772425,90.396449,0.388163,-170.699257,3.720248
0.010000,252.628754,62.383358,39.676288,90.386361,-1.008888,-139.705155,3.706463
0.010000,251.862332,61.904636,40.579935,90.364681,-2.167932,-115.904347,3.693512
0.010000,251.095338,61.438774,41.477325,89.738941,-62.574017,-6040.608557,3.681479
0.010000,250.333315,60.987888,42.362749,88.542445,-119.649592,-5707.557511,3.670424
0.010000,249.576597,60.550884,43.236589,87.383970,-115.847516,380.207652,3.660314
0.010000,248.825472,60.126723,44.099202,86.261278,-112.269150,357.836549,3.651121
0.010000,248.080198,59.714422,44.950921,85.171911,-108.936767,333.238373,3.642817
0.010000,247.341003,59.313051,45.792056,84.113541,-105.837005,309.976171,3.635378
0.010000,246.608099,58.921730,46.622886,83.083036,-103.050471,278.653342,3.628779
0.010000,245.881684,58.539631,47.443665,82.077893,-100.514307,253.616481,3.623001
0.010000,245.161949,58.165972,48.254616,81.095038,-98.285509,222.879781,3.618026
0.010000,244.449081,57.800015,49.055930,80.131465,-96.357248,192.826129,3.613837
0.010000,243.743268,57.441064,49.847775,79.184410,-94.705560,165.168758,3.610421
0.010000,243.044705,57.088463,50.630282,78.250782,-93.362750,134.280980,3.607767
0.010000,242.353590,56.741596,51.403558,77.327613,-92.316906,104.584395,3.605867
0.010000,241.854458,56.491975,51.961629,55.807096,-2152.051703,-205973.479692,3.604668
0.010000,241.159048,56.145719,52.738475,77.684563,2187.746657,433979.836055,3.602476
0.010000,240.462890,55.800992,53.515310,77.683475,-0.108786,-218785.544385,3.600286
0.010000,239.765985,55.457794,54.292138,77.682854,-0.062088,4.669818,3.598096
0.010000,239.068333,55.116124,55.068962,77.682380,-0.047384,1.470426,3.595906
0.010000,238.369947,54.775988,55.845774,77.681158,-0.122243,-7.485948,3.593717
0.010000,237.670822,54.437383,56.622580,77.680645,-0.051289,7.095464,3.591529
0.010000,236.970967,54.100313,57.399377,77.679730,-0.091443,-4.015392,3.589341
0.010000,236.270388,53.764780,58.176161,77.678371,-0.135942,-4.449903,3.587155
0.010000,235.569082,53.430782,58.952940,77.677891,-0.047954,8.798774,3.584969
0.010000,234.867059,53.098323,59.729706,77.676609,-0.128196,-8.024232,3.582784
0.010000,234.164325,52.767404,60.506457,77.675111,-0.149848,-2.165154,3.580600
0.010000,233.460874,52.438023,61.283203,77.674598,-0.051325,9.852241,3.578417
0.010000,232.756721,52.110184,62.059933,77.673014,-0.158347,-10.702142,3.576235
0.010000,232.051869,51.783889,62.836648,77.671457,-0.155763,0.258402,3.574054
0.010000,231.346313,51.459135,63.613355,77.670687,-0.077009,7.875406,3.571874
0.010000,230.640068,51.135927,64.390044,77.668943,-0.174400,-9.739169,3.569695
0.010000,229.933135,50.814265,65.166717,77.667289,-0.165325,0.907510,3.567517
0.010000,229.225513,50.494146,65.943380,77.666280,-0.100968,6.435777,3.565341
0.010000,228.517213,50.175576,66.720024,77.664393,-0.188670,-8.770284,3.563166
0.010000,227.808238,49.858554,67.496650,77.662595,-0.179769,0.890184,3.560992
0.010000,227.098588,49.543078,68.273264,77.661395,-0.120010,5.975886,3.558820
0.010000,226.388272,49.229152,69.049857,77.659365,-0.203034,-8.302439,3.556649
0.010000,225.677295,48.916776,69.826431,77.657380,-0.198450,0.458462,3.554479
0.010000,224.965654,48.605949,70.602992,77.656033,-0.134729,6.372084,3.552311
0.010000,224.253362,48.296673,71.379530,77.653858,-0.217462,-8.273367,3.550145
0.010000,223.540422,47.988949,72.156047,77.651651,-0.220756,-0.329394,3.547980
0.010000,222.826830,47.682774,72.932549,77.650194,-0.145689,7.506770,3.545817
0.010000,222.112600,47.378153,73.709027,77.647875,-0.231927,-8.623829,3.543655
0.010000,221.397735,47.075084,74.485483,77.645516,-0.235887,-0.395978,3.541496
0.010000,220.682233,46.773567,75.261920,77.643777,-0.173868,6.201909,3.539338
0.010000,219.966105,46.473602,76.038334,77.641415,-0.236179,-6.231152,3.537181
0.010000,219.249354,46.175192,76.814724,77.638911,-0.250386,-1.420730,3.535027
0.010000,218.531982,45.878333,77.591092,77.636856,-0.205581,4.480588,3.532874
0.010000,217.813994,45.583027,78.367437,77.634483,-0.237289,-3.170807,3.530724
0.010000,217.095398,45.289276,79.143755,77.631834,-0.264860,-2.757104,3.528575
0.010000,216.376195,44.997077,79.920050,77.629444,-0.239058,2.580168,3.526429
0.010000,215.656389,44.706432,80.696321,77.627080,-0.236354,0.270404,3.524284
0.010000,214.935987,44.417339,81.472563,77.624287,-0.279282,-4.292772,3.522142
0.010000,214.214993,44.129801,82.248779,77.621549,-0.273820,0.546130,3.520002
0.010000,213.493408,43.843814,83.024971,77.619211,-0.233816,4.000461,3.517864
0.010000,212.771240,43.559380,83.801134,77.616275,-0.293629,-5.981305,3.515728
0.010000,212.048495,43.276499,84.577267,77.613298,-0.297645,-0.401651,3.513595
0.010000,211.325172,42.995169,85.353374,77.610762,-0.253632,4.401326,3.511463
0.010000,210.601278,42.715391,86.129452,77.607801,-0.296106,-4.247397,3.509335
0.010000,209.876821,42.437166,86.905499,77.604682,-0.311882,-1.577618,3.507208
0.010000,209.151801,42.160490,87.681517,77.601755,-0.292648,1.923382,3.505084
0.010000,208.426222,41.885365,88.457505,77.598871,-0.288462,0.418635,3.502963
0.010000,207.700092,41.611790,89.233462,77.595611,-0.325992,-3.753025,3.500844
0.010000,206.973415,41.339765,90.009385,77.592311,-0.329976,-0.398414,3.498728
0.010000,206.246191,41.069287,90.785279,77.589475,-0.283612,4.636486,3.496614
0.010000,205.518430,40.800358,91.561140,77.586091,-0.338415,-5.480311,3.494503
0.010000,204.790134,40.532977,92.336967,77.582652,-0.343909,-0.549406,3.492395
0.010000,204.061308,40.267142,93.112761,77.579406,-0.324584,1.932424,3.490289
0.010000,203.331954,40.002852,93.888522,77.576128,-0.327778,-0.319339,3.488186
0.010000,202.602080,39.740108,94.664248,77.572552,-0.357668,-2.989038,3.486086
0.010000,201.871691,39.478908,95.439937,77.568936,-0.361578,-0.391013,3.483989
0.010000,201.140786,39.219251,96.215594,77.565700,-0.323616,3.796234,3.481894
0.010000,200.409374,38.961136,96.991214,77.562017,-0.368237,-4.462078,3.479803
0.010000,199.677460,38.704562,97.766797,77.558266,-0.375101,-0.686383,3.477714
0.010000,198.945046,38.449529,98.542343,77.554620,-0.364597,1.050404,3.475629
0.010000,198.212136,38.196034,99.317854,77.551056,-0.356398,0.819892,3.473547
0.010000,197.478737,37.944077,100.093325,77.547172,-0.388410,-3.201245,3.471467
0.010000,196.744853,37.693658,100.868758,77.543250,-0.392209,-0.379936,3.469391
0.010000,196.010487,37.444773,101.644153,77.539559,-0.369065,2.314406,3.467318
0.010000,195.275643,37.197423,102.419510,77.535662,-0.389790,-2.072418,3.465248
0.010000,194.540327,36.951606,103.194826,77.531609,-0.405230,-1.544063,3.463181
0.010000,193.804544,36.707320,103.970101,77.527525,-0.408435,-0.320437,3.461118
0.010000,193.068295,36.464564,104.745339,77.523743,-0.378234,3.020063,3.459058
0.010000,192.331588,36.223337,105.520534,77.519562,-0.418004,-3.977006,3.457001
0.010000,191.594426,35.983638,106.295688,77.515346,-0.421661,-0.365666,3.454948
0.010000,190.856814,35.745464,107.070800,77.511185,-0.416136,0.552468,3.452898
