dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,259.500000,95.000000,0.005000,1.000000,100.000000,10000.000000,4.713687
0.010000,259.500000,95.000000,0.020000,2.000000,100.000000,0.000000,4.713219
0.010000,259.500000,95.000000,0.045000,3.000000,100.000000,0.000000,4.712440
0.010000,259.499983,94.966622,0.080000,4.000000,100.000000,0.000000,4.711347
0.010000,259.499904,94.921622,0.125000,5.000000,100.000000,0.000000,4.709938
0.010000,259.499722,94.866625,0.180000,6.000000,100.000000,0.000000,4.708212
0.010000,259.499384,94.801624,0.245000,7.000000,100.000000,0.000000,4.706165
0.010000,259.498828,94.726629,0.320000,8.000000,100.000000,0.000000,4.703794
0.010000,259.497983,94.641630,0.405000,9.000000,100.000000,0.000000,4.701094
0.010000,259.496766,94.546639,0.500000,10.000000,100.000000,0.000000,4.698061
0.010000,259.495085,94.441656,0.605000,11.000000,100.000000,0.000000,4.694690
0.010000,259.492836,94.326673,0.720000,12.000000,100.000000,0.000000,4.690974
0.010000,259.489906,94.201708,0.845000,13.000000,100.000000,0.000000,4.686909
0.010000,259.486168,94.066760,0.980000,14.000000,100.000000,0.000000,4.682485
0.010000,259.481486,93.921835,1.125000,15.000000,100.000000,0.000000,4.677697
0.010000,259.475711,93.766946,1.280000,16.000000,100.000000,0.000000,4.672536
0.010000,259.468681,93.602093,1.445000,17.000000,100.000000,0.000000,4.666994
0.010000,259.460222,93.427298,1.620000,18.000000,100.000000,0.000000,4.661060
0.010000,259.450146,93.242573,1.805000,19.000000,100.000000,0.000000,4.654725
0.010000,259.438253,93.047942,2.000000,20.000000,100.000000,0.000000,4.647980
0.010000,259.424326,92.843411,2.205000,21.000000,100.000000,0.000000,4.640812
0.010000,259.408136,92.629022,2.420000,22.000000,100.000000,-0.000000,4.633210
0.010000,259.389439,92.404801,2.645000,23.000000,100.000000,0.000000,4.625163
0.010000,259.367974,92.170789,2.880000,24.000000,100.000000,0.000000,4.616658
0.010000,259.343464,91.927015,3.125000,25.000000,100.000000,0.000000,4.607681
0.010000,259.315615,91.673541,3.380000,26.000000,100.000000,0.000000,4.598221
0.010000,259.284119,91.410423,3.645000,27.000000,100.000000,0.000000,4.588263
