dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,247.250010,94.984103,0.005000,1.000000,100.000000,10000.000000,4.713687
0.010000,247.250004,94.989829,0.010726,0.572595,-42.740461,-14274.046121,4.713219
0.010000,247.250000,94.999378,0.020275,0.954924,38.232904,8097.336494,4.712440
0.010000,247.249989,94.979389,0.040264,1.998838,104.391353,6615.844912,4.711347
0.010000,247.249941,94.951641,0.068012,2.774878,77.604002,-2678.735076,4.709938
0.010000,247.249829,94.917788,0.101865,3.385271,61.039273,-1656.472950,4.708212
0.010000,247.249621,94.877863,0.141790,3.992527,60.725616,-31.365665,4.706165
0.010000,247.249281,94.831916,0.187739,4.594865,60.233818,-49.179772,4.703794
0.010000,247.248764,94.779990,0.239667,5.192823,59.795776,-43.804227,4.701094
0.010000,247.248023,94.722150,0.297513,5.784555,59.173183,-62.259258,4.698061
0.010000,247.247004,94.658458,0.361213,6.369989,58.543421,-62.976220,4.694690
0.010000,247.245645,94.588981,0.430702,6.948977,57.898865,-64.455655,4.690974
0.010000,247.243882,94.513809,0.505896,7.519320,57.034286,-86.457828,4.686909
0.010000,247.241645,94.433024,0.586711,8.081565,56.224457,-80.982973,4.682485
0.010000,247.238857,94.346722,0.673058,8.634683,55.311786,-91.267018,4.677697
0.010000,247.235438,94.255012,0.764833,9.177453,54.277028,-103.475810,4.672536
0.010000,247.231301,94.157996,0.861936,9.710327,53.287389,-98.963895,4.666994
0.010000,247.226356,94.055804,0.964248,10.231179,52.085246,-120.214358,4.661060
0.010000,247.220506,93.948562,1.071650,10.740190,50.901036,-118.420942,4.654725
0.010000,247.213654,93.836409,1.184011,11.236144,49.595388,-130.564824,4.647980
0.010000,247.205693,93.719484,1.301207,11.719581,48.343710,-125.167787,4.640812
0.010000,247.196516,93.597950,1.423087,12.188045,46.846444,-149.726585,4.633210
0.010000,247.186011,93.471966,1.549508,12.642068,45.402239,-144.420562,4.625163
0.010000,247.174064,93.341707,1.680315,13.080659,43.859136,-154.310277,4.616658
0.010000,247.160555,93.207342,1.815356,13.504184,42.352471,-150.666546,4.607681
0.010000,247.145364,93.069065,1.954465,13.910874,40.669000,-168.347077,4.598221
0.010000,247.128368,92.927068,2.097476,14.301086,39.021190,-164.780980,4.588263
0.010000,247.109440,92.781544,2.244225,14.674945,37.385980,-163.521000,4.577793
0.010000,247.088454,92.632702,2.394540,15.031488,35.654271,-173.170928,4.566799
0.010000,247.065281,92.480741,2.548258,15.371737,34.024899,-162.937142,4.555266
0.010000,247.039789,92.325871,2.705212,15.695399,32.366174,-165.872524,4.543180
0.010000,247.011847,92.168302,2.865239,16.002733,30.733441,-163.273334,4.530530
0.010000,246.981321,92.008235,3.028191,16.295186,29.245266,-148.817507,4.517301
0.010000,246.948075,91.845868,3.193926,16.573538,27.835182,-141.008388,4.503484
0.010000,246.911972,91.681397,3.362313,16.838674,26.513621,-132.156119,4.489067
0.010000,246.872870,91.514999,3.533244,17.093117,25.444334,-106.928645,4.474041
0.010000,246.830624,91.346841,3.706628,17.338358,24.524061,-92.027273,4.458399
0.010000,246.785080,91.177066,3.882405,17.577685,23.932727,-59.133414,4.442136
0.010000,246.736081,91.005804,4.060539,17.813452,23.576682,-35.604540,4.425249
0.010000,246.683454,90.833147,4.241038,18.049871,23.641930,6.524852,4.407739
0.010000,246.627015,90.659166,4.423944,18.290643,24.077164,43.523323,4.389609
0.010000,246.566562,90.483889,4.609354,18.540959,25.031596,95.443222,4.370867
0.010000,246.501873,90.307311,4.797408,18.805410,26.445086,141.349016,4.351525
0.010000,246.432696,90.129383,4.988311,19.090284,28.487417,204.233121,4.331599
0.010000,246.358753,89.950015,5.182323,19.401175,31.089127,260.170989,4.311110
0.010000,246.279725,89.769070,5.379773,19.745018,34.384248,329.512124,4.290086
0.010000,246.195256,89.586367,5.581057,20.128384,38.336595,395.234653,4.268559
0.010000,246.104941,89.401683,5.786641,20.558472,43.008828,467.223311,4.246566
0.010000,246.008325,89.214754,5.997062,21.042123,48.365097,535.626919,4.224152
0.010000,245.904901,89.025282,6.212923,21.586082,54.395891,603.079408,4.201365
0.010000,245.794107,88.832941,6.434893,22.196961,61.087972,669.208068,4.178261
0.010000,245.675323,88.637384,6.663699,22.880657,68.369574,728.160193,4.154899
0.010000,245.547875,88.438250,6.900125,23.642560,76.190239,782.066499,4.131342
0.010000,245.411040,88.235182,7.144994,24.486896,84.433618,824.337882,4.107658
0.010000,245.264046,88.027827,7.399166,25.417164,93.026840,859.322218,4.083918
0.010000,245.106085,87.815855,7.663521,26.435544,101.838017,881.117711,4.060192
0.010000,244.936321,87.598961,7.938953,27.543142,110.759795,892.177765,4.036555
0.010000,244.753899,87.376883,8.226349,28.739685,119.654236,889.444162,4.013077
0.010000,244.557956,87.149398,8.526587,30.023808,128.412345,875.810876,3.989832
0.010000,244.347639,86.916335,8.840517,31.392948,136.913981,850.163550,3.966888
0.010000,244.122110,86.677575,9.168952,32.843509,145.056078,814.209724,3.944312
0.010000,243.880564,86.433051,9.512662,34.371027,152.751864,769.578606,3.922166
0.010000,243.622234,86.182747,9.872365,35.970263,159.923597,717.173288,3.900510
0.010000,243.346407,85.926696,10.248720,37.635479,166.521522,659.792572,3.879397
0.010000,243.052425,85.664971,10.642326,39.360577,172.509854,598.833207,3.858875
0.010000,242.739694,85.397681,11.053719,41.139320,177.874297,536.444292,3.838990
0.010000,242.407687,85.124965,11.483373,42.965451,182.613082,473.878419,3.819778
0.010000,242.055946,84.846978,11.931701,44.832755,186.730419,411.733727,3.801275
0.010000,241.684082,84.563889,12.399058,46.735719,190.296348,356.592897,3.783509
0.010000,241.291772,84.275867,12.885744,48.668636,193.291710,299.536210,3.766504
0.010000,240.878757,83.983076,13.392013,50.626870,195.823472,253.176202,3.750282
0.010000,240.444838,83.685666,13.918072,52.605927,197.905698,208.222613,3.734858
0.010000,239.989869,83.383768,14.464094,54.602191,199.626369,172.067125,3.720248
0.010000,239.513753,83.077481,15.030220,56.612540,201.034888,140.851864,3.706463
0.010000,239.016437,82.766874,15.616564,58.634415,202.187466,115.257842,3.693512
0.010000,238.501387,82.454063,16.219164,60.260054,162.563930,-3962.353612,3.681479
0.010000,237.972463,82.141122,16.833732,61.456726,119.667182,-4289.674806,3.670424
0.010000,237.430223,81.827999,17.459886,62.615439,115.871306,-379.587647,3.660314
0.010000,236.875212,81.514600,18.097269,63.738268,112.282945,-358.836071,3.651121
0.010000,236.307949,81.200794,18.745544,64.827587,108.931895,-335.105035,3.642817
0.010000,235.728931,80.886409,19.404407,65.886224,105.863698,-306.819690,3.635378
0.010000,235.138632,80.571241,20.073573,66.916634,103.041002,-282.269609,3.628779
0.010000,234.537498,80.255051,20.752792,67.921931,100.529639,-251.136270,3.623001
0.010000,233.925949,79.937566,21.441841,68.904886,98.295542,-223.409668,3.618026
0.010000,233.304381,79.618486,22.140525,69.868381,96.349535,-194.600720,3.613837
0.010000,232.673163,79.297476,22.848680,70.815541,94.715983,-163.355252,3.610421
0.010000,232.032638,78.974175,23.566173,71.749224,93.368262,-134.772100,3.607767
0.010000,231.383129,78.648192,24.292897,72.672385,92.316159,-105.210250,3.605867
0.010000,230.910274,78.411711,24.821588,52.869147,-1980.323823,-207263.998243,3.604668
