dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,41.005500,39.249999,0.005000,1.000000,100.000000,10000.000000,6.282736
0.010000,41.004913,39.249999,0.005587,0.058713,-94.128697,-19412.869724,6.282784
0.010000,41.003935,39.249999,0.006566,0.097841,3.912793,9804.149033,6.282864
0.010000,41.002565,39.250000,0.007935,0.136948,3.910680,-0.211355,6.282976
0.010000,41.000805,39.250000,0.009695,0.176025,3.907720,-0.295983,6.283120
0.010000,41.033071,39.250002,0.041961,3.226578,305.055324,30114.760430,0.000110
0.010000,41.095530,39.250015,0.104421,6.245952,301.937393,-311.793062,0.000317
0.010000,41.167600,39.250047,0.176490,7.206960,96.100801,-20583.659254,0.000556
0.010000,41.249281,39.250103,0.258171,8.168104,96.114394,1.359337,0.000827
0.010000,41.340574,39.250193,0.349464,9.129312,96.120821,0.642676,0.001130
0.010000,41.441479,39.250323,0.450369,10.090480,96.116741,-0.408031,0.001464
0.010000,41.551997,39.250505,0.560887,11.051834,96.135434,1.869336,0.001830
0.010000,41.672130,39.250749,0.681021,12.013350,96.151601,1.616663,0.002227
0.010000,41.801878,39.251066,0.810769,12.974850,96.149958,-0.164263,0.002656
0.010000,41.941242,39.251468,0.950134,13.936471,96.162183,1.222529,0.003116
0.010000,42.090224,39.251969,1.099116,14.898211,96.173932,1.174867,0.003607
0.010000,42.248823,39.252583,1.257717,15.860063,96.185237,1.130492,0.004130
0.010000,42.417043,39.253324,1.425938,16.822141,96.207830,2.259358,0.004683
0.010000,42.594884,39.254209,1.603782,17.784332,96.219065,1.123457,0.005267
0.010000,42.782347,39.255254,1.791247,18.746559,96.222727,0.366218,0.005882
0.010000,42.979433,39.256477,1.988337,19.709019,96.245919,2.319132,0.006528
0.010000,43.186145,39.257896,2.195055,20.671723,96.270456,2.453739,0.007204
0.010000,43.402484,39.259531,2.411399,21.634448,96.272481,0.202496,0.007911
0.010000,43.628451,39.261402,2.637374,22.597486,96.303849,3.136821,0.008648
0.010000,43.864048,39.263530,2.872981,23.560702,96.321552,1.770328,0.009414
0.010000,44.109277,39.265936,3.118221,24.524024,96.332253,1.070081,0.010211
0.010000,44.364138,39.268644,3.373097,25.487603,96.357859,2.560593,0.011037
0.010000,44.628636,39.271677,3.637612,26.451477,96.387394,2.953501,0.011893
0.010000,44.902770,39.275059,3.911768,27.415544,96.406673,1.927934,0.012779
0.010000,45.186544,39.278815,4.195566,28.379810,96.426671,1.999708,0.013693
0.010000,45.479958,39.282972,4.489009,29.344352,96.454123,2.745260,0.014636
0.010000,45.783015,39.287555,4.792101,30.309209,96.485713,3.158950,0.015609
0.010000,46.095717,39.292593,5.104844,31.274255,96.504657,1.894481,0.016609
0.010000,46.418065,39.298113,5.427239,32.239541,96.528561,2.390357,0.017638
0.010000,46.750062,39.304145,5.759291,33.205162,96.562149,3.358749,0.018695
0.010000,47.091710,39.310719,6.101003,34.171171,96.600811,3.866247,0.019780
0.010000,47.443011,39.317864,6.452375,35.137286,96.611530,1.071936,0.020892
0.010000,47.803967,39.325612,6.813415,36.103953,96.666698,5.516779,0.022032
0.010000,48.174580,39.333995,7.184123,37.070770,96.681751,1.505301,0.023199
0.010000,48.554851,39.343045,7.564502,38.037919,96.714828,3.307690,0.024392
0.010000,48.944785,39.352797,7.954558,39.005578,96.765964,5.113574,0.025612
0.010000,49.344383,39.363283,8.354292,39.973483,96.790430,2.446592,0.026858
0.010000,49.753645,39.374538,8.763710,40.941747,96.826409,3.597943,0.028130
0.010000,50.172576,39.386598,9.182814,41.910400,96.865303,3.889378,0.029428
0.010000,50.601176,39.399499,9.611608,42.879442,96.904220,3.891685,0.030751
0.010000,51.039448,39.413276,10.050097,43.848874,96.943242,3.902269,0.032099
0.010000,51.487395,39.427967,10.498284,44.818722,96.984725,4.148291,0.033471
0.010000,51.945018,39.443610,10.956175,45.789096,97.037462,5.273657,0.034868
0.010000,52.412320,39.460243,11.423773,46.759752,97.065625,2.816331,0.036288
0.010000,52.889302,39.477905,11.901081,47.730855,97.110272,4.464683,0.037733
0.010000,53.375967,39.496635,12.388107,48.702568,97.171306,6.103414,0.039200
0.010000,53.872316,39.516472,12.884852,49.674544,97.197536,2.622992,0.040690
0.010000,54.378353,39.537458,13.391324,50.647166,97.262232,6.469621,0.042203
0.010000,54.894078,39.559632,13.907526,51.620192,97.302598,4.036606,0.043737
0.010000,55.419494,39.583037,14.433463,52.593690,97.349787,4.718814,0.045293
0.010000,55.954603,39.607714,14.969140,53.567728,97.403824,5.403747,0.046871
0.010000,56.499407,39.633704,15.514564,54.542344,97.461608,5.778361,0.048469
0.010000,57.053907,39.661051,16.069738,55.517445,97.510110,4.850207,0.050087
0.010000,57.618106,39.689798,16.634669,56.493079,97.563425,5.331515,0.051725
0.010000,58.192006,39.719987,17.209362,57.469298,97.621813,5.838839,0.053383
0.010000,58.775608,39.751662,17.793823,58.446102,97.680479,5.866539,0.055060
0.010000,59.368914,39.784867,18.388057,59.423442,97.734004,5.352511,0.056755
0.010000,59.971925,39.819647,18.992071,60.401351,97.790879,5.687568,0.058468
0.010000,60.584644,39.856045,19.605870,61.379930,97.857894,6.701501,0.060199
0.010000,61.207073,39.894106,20.229461,62.359108,97.917823,5.992872,0.061946
0.010000,61.839212,39.933875,20.862850,63.338878,97.976918,5.909494,0.063711
0.010000,62.481063,39.975398,21.506043,64.319328,98.045024,6.810568,0.065491
0.010000,63.132629,40.018718,22.159048,65.300433,98.110471,6.544713,0.067286
0.010000,63.793910,40.063883,22.821869,66.282149,98.171609,6.113852,0.069097
0.010000,64.464908,40.110936,23.494515,67.264564,98.241540,6.993056,0.070922
0.010000,65.145625,40.159925,24.176992,68.247719,98.315531,7.399112,0.072760
0.010000,65.836061,40.210893,24.869307,69.231525,98.380592,6.506074,0.074612
0.010000,66.536219,40.263888,25.571468,70.216040,98.451449,7.085746,0.076476
0.010000,67.246099,40.318954,26.283480,71.201277,98.523701,7.225154,0.078353
0.010000,67.965703,40.376137,27.005353,72.187281,98.600457,7.675587,0.080241
