dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.994500,14.750001,0.005000,1.000000,100.000000,10000.000000,6.282736
0.010000,40.995087,14.750001,0.005587,0.058713,-94.128697,-19412.869724,6.282784
0.010000,40.996065,14.750001,0.006566,0.097841,3.912793,9804.149033,6.282864
0.010000,40.997435,14.750000,0.007935,0.136948,3.910680,-0.211355,6.282976
0.010000,40.999195,14.750000,0.009695,0.176025,3.907720,-0.295983,6.283120
0.010000,41.035762,14.750002,0.046262,3.656715,348.069036,34416.131604,0.000110
0.010000,41.103303,14.750016,0.113803,6.754082,309.736704,-3833.233204,0.000317
0.010000,41.181233,14.750050,0.191733,7.792983,103.890062,-20584.664193,0.000556
0.010000,41.269552,14.750112,0.280052,8.831907,103.892358,0.229593,0.000827
0.010000,41.368259,14.750208,0.378760,9.870759,103.885232,-0.712542,0.001130
0.010000,41.477353,14.750350,0.487854,10.909410,103.865069,-2.016289,0.001464
0.010000,41.596834,14.750546,0.607335,11.948088,103.867844,0.277461,0.001830
0.010000,41.726701,14.750810,0.737202,12.986750,103.866191,-0.165268,0.002227
0.010000,41.866953,14.751152,0.877454,14.025186,103.843584,-2.260714,0.002656
0.010000,42.017587,14.751587,1.028089,15.063528,103.834258,-0.932610,0.003116
0.010000,42.178604,14.752128,1.189107,16.101755,103.822695,-1.156312,0.003607
0.010000,42.350001,14.752792,1.360505,17.139844,103.808920,-1.377493,0.004130
0.010000,42.531778,14.753593,1.542284,18.177900,103.805600,-0.332023,0.004683
0.010000,42.723934,14.754549,1.734442,19.215783,103.788247,-1.735256,0.005267
0.010000,42.926465,14.755678,1.936976,20.253392,103.760947,-2.730051,0.005882
0.010000,43.139370,14.756999,2.149885,21.290922,103.752965,-0.798146,0.006528
0.010000,43.362648,14.758532,2.373169,22.328368,103.744639,-0.832646,0.007204
0.010000,43.596296,14.760298,2.606824,23.365470,103.710186,-3.445259,0.007911
0.010000,43.840313,14.762318,2.850849,24.402526,103.705602,-0.458388,0.008648
0.010000,44.094697,14.764616,3.105243,25.439371,103.684418,-2.118458,0.009414
0.010000,44.359443,14.767214,3.370002,26.475909,103.653819,-3.059889,0.010211
0.010000,44.634550,14.770136,3.645125,27.512283,103.637442,-1.637716,0.011037
0.010000,44.920017,14.773410,3.930610,28.548517,103.623413,-1.402829,0.011893
0.010000,45.215839,14.777059,4.226455,29.584481,103.596408,-2.700519,0.012779
0.010000,45.522014,14.781112,4.532656,30.620164,103.568257,-2.815160,0.013693
0.010000,45.838538,14.785596,4.849212,31.655626,103.546209,-2.204756,0.014636
0.010000,46.165410,14.790539,5.176121,32.690893,103.526662,-1.954660,0.015609
0.010000,46.502624,14.795972,5.513379,33.725808,103.491500,-3.516273,0.016609
0.010000,46.850177,14.801924,5.860984,34.760405,103.459694,-3.180606,0.017638
0.010000,47.208066,14.808426,6.218931,35.794768,103.436315,-2.337860,0.018695
0.010000,47.576287,14.815511,6.587221,36.828931,103.416369,-1.994602,0.019780
0.010000,47.954834,14.823210,6.965846,37.862574,103.364256,-5.211264,0.020892
0.010000,48.343706,14.831558,7.354808,38.896154,103.357972,-0.628419,0.022032
0.010000,48.742896,14.840587,7.754100,39.929217,103.306374,-5.159804,0.023199
0.010000,49.152400,14.850334,8.163719,40.961938,103.272092,-3.428229,0.024392
0.010000,49.572213,14.860832,8.583664,41.994490,103.255124,-1.696775,0.025612
0.010000,50.002331,14.872119,9.013930,43.026563,103.207291,-4.783293,0.026858
0.010000,50.442747,14.884231,9.454512,44.058259,103.169694,-3.759706,0.028130
0.010000,50.893456,14.897206,9.905408,45.089590,103.133051,-3.664332,0.029428
0.010000,51.354453,14.911081,10.366614,46.120532,103.094231,-3.881990,0.030751
0.010000,51.825731,14.925896,10.838124,47.151065,103.053307,-4.092421,0.032099
0.010000,52.307284,14.941690,11.319936,48.181193,103.012792,-4.051428,0.033471
0.010000,52.799107,14.958502,11.812046,49.211014,102.982118,-3.067450,0.034868
0.010000,53.301191,14.976373,12.314449,50.240242,102.922763,-5.935541,0.036288
0.010000,53.813530,14.995344,12.827139,51.269030,102.878842,-4.392015,0.037733
0.010000,54.336119,15.015456,13.350114,52.297533,102.850215,-2.862762,0.039200
0.010000,54.868947,15.036751,13.883368,53.325352,102.781894,-6.832105,0.040690
0.010000,55.412009,15.059272,14.426897,54.352877,102.752542,-2.935187,0.042203
0.010000,55.965296,15.083062,14.980695,55.379824,102.694724,-5.781832,0.043737
0.010000,56.528799,15.108163,15.544757,56.406243,102.641873,-5.285080,0.045293
0.010000,57.102512,15.134620,16.119079,57.432183,102.593996,-4.787667,0.046871
0.010000,57.686424,15.162476,16.703656,58.457660,102.547746,-4.625048,0.048469
0.010000,58.280528,15.191777,17.298481,59.482552,102.489149,-5.859673,0.050087
0.010000,58.884813,15.222566,17.903550,60.506885,102.433307,-5.584138,0.051725
0.010000,59.499270,15.254888,18.518857,61.530690,102.380483,-5.282428,0.053383
0.010000,60.123890,15.288790,19.144397,62.553945,102.325527,-5.495637,0.055060
0.010000,60.758662,15.324316,19.780162,63.576571,102.262637,-6.289009,0.056755
0.010000,61.403576,15.361512,20.426148,64.598580,102.200897,-6.173947,0.058468
0.010000,62.058622,15.400424,21.082349,65.620056,102.147554,-5.334318,0.060199
0.010000,62.723789,15.441098,21.748758,66.640898,102.084178,-6.337586,0.061946
0.010000,63.399064,15.483582,22.425368,67.661072,102.017460,-6.671806,0.063711
0.010000,64.084438,15.527919,23.112175,68.680651,101.957911,-5.954936,0.065491
0.010000,64.779899,15.574159,23.809171,69.699582,101.893058,-6.485307,0.067286
0.010000,65.485433,15.622345,24.516349,70.717793,101.821148,-7.190996,0.069097
0.010000,66.201029,15.672526,25.233702,71.735355,101.756162,-6.498625,0.070922
0.010000,66.926675,15.724748,25.961225,72.752285,101.693040,-6.312183,0.072760
0.010000,67.662358,15.779057,26.698910,73.768465,101.617938,-7.510179,0.074612
0.010000,68.408065,15.835499,27.446749,74.783930,101.546565,-7.137324,0.076476
0.010000,69.163781,15.894120,28.204736,75.798673,101.474227,-7.233743,0.078353
0.010000,69.929494,15.954967,28.972863,76.812715,101.404239,-6.998823,0.080241
0.010000,70.700055,16.017663,29.745969,77.310648,49.793332,-5161.090653,0.082127
0.010000,71.470319,16.081792,30.518899,77.292936,-1.771238,-5156.457064,0.083999
0.010000,72.240286,16.147342,31.291651,77.275181,-1.775539,-0.430066,0.085856
0.010000,73.009952,16.214301,32.064224,77.257384,-1.779711,-0.417252,0.087699
0.010000,73.779317,16.282656,32.836620,77.239573,-1.781060,-0.134912,0.089527
0.010000,74.548379,16.352397,33.608837,77.221721,-1.785240,-0.417955,0.091341
0.010000,75.317135,16.423510,34.380875,77.203802,-1.791903,-0.666272,0.093140
0.010000,76.085583,16.495983,35.152734,77.185846,-1.795572,-0.366907,0.094924
0.010000,76.853723,16.569805,35.924412,77.167855,-1.799123,-0.355089,0.096694
0.010000,77.621552,16.644963,36.695911,77.149849,-1.800591,-0.146850,0.098449
0.010000,78.389069,16.721444,37.467229,77.131811,-1.803731,-0.313969,0.100189
0.010000,79.156272,16.799238,38.238366,77.113717,-1.809474,-0.574348,0.101915
0.010000,79.923160,16.878330,39.009322,77.095591,-1.812562,-0.308721,0.103625
0.010000,80.689732,16.958710,39.780096,77.077436,-1.815541,-0.297907,0.105321
0.010000,81.455986,17.040365,40.550689,77.059267,-1.816867,-0.132684,0.107002
0.010000,82.221921,17.123282,41.321100,77.041071,-1.819568,-0.270024,0.108668
0.010000,82.987537,17.207450,42.091328,77.022829,-1.824201,-0.463312,0.110320
0.010000,83.752832,17.292857,42.861374,77.004562,-1.826756,-0.255548,0.111956
0.010000,84.517805,17.379489,43.631236,76.986270,-1.829214,-0.245737,0.113578
0.010000,85.282455,17.467334,44.400916,76.967966,-1.830319,-0.110513,0.115184
0.010000,86.046782,17.556381,45.170412,76.949638,-1.832808,-0.248888,0.116776
0.010000,86.810784,17.646618,45.939725,76.931275,-1.836332,-0.352395,0.118352
0.010000,87.574461,17.738031,46.708854,76.912891,-1.838405,-0.207369,0.119914
0.010000,88.337813,17.830608,47.477799,76.894487,-1.840391,-0.198546,0.121460
0.010000,89.100838,17.924338,48.246560,76.876074,-1.841304,-0.091278,0.122992
0.010000,89.863537,18.019207,49.015136,76.857638,-1.843582,-0.227858,0.124508
0.010000,90.625908,18.115205,49.783528,76.839177,-1.846115,-0.253274,0.126010
0.010000,91.387952,18.212318,50.551735,76.820699,-1.847756,-0.164110,0.127496
0.010000,92.149669,18.310533,51.319757,76.802206,-1.849319,-0.156252,0.128967
0.010000,92.911057,18.409840,52.087594,76.783705,-1.850124,-0.080590,0.130423
0.010000,93.672117,18.510226,52.855246,76.765184,-1.852075,-0.195074,0.131864
0.010000,94.432848,18.611677,53.622712,76.746646,-1.853795,-0.171954,0.133290
0.010000,95.193251,18.714183,54.389993,76.728096,-1.855051,-0.125650,0.134701
0.010000,95.953326,18.817730,55.157089,76.709533,-1.856238,-0.118726,0.136096
0.010000,96.713072,18.922307,55.923998,76.690963,-1.857041,-0.080250,0.137477
0.010000,97.472489,19.027901,56.690722,76.672378,-1.858505,-0.146437,0.138842
0.010000,98.231579,19.134501,57.457260,76.653782,-1.859609,-0.110353,0.140192
0.010000,98.990340,19.242093,58.223612,76.635177,-1.860527,-0.091831,0.141527
0.010000,99.748774,19.350665,58.989777,76.616563,-1.861385,-0.085805,0.142846
0.010000,100.506880,19.460206,59.755757,76.597940,-1.862280,-0.089505,0.144151
0.010000,101.264660,19.570704,60.521550,76.579309,-1.863111,-0.083076,0.145440
0.010000,102.022112,19.682145,61.287156,76.560671,-1.863787,-0.067609,0.146714
0.010000,102.779239,19.794518,62.052577,76.542027,-1.864412,-0.062466,0.147973
0.010000,103.536039,19.907810,62.817810,76.523377,-1.864985,-0.057295,0.149216
0.010000,104.292515,20.022010,63.582858,76.504717,-1.866045,-0.106056,0.150445
0.010000,105.048666,20.137106,64.347718,76.486055,-1.866138,-0.009298,0.151658
0.010000,105.804494,20.253084,65.112392,76.467390,-1.866550,-0.041133,0.152856
0.010000,106.559998,20.369934,65.876879,76.448720,-1.866923,-0.037341,0.154038
0.010000,107.315180,20.487642,66.641180,76.430047,-1.867328,-0.040449,0.155206
0.010000,108.070041,20.606197,67.405293,76.411363,-1.868372,-0.104438,0.156358
0.010000,108.824581,20.725587,68.169220,76.392684,-1.867906,0.046593,0.157495
