dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.018044,132.249987,0.005000,1.000000,100.000000,10000.000000,6.281712
0.010000,65.015762,132.249990,0.007281,0.228129,-77.187087,-17718.708706,6.281899
0.010000,65.011961,132.249994,0.011083,0.380145,15.201552,9238.863930,6.282209
0.010000,65.006640,132.249998,0.016403,0.532054,15.190945,-1.060732,6.282643
0.010000,65.001104,132.250000,0.021940,0.553699,2.164511,-1302.643413,0.000016
0.010000,65.047754,132.250017,0.068591,4.665058,411.135859,40897.134870,0.000698
0.010000,65.102879,132.250077,0.123716,5.512480,84.742228,-32639.363102,0.001504
0.010000,65.166500,132.250203,0.187337,6.362108,84.962759,22.053042,0.002433
0.010000,65.238603,132.250416,0.259440,7.210368,84.826060,-13.669864,0.003486
0.010000,65.319195,132.250744,0.340033,8.059214,84.884587,5.852687,0.004662
0.010000,65.408284,132.251218,0.429123,8.909042,84.982758,9.817067,0.005961
0.010000,65.505869,132.251869,0.526710,9.758720,84.967868,-1.488933,0.007382
0.010000,65.611952,132.252734,0.632797,10.608638,84.991748,2.387939,0.008926
0.010000,65.726536,132.253852,0.747386,11.458939,85.030134,3.838637,0.010592
0.010000,65.849628,132.255266,0.870486,12.310035,85.109601,7.946727,0.012380
0.010000,65.981232,132.257021,1.002102,13.161600,85.156440,4.683865,0.014289
0.010000,66.121347,132.259165,1.142234,14.013154,85.155392,-0.104862,0.016319
0.010000,66.269979,132.261751,1.290889,14.865469,85.231568,7.617668,0.018469
0.010000,66.427139,132.264832,1.448079,15.719013,85.354360,12.279181,0.020740
0.010000,66.592824,132.268467,1.613803,16.572426,85.341278,-1.308203,0.023130
0.010000,66.767042,132.272716,1.788073,17.426967,85.454098,11.281981,0.025638
0.010000,66.949802,132.277643,1.970900,18.282695,85.572827,11.872942,0.028265
0.010000,67.141105,132.283315,2.162287,19.138709,85.601373,2.854603,0.031009
0.010000,67.340958,132.289800,2.362245,19.995837,85.712888,11.151450,0.033869
0.010000,67.549369,132.297172,2.570786,20.854071,85.823371,11.048361,0.036845
0.010000,67.766343,132.305506,2.787920,21.713409,85.933771,11.039992,0.039936
0.010000,67.991887,132.314881,3.013658,22.573860,86.045061,11.128991,0.043141
0.010000,68.226006,132.325376,3.248013,23.435442,86.158238,11.317716,0.046459
0.010000,68.468713,132.337078,3.491002,24.298891,86.344920,18.668178,0.049889
0.010000,68.720012,132.350071,3.742637,25.163506,86.461495,11.657498,0.053429
0.010000,68.979908,132.364447,4.002930,26.029326,86.581979,12.048369,0.057078
0.010000,69.248416,132.380296,4.271905,26.897506,86.818035,23.605626,0.060835
0.010000,69.525539,132.397713,4.549575,27.766955,86.944891,12.685570,0.064699
0.010000,69.811284,132.416796,4.835956,28.638175,87.121983,17.709260,0.068668
0.010000,70.105664,132.437645,5.131073,29.511705,87.352971,23.098789,0.072740
0.010000,70.408688,132.460362,5.434948,30.387463,87.575823,22.285161,0.076913
0.010000,70.720363,132.485052,5.747600,31.265146,87.768297,19.247457,0.081187
0.010000,71.040698,132.511822,6.069051,32.145195,88.004882,23.658443,0.085558
0.010000,71.369707,132.540781,6.399332,33.028088,88.289296,28.441404,0.090025
0.010000,71.707397,132.572041,6.738466,33.913351,88.526373,23.707666,0.094585
0.010000,72.053776,132.605716,7.086477,34.801159,88.780793,25.442057,0.099237
0.010000,72.408856,132.641920,7.443399,35.692135,89.097564,31.677106,0.103978
0.010000,72.772649,132.680773,7.809261,36.586210,89.407534,30.997031,0.108806
0.010000,73.145165,132.722392,8.184094,37.483327,89.711643,30.410811,0.113718
0.010000,73.526412,132.766900,8.567930,38.383607,90.028034,31.639165,0.118710
0.010000,73.916407,132.814420,8.960810,39.288019,90.441217,41.318297,0.123781
0.010000,74.315158,132.865075,9.362766,40.195532,90.751262,31.004487,0.128928
0.010000,74.722676,132.918992,9.773835,41.106921,91.138917,38.765463,0.134147
0.010000,75.138973,132.976297,10.194058,42.022288,91.536683,39.776628,0.139435
0.010000,75.564062,133.037119,10.623475,42.941744,91.945590,40.890662,0.144788
0.010000,75.997953,133.101586,11.062129,43.865410,92.366589,42.099945,0.150204
0.010000,76.440661,133.169829,11.510067,44.793742,92.833265,46.667547,0.155678
0.010000,76.892197,133.241979,11.967331,45.726416,93.267336,43.407111,0.161208
0.010000,77.352572,133.318167,12.433967,46.663649,93.723293,45.595745,0.166788
0.010000,77.821803,133.398524,12.910029,47.606175,94.252645,52.935199,0.172416
0.010000,78.299898,133.483182,13.395562,48.553293,94.711816,45.917108,0.178087
0.010000,78.786873,133.572273,13.890619,49.505690,95.239654,52.783738,0.183796
0.010000,79.282741,133.665930,14.395255,50.463556,95.786643,54.698968,0.189540
0.010000,79.787515,133.764283,14.909521,51.426651,96.309474,52.283088,0.195314
0.010000,80.301209,133.867463,15.433475,52.395342,96.869142,55.966799,0.201114
0.010000,80.823836,133.975600,15.967172,53.369733,97.439082,56.994028,0.206935
0.010000,81.355411,134.088823,16.510671,54.349930,98.019735,58.065225,0.212771
0.010000,81.895948,134.207262,17.064032,55.336084,98.615364,59.562933,0.218619
0.010000,82.445463,134.331041,17.627315,56.328347,99.226332,61.096776,0.224474
0.010000,83.003970,134.460287,18.200582,57.326629,99.828129,60.179690,0.230329
0.010000,83.571485,134.595123,18.783894,58.331254,100.462510,63.438106,0.236181
0.010000,84.148023,134.735669,19.377316,59.342188,101.093465,63.095548,0.242024
0.010000,84.733601,134.882045,19.980912,60.359605,101.741681,64.821610,0.247853
0.010000,85.328237,135.034366,20.594747,61.383494,102.388856,64.717442,0.253662
0.010000,85.931947,135.192748,21.218887,62.414003,103.050953,66.209702,0.259447
0.010000,86.544751,135.357300,21.853399,63.451185,103.718147,66.719392,0.265201
0.010000,87.166666,135.528129,22.498350,64.495089,104.390372,67.222503,0.270919
0.010000,87.797714,135.705340,23.153808,65.545772,105.068330,67.795834,0.276596
0.010000,88.437915,135.889032,23.819840,66.603284,105.751171,68.284088,0.282226
0.010000,89.087290,136.079302,24.496517,67.667678,106.439447,68.827638,0.287803
0.010000,89.741501,136.274924,25.179350,68.283238,61.555982,-4488.346529,0.293286
0.010000,90.396196,136.474560,25.863806,68.445604,16.236613,-4531.936884,0.298637
0.010000,91.051380,136.678135,26.549888,68.608236,16.263235,2.662179,0.303854
0.010000,91.707061,136.885574,27.237600,68.771182,16.294615,3.138037,0.308939
0.010000,92.363244,137.096801,27.926943,68.934309,16.312654,1.803835,0.313891
0.010000,93.019939,137.311738,28.617918,69.097473,16.316372,0.371793,0.318709
0.010000,93.677154,137.530308,29.310525,69.260697,16.322420,0.604844,0.323394
0.010000,94.334900,137.752433,30.004764,69.423950,16.325287,0.286706,0.327946
0.010000,94.993186,137.978035,30.700635,69.587131,16.318088,-0.719859,0.332364
0.010000,95.652023,138.207035,31.398136,69.750059,16.292847,-2.524129,0.336650
0.010000,96.311424,138.439354,32.097266,69.912953,16.289353,-0.349454,0.340803
0.010000,96.971403,138.674912,32.798022,70.075643,16.269026,-2.032708,0.344823
0.010000,97.631972,138.913630,33.500402,70.238042,16.239870,-2.915542,0.348710
0.010000,98.293147,139.155427,34.204404,70.400122,16.208031,-3.183871,0.352465
