dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,64.981956,107.750013,0.005000,1.000000,100.000000,10000.000000,6.281712
0.010000,64.984238,107.750010,0.007281,0.228129,-77.187087,-17718.708706,6.281899
0.010000,64.988039,107.750006,0.011083,0.380145,15.201552,9238.863930,6.282209
0.010000,64.993360,107.750002,0.016403,0.532054,15.190945,-1.060732,6.282643
0.010000,65.001499,107.750000,0.024543,0.813938,28.188419,1299.747393,0.000016
0.010000,65.064861,107.750023,0.087904,6.336175,552.223623,52403.520419,0.000698
0.010000,65.139724,107.750105,0.162768,7.486324,115.014963,-43720.865972,0.001504
0.010000,65.226114,107.750275,0.249158,8.639040,115.271623,25.665950,0.002433
0.010000,65.324008,107.750565,0.347052,9.789398,115.035782,-23.584084,0.003486
0.010000,65.433406,107.751011,0.456452,10.939972,115.057357,2.157465,0.004662
0.010000,65.554317,107.751653,0.577364,12.091218,115.124615,6.725828,0.005961
0.010000,65.686729,107.752536,0.709779,13.241517,115.029890,-9.472486,0.007382
0.010000,65.830637,107.753710,0.853692,14.391305,114.978834,-5.105602,0.008926
0.010000,65.986037,107.755226,1.009099,15.540685,114.937990,-4.084396,0.010592
0.010000,66.152927,107.757143,1.176000,16.690113,114.942817,0.482644,0.012380
0.010000,66.331302,107.759522,1.354391,17.839041,114.892755,-5.006149,0.014289
0.010000,66.521146,107.762428,1.544258,18.986707,114.766584,-12.617120,0.016319
0.010000,66.722456,107.765930,1.745598,20.134039,114.733197,-3.338731,0.018469
0.010000,66.935231,107.770102,1.958413,21.281541,114.750274,1.707793,0.020740
0.010000,67.159449,107.775021,2.182686,22.427242,114.570042,-18.023236,0.023130
0.010000,67.395106,107.780768,2.418413,23.572703,114.546169,-2.387304,0.025638
0.010000,67.642195,107.787429,2.665591,24.717856,114.515284,-3.088532,0.028265
0.010000,67.900695,107.795093,2.924205,25.861324,114.346725,-16.855900,0.031009
0.010000,68.170593,107.803851,3.194245,27.004061,114.273767,-7.295820,0.033869
0.010000,68.451876,107.813801,3.475704,28.145880,114.181894,-9.187296,0.036845
0.010000,68.744526,107.825041,3.768570,29.286595,114.071502,-11.039188,0.039936
0.010000,69.048524,107.837677,4.072830,30.426025,113.943006,-12.849617,0.043141
0.010000,69.363847,107.851813,4.388470,31.563994,113.796838,-14.616793,0.046459
0.010000,69.690481,107.867560,4.715483,32.701278,113.728421,-6.841630,0.049889
0.010000,70.028396,107.885032,5.053850,33.836712,113.543397,-18.502444,0.053429
0.010000,70.377564,107.904345,5.403551,34.970118,113.340634,-20.276318,0.057078
0.010000,70.737965,107.925618,5.764579,36.102808,113.269020,-7.161398,0.060835
0.010000,71.109562,107.948973,6.136910,37.233065,113.025643,-24.337686,0.064699
0.010000,71.492322,107.974535,6.520523,38.361303,112.823800,-20.184287,0.068668
0.010000,71.886216,108.002432,6.915403,39.487974,112.667172,-15.662751,0.072740
0.010000,72.291206,108.032793,7.321530,40.612691,112.471642,-19.553011,0.076913
0.010000,72.707250,108.065751,7.738877,41.734759,112.206771,-26.487116,0.081187
0.010000,73.134306,108.101439,8.167422,42.854471,111.971278,-23.549267,0.085558
0.010000,73.572335,108.139994,8.607144,43.972161,111.769003,-20.227504,0.090025
0.010000,74.021284,108.181553,9.058012,45.086885,111.472375,-29.662879,0.094585
0.010000,74.481102,108.226255,9.519998,46.198555,111.167013,-30.536188,0.099237
0.010000,74.951738,108.274242,9.993075,47.307673,110.911801,-25.521145,0.103978
0.010000,75.433139,108.325654,10.477213,48.413815,110.614150,-29.765153,0.108806
0.010000,75.925243,108.380635,10.972379,49.516564,110.274930,-33.921952,0.113718
0.010000,76.427986,108.439326,11.478536,50.615742,109.917774,-35.715606,0.118710
0.010000,76.941312,108.501873,11.995659,51.712276,109.653415,-26.435962,0.123781
0.010000,77.465147,108.568418,12.523703,52.804457,109.218063,-43.535128,0.128928
0.010000,77.999421,108.639104,13.062633,53.892954,108.849701,-36.836264,0.134147
0.010000,78.544060,108.714076,13.612408,54.977545,108.459112,-39.058856,0.139435
0.010000,79.098989,108.793474,14.172988,56.058021,108.047616,-41.149597,0.144788
0.010000,79.664127,108.877442,14.744330,57.134186,107.616519,-43.109679,0.150204
0.010000,80.239395,108.966119,15.326393,58.206282,107.209568,-40.695182,0.155678
0.010000,80.824706,109.059643,15.919128,59.273533,106.725140,-48.442715,0.161208
0.010000,81.419969,109.158152,16.522487,60.335880,106.234684,-49.045686,0.166788
0.010000,82.025099,109.261782,17.136427,61.393929,105.804858,-42.982516,0.172416
0.010000,82.639997,109.370664,17.760891,62.446436,105.250765,-55.409344,0.178087
0.010000,83.264571,109.484928,18.395831,63.493960,104.752352,-49.841311,0.183796
0.010000,83.898723,109.604702,19.041195,64.536421,104.246144,-50.620773,0.189540
0.010000,84.542352,109.730108,19.696927,65.573198,103.677713,-56.843077,0.195314
0.010000,85.195354,109.861269,20.362971,66.604460,103.126124,-55.158967,0.201114
0.010000,85.857627,109.998299,21.039272,67.630043,102.558319,-56.780446,0.206935
0.010000,86.529063,110.141312,21.725770,68.649803,101.975997,-58.232196,0.212771
0.010000,87.209556,110.290415,22.422406,69.663660,101.385723,-59.027434,0.218619
0.010000,87.898998,110.445712,23.129122,70.671551,100.789122,-59.660044,0.224474
0.010000,88.597276,110.607302,23.845853,71.673119,100.156818,-63.230416,0.230329
0.010000,89.304281,110.775277,24.572539,72.668545,99.542533,-61.428553,0.236181
0.010000,90.019900,110.949726,25.309114,73.657570,98.902546,-63.998669,0.242024
0.010000,90.744023,111.130732,26.055516,74.640211,98.264116,-63.842960,0.247853
0.010000,91.476535,111.318371,26.811679,75.616271,97.605998,-65.811851,0.253662
0.010000,92.217324,111.512713,27.577537,76.585766,96.949425,-65.657249,0.259447
0.010000,92.966279,111.713823,28.353023,77.548603,96.283700,-66.572577,0.265201
0.010000,93.723287,111.921758,29.138070,78.504705,95.610234,-67.346596,0.270919
0.010000,94.488238,112.136570,29.932610,79.454018,94.931332,-67.890144,0.276596
0.010000,95.261022,112.358303,30.736575,80.396492,94.247356,-68.397647,0.282226
0.010000,96.041529,112.586993,31.549896,81.332095,93.560310,-68.704618,0.287803
0.010000,96.824443,112.821098,32.367062,81.716570,38.447472,-5511.283735,0.293286
0.010000,97.604525,113.058967,33.182604,81.554244,-16.232548,-5468.001996,0.298637
0.010000,98.381786,113.300471,33.996519,81.391522,-16.272215,-3.966731,0.303854
0.010000,99.156238,113.545485,34.808806,81.228634,-16.288810,-1.659493,0.308939
0.010000,99.927900,113.793883,35.619461,81.065583,-16.305067,-1.625734,0.313891
0.010000,100.696788,114.045539,36.428485,80.902352,-16.323123,-1.805543,0.318709
0.010000,101.462922,114.300331,37.235876,80.739107,-16.324540,-0.141748,0.323394
0.010000,102.226325,114.558136,38.041635,80.575936,-16.317021,0.751943,0.327946
0.010000,102.987021,114.818834,38.845764,80.412840,-16.309635,0.738520,0.332364
0.010000,103.745035,115.082305,39.648261,80.249715,-16.312458,-0.282256,0.336650
0.010000,104.500395,115.348431,40.449130,80.086909,-16.280682,3.177645,0.340803
0.010000,105.253130,115.617094,41.248373,79.924310,-16.259834,2.084791,0.344823
0.010000,106.003269,115.888179,42.045992,79.761896,-16.241457,1.837707,0.348710
0.010000,106.750844,116.161572,42.841989,79.599702,-16.219385,2.207147,0.352465
0.010000,107.495887,116.437159,43.636368,79.437916,-16.178600,4.078546,0.356088
0.010000,108.238434,116.714828,44.429133,79.276452,-16.146387,3.221314,0.359579
0.010000,108.978516,116.994470,45.220285,79.115234,-16.121802,2.458467,0.362938
0.010000,109.716171,117.275975,46.009829,78.954399,-16.083467,3.833532,0.366166
0.010000,110.451436,117.559234,46.797769,78.794003,-16.039581,4.388579,0.369263
0.010000,111.184346,117.844141,47.584109,78.633985,-16.001876,3.770507,0.372230
0.010000,111.914940,118.130591,48.368851,78.474244,-15.974075,2.780080,0.375066
0.010000,112.643256,118.418478,49.152001,78.314953,-15.929088,4.498695,0.377772
0.010000,113.369333,118.707701,49.933562,78.156096,-15.885734,4.335436,0.380348
0.010000,114.093211,118.998156,50.713538,77.997622,-15.847390,3.834406,0.382796
0.010000,114.814928,119.289742,51.491932,77.839436,-15.818575,2.881482,0.385113
0.010000,115.534524,119.582360,52.268749,77.681681,-15.775482,4.309283,0.387303
0.010000,116.252041,119.875910,53.043993,77.524330,-15.735121,4.036104,0.389363
