dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,64.976861,132.249978,0.005000,1.000000,100.000000,10000.000000,0.001889
0.010000,64.978859,132.249982,0.006999,0.199854,-80.014613,-18001.461260,0.001726
0.010000,64.982190,132.249987,0.010329,0.333076,13.322166,9333.677886,0.001454
0.010000,64.986853,132.249993,0.014992,0.466276,13.320014,-0.215220,0.001073
0.010000,64.992847,132.249998,0.020987,0.599445,13.316973,-0.304146,0.000584
0.010000,65.001470,132.250000,0.029610,0.862345,26.289939,1297.296610,6.283171
0.010000,65.075146,132.249973,0.103285,7.367544,650.519926,62422.998701,6.282464
0.010000,65.160132,132.249877,0.188271,8.498590,113.104587,-53741.533839,6.281649
0.010000,65.256459,132.249684,0.284599,9.632752,113.416174,31.158656,6.280724
0.010000,65.364116,132.249364,0.392256,10.765714,113.296213,-11.996104,6.279691
0.010000,65.483116,132.248880,0.511257,11.900107,113.439346,14.313325,6.278548
0.010000,65.613429,132.248194,0.641572,13.031542,113.143493,-29.585297,6.277297
0.010000,65.755107,132.247264,0.783253,14.168058,113.651563,50.806947,6.275936
0.010000,65.908112,132.246042,0.936263,15.300968,113.290975,-36.058797,6.274466
0.010000,66.072445,132.244479,1.100604,16.434096,113.312882,2.190722,6.272887
0.010000,66.248112,132.242522,1.276281,17.567784,113.368736,5.585440,6.271199
0.010000,66.435115,132.240112,1.463300,18.701871,113.408751,4.001500,6.269401
0.010000,66.633456,132.237189,1.661662,19.836202,113.433086,2.433468,6.267494
0.010000,66.843133,132.233687,1.871368,20.970621,113.441918,0.883201,6.265477
0.010000,67.064144,132.229538,2.092418,22.104976,113.435443,-0.647457,6.263351
0.010000,67.296484,132.224669,2.324809,23.239114,113.413876,-2.156689,6.261115
0.010000,67.540147,132.219005,2.568538,24.372889,113.377449,-3.642700,6.258770
0.010000,67.795125,132.212465,2.823600,25.506153,113.326412,-5.103724,6.256315
0.010000,68.061435,132.204966,3.090016,26.641613,113.546037,21.962488,6.253751
0.010000,68.339063,132.196420,3.367776,27.775967,113.435393,-11.064445,6.251077
0.010000,68.627982,132.186738,3.656856,28.908050,113.208235,-22.715729,6.248294
0.010000,68.928233,132.175822,3.957306,30.044971,113.692096,48.386066,6.245401
0.010000,69.239755,132.163578,4.269069,31.176303,113.133214,-55.888190,6.242399
0.010000,69.562585,132.149901,4.592187,32.311866,113.556341,42.312639,6.239288
0.010000,69.896687,132.134686,4.926637,33.444907,113.304046,-25.229504,6.236068
0.010000,70.242048,132.117825,5.272408,34.577184,113.227772,-7.627391,6.232739
0.010000,70.598669,132.099205,5.629515,35.710676,113.349147,12.137529,6.229301
0.010000,70.966543,132.078709,5.997959,36.844422,113.374631,2.548403,6.225755
0.010000,71.345640,132.056219,6.377723,37.976373,113.195117,-17.951440,6.222101
0.010000,71.735946,132.031610,6.768804,39.108100,113.172676,-2.244049,6.218340
0.010000,72.137443,132.004758,7.171198,40.239404,113.130372,-4.230400,6.214471
0.010000,72.550110,131.975533,7.584899,41.370091,113.068686,-6.168610,6.210495
0.010000,72.973924,131.943801,8.009899,42.499972,112.988121,-8.056447,6.206413
0.010000,73.408877,131.909427,8.446208,43.630919,113.094740,10.661857,6.202224
0.010000,73.854928,131.872271,8.893804,44.759649,112.872995,-22.174531,6.197931
0.010000,74.312041,131.832193,9.352670,45.886599,112.694941,-17.805363,6.193534
0.010000,74.780197,131.789046,9.822811,47.014048,112.744950,5.000850,6.189032
0.010000,75.259365,131.742684,10.304216,48.140532,112.648346,-9.660350,6.184428
0.010000,75.749494,131.692957,10.796862,49.264578,112.404604,-24.374205,6.179722
0.010000,76.250563,131.639711,11.300752,50.388991,112.441341,3.673707,6.174915
0.010000,76.762522,131.582791,11.815865,51.511352,112.236121,-20.522058,6.170007
0.010000,77.285318,131.522042,12.342179,52.631324,111.997209,-23.891176,6.165002
0.010000,77.818921,131.457302,12.879695,53.751644,112.031938,3.472924,6.159898
0.010000,78.363276,131.388410,13.428392,54.869663,111.801913,-23.002510,6.154699
0.010000,78.918322,131.315205,13.988245,55.985331,111.566780,-23.513332,6.149405
0.010000,79.484006,131.237520,14.559238,57.099299,111.396795,-16.998436,6.144017
0.010000,80.060268,131.155190,15.141351,58.211321,111.202186,-19.460877,6.138539
0.010000,80.647044,131.068048,15.734563,59.321160,110.983991,-21.819550,6.132970
0.010000,81.244267,130.975926,16.338849,60.428593,110.743267,-24.072349,6.127314
0.010000,81.851864,130.878655,16.954183,61.533404,110.481092,-26.217500,6.121572
0.010000,82.469776,130.776064,17.580554,62.637103,110.369889,-11.120389,6.115746
0.010000,83.097912,130.667985,18.217920,63.736635,109.953187,-41.670121,6.109839
0.010000,83.736185,130.554249,18.866247,64.832683,109.604795,-34.839200,6.103852
0.010000,84.384532,130.434684,19.525527,65.928013,109.533023,-7.177204,6.097789
0.010000,85.042841,130.309124,20.195703,67.017581,108.956801,-57.622259,6.091652
0.010000,85.711042,130.177397,20.876765,68.106182,108.860053,-9.674800,6.085443
0.010000,86.389022,130.039340,21.568657,69.189266,108.308429,-55.162420,6.079165
0.010000,87.076692,129.894784,22.271357,70.269950,108.068408,-24.002017,6.072822
0.010000,87.773951,129.743565,22.984826,71.346885,107.693552,-37.485624,6.066417
0.010000,88.480688,129.585522,23.709019,72.419276,107.239069,-45.448315,6.059952
0.010000,89.196797,129.420494,24.443896,73.487769,106.849273,-38.979590,6.053431
