dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.000000,120.000000,0.005000,1.000000,100.000000,10000.000000,0.001889
0.010000,65.000000,120.000000,0.020000,2.000000,100.000000,0.000000,0.001726
0.010000,65.000000,120.000000,0.045000,3.000000,100.000000,0.000000,0.001454
0.010000,65.000000,120.000000,0.080000,4.000000,100.000000,0.000000,0.001073
0.010000,65.000000,120.000000,0.125000,5.000000,100.000000,0.000000,0.000584
0.010000,65.001298,120.000000,0.180000,6.000000,100.000000,0.000000,6.283171
0.010000,65.066313,119.999976,0.245000,7.000000,100.000000,0.000000,6.282464
0.010000,65.141308,119.999891,0.320000,8.000000,100.000000,0.000000,6.281649
0.010000,65.226310,119.999722,0.405000,9.000000,100.000000,0.000000,6.280724
0.010000,65.321307,119.999439,0.500000,10.000000,100.000000,0.000000,6.279691
0.010000,65.426312,119.999012,0.605000,11.000000,100.000000,0.000000,6.278548
0.010000,65.541296,119.998407,0.720000,12.000000,100.000000,0.000000,6.277297
0.010000,65.666304,119.997585,0.845000,13.000000,100.000000,0.000000,6.275936
0.010000,65.801303,119.996508,0.980000,14.000000,100.000000,0.000000,6.274466
0.010000,65.946294,119.995129,1.125000,15.000000,100.000000,0.000000,6.272887
0.010000,66.101280,119.993402,1.280000,16.000000,100.000000,0.000000,6.271199
0.010000,66.266263,119.991276,1.445000,17.000000,100.000000,0.000000,6.269401
0.010000,66.441243,119.988697,1.620000,18.000000,100.000000,0.000000,6.267494
0.010000,66.626219,119.985607,1.805000,19.000000,100.000000,0.000000,6.265477
0.010000,66.821188,119.981947,2.000000,20.000000,100.000000,0.000000,6.263351
0.010000,67.026147,119.977652,2.205000,21.000000,100.000000,0.000000,6.261115
0.010000,67.241089,119.972656,2.420000,22.000000,100.000000,-0.000000,6.258770
0.010000,67.466006,119.966887,2.645000,23.000000,100.000000,0.000000,6.256315
0.010000,67.700916,119.960272,2.880000,24.000000,100.000000,0.000000,6.253751
0.010000,67.945805,119.952734,3.125000,25.000000,100.000000,0.000000,6.251077
0.010000,68.200649,119.944193,3.380000,26.000000,100.000000,0.000000,6.248294
0.010000,68.465487,119.934566,3.645000,27.000000,100.000000,0.000000,6.245401
0.010000,68.740265,119.923765,3.920000,28.000000,100.000000,0.000000,6.242399
0.010000,69.025015,119.911701,4.205000,29.000000,100.000000,0.000000,6.239288
0.010000,69.319712,119.898281,4.500000,30.000000,100.000000,0.000000,6.236068
0.010000,69.624342,119.883409,4.805000,31.000000,100.000000,0.000000,6.232739
0.010000,69.938910,119.866985,5.120000,32.000000,100.000000,0.000000,6.229301
0.010000,70.263412,119.848905,5.445000,33.000000,100.000000,0.000000,6.225755
0.010000,70.597826,119.829065,5.780000,34.000000,100.000000,0.000000,6.222101
0.010000,70.942142,119.807357,6.125000,35.000000,100.000000,0.000000,6.218340
0.010000,71.296349,119.783668,6.480000,36.000000,100.000000,0.000000,6.214471
0.010000,71.660434,119.757883,6.845000,37.000000,100.000000,0.000000,6.210495
0.010000,72.034381,119.729885,7.220000,38.000000,100.000000,0.000000,6.206413
