dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.023139,107.750022,0.005000,1.000000,100.000000,10000.000000,0.001889
0.010000,65.021141,107.750018,0.006999,0.199854,-80.014613,-18001.461260,0.001726
0.010000,65.017810,107.750013,0.010329,0.333076,13.322166,9333.677886,0.001454
0.010000,65.013147,107.750007,0.014992,0.466276,13.320014,-0.215220,0.001073
0.010000,65.007153,107.750002,0.020987,0.599445,13.316973,-0.304146,0.000584
0.010000,65.001125,107.750000,0.027015,0.602820,0.337420,-1297.955294,6.283171
0.010000,65.057480,107.749979,0.083370,5.635564,503.274441,50293.702177,6.282464
0.010000,65.122485,107.749906,0.148375,6.500464,86.489974,-41678.446746,6.281649
0.010000,65.196161,107.749759,0.222051,7.367643,86.717943,22.796865,6.280724
0.010000,65.278499,107.749513,0.304389,8.233792,86.614877,-10.306558,6.279691
0.010000,65.369507,107.749143,0.395398,9.100914,86.712254,9.737707,6.278548
0.010000,65.469162,107.748619,0.495055,9.965648,86.473316,-23.893790,6.277297
0.010000,65.577501,107.747907,0.603396,10.834135,86.848776,37.546007,6.275936
0.010000,65.694495,107.746973,0.720394,11.699733,86.559792,-28.898463,6.274466
0.010000,65.820143,107.745778,0.846047,12.565367,86.563407,0.361572,6.272887
0.010000,65.954448,107.744282,0.980360,13.431301,86.593330,2.992289,6.271199
0.010000,66.097410,107.742440,1.123335,14.297419,86.611782,1.845182,6.269401
0.010000,66.249030,107.740205,1.274971,15.163611,86.619201,0.741891,6.267494
0.010000,66.409305,107.737528,1.435268,16.029771,86.616062,-0.313916,6.265477
0.010000,66.578233,107.734357,1.604226,16.895800,86.602876,-1.318590,6.263351
0.010000,66.755810,107.730636,1.781842,17.761602,86.580191,-2.268503,6.261115
0.010000,66.942031,107.726307,1.968113,18.627088,86.548590,-3.160058,6.258770
0.010000,67.136888,107.721309,2.163035,19.492175,86.508693,-3.989696,6.256315
0.010000,67.340397,107.715578,2.366625,20.358964,86.678945,17.025134,6.253751
0.010000,67.552547,107.709048,2.578874,21.224970,86.600584,-7.836100,6.251077
0.010000,67.773316,107.701649,2.799768,22.089345,86.437489,-16.309426,6.248294
0.010000,68.002740,107.693309,3.029343,22.957570,86.822500,38.501051,6.245401
0.010000,68.240774,107.683953,3.267561,23.821731,86.416081,-40.641905,6.242399
0.010000,68.487446,107.673502,3.514455,24.689390,86.765933,34.985212,6.239288
0.010000,68.742736,107.661877,3.770009,25.555452,86.606198,-15.973525,6.236068
0.010000,69.006635,107.648993,4.034223,26.421333,86.588069,-1.812911,6.232739
0.010000,69.279150,107.634764,4.307109,27.288620,86.728715,14.064585,6.229301
0.010000,69.560281,107.619101,4.588675,28.156665,86.804503,7.578816,6.225755
0.010000,69.850012,107.601912,4.878915,29.023992,86.732708,-7.179425,6.222101
0.010000,70.148338,107.583103,5.177834,29.891899,86.790715,5.800646,6.218340
0.010000,70.455256,107.562577,5.485438,30.760339,86.844028,5.331356,6.214471
0.010000,70.770758,107.540232,5.801730,31.629277,86.893743,4.971430,6.210495
0.010000,71.094838,107.515968,6.126717,32.498687,86.940981,4.723839,6.206413
0.010000,71.427502,107.489677,6.460419,33.370128,87.144111,20.312978,6.202224
0.010000,71.768733,107.461253,6.802831,34.241224,87.109637,-3.447343,6.197931
0.010000,72.118515,107.430585,7.153955,35.112452,87.122785,1.314719,6.193534
0.010000,72.476854,107.397560,7.513812,35.985707,87.325512,20.272700,6.189032
0.010000,72.843741,107.362061,7.882413,36.860027,87.431972,10.646002,6.184428
0.010000,73.219158,107.323973,8.259757,37.734451,87.442397,1.042484,6.179722
0.010000,73.603109,107.283172,8.645870,38.611302,87.685100,24.270333,6.174915
0.010000,73.995580,107.239537,9.040759,39.488909,87.760753,7.565364,6.170007
0.010000,74.396554,107.192944,9.444431,40.367204,87.829519,6.876532,6.165002
0.010000,74.806036,107.143263,9.856916,41.248484,88.128005,29.848665,6.159898
0.010000,75.224011,107.090365,10.278225,42.130925,88.244072,11.606661,6.154699
0.010000,75.650465,107.034119,10.708372,43.014700,88.377449,13.337728,6.149405
0.010000,76.085389,106.974391,11.147378,43.900529,88.582883,20.543358,6.144017
0.010000,76.528771,106.911046,11.595262,44.788450,88.792164,20.928155,6.138539
