dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,247.250012,228.017138,0.005000,1.000000,100.000000,10000.000000,1.569397
0.010000,247.250008,228.013925,0.008212,0.321248,-67.875200,-16787.520022,1.569660
0.010000,247.250003,228.008569,0.013569,0.535681,21.443338,8931.853778,1.570097
0.010000,247.250000,228.001063,0.021074,0.750517,21.483551,4.021359,1.570710
0.010000,247.249989,228.031457,0.051468,3.039394,228.887725,20740.417371,1.571499
0.010000,247.249938,228.074615,0.094626,4.315750,127.635616,-10125.210875,1.572465
0.010000,247.249824,228.125591,0.145602,5.097649,78.189828,-4944.578817,1.573609
0.010000,247.249619,228.184365,0.204376,5.877404,77.975535,-21.429308,1.574934
0.010000,247.249294,228.250906,0.270919,6.654218,77.681389,-29.414556,1.576441
0.010000,247.248812,228.325191,0.345204,7.428588,77.436991,-24.439805,1.578131
0.010000,247.248133,228.407201,0.427217,8.201298,77.271075,-16.591669,1.580008
0.010000,247.247215,228.496903,0.516925,8.970729,76.943051,-32.802391,1.582074
0.010000,247.246007,228.594242,0.614270,9.734569,76.384030,-55.902037,1.584330
0.010000,247.244458,228.699219,0.719260,10.498910,76.434024,4.999338,1.586781
0.010000,247.242510,228.811760,0.831817,11.255730,75.682072,-75.195115,1.589429
0.010000,247.240102,228.931826,0.951908,12.009102,75.337205,-34.486785,1.592279
0.010000,247.237167,229.059376,1.079491,12.758290,74.918807,-41.839735,1.595333
0.010000,247.233634,229.194354,1.214515,13.502461,74.417064,-50.174334,1.598596
0.010000,247.229428,229.336700,1.356923,14.240773,73.831238,-58.582566,1.602074
0.010000,247.224470,229.486341,1.506647,14.972381,73.160766,-67.047202,1.605769
0.010000,247.218674,229.643241,1.663654,15.700673,72.829196,-33.157053,1.609687
0.010000,247.211950,229.807291,1.827842,16.418806,71.813311,-101.588481,1.613834
0.010000,247.204205,229.978443,1.999168,17.132676,71.386989,-42.632217,1.618216
0.010000,247.195338,230.156604,2.177550,17.838135,70.545856,-84.113252,1.622838
0.010000,247.185247,230.341682,2.362903,18.535298,69.716298,-82.955838,1.627707
0.010000,247.173822,230.533582,2.555143,19.223988,68.869006,-84.729183,1.632830
0.010000,247.160948,230.732225,2.754203,19.905987,68.199922,-66.908370,1.638214
0.010000,247.146508,230.937479,2.959964,20.576105,67.011806,-118.811624,1.643866
0.010000,247.130378,231.149246,3.172344,21.238042,66.193724,-81.808223,1.649794
0.010000,247.112428,231.367394,3.391230,21.888550,65.050824,-114.289949,1.656007
0.010000,247.092526,231.591806,3.616522,22.529284,64.073379,-97.744587,1.662513
0.010000,247.070532,231.822351,3.848114,23.159151,62.986706,-108.667204,1.669322
0.010000,247.046304,232.058884,4.085885,23.777072,61.792057,-119.464931,1.676443
0.010000,247.019694,232.301247,4.329704,24.381987,60.491493,-130.056434,1.683887
0.010000,246.990549,232.549287,4.579450,24.974596,59.260912,-123.058099,1.691662
0.010000,246.958712,232.802835,4.834990,25.553926,57.932977,-132.793483,1.699781
0.010000,246.924021,233.061727,5.096195,26.120525,56.659930,-127.304672,1.708254
0.010000,246.886310,233.325766,5.362913,26.671853,55.132771,-152.715953,1.717093
0.010000,246.845411,233.594760,5.634999,27.208579,53.672611,-146.015987,1.726310
0.010000,246.801147,233.868526,5.912320,27.732110,52.353129,-131.948169,1.735917
0.010000,246.753344,234.146830,6.194700,28.237959,50.584927,-176.820170,1.745927
0.010000,246.701817,234.429475,6.482003,28.730319,49.235985,-134.894222,1.756351
0.010000,246.646385,234.716222,6.774059,29.205614,47.529530,-170.645557,1.767204
0.010000,246.586858,235.006842,7.070713,29.665411,45.979643,-154.988655,1.778497
0.010000,246.523048,235.301093,7.371804,30.109045,44.363385,-161.625819,1.790244
0.010000,246.454758,235.598741,7.677185,30.538072,42.902764,-146.062059,1.802458
0.010000,246.381796,235.899517,7.986684,30.949912,41.184005,-171.875934,1.815151
0.010000,246.303959,236.203185,8.300169,31.348494,39.858164,-132.584134,1.828336
0.010000,246.221049,236.509477,8.617483,31.731485,38.299093,-155.907065,1.842024
0.010000,246.132859,236.818143,8.938502,32.101815,37.032952,-126.614147,1.856227
0.010000,246.039182,237.128922,9.263091,32.458985,35.717012,-131.593979,1.870954
0.010000,245.939808,237.441563,9.591146,32.805443,34.645819,-107.119240,1.886215
0.010000,245.834519,237.755818,9.922571,33.142466,33.702306,-94.351385,1.902017
0.010000,245.723094,238.071453,10.257296,33.472516,33.004967,-69.733875,1.918365
0.010000,245.605305,238.388237,10.595270,33.797412,32.489602,-51.536487,1.935265
0.010000,245.480913,238.705963,10.936478,34.120830,32.341893,-14.770888,1.952717
0.010000,245.349674,239.024430,11.280927,34.444856,32.402548,6.065509,1.970720
0.010000,245.211326,239.343467,11.628669,34.774201,32.934494,53.194577,1.989272
0.010000,245.065594,239.662919,11.979792,35.112311,33.811022,87.652858,2.008363
0.010000,244.912188,239.982654,12.334424,35.463178,35.086701,127.567859,2.027985
0.010000,244.750790,240.302577,12.692753,35.832942,36.976379,188.967797,2.048121
0.010000,244.581067,240.622609,13.055005,36.225193,39.225125,224.874639,2.068753
0.010000,244.402652,240.942705,13.421466,36.646101,42.090797,286.567140,2.089857
0.010000,244.215150,241.262849,13.792477,37.101117,45.501548,341.075149,2.111406
0.010000,244.018133,241.583053,14.168437,37.596024,49.490780,398.923197,2.133368
0.010000,243.811140,241.903349,14.549798,38.136038,54.001402,451.062142,2.155706
0.010000,243.593672,242.223793,14.937066,38.726790,59.075179,507.377690,2.178377
0.010000,243.365196,242.544457,15.330800,39.373443,64.665238,559.005976,2.201336
0.010000,243.125141,242.865429,15.731611,40.081120,70.767764,610.252568,2.224535
0.010000,242.872906,243.186795,16.140144,40.853271,77.215054,644.729037,2.247919
0.010000,242.607857,243.508647,16.557084,41.694041,84.077044,686.198969,2.271433
0.010000,242.329340,243.831068,16.983144,42.605962,91.192124,711.507965,2.295020
0.010000,242.036680,244.154125,17.419052,43.590810,98.484711,729.258732,2.318618
0.010000,241.729192,244.477868,17.865547,44.649525,105.871521,738.680968,2.342168
0.010000,241.406190,244.802323,18.323370,45.782223,113.269826,739.830576,2.365611
0.010000,241.069280,245.125343,18.790114,46.674489,89.226640,-2404.318673,2.388733
0.010000,240.720408,245.444847,19.263184,47.306931,63.244189,-2598.245071,2.411338
0.010000,240.359433,245.760905,19.742971,47.978705,67.177318,393.312890,2.433396
0.010000,239.986261,246.073557,20.229806,48.683498,70.479305,330.198742,2.454878
0.010000,239.600841,246.382813,20.723960,49.415402,73.190419,271.111341,2.475762
0.010000,239.203169,246.688665,21.225645,50.168559,75.315700,212.528159,2.496032
0.010000,238.793287,246.991085,21.735019,50.937309,76.875037,155.933650,2.515675
0.010000,238.371278,247.290034,22.252186,51.716755,77.944571,106.953398,2.534681
0.010000,237.937263,247.585467,22.777210,52.502363,78.560858,61.628703,2.553046
0.010000,237.491403,247.877332,23.310103,53.289371,78.700735,13.987710,2.570768
0.010000,237.033886,248.165583,23.850853,54.074989,78.561800,-13.893450,2.587849
0.010000,236.564934,248.450172,24.399403,54.855008,78.001922,-55.987855,2.604293
0.010000,236.084784,248.731062,24.955680,55.627618,77.260964,-74.095795,2.620107
0.010000,235.593704,249.008222,25.519574,56.389470,76.185218,-107.574603,2.635299
0.010000,235.091967,249.281630,26.090969,57.139507,75.003700,-118.151787,2.649878
0.010000,234.579862,249.551278,26.669727,57.875811,73.630387,-137.331290,2.663857
0.010000,234.057691,249.817166,27.255696,58.596849,72.103786,-152.660089,2.677247
0.010000,233.525756,250.079309,27.848717,59.302086,70.523779,-158.000775,2.690061
0.010000,232.984362,250.337732,28.448625,59.990842,68.875518,-164.826024,2.702313
0.010000,232.433816,250.592475,29.055251,60.662567,67.172549,-170.296882,2.714017
0.010000,231.874422,250.843585,29.668421,61.317051,65.448354,-172.419586,2.725187
0.010000,231.306481,251.091126,30.287964,61.954257,63.720600,-172.775382,2.735836
0.010000,230.730289,251.335168,30.913707,62.574299,62.004247,-171.635302,2.745979
0.010000,230.146133,251.575793,31.545481,63.177417,60.311811,-169.243613,2.755630
0.010000,229.554295,251.813095,32.183121,63.763953,58.653632,-165.817816,2.764802
0.010000,228.955047,252.047172,32.826464,64.334335,57.038138,-161.549422,2.773509
0.010000,228.348655,252.278133,33.475351,64.888685,55.434974,-160.316428,2.781763
0.010000,227.735370,252.506096,34.129633,65.428228,53.954351,-148.062325,2.789576
0.010000,227.115436,252.731185,34.789166,65.953274,52.504565,-144.978551,2.796961
0.010000,226.489088,252.953529,35.453807,66.464153,51.087896,-141.666931,2.803929
0.010000,225.856551,253.173265,36.123425,66.961762,49.760907,-132.698856,2.810491
0.010000,225.218033,253.390534,36.797896,67.447059,48.529765,-123.114264,2.816657
0.010000,224.573745,253.605484,37.477094,67.919823,47.276363,-125.340197,2.822436
0.010000,223.923874,253.818266,38.160913,68.381964,46.214142,-106.222047,2.827839
0.010000,223.268607,254.029036,38.849243,68.832980,45.101518,-111.262438,2.832873
0.010000,222.608115,254.237956,39.541990,69.274625,44.164516,-93.700161,2.837547
0.010000,221.942567,254.445187,40.239054,69.706497,43.187259,-97.725766,2.841868
0.010000,221.272113,254.650899,40.940358,70.130328,42.383022,-80.423681,2.845843
0.010000,220.596902,254.855263,41.645818,70.546016,41.568863,-81.415910,2.849479
0.010000,219.917072,255.058454,42.355364,70.954571,40.855448,-71.341494,2.852781
0.010000,219.232752,255.260651,43.068931,71.356701,40.212991,-64.245661,2.855755
0.010000,218.544065,255.462033,43.786458,71.752699,39.599797,-61.319467,2.858406
0.010000,217.851123,255.662788,44.507894,72.143607,39.090798,-50.899881,2.860738
0.010000,217.154034,255.863102,45.233193,72.529910,38.630375,-46.042263,2.862754
0.010000,216.452899,256.063169,45.962314,72.912104,38.219409,-41.096569,2.864459
0.010000,215.747810,256.263183,46.695223,73.290965,37.886009,-33.340010,2.865854
0.010000,215.038853,256.463343,47.431894,73.667100,37.613557,-27.245252,2.866942
0.010000,214.326109,256.663853,48.172305,74.041057,37.395663,-21.789371,2.867725
0.010000,213.753891,256.824469,48.766637,59.433233,-1460.782331,-149817.799409,2.868116
0.010000,213.064244,257.017757,49.482859,71.622137,1218.890328,267967.265900,2.868533
0.010000,212.346982,257.218467,50.227674,74.481480,285.934355,-93295.597321,2.868956
0.010000,211.629707,257.418850,50.972414,74.474004,-0.747644,-28668.199908,2.869386
0.010000,210.912417,257.618904,51.717079,74.466524,-0.747979,-0.033450,2.869821
0.010000,210.195111,257.818622,52.461669,74.459041,-0.748315,-0.033631,2.870263
0.010000,209.477789,258.018002,53.206185,74.451554,-0.748653,-0.033801,2.870710
0.010000,208.760449,258.217038,53.950626,74.444082,-0.747236,0.141725,2.871164
0.010000,208.043090,258.415726,54.694992,74.436608,-0.747376,-0.013983,2.871624
0.010000,207.325711,258.614063,55.439283,74.429112,-0.749612,-0.223659,2.872090
0.010000,206.608312,258.812043,56.183499,74.421613,-0.749958,-0.034539,2.872562
0.010000,205.890891,259.009662,56.927640,74.414109,-0.750304,-0.034657,2.873041
0.010000,205.173448,259.206916,57.671706,74.406603,-0.750652,-0.034763,2.873525
0.010000,204.455980,259.403800,58.415697,74.399128,-0.747537,0.311494,2.874016
