dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,259.500000,228.000000,0.005000,1.000000,100.000000,10000.000000,1.569397
0.010000,259.500000,228.000000,0.020000,2.000000,100.000000,0.000000,1.569660
0.010000,259.500000,228.000000,0.045000,3.000000,100.000000,0.000000,1.570097
0.010000,259.500000,228.000000,0.080000,4.000000,100.000000,0.000000,1.570710
0.010000,259.499986,228.040060,0.125000,5.000000,100.000000,0.000000,1.571499
0.010000,259.499921,228.095050,0.180000,6.000000,100.000000,0.000000,1.572465
0.010000,259.499775,228.160050,0.245000,7.000000,100.000000,0.000000,1.573609
0.010000,259.499515,228.235054,0.320000,8.000000,100.000000,0.000000,1.574934
0.010000,259.499099,228.320053,0.405000,9.000000,100.000000,0.000000,1.576441
0.010000,259.498482,228.415045,0.500000,10.000000,100.000000,0.000000,1.578131
0.010000,259.497614,228.520044,0.605000,11.000000,100.000000,0.000000,1.580008
0.010000,259.496436,228.635046,0.720000,12.000000,100.000000,0.000000,1.582074
0.010000,259.494885,228.760021,0.845000,13.000000,100.000000,0.000000,1.584330
0.010000,259.492893,228.895020,0.980000,14.000000,100.000000,0.000000,1.586781
0.010000,259.490383,229.039998,1.125000,15.000000,100.000000,0.000000,1.589429
0.010000,259.487275,229.194963,1.280000,16.000000,100.000000,0.000000,1.592279
0.010000,259.483479,229.359919,1.445000,17.000000,100.000000,0.000000,1.595333
0.010000,259.478901,229.534862,1.620000,18.000000,100.000000,0.000000,1.598596
0.010000,259.473437,229.719783,1.805000,19.000000,100.000000,0.000000,1.602074
0.010000,259.466980,229.914664,2.000000,20.000000,100.000000,0.000000,1.605769
0.010000,259.459411,230.119536,2.205000,21.000000,100.000000,0.000000,1.609687
0.010000,259.450607,230.334345,2.420000,22.000000,100.000000,-0.000000,1.613834
0.010000,259.440435,230.559117,2.645000,23.000000,100.000000,0.000000,1.618216
0.010000,259.428753,230.793830,2.880000,24.000000,100.000000,0.000000,1.622838
0.010000,259.415414,231.038465,3.125000,25.000000,100.000000,0.000000,1.627707
0.010000,259.400260,231.293005,3.380000,26.000000,100.000000,0.000000,1.632830
0.010000,259.383120,231.557461,3.645000,27.000000,100.000000,0.000000,1.638214
0.010000,259.363821,231.831780,3.920000,28.000000,100.000000,0.000000,1.643866
0.010000,259.342174,232.115960,4.205000,29.000000,100.000000,0.000000,1.649794
0.010000,259.317983,232.409959,4.500000,30.000000,100.000000,0.000000,1.656007
0.010000,259.291039,232.713762,4.805000,31.000000,100.000000,0.000000,1.662513
0.010000,259.261123,233.027340,5.120000,32.000000,100.000000,0.000000,1.669322
0.010000,259.228005,233.350654,5.445000,33.000000,100.000000,0.000000,1.676443
