dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,271.749988,227.982862,0.005000,1.000000,100.000000,10000.000000,1.569397
0.010000,271.749992,227.986075,0.008212,0.321248,-67.875200,-16787.520022,1.569660
0.010000,271.749997,227.991431,0.013569,0.535681,21.443338,8931.853778,1.570097
0.010000,271.750000,227.998937,0.021074,0.750517,21.483551,4.021359,1.570710
0.010000,271.749983,228.048662,0.070800,4.972562,422.204468,40072.091690,1.571499
0.010000,271.749904,228.115486,0.137624,6.682346,170.978481,-25122.598690,1.572465
0.010000,271.749727,228.194508,0.216646,7.902281,121.993437,-4898.504422,1.573609
0.010000,271.749410,228.285743,0.307882,9.123573,122.129250,13.581328,1.574934
0.010000,271.748904,228.389199,0.411339,10.345729,122.215590,8.633984,1.576441
0.010000,271.748153,228.504900,0.527042,11.570278,122.454889,23.929848,1.578131
0.010000,271.747094,228.632888,0.655034,12.799223,122.894455,43.956648,1.580008
0.010000,271.745657,228.773189,0.795343,14.030833,123.161062,26.660708,1.582074
0.010000,271.743764,228.925800,0.947966,15.262294,123.146057,-1.500512,1.584330
0.010000,271.741328,229.090822,1.113006,16.503986,124.169228,102.317106,1.586781
0.010000,271.738257,229.268237,1.290447,17.744178,124.019157,-15.007101,1.589429
0.010000,271.734449,229.458100,1.480349,18.990129,124.595102,57.594525,1.592279
0.010000,271.729792,229.660462,1.682764,20.241591,125.146229,55.112712,1.595333
0.010000,271.724167,229.875371,1.897746,21.498177,125.658588,51.235894,1.598596
0.010000,271.717446,230.102866,2.125341,22.759500,126.132353,47.376499,1.602074
0.010000,271.709489,230.342986,2.365593,24.025179,126.567818,43.546512,1.605769
0.010000,271.700148,230.595831,2.618610,25.301679,127.650060,108.224170,1.609687
0.010000,271.689264,230.861398,2.884400,26.579035,127.735608,8.554798,1.613834
0.010000,271.676664,231.139791,3.163079,27.867837,128.880219,114.461055,1.618216
0.010000,271.662168,231.431056,3.454704,29.162495,129.465791,58.557198,1.622838
0.010000,271.645582,231.735247,3.759347,30.464323,130.182730,71.693901,1.627707
0.010000,271.626697,232.052427,4.077089,31.774199,130.987640,80.491028,1.632830
0.010000,271.605292,232.382698,4.408052,33.096313,132.211386,122.374593,1.638214
0.010000,271.581133,232.726082,4.752285,34.423297,132.698417,48.703088,1.643866
0.010000,271.553970,233.082675,5.109911,35.762579,133.928175,122.975784,1.649794
0.010000,271.523537,233.452525,5.481011,37.110018,134.743912,81.573746,1.656007
0.010000,271.489552,233.835718,5.865708,38.469733,135.971501,122.758860,1.662513
0.010000,271.451714,234.232330,6.264121,39.841245,137.151246,117.974519,1.669322
0.010000,271.409705,234.642424,6.676361,41.224071,138.282521,113.127498,1.676443
0.010000,271.363191,235.066056,7.102538,42.617719,139.364817,108.229659,1.683887
0.010000,271.311812,235.503295,7.542786,44.024758,140.703904,133.908675,1.691662
0.010000,271.255191,235.954202,7.997234,45.444831,142.007293,130.338839,1.699781
0.010000,271.192925,236.418851,8.466037,46.880247,143.541647,153.435488,1.708254
0.010000,271.124593,236.897273,8.949314,48.327720,144.747309,120.566196,1.717093
0.010000,271.049747,237.389511,9.447210,49.789603,146.188229,144.091995,1.726310
0.010000,270.967909,237.895634,9.959906,51.269603,148.000087,181.185753,1.735917
0.010000,270.878588,238.415622,10.487510,52.760401,149.079756,107.966953,1.745927
0.010000,270.781251,238.949527,11.030216,54.270566,151.016449,193.669255,1.756351
0.010000,270.675348,239.497324,11.588156,55.793993,152.342794,132.634528,1.767204
0.010000,270.560295,240.059001,12.161495,57.333946,153.995255,165.246033,1.778497
0.010000,270.435484,240.634514,12.750387,58.889165,155.521943,152.668798,1.790244
0.010000,270.300270,241.223825,13.355010,60.462359,157.319385,179.744255,1.802458
0.010000,270.153989,241.826811,13.975487,62.047617,158.525805,120.642023,1.815151
0.010000,269.995937,242.443391,14.612001,63.651446,160.382876,185.707025,1.828336
0.010000,269.825393,243.073388,15.264673,65.267235,161.578845,119.596992,1.842024
0.010000,269.641600,243.716628,15.933657,66.898315,163.108054,152.920822,1.856227
0.010000,269.443783,244.372863,16.619059,68.540222,164.190737,108.268309,1.870954
0.010000,269.231139,245.041817,17.320996,70.193718,165.349548,115.881091,1.886215
0.010000,269.002851,245.723150,18.039558,71.856162,166.244389,89.484099,1.902017
0.010000,268.758080,246.416475,18.774821,73.526382,167.021996,77.760701,1.918365
0.010000,268.495982,247.121329,19.526828,75.200644,167.426205,40.420962,1.935265
0.010000,268.215701,247.837196,20.295609,76.878077,167.743353,31.714802,1.952717
0.010000,267.916392,248.563468,21.081138,78.552954,167.487702,-25.565103,1.970720
0.010000,267.597210,249.299480,21.883379,80.224136,167.118176,-36.952652,1.989272
0.010000,267.257332,250.044477,22.702242,81.886292,166.215617,-90.255927,2.008363
0.010000,266.895971,250.797611,23.537582,83.533986,164.769384,-144.623242,2.027985
0.010000,266.512360,251.557980,24.389239,85.165630,163.164342,-160.504203,2.048121
0.010000,266.105800,252.324567,25.256964,86.772543,160.691357,-247.298509,2.068753
0.010000,265.675646,253.096294,26.140477,88.351260,157.871706,-281.965083,2.089857
0.010000,265.221323,253.872000,27.039437,89.896011,154.475045,-339.666132,2.111406
0.010000,264.742342,254.650461,27.953452,91.401535,150.552422,-392.262236,2.133368
0.010000,264.238313,255.430381,28.882065,92.861271,145.973617,-457.880521,2.155706
0.010000,263.708947,256.210419,29.824767,94.270186,140.891510,-508.210764,2.178377
0.010000,263.154072,256.989194,30.780997,95.623085,135.289847,-560.166285,2.201336
0.010000,262.573625,257.765310,31.750159,96.916116,129.303096,-598.675065,2.224535
0.010000,261.967683,258.537349,32.731591,98.143266,122.715053,-658.804318,2.247919
0.010000,261.336433,259.303914,33.724617,99.302542,115.927546,-678.750647,2.271433
0.010000,260.680191,260.063636,34.728524,100.390731,108.818912,-710.863464,2.295020
0.010000,259.999393,260.815185,35.742582,101.405794,101.506354,-731.255751,2.318618
0.010000,259.294585,261.557300,36.766051,102.346869,94.107474,-739.888009,2.342168
0.010000,258.566413,262.288796,37.798194,103.214348,86.747935,-735.953945,2.365611
0.010000,257.820630,263.003885,38.831415,103.322071,10.772226,-7597.570855,2.388733
0.010000,257.063355,263.697466,39.858313,102.689806,-63.226496,-7399.872179,2.411338
0.010000,256.295832,264.369538,40.878495,102.018262,-67.154388,-392.789245,2.433396
