dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.998698,310.250000,0.005000,1.000000,100.000000,10000.000000,0.000106
0.010000,40.998810,310.250000,0.005112,0.011210,-98.879015,-19887.901470,0.000097
0.010000,40.998997,310.250000,0.005299,0.018694,0.748374,9962.738860,0.000082
0.010000,40.999259,310.250000,0.005561,0.026193,0.749949,0.157559,0.000060
0.010000,40.999596,310.250000,0.005898,0.033715,0.752155,0.220588,0.000033
0.010000,41.001185,310.250000,0.007487,0.158878,12.516297,1176.414187,6.283185
0.010000,41.066674,310.249999,0.072976,6.548883,639.000508,62648.421034,6.283145
0.010000,41.142238,310.249994,0.148540,7.556465,100.758275,-53824.223307,6.283099
0.010000,41.227880,310.249984,0.234182,8.564153,100.768752,1.047707,6.283046
0.010000,41.323599,310.249968,0.329901,9.571871,100.771809,0.305730,6.282988
0.010000,41.429395,310.249944,0.435697,10.579674,100.780310,0.850067,6.282923
0.010000,41.545270,310.249909,0.551572,11.587485,100.781134,0.082411,6.282851
0.010000,41.671225,310.249862,0.677527,12.595469,100.798362,1.722864,6.282773
0.010000,41.807260,310.249800,0.813561,13.603456,100.798736,0.037414,6.282689
0.010000,41.953375,310.249721,0.959677,14.611533,100.807704,0.896746,6.282598
0.010000,42.109572,310.249622,1.115874,15.619712,100.817827,1.012283,6.282500
0.010000,42.275852,310.249499,1.282154,16.627995,100.828315,1.048847,6.282395
0.010000,42.452216,310.249350,1.458518,17.636387,100.839165,1.084943,6.282284
0.010000,42.638664,310.249171,1.644967,18.644890,100.850370,1.120545,6.282166
0.010000,42.835199,310.248958,1.841502,19.653510,100.861926,1.155627,6.282041
0.010000,43.041822,310.248708,2.048124,20.662248,100.873828,1.190163,6.281908
0.010000,43.258533,310.248416,2.264835,21.671108,100.886069,1.224131,6.281768
0.010000,43.485333,310.248078,2.491636,22.680095,100.898644,1.257505,6.281621
0.010000,43.722225,310.247689,2.728529,23.689244,100.914894,1.624921,6.281467
0.010000,43.969211,310.247245,2.975514,24.698574,100.933053,1.815961,6.281305
0.010000,44.226290,310.246740,3.232594,25.707976,100.940160,0.710712,6.281135
0.010000,44.493466,310.246168,3.499771,26.717639,100.966280,2.611981,6.280957
0.010000,44.770739,310.245525,3.777044,27.727370,100.973126,0.684554,6.280772
0.010000,45.058112,310.244803,4.064418,28.737382,101.001218,2.809273,6.280578
0.010000,45.355585,310.243998,4.361893,29.747474,101.009159,0.794079,6.280376
0.010000,45.663162,310.243101,4.669471,30.757812,101.033798,2.463867,6.280165
0.010000,45.980844,310.242107,4.987155,31.768357,101.054507,2.070872,6.279946
0.010000,46.308633,310.241008,5.314945,32.779060,101.070357,1.585004,6.279719
0.010000,46.646531,310.239797,5.652845,33.789981,101.092050,2.169311,6.279482
0.010000,46.994539,310.238465,6.000856,34.801122,101.114105,2.205526,6.279236
0.010000,47.352661,310.237005,6.358981,35.812487,101.136513,2.240800,6.278981
0.010000,47.720898,310.235409,6.727222,36.824080,101.159264,2.275125,6.278716
0.010000,48.099253,310.233666,7.105581,37.835903,101.182349,2.308493,6.278442
0.010000,48.487728,310.231768,7.494060,38.847961,101.205758,2.340899,6.278158
0.010000,48.886326,310.229706,7.892663,39.860256,101.229481,2.372340,6.277864
0.010000,49.295048,310.227469,8.301391,40.872798,101.254203,2.472130,6.277560
0.010000,49.713897,310.225047,8.720248,41.885682,101.288446,3.424293,6.277245
0.010000,50.142877,310.222429,9.149235,42.898728,101.304557,1.611172,6.276919
0.010000,50.581988,310.219604,9.588356,43.912078,101.335031,3.047387,6.276583
0.010000,51.031235,310.216560,10.037613,44.925745,101.366704,3.167289,6.276236
0.010000,51.490620,310.213285,10.497010,45.939638,101.389337,2.263285,6.275877
0.010000,51.960146,310.209766,10.966548,46.953868,101.422979,3.364161,6.275506
0.010000,52.439815,310.205991,11.446232,47.968398,101.453024,3.004519,6.275124
0.010000,52.929630,310.201946,11.936064,48.983184,101.478592,2.556862,6.274729
0.010000,53.429594,310.197617,12.436047,49.998321,101.513658,3.506528,6.274323
0.010000,53.939712,310.192989,12.946186,51.013814,101.549275,3.561745,6.273903
0.010000,54.459984,310.188047,13.466481,52.029579,101.576576,2.730124,6.273471
0.010000,54.990415,310.182776,13.996938,53.045685,101.610578,3.400122,6.273025
0.010000,55.531007,310.177160,14.537560,54.062134,101.644918,3.434030,6.272566
0.010000,56.081764,310.171181,15.088349,55.078930,101.679585,3.466736,6.272094
0.010000,56.642688,310.164823,15.649310,56.096076,101.714568,3.498273,6.271607
0.010000,57.213784,310.158068,16.220445,57.113575,101.749855,3.528675,6.271106
0.010000,57.795055,310.150897,16.801760,58.131484,101.790902,4.104691,6.270591
0.010000,58.386503,310.143291,17.393258,59.149752,101.826891,3.598952,6.270060
0.010000,58.988133,310.135230,17.994941,60.168351,101.859827,3.293592,6.269515
0.010000,59.599947,310.126695,18.606815,61.187370,101.901889,4.206203,6.268954
0.010000,60.221950,310.117663,19.228883,62.206824,101.945483,4.359407,6.268377
0.010000,60.854143,310.108113,19.861149,63.226585,101.976016,3.053311,6.267784
0.010000,61.496533,310.098023,20.503618,64.246875,102.029039,5.302257,6.267174
0.010000,62.149121,310.087369,21.156293,65.267480,102.060522,3.148302,6.266547
0.010000,62.811911,310.076128,21.819178,66.288526,102.104535,4.401295,6.265904
0.010000,63.484907,310.064274,22.492279,67.310083,102.155699,5.116390,6.265242
0.010000,64.168113,310.051782,23.175599,68.331986,102.190382,3.468322,6.264563
0.010000,64.861532,310.038626,23.869142,69.354349,102.236302,4.591982,6.263866
0.010000,65.565167,310.024779,24.572914,70.377175,102.282572,4.626983,6.263150
0.010000,66.279023,310.010213,25.286918,71.400467,102.329179,4.660689,6.262415
0.010000,67.003103,309.994898,26.011161,72.424228,102.376110,4.693187,6.261660
0.010000,67.737412,309.978806,26.745645,73.448462,102.423356,4.724574,6.260886
0.010000,68.481952,309.961905,27.490377,74.473171,102.470906,4.754952,6.260092
0.010000,69.236727,309.944164,28.245361,75.498358,102.518750,4.784430,6.259277
0.010000,69.996674,309.925677,29.005533,76.017207,51.884937,-5063.381315,6.258446
0.010000,70.756727,309.906551,29.765827,76.029405,1.219745,-5066.519231,6.257606
0.010000,71.516887,309.886779,30.526243,76.041676,1.227081,0.733693,6.256755
0.010000,72.277152,309.866354,31.286783,76.053924,1.224822,-0.225940,6.255895
0.010000,73.037521,309.845268,32.047444,76.066152,1.222820,-0.200234,6.255025
0.010000,73.797994,309.823513,32.808228,76.078390,1.223809,0.098964,6.254144
0.010000,74.558570,309.801080,33.569135,76.090638,1.224799,0.098957,6.253254
0.010000,75.319248,309.777963,34.330164,76.102984,1.234585,0.978565,6.252354
