dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,41.000000,298.000000,0.005000,1.000000,100.000000,10000.000000,0.000106
0.010000,41.000000,298.000000,0.020000,2.000000,100.000000,0.000000,0.000097
0.010000,41.000000,298.000000,0.045000,3.000000,100.000000,0.000000,0.000082
0.010000,41.000000,298.000000,0.080000,4.000000,100.000000,0.000000,0.000060
0.010000,41.000000,298.000000,0.125000,5.000000,100.000000,0.000000,0.000033
0.010000,41.001176,298.000000,0.180000,6.000000,100.000000,0.000000,6.283185
0.010000,41.066176,297.999999,0.245000,7.000000,100.000000,0.000000,6.283145
0.010000,41.141176,297.999994,0.320000,8.000000,100.000000,0.000000,6.283099
0.010000,41.226176,297.999984,0.405000,9.000000,100.000000,0.000000,6.283046
0.010000,41.321176,297.999968,0.500000,10.000000,100.000000,0.000000,6.282988
0.010000,41.426176,297.999944,0.605000,11.000000,100.000000,0.000000,6.282923
0.010000,41.541176,297.999910,0.720000,12.000000,100.000000,0.000000,6.282851
0.010000,41.666176,297.999863,0.845000,13.000000,100.000000,0.000000,6.282773
0.010000,41.801176,297.999802,0.980000,14.000000,100.000000,0.000000,6.282689
0.010000,41.946176,297.999723,1.125000,15.000000,100.000000,0.000000,6.282598
0.010000,42.101176,297.999625,1.280000,16.000000,100.000000,0.000000,6.282500
0.010000,42.266176,297.999503,1.445000,17.000000,100.000000,0.000000,6.282395
0.010000,42.441176,297.999355,1.620000,18.000000,100.000000,0.000000,6.282284
0.010000,42.626176,297.999177,1.805000,19.000000,100.000000,0.000000,6.282166
0.010000,42.821176,297.998966,2.000000,20.000000,100.000000,0.000000,6.282041
0.010000,43.026176,297.998718,2.205000,21.000000,100.000000,0.000000,6.281908
0.010000,43.241176,297.998428,2.420000,22.000000,100.000000,-0.000000,6.281768
0.010000,43.466175,297.998093,2.645000,23.000000,100.000000,0.000000,6.281621
0.010000,43.701175,297.997707,2.880000,24.000000,100.000000,0.000000,6.281467
0.010000,43.946175,297.997267,3.125000,25.000000,100.000000,0.000000,6.281305
0.010000,44.201174,297.996765,3.380000,26.000000,100.000000,0.000000,6.281135
0.010000,44.466174,297.996199,3.645000,27.000000,100.000000,0.000000,6.280957
0.010000,44.741173,297.995560,3.920000,28.000000,100.000000,0.000000,6.280772
0.010000,45.026172,297.994845,4.205000,29.000000,100.000000,0.000000,6.280578
0.010000,45.321171,297.994046,4.500000,30.000000,100.000000,0.000000,6.280376
0.010000,45.626170,297.993157,4.805000,31.000000,100.000000,0.000000,6.280165
