dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,41.005089,285.750001,0.005000,1.000000,100.000000,10000.000000,0.000415
0.010000,41.004503,285.750001,0.005586,0.058646,-94.135419,-19413.541860,0.000368
0.010000,41.003526,285.750001,0.006564,0.097726,3.908007,9804.342555,0.000288
0.010000,41.002158,285.750000,0.007932,0.136780,3.905436,-0.257141,0.000176
0.010000,41.000400,285.750000,0.009690,0.175799,3.901835,-0.360083,0.000033
0.010000,41.043018,285.749997,0.052308,4.261865,408.606639,40470.480387,6.283043
0.010000,41.105481,285.749982,0.114771,6.246282,198.441719,-21016.491972,6.282836
0.010000,41.177556,285.749948,0.186846,7.207476,96.119338,-10232.238131,6.282597
0.010000,41.259242,285.749889,0.268532,8.168586,96.111029,-0.830877,6.282326
0.010000,41.350542,285.749796,0.359832,9.130035,96.144945,3.391663,6.282024
0.010000,41.451456,285.749662,0.460746,10.091371,96.133564,-1.138124,6.281691
0.010000,41.561984,285.749477,0.571274,11.052845,96.147404,1.384019,6.281326
0.010000,41.682128,285.749230,0.691419,12.014456,96.161075,1.367014,6.280929
0.010000,41.811890,285.748909,0.821181,12.976202,96.174601,1.352680,6.280502
0.010000,41.951270,285.748503,0.960561,13.938082,96.188014,1.341231,6.280043
0.010000,42.100270,285.747998,1.109562,14.900095,96.201342,1.332875,6.279553
0.010000,42.258891,285.747381,1.268185,15.862241,96.214621,1.327816,6.279033
0.010000,42.427135,285.746636,1.436430,16.824520,96.227883,1.326252,6.278481
0.010000,42.605004,285.745747,1.614302,17.787163,96.264287,3.640418,6.277899
0.010000,42.792499,285.744699,1.801799,18.749766,96.260295,-0.399196,6.277287
0.010000,42.989622,285.743473,1.998926,19.712693,96.292694,3.239830,6.276644
0.010000,43.196375,285.742051,2.205684,20.675732,96.303905,1.121186,6.275971
0.010000,43.412760,285.740414,2.422075,21.639136,96.340413,3.650796,6.275268
0.010000,43.638778,285.738541,2.648101,22.602616,96.348013,0.759943,6.274536
0.010000,43.874432,285.736413,2.883765,23.566373,96.375671,2.765796,6.273774
0.010000,44.119725,285.734008,3.129069,24.530406,96.403252,2.758140,6.272982
0.010000,44.374658,285.731302,3.384016,25.494732,96.432621,2.936883,6.272162
0.010000,44.639233,285.728273,3.648609,26.459280,96.454786,2.216497,6.271312
0.010000,44.913454,285.724896,3.922851,27.424159,96.487899,3.311272,6.270434
0.010000,45.197322,285.721147,4.206744,28.389298,96.513923,2.602446,6.269527
0.010000,45.490840,285.717001,4.500291,29.354718,96.541966,2.804293,6.268592
0.010000,45.794010,285.712430,4.803495,30.320420,96.570279,2.831251,6.267629
0.010000,46.106835,285.707409,5.116361,31.286584,96.616322,4.604381,6.266639
0.010000,46.429318,285.701908,5.438890,32.252962,96.637841,2.151876,6.265621
0.010000,46.761461,285.695900,5.771088,33.219764,96.680200,4.235852,6.264576
0.010000,47.103267,285.689355,6.112956,34.186831,96.706671,2.647111,6.263504
0.010000,47.454739,285.682243,6.464501,35.154449,96.761798,5.512696,6.262405
0.010000,47.815880,285.674534,6.825724,36.122300,96.785154,2.335577,6.261281
0.010000,48.186692,285.666197,7.196630,37.090577,96.827722,4.256842,6.260130
0.010000,48.567179,285.657199,7.577222,38.059282,96.870462,4.273978,6.258954
0.010000,48.957343,285.647508,7.967507,39.028417,96.913450,4.298792,6.257753
0.010000,49.357187,285.637092,8.367486,39.997984,96.956762,4.331281,6.256527
0.010000,49.766714,285.625915,8.777166,40.967989,97.000477,4.371433,6.255276
0.010000,50.185928,285.613945,9.196551,41.938436,97.044669,4.419222,6.254001
0.010000,50.614830,285.601145,9.625644,42.909330,97.089439,4.476953,6.252703
0.010000,51.053426,285.587481,10.064453,43.880854,97.152412,6.297300,6.251381
0.010000,51.501716,285.572917,10.512979,44.852691,97.183722,3.131026,6.250036
0.010000,51.959705,285.557416,10.971231,45.825154,97.246301,6.257881,6.248669
0.010000,52.427396,285.540941,11.439211,46.798038,97.288401,4.210059,6.247280
0.010000,52.904792,285.523455,11.916927,47.771598,97.355921,6.752003,6.245869
0.010000,53.391895,285.504919,12.404383,48.745580,97.398275,4.235381,6.244437
0.010000,53.888709,285.485297,12.901585,49.720149,97.456821,5.854634,6.242984
0.010000,54.395237,285.464549,13.408538,50.695306,97.515764,5.894288,6.241510
0.010000,54.911483,285.442635,13.925248,51.671058,97.575192,5.942795,6.240017
0.010000,55.437449,285.419518,14.451722,52.647410,97.635192,5.999981,6.238505
0.010000,55.973139,285.395156,14.987966,53.624369,97.695849,6.065661,6.236974
0.010000,56.518556,285.369509,15.533986,54.601941,97.757245,6.139637,6.235425
