dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,64.981956,217.249987,0.005000,1.000000,100.000000,10000.000000,0.001473
0.010000,64.984238,217.249990,0.007281,0.228129,-77.187087,-17718.708706,0.001287
0.010000,64.988039,217.249994,0.011083,0.380145,15.201552,9238.863930,0.000976
0.010000,64.993360,217.249998,0.016403,0.532054,15.190945,-1.060732,0.000542
0.010000,65.001499,217.250000,0.024543,0.813938,28.188419,1299.747393,6.283169
0.010000,65.064861,217.249977,0.087904,6.336175,552.223623,52403.520419,6.282487
0.010000,65.139724,217.249895,0.162768,7.486324,115.014963,-43720.865972,6.281681
0.010000,65.226114,217.249725,0.249158,8.639040,115.271623,25.665950,6.280752
0.010000,65.324008,217.249435,0.347052,9.789398,115.035782,-23.584084,6.279699
0.010000,65.433406,217.248989,0.456452,10.939972,115.057357,2.157465,6.278524
0.010000,65.554317,217.248347,0.577364,12.091218,115.124615,6.725828,6.277225
0.010000,65.686729,217.247464,0.709779,13.241517,115.029890,-9.472486,6.275803
0.010000,65.830637,217.246290,0.853692,14.391305,114.978834,-5.105602,6.274259
0.010000,65.986037,217.244774,1.009099,15.540685,114.937990,-4.084396,6.272593
0.010000,66.152927,217.242857,1.176000,16.690113,114.942817,0.482644,6.270805
0.010000,66.331302,217.240478,1.354391,17.839041,114.892755,-5.006149,6.268896
0.010000,66.521146,217.237572,1.544258,18.986707,114.766584,-12.617120,6.266866
0.010000,66.722456,217.234070,1.745598,20.134039,114.733197,-3.338732,6.264716
0.010000,66.935231,217.229898,1.958413,21.281541,114.750274,1.707793,6.262445
0.010000,67.159449,217.224979,2.182686,22.427242,114.570042,-18.023237,6.260056
0.010000,67.395106,217.219232,2.418413,23.572703,114.546169,-2.387304,6.257547
0.010000,67.642195,217.212571,2.665591,24.717856,114.515284,-3.088532,6.254921
0.010000,67.900695,217.204907,2.924205,25.861324,114.346725,-16.855900,6.252177
0.010000,68.170593,217.196149,3.194245,27.004061,114.273767,-7.295820,6.249316
0.010000,68.451876,217.186199,3.475704,28.145880,114.181894,-9.187296,6.246340
0.010000,68.744526,217.174959,3.768570,29.286595,114.071502,-11.039188,6.243249
0.010000,69.048524,217.162323,4.072830,30.426025,113.943006,-12.849617,6.240044
0.010000,69.363847,217.148187,4.388470,31.563994,113.796838,-14.616793,6.236726
0.010000,69.690481,217.132440,4.715483,32.701278,113.728421,-6.841630,6.233297
0.010000,70.028396,217.114968,5.053850,33.836712,113.543397,-18.502444,6.229756
0.010000,70.377564,217.095655,5.403551,34.970118,113.340634,-20.276318,6.226107
0.010000,70.737965,217.074382,5.764579,36.102808,113.269020,-7.161398,6.222350
0.010000,71.109562,217.051027,6.136910,37.233065,113.025643,-24.337686,6.218486
0.010000,71.492322,217.025465,6.520523,38.361303,112.823800,-20.184287,6.214518
0.010000,71.886216,216.997568,6.915403,39.487974,112.667172,-15.662751,6.210446
0.010000,72.291206,216.967207,7.321530,40.612691,112.471642,-19.553011,6.206272
0.010000,72.707250,216.934249,7.738877,41.734759,112.206771,-26.487116,6.201999
0.010000,73.134306,216.898561,8.167422,42.854471,111.971278,-23.549267,6.197628
0.010000,73.572335,216.860006,8.607144,43.972161,111.769003,-20.227504,6.193161
0.010000,74.021284,216.818447,9.058012,45.086885,111.472375,-29.662879,6.188600
0.010000,74.481102,216.773745,9.519998,46.198555,111.167013,-30.536188,6.183948
0.010000,74.951738,216.725758,9.993075,47.307673,110.911801,-25.521145,6.179207
0.010000,75.433139,216.674346,10.477213,48.413815,110.614150,-29.765153,6.174379
0.010000,75.925243,216.619365,10.972379,49.516564,110.274930,-33.921952,6.169468
0.010000,76.427986,216.560674,11.478536,50.615742,109.917774,-35.715606,6.164475
0.010000,76.941312,216.498127,11.995659,51.712276,109.653415,-26.435962,6.159404
0.010000,77.465147,216.431582,12.523703,52.804457,109.218063,-43.535128,6.154257
0.010000,77.999421,216.360896,13.062633,53.892954,108.849701,-36.836264,6.149039
0.010000,78.544060,216.285924,13.612408,54.977545,108.459112,-39.058856,6.143751
0.010000,79.098989,216.206526,14.172988,56.058021,108.047616,-41.149597,6.138397
0.010000,79.664127,216.122558,14.744330,57.134186,107.616519,-43.109679,6.132981
0.010000,80.239395,216.033881,15.326393,58.206282,107.209568,-40.695182,6.127507
0.010000,80.824706,215.940357,15.919128,59.273533,106.725140,-48.442715,6.121977
0.010000,81.419969,215.841848,16.522487,60.335880,106.234684,-49.045686,6.116397
0.010000,82.025099,215.738218,17.136427,61.393929,105.804858,-42.982516,6.110769
0.010000,82.639997,215.629336,17.760891,62.446436,105.250765,-55.409344,6.105099
0.010000,83.264571,215.515072,18.395831,63.493960,104.752352,-49.841311,6.099389
