dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.000000,205.000000,0.005000,1.000000,100.000000,10000.000000,0.001473
0.010000,65.000000,205.000000,0.020000,2.000000,100.000000,0.000000,0.001287
0.010000,65.000000,205.000000,0.045000,3.000000,100.000000,0.000000,0.000976
0.010000,65.000000,205.000000,0.080000,4.000000,100.000000,0.000000,0.000542
0.010000,65.001301,205.000000,0.125000,5.000000,100.000000,0.000000,6.283169
0.010000,65.056307,204.999980,0.180000,6.000000,100.000000,0.000000,6.282487
0.010000,65.121301,204.999909,0.245000,7.000000,100.000000,0.000000,6.281681
0.010000,65.196307,204.999761,0.320000,8.000000,100.000000,0.000000,6.280752
0.010000,65.281305,204.999510,0.405000,9.000000,100.000000,0.000000,6.279699
0.010000,65.376301,204.999123,0.500000,10.000000,100.000000,0.000000,6.278524
0.010000,65.481300,204.998565,0.605000,11.000000,100.000000,0.000000,6.277225
0.010000,65.596299,204.997798,0.720000,12.000000,100.000000,0.000000,6.275803
0.010000,65.721295,204.996778,0.845000,13.000000,100.000000,0.000000,6.274259
0.010000,65.856286,204.995461,0.980000,14.000000,100.000000,0.000000,6.272593
0.010000,66.001277,204.993795,1.125000,15.000000,100.000000,0.000000,6.270805
0.010000,66.156267,204.991729,1.280000,16.000000,100.000000,0.000000,6.268896
0.010000,66.321247,204.989204,1.445000,17.000000,100.000000,0.000000,6.266866
0.010000,66.496218,204.986160,1.620000,18.000000,100.000000,0.000000,6.264716
0.010000,66.681185,204.982533,1.805000,19.000000,100.000000,0.000000,6.262445
0.010000,66.876137,204.978256,2.000000,20.000000,100.000000,0.000000,6.260056
0.010000,67.081074,204.973258,2.205000,21.000000,100.000000,0.000000,6.257547
0.010000,67.295999,204.967464,2.420000,22.000000,100.000000,-0.000000,6.254921
0.010000,67.520900,204.960796,2.645000,23.000000,100.000000,0.000000,6.252177
0.010000,67.755776,204.953175,2.880000,24.000000,100.000000,0.000000,6.249316
0.010000,68.000622,204.944514,3.125000,25.000000,100.000000,0.000000,6.246340
0.010000,68.255435,204.934726,3.380000,26.000000,100.000000,0.000000,6.243249
0.010000,68.520205,204.923721,3.645000,27.000000,100.000000,0.000000,6.240044
0.010000,68.794927,204.911405,3.920000,28.000000,100.000000,0.000000,6.236726
0.010000,69.079597,204.897681,4.205000,29.000000,100.000000,0.000000,6.233297
0.010000,69.374204,204.882448,4.500000,30.000000,100.000000,0.000000,6.229756
0.010000,69.678736,204.865604,4.805000,31.000000,100.000000,0.000000,6.226107
0.010000,69.993190,204.847043,5.120000,32.000000,100.000000,0.000000,6.222350
0.010000,70.317550,204.826657,5.445000,33.000000,100.000000,0.000000,6.218486
0.010000,70.651803,204.804334,5.780000,34.000000,100.000000,0.000000,6.214518
0.010000,70.995940,204.779961,6.125000,35.000000,100.000000,0.000000,6.210446
0.010000,71.349947,204.753422,6.480000,36.000000,100.000000,0.000000,6.206272
0.010000,71.713807,204.724598,6.845000,37.000000,100.000000,0.000000,6.201999
0.010000,72.087502,204.693370,7.220000,38.000000,100.000000,0.000000,6.197628
0.010000,72.471021,204.659613,7.605000,39.000000,100.000000,0.000000,6.193161
0.010000,72.864340,204.623203,8.000000,40.000000,100.000000,0.000000,6.188600
0.010000,73.267439,204.584015,8.405000,41.000000,100.000000,0.000000,6.183948
0.010000,73.680297,204.541919,8.820000,42.000000,100.000000,0.000000,6.179207
0.010000,74.102894,204.496787,9.245000,43.000000,100.000000,-0.000000,6.174379
0.010000,74.535204,204.448487,9.680000,44.000000,100.000000,0.000000,6.169468
0.010000,74.977199,204.396887,10.125000,45.000000,100.000000,0.000000,6.164475
0.010000,75.428860,204.341854,10.580000,46.000000,100.000000,0.000000,6.159404
0.010000,75.890152,204.283254,11.045000,47.000000,100.000000,0.000000,6.154257
0.010000,76.361048,204.220952,11.520000,48.000000,100.000000,0.000000,6.149039
0.010000,76.841517,204.154814,12.005000,49.000000,100.000000,0.000000,6.143751
0.010000,77.331525,204.084703,12.500000,50.000000,100.000000,0.000000,6.138397
0.010000,77.831040,204.010486,13.005000,51.000000,100.000000,0.000000,6.132981
0.010000,78.340028,203.932026,13.520000,52.000000,100.000000,-0.000000,6.127507
0.010000,78.858451,203.849189,14.045000,53.000000,100.000000,0.000000,6.121977
0.010000,79.386270,203.761840,14.580000,54.000000,100.000000,0.000000,6.116397
0.010000,79.923451,203.669847,15.125000,55.000000,100.000000,-0.000000,6.110769
0.010000,80.469948,203.573077,15.680000,56.000000,100.000000,0.000000,6.105099
0.010000,81.025722,203.471399,16.245000,57.000000,100.000000,-0.000000,6.099389
0.010000,81.590732,203.364684,16.820000,58.000000,100.000000,0.000000,6.093645
0.010000,82.164933,203.252804,17.405000,59.000000,100.000000,0.000000,6.087871
0.010000,82.748281,203.135634,18.000000,60.000000,100.000000,0.000000,6.082071
0.010000,83.340731,203.013051,18.605000,61.000000,100.000000,0.000000,6.076251
0.010000,83.942237,202.884932,19.220000,62.000000,100.000000,0.000000,6.070414
0.010000,84.552752,202.751162,19.845000,63.000000,100.000000,0.000000,6.064566
0.010000,85.172231,202.611623,20.480000,64.000000,100.000000,0.000000,6.058712
0.010000,85.800623,202.466206,21.125000,65.000000,100.000000,0.000000,6.052856
0.010000,86.437883,202.314800,21.780000,66.000000,100.000000,0.000000,6.047004
0.010000,87.083962,202.157302,22.445000,67.000000,100.000000,0.000000,6.041161
0.010000,87.738812,201.993612,23.120000,68.000000,100.000000,0.000000,6.035332
0.010000,88.402386,201.823631,23.805000,69.000000,100.000000,0.000000,6.029523
0.010000,89.074636,201.647270,24.500000,70.000000,100.000000,0.000000,6.023738
0.010000,89.755515,201.464439,25.205000,71.000000,100.000000,0.000000,6.017984
0.010000,90.444977,201.275056,25.920000,72.000000,100.000000,0.000000,6.012266
0.010000,91.142976,201.079045,26.645000,73.000000,100.000000,0.000000,6.006589
0.010000,91.849468,200.876333,27.380000,74.000000,100.000000,0.000000,6.000959
0.010000,92.564410,200.666852,28.125000,75.000000,100.000000,0.000000,5.995382
0.010000,93.282972,200.451989,28.875000,75.000000,0.000000,-10000.000000,5.989899
0.010000,94.000361,200.233237,29.625000,75.000000,0.000000,0.000000,5.984549
0.010000,94.716583,200.010697,30.375000,75.000000,0.000000,0.000000,5.979331
