dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.018044,192.750013,0.005000,1.000000,100.000000,10000.000000,0.001473
0.010000,65.015762,192.750010,0.007281,0.228129,-77.187087,-17718.708706,0.001287
0.010000,65.011961,192.750006,0.011083,0.380145,15.201552,9238.863930,0.000976
0.010000,65.006640,192.750002,0.016403,0.532054,15.190945,-1.060732,0.000542
0.010000,65.001104,192.750000,0.021940,0.553699,2.164511,-1302.643413,6.283169
0.010000,65.047754,192.749983,0.068591,4.665058,411.135859,40897.134870,6.282487
0.010000,65.102879,192.749923,0.123716,5.512480,84.742228,-32639.363102,6.281681
0.010000,65.166500,192.749797,0.187337,6.362108,84.962759,22.053042,6.280752
0.010000,65.238603,192.749584,0.259440,7.210368,84.826060,-13.669864,6.279699
0.010000,65.319195,192.749256,0.340033,8.059214,84.884587,5.852687,6.278524
0.010000,65.408284,192.748782,0.429123,8.909042,84.982758,9.817067,6.277225
0.010000,65.505869,192.748131,0.526710,9.758720,84.967868,-1.488933,6.275803
0.010000,65.611952,192.747266,0.632797,10.608638,84.991748,2.387939,6.274259
0.010000,65.726536,192.746148,0.747386,11.458939,85.030134,3.838637,6.272593
0.010000,65.849628,192.744734,0.870486,12.310035,85.109601,7.946727,6.270805
0.010000,65.981232,192.742979,1.002102,13.161600,85.156440,4.683865,6.268896
0.010000,66.121347,192.740835,1.142234,14.013154,85.155392,-0.104862,6.266866
0.010000,66.269979,192.738249,1.290889,14.865469,85.231568,7.617668,6.264716
0.010000,66.427139,192.735168,1.448079,15.719013,85.354360,12.279181,6.262445
0.010000,66.592824,192.731533,1.613803,16.572426,85.341278,-1.308203,6.260056
0.010000,66.767042,192.727284,1.788073,17.426967,85.454098,11.281981,6.257547
0.010000,66.949802,192.722357,1.970900,18.282695,85.572827,11.872942,6.254921
0.010000,67.141105,192.716685,2.162287,19.138709,85.601373,2.854603,6.252177
0.010000,67.340958,192.710200,2.362245,19.995837,85.712888,11.151450,6.249316
0.010000,67.549369,192.702828,2.570786,20.854071,85.823371,11.048361,6.246340
0.010000,67.766343,192.694494,2.787920,21.713409,85.933771,11.039992,6.243249
0.010000,67.991887,192.685119,3.013658,22.573860,86.045061,11.128991,6.240044
0.010000,68.226006,192.674624,3.248013,23.435442,86.158238,11.317716,6.236726
0.010000,68.468713,192.662922,3.491002,24.298891,86.344920,18.668178,6.233297
0.010000,68.720012,192.649929,3.742637,25.163506,86.461495,11.657498,6.229756
0.010000,68.979908,192.635553,4.002930,26.029326,86.581979,12.048369,6.226107
0.010000,69.248416,192.619704,4.271905,26.897506,86.818035,23.605626,6.222350
0.010000,69.525539,192.602287,4.549575,27.766955,86.944891,12.685570,6.218486
0.010000,69.811284,192.583204,4.835956,28.638175,87.121983,17.709260,6.214518
0.010000,70.105664,192.562355,5.131073,29.511705,87.352971,23.098789,6.210446
0.010000,70.408688,192.539638,5.434948,30.387463,87.575823,22.285161,6.206272
0.010000,70.720363,192.514948,5.747600,31.265146,87.768297,19.247457,6.201999
0.010000,71.040698,192.488178,6.069051,32.145195,88.004882,23.658443,6.197628
0.010000,71.369707,192.459219,6.399332,33.028088,88.289296,28.441404,6.193161
0.010000,71.707397,192.427959,6.738466,33.913351,88.526373,23.707666,6.188600
0.010000,72.053776,192.394284,7.086477,34.801159,88.780793,25.442057,6.183948
0.010000,72.408856,192.358080,7.443399,35.692135,89.097564,31.677106,6.179207
0.010000,72.772649,192.319227,7.809261,36.586210,89.407534,30.997031,6.174379
0.010000,73.145165,192.277608,8.184094,37.483327,89.711643,30.410811,6.169468
0.010000,73.526412,192.233100,8.567930,38.383607,90.028034,31.639165,6.164475
0.010000,73.916407,192.185580,8.960810,39.288019,90.441217,41.318297,6.159404
0.010000,74.315158,192.134925,9.362766,40.195532,90.751262,31.004487,6.154257
0.010000,74.722676,192.081008,9.773835,41.106921,91.138917,38.765462,6.149039
0.010000,75.138973,192.023703,10.194058,42.022288,91.536683,39.776628,6.143751
0.010000,75.564062,191.962881,10.623475,42.941744,91.945590,40.890662,6.138397
0.010000,75.997953,191.898414,11.062129,43.865410,92.366589,42.099945,6.132981
0.010000,76.440661,191.830171,11.510067,44.793742,92.833265,46.667547,6.127507
0.010000,76.892197,191.758021,11.967331,45.726416,93.267336,43.407111,6.121977
0.010000,77.352572,191.681833,12.433967,46.663649,93.723293,45.595745,6.116397
0.010000,77.821803,191.601476,12.910029,47.606175,94.252645,52.935199,6.110769
0.010000,78.299898,191.516818,13.395562,48.553293,94.711816,45.917108,6.105099
0.010000,78.786873,191.427727,13.890619,49.505690,95.239654,52.783738,6.099389
0.010000,79.282741,191.334070,14.395255,50.463556,95.786643,54.698968,6.093645
0.010000,79.787515,191.235717,14.909521,51.426651,96.309474,52.283088,6.087871
0.010000,80.301209,191.132537,15.433475,52.395342,96.869142,55.966798,6.082071
0.010000,80.823836,191.024400,15.967172,53.369733,97.439082,56.994028,6.076251
0.010000,81.355411,190.911177,16.510671,54.349930,98.019735,58.065225,6.070414
0.010000,81.895948,190.792738,17.064032,55.336084,98.615364,59.562933,6.064566
0.010000,82.445463,190.668959,17.627315,56.328347,99.226332,61.096776,6.058712
0.010000,83.003970,190.539713,18.200582,57.326629,99.828129,60.179690,6.052856
0.010000,83.571485,190.404877,18.783894,58.331254,100.462510,63.438106,6.047004
0.010000,84.148023,190.264331,19.377316,59.342188,101.093465,63.095548,6.041161
0.010000,84.733601,190.117955,19.980912,60.359605,101.741681,64.821610,6.035332
0.010000,85.328237,189.965634,20.594747,61.383494,102.388856,64.717442,6.029523
0.010000,85.931947,189.807252,21.218887,62.414003,103.050953,66.209702,6.023738
0.010000,86.544751,189.642700,21.853399,63.451185,103.718147,66.719392,6.017984
0.010000,87.166666,189.471871,22.498350,64.495089,104.390372,67.222503,6.012266
0.010000,87.797714,189.294660,23.153808,65.545772,105.068330,67.795834,6.006589
0.010000,88.437915,189.110968,23.819840,66.603284,105.751171,68.284088,6.000959
0.010000,89.087290,188.920698,24.496517,67.667678,106.439447,68.827638,5.995382
0.010000,89.741501,188.725076,25.179350,68.283238,61.555982,-4488.346529,5.989899
0.010000,90.396196,188.525440,25.863806,68.445604,16.236613,-4531.936884,5.984549
0.010000,91.051380,188.321865,26.549888,68.608236,16.263235,2.662179,5.979331
0.010000,91.707061,188.114426,27.237600,68.771182,16.294615,3.138037,5.974246
0.010000,92.363244,187.903199,27.926943,68.934309,16.312654,1.803835,5.969295
0.010000,93.019939,187.688262,28.617918,69.097473,16.316372,0.371793,5.964476
0.010000,93.677154,187.469692,29.310525,69.260697,16.322420,0.604844,5.959791
0.010000,94.334900,187.247567,30.004764,69.423950,16.325287,0.286706,5.955239
0.010000,94.993186,187.021965,30.700635,69.587131,16.318088,-0.719859,5.950821
0.010000,95.652023,186.792965,31.398136,69.750059,16.292847,-2.524129,5.946535
0.010000,96.311424,186.560646,32.097266,69.912953,16.289353,-0.349454,5.942383
0.010000,96.971403,186.325088,32.798022,70.075643,16.269026,-2.032708,5.938363
0.010000,97.631972,186.086370,33.500402,70.238042,16.239870,-2.915542,5.934475
0.010000,98.293147,185.844573,34.204404,70.400122,16.208031,-3.183871,5.930721
0.010000,98.954944,185.599778,34.910024,70.561999,16.187657,-2.037410,5.927098
0.010000,99.617378,185.352064,35.617259,70.723552,16.155398,-3.225906,5.923607
0.010000,100.280468,185.101514,36.326106,70.884678,16.112601,-4.279769,5.920247
0.010000,100.944231,184.848207,37.036561,71.045469,16.079036,-3.356419,5.917019
0.010000,101.608688,184.592225,37.748620,71.205950,16.048163,-3.087383,5.913922
0.010000,102.273857,184.333650,38.462281,71.366051,16.010012,-3.815091,5.910956
0.010000,102.939760,184.072564,39.177537,71.525667,15.961634,-4.837764,5.908119
0.010000,103.606417,183.809048,39.894387,71.684949,15.928234,-3.339974,5.905413
0.010000,104.273853,183.543184,40.612826,71.843883,15.893335,-3.489895,5.902837
0.010000,104.942091,183.275054,41.332850,72.002425,15.854282,-3.905336,5.900390
0.010000,105.611153,183.004741,42.054455,72.160498,15.807256,-4.702570,5.898072
0.010000,106.281066,182.732326,42.777637,72.318245,15.774737,-3.251959,5.895883
0.010000,106.951855,182.457892,43.502394,72.475660,15.741499,-3.323722,5.893822
0.010000,107.623547,182.181522,44.228721,72.632716,15.705525,-3.597465,5.891890
0.010000,108.296170,181.903299,44.956615,72.789366,15.665068,-4.045721,5.890085
0.010000,108.969751,181.623305,45.686072,72.945710,15.634375,-3.069223,5.888408
0.010000,109.644319,181.341624,46.417090,73.101781,15.607070,-2.730567,5.886858
0.010000,110.319905,181.058338,47.149665,73.257553,15.577223,-2.984655,5.885436
0.010000,110.996538,180.773531,47.883795,73.413019,15.546570,-3.065327,5.884140
0.010000,111.674249,180.487287,48.619478,73.568216,15.519732,-2.683803,5.882972
0.010000,112.353071,180.199689,49.356710,73.723225,15.500879,-1.885304,5.881929
0.010000,113.033035,179.910821,50.095490,73.878018,15.479364,-2.151510,5.881014
0.010000,113.714176,179.620768,50.835816,74.032616,15.459805,-1.955847,5.880224
0.010000,114.396525,179.329615,51.577686,74.187018,15.440175,-1.963011,5.879560
0.010000,115.080118,179.037444,52.321100,74.341323,15.430511,-0.966371,5.879022
0.010000,115.764990,178.744343,53.066055,74.495511,15.418763,-1.174842,5.878611
0.010000,116.451177,178.450396,53.812551,74.649607,15.409590,-0.917253,5.878325
0.010000,117.138713,178.155689,54.560587,74.803633,15.402573,-0.701743,5.878164
0.010000,117.827636,177.860309,55.310163,74.957635,15.400242,-0.233098,5.878130
0.010000,118.517983,177.564340,56.061280,75.111628,15.399330,-0.091191,5.878221
0.010000,119.209791,177.267872,56.813936,75.265636,15.400730,0.139959,5.878438
0.010000,119.903097,176.970991,57.568133,75.419693,15.405749,0.501926,5.878780
0.010000,120.597942,176.673785,58.323871,75.573833,15.414000,0.825134,5.879249
0.010000,121.294363,176.376342,59.081152,75.728055,15.422235,0.823465,5.879843
0.010000,121.992398,176.078752,59.839976,75.882396,15.434090,1.185501,5.880563
0.010000,122.692089,175.781104,60.600345,76.036885,15.448819,1.472909,5.881410
0.010000,123.393473,175.483488,61.362261,76.191597,15.471277,2.245758,5.882383
0.010000,124.096593,175.185995,62.125725,76.346457,15.485966,1.468907,5.883482
0.010000,124.801486,174.888718,62.890741,76.501532,15.507486,2.152043,5.884707
0.010000,125.508194,174.591748,63.657309,76.656844,15.531228,2.374186,5.886060
0.010000,126.216757,174.295178,64.425434,76.812488,15.564419,3.319141,5.887540
0.010000,126.927216,173.999102,65.195118,76.968369,15.588030,2.361056,5.889146
0.010000,127.639611,173.703615,65.966363,77.124528,15.615965,2.793555,5.890881
0.010000,128.353983,173.408812,66.739173,77.281002,15.647397,3.143188,5.892743
0.010000,129.070372,173.114791,67.513552,77.437880,15.687734,4.033679,5.894733
0.010000,129.788820,172.821648,68.289502,77.595084,15.720401,3.266727,5.896851
0.010000,130.509365,172.529481,69.067028,77.752600,15.751621,3.121921,5.899098
0.010000,131.232048,172.238392,69.846133,77.910483,15.788294,3.667355,5.901474
0.010000,131.956910,171.948479,70.626821,78.068817,15.833461,4.516702,5.903979
0.010000,132.683989,171.659844,71.409097,78.227530,15.871258,3.779707,5.906614
0.010000,133.413325,171.372590,72.192962,78.386563,15.903321,3.206228,5.909379
0.010000,134.144956,171.086821,72.978422,78.545983,15.941939,3.861859,5.912273
0.010000,134.878920,170.802642,73.765481,78.705878,15.989582,4.764318,5.915299
0.010000,135.615255,170.520158,74.554142,78.866136,16.025761,3.617898,5.918455
0.010000,136.353998,170.239478,75.344409,79.026700,16.056396,3.063484,5.921742
0.010000,137.095183,169.960709,76.136286,79.187627,16.092735,3.633922,5.925160
0.010000,137.838849,169.683962,76.929776,79.349026,16.139852,4.711699,5.928711
0.010000,138.585027,169.409348,77.724883,79.510683,16.165734,2.588192,5.932393
0.010000,139.333751,169.136979,78.521609,79.672606,16.192335,2.660033,5.936207
0.010000,140.085053,168.866969,79.319957,79.834818,16.221175,2.884070,5.940154
0.010000,140.838965,168.599433,80.119931,79.997450,16.263174,4.199859,5.944234
0.010000,141.595515,168.334486,80.921533,80.160148,16.269772,0.659847,5.948446
0.010000,142.354732,168.072248,81.724763,80.323033,16.288561,1.878853,5.952791
0.010000,143.116642,167.812836,82.529624,80.486119,16.308597,2.003639,5.957270
0.010000,143.881271,167.556370,83.336118,80.649352,16.323301,1.470385,5.961882
0.010000,144.648641,167.302973,84.144243,80.812536,16.318401,-0.489969,5.966627
0.010000,145.418773,167.052767,84.954001,80.975720,16.318412,0.001092,5.971505
0.010000,146.191688,166.805876,85.765390,81.138932,16.321192,0.277966,5.976516
0.010000,146.967401,166.562425,86.578409,81.301941,16.300911,-2.028137,5.981661
0.010000,147.745929,166.322539,87.393057,81.464726,16.278418,-2.249251,5.986938
0.010000,148.527283,166.086347,88.209329,81.627258,16.253263,-2.515472,5.992348
0.010000,149.308255,165.854921,89.023869,81.453991,-17.326701,-3357.996413,5.997868
0.010000,150.083561,165.629851,89.831183,80.731387,-72.260464,-5493.376366,6.003457
0.010000,150.851082,165.411705,90.629103,79.791999,-93.938765,-2167.830107,6.009095
0.010000,151.610709,165.200442,91.417561,78.845776,-94.622262,-68.349680,6.014777
0.010000,152.362333,164.996015,92.196488,77.892760,-95.301671,-67.940849,6.020497
0.010000,153.105841,164.798369,92.965818,76.933003,-95.975680,-67.400963,6.026251
0.010000,153.841123,164.607444,93.725484,75.966575,-96.642817,-66.713712,6.032031
0.010000,154.568066,164.423171,94.475419,74.993539,-97.303561,-66.074304,6.037834
0.010000,155.286558,164.245478,95.215558,74.013896,-97.964319,-66.075858,6.043653
0.010000,155.996488,164.074284,95.945838,73.027917,-98.597904,-63.358447,6.049484
0.010000,156.697743,163.909505,96.666191,72.035390,-99.252667,-65.476306,6.055321
0.010000,157.390212,163.751051,97.376559,71.036761,-99.862967,-61.030030,6.061159
0.010000,158.073786,163.598825,98.076877,70.031830,-100.493038,-63.007066,6.066993
0.010000,158.748354,163.452727,98.767085,69.020785,-101.104488,-61.145001,6.072818
0.010000,159.413810,163.312650,99.447124,68.003850,-101.693519,-58.903157,6.078629
0.010000,160.070046,163.178486,100.116934,66.981042,-102.280765,-58.724570,6.084421
0.010000,160.716958,163.050120,100.776459,65.952500,-102.854273,-57.350787,6.090190
0.010000,161.354443,162.927433,101.425643,64.918376,-103.412386,-55.811356,6.095932
0.010000,161.982400,162.810305,102.064430,63.878721,-103.965453,-55.306651,6.101641
0.010000,162.600729,162.698610,102.692766,62.833565,-104.515654,-55.020151,6.107313
0.010000,163.209335,162.592219,103.310601,61.783571,-104.999364,-48.370999,6.112944
0.010000,163.808123,162.491003,103.917883,60.728149,-105.542225,-54.286079,6.118530
0.010000,164.397002,162.394827,104.514565,59.668191,-105.995743,-45.351792,6.124067
0.010000,164.975881,162.303557,105.100594,58.602918,-106.527347,-53.160370,6.129551
0.010000,165.544676,162.217054,105.675929,57.533509,-106.940869,-41.352261,6.134978
0.010000,166.103303,162.135180,106.240524,56.459523,-107.398592,-45.772284,6.140345
0.010000,166.651681,162.057794,106.794336,55.381136,-107.838686,-44.009415,6.145647
0.010000,167.189731,161.984754,107.337321,54.298538,-108.259874,-42.118747,6.150883
0.010000,167.717380,161.915920,107.869440,53.211929,-108.660858,-40.098375,6.156047
0.010000,168.234554,161.851147,108.390656,52.121526,-109.040326,-37.946860,6.161138
0.010000,168.741188,161.790292,108.900931,51.027556,-109.396958,-35.663229,6.166152
0.010000,169.237214,161.733213,109.400230,49.929907,-109.764889,-36.793049,6.171087
0.010000,169.722565,161.679768,109.888515,48.828495,-110.141283,-37.639401,6.175938
0.010000,170.197190,161.629813,110.365761,47.724597,-110.389731,-24.844803,6.180705
0.010000,170.661021,161.583208,110.831929,46.616730,-110.786689,-39.695786,6.185384
0.010000,171.114011,161.539811,111.286992,45.506393,-111.033706,-24.701727,6.189972
0.010000,171.556109,161.499484,111.730926,44.393340,-111.305299,-27.159276,6.194469
0.010000,171.987265,161.462088,112.163700,43.277423,-111.591775,-28.647663,6.198870
0.010000,172.407431,161.427488,112.585288,42.158833,-111.858928,-26.715273,6.203175
