dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.029499,217.249964,0.005000,1.000000,100.000000,10000.000000,6.280777
0.010000,65.027050,217.249970,0.007449,0.244915,-75.508452,-17550.845249,6.280977
0.010000,65.022968,217.249978,0.011531,0.408172,16.325682,9183.413469,6.281310
0.010000,65.017254,217.249988,0.017245,0.571399,16.322634,-0.304831,6.281777
0.010000,65.009908,217.249996,0.024591,0.734582,16.318318,-0.431585,6.282376
0.010000,65.000931,217.250000,0.033568,0.897709,16.312686,-0.563157,6.283109
0.010000,65.049631,217.250020,0.082268,4.869997,397.228840,38091.615349,0.000790
0.010000,65.112387,217.250101,0.145024,6.275578,140.558121,-25667.071896,0.001790
0.010000,65.183505,217.250268,0.216142,7.111871,83.629229,-5692.889173,0.002922
0.010000,65.262996,217.250551,0.295633,7.949110,83.723911,9.468192,0.004189
0.010000,65.350844,217.250980,0.383482,8.784909,83.579914,-14.399683,0.005589
0.010000,65.447050,217.251592,0.479690,9.620758,83.584920,0.500572,0.007122
0.010000,65.551631,217.252424,0.584275,10.458483,83.772539,18.761866,0.008790
0.010000,65.664560,217.253518,0.697209,11.293383,83.489957,-28.258142,0.010591
0.010000,65.785840,217.254920,0.818497,12.128813,83.543019,5.306186,0.012526
0.010000,65.915486,217.256678,0.948155,12.965841,83.702787,15.976828,0.014594
0.010000,66.053491,217.258844,1.086176,13.802124,83.628292,-7.449574,0.016797
0.010000,66.199844,217.261474,1.232553,14.637699,83.557470,-7.082187,0.019134
0.010000,66.354545,217.264625,1.387287,15.473361,83.566259,0.878894,0.021605
0.010000,66.517593,217.268361,1.550377,16.309015,83.565366,-0.089234,0.024209
0.010000,66.688982,217.272746,1.721823,17.144571,83.555633,-0.973335,0.026948
0.010000,66.868721,217.277849,1.901634,17.981087,83.651591,9.595746,0.029821
0.010000,67.056806,217.283742,2.089812,18.817778,83.669094,1.750357,0.032827
0.010000,67.253222,217.290501,2.286344,19.653212,83.543434,-12.566054,0.035967
0.010000,67.457960,217.298204,2.491226,20.488271,83.505880,-3.755365,0.039241
0.010000,67.671048,217.306934,2.704493,21.326689,83.841781,33.590094,0.042649
0.010000,67.892452,217.316775,2.926115,22.162211,83.552197,-28.958391,0.046190
0.010000,68.122183,217.327817,3.156111,22.999609,83.739844,18.764708,0.049864
0.010000,68.360228,217.340151,3.394476,23.836471,83.686149,-5.369488,0.053670
0.010000,68.606599,217.353873,3.641229,24.675247,83.877594,19.144434,0.057609
0.010000,68.861267,217.369080,3.896351,25.512213,83.696614,-18.097907,0.061680
0.010000,69.124250,217.385877,4.159869,26.351856,83.964284,26.767004,0.065883
0.010000,69.395540,217.404367,4.431789,27.191935,84.007887,4.360202,0.070216
0.010000,69.675122,217.424657,4.712107,28.031792,83.985675,-2.221122,0.074680
0.010000,69.962995,217.446861,5.000835,28.872791,84.099973,11.429738,0.079274
0.010000,70.259155,217.471092,5.297984,29.714920,84.212875,11.290237,0.083996
0.010000,70.563596,217.497468,5.603566,30.558180,84.326005,11.313031,0.088847
0.010000,70.876313,217.526110,5.917591,31.402590,84.441016,11.501111,0.093824
0.010000,71.197299,217.557142,6.240073,32.248186,84.559585,11.856871,0.098928
0.010000,71.526544,217.590689,6.571023,33.095020,84.683406,12.382075,0.104156
0.010000,71.864043,217.626883,6.910458,33.943441,84.842040,15.863398,0.109507
0.010000,72.209806,217.665857,7.258410,34.795245,85.180426,33.838660,0.114981
0.010000,72.563803,217.707745,7.614877,35.646622,85.137740,-4.268613,0.120576
0.010000,72.926032,217.752684,7.979883,36.500652,85.403025,26.528470,0.126289
0.010000,73.296497,217.800819,8.353462,37.357905,85.725239,32.221394,0.132120
0.010000,73.675175,217.852290,8.735621,38.215931,85.802606,7.736682,0.138065
0.010000,74.062069,217.907244,9.126399,39.077747,86.181598,37.899215,0.144124
0.010000,74.457167,217.965831,9.525818,39.941889,86.414227,23.262853,0.150295
