dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,65.000000,205.000000,0.005000,1.000000,100.000000,10000.000000,6.280777
0.010000,65.000000,205.000000,0.020000,2.000000,100.000000,0.000000,6.280977
0.010000,65.000000,205.000000,0.045000,3.000000,100.000000,0.000000,6.281310
0.010000,65.000000,205.000000,0.080000,4.000000,100.000000,0.000000,6.281777
0.010000,65.000000,205.000000,0.125000,5.000000,100.000000,0.000000,6.282376
0.010000,65.000000,205.000000,0.180000,6.000000,100.000000,0.000000,6.283109
0.010000,65.059312,205.000023,0.245000,7.000000,100.000000,0.000000,0.000790
0.010000,65.134310,205.000120,0.320000,8.000000,100.000000,0.000000,0.001790
0.010000,65.219306,205.000320,0.405000,9.000000,100.000000,0.000000,0.002922
0.010000,65.314310,205.000658,0.500000,10.000000,100.000000,0.000000,0.004189
0.010000,65.419307,205.001172,0.605000,11.000000,100.000000,0.000000,0.005589
0.010000,65.534298,205.001902,0.720000,12.000000,100.000000,0.000000,0.007122
0.010000,65.659305,205.002897,0.845000,13.000000,100.000000,0.000000,0.008790
0.010000,65.794295,205.004205,0.980000,14.000000,100.000000,0.000000,0.010591
0.010000,65.939274,205.005881,1.125000,15.000000,100.000000,0.000000,0.012526
0.010000,66.094261,205.007983,1.280000,16.000000,100.000000,0.000000,0.014594
0.010000,66.259246,205.010572,1.445000,17.000000,100.000000,0.000000,0.016797
0.010000,66.434220,205.013716,1.620000,18.000000,100.000000,0.000000,0.019134
0.010000,66.619181,205.017484,1.805000,19.000000,100.000000,0.000000,0.021605
0.010000,66.814127,205.021951,2.000000,20.000000,100.000000,0.000000,0.024209
0.010000,67.019054,205.027194,2.205000,21.000000,100.000000,0.000000,0.026948
0.010000,67.233968,205.033295,2.420000,22.000000,100.000000,-0.000000,0.029821
0.010000,67.458867,205.040342,2.645000,23.000000,100.000000,0.000000,0.032827
0.010000,67.693729,205.048424,2.880000,24.000000,100.000000,0.000000,0.035967
0.010000,67.938543,205.057635,3.125000,25.000000,100.000000,0.000000,0.039241
0.010000,68.193340,205.068073,3.380000,26.000000,100.000000,0.000000,0.042649
0.010000,68.458075,205.079840,3.645000,27.000000,100.000000,0.000000,0.046190
0.010000,68.732759,205.093043,3.920000,28.000000,100.000000,0.000000,0.049864
0.010000,69.017372,205.107789,4.205000,29.000000,100.000000,0.000000,0.053670
0.010000,69.311922,205.124195,4.500000,30.000000,100.000000,0.000000,0.057609
0.010000,69.616371,205.142375,4.805000,31.000000,100.000000,0.000000,0.061680
0.010000,69.930730,205.162453,5.120000,32.000000,100.000000,0.000000,0.065883
0.010000,70.254984,205.184552,5.445000,33.000000,100.000000,0.000000,0.070216
0.010000,70.589106,205.208802,5.780000,34.000000,100.000000,0.000000,0.074680
0.010000,70.933083,205.235332,6.125000,35.000000,100.000000,0.000000,0.079274
0.010000,71.286899,205.264281,6.480000,36.000000,100.000000,0.000000,0.083996
0.010000,71.650536,205.295785,6.845000,37.000000,100.000000,0.000000,0.088847
0.010000,72.023973,205.329989,7.220000,38.000000,100.000000,0.000000,0.093824
0.010000,72.407185,205.367036,7.605000,39.000000,100.000000,0.000000,0.098928
0.010000,72.800146,205.407076,8.000000,40.000000,100.000000,0.000000,0.104156
0.010000,73.202829,205.450260,8.405000,41.000000,100.000000,0.000000,0.109507
0.010000,73.615226,205.496745,8.820000,42.000000,100.000000,0.000000,0.114981
0.010000,74.037279,205.546685,9.245000,43.000000,100.000000,-0.000000,0.120576
0.010000,74.468965,205.600242,9.680000,44.000000,100.000000,0.000000,0.126289
0.010000,74.910259,205.657579,10.125000,45.000000,100.000000,0.000000,0.132120
