dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,64.970501,192.750036,0.005000,1.000000,100.000000,10000.000000,6.280777
0.010000,64.972950,192.750030,0.007449,0.244915,-75.508452,-17550.845249,6.280977
0.010000,64.977032,192.750022,0.011531,0.408172,16.325682,9183.413469,6.281310
0.010000,64.982746,192.750012,0.017245,0.571399,16.322634,-0.304831,6.281777
0.010000,64.990092,192.750004,0.024591,0.734582,16.318318,-0.431585,6.282376
0.010000,64.999069,192.750000,0.033568,0.897709,16.312686,-0.563157,6.283109
0.010000,65.068993,192.750027,0.103492,6.992375,609.466671,59315.398438,0.000790
0.010000,65.156234,192.750140,0.190733,8.724125,173.174959,-43629.171207,0.001790
0.010000,65.255106,192.750373,0.289605,9.887263,116.313763,-5686.119605,0.002922
0.010000,65.365624,192.750766,0.400124,11.051901,116.463795,15.003221,0.004189
0.010000,65.487770,192.751363,0.522272,12.214729,116.282865,-18.093021,0.005589
0.010000,65.621546,192.752213,0.656050,13.377824,116.309523,2.665847,0.007122
0.010000,65.766978,192.753370,0.801487,14.543725,116.590099,28.057536,0.008790
0.010000,65.924030,192.754892,0.958546,15.705888,116.216244,-37.385481,0.010591
0.010000,66.092708,192.756842,1.127236,16.868967,116.307963,9.171885,0.012526
0.010000,66.273036,192.759287,1.307580,18.034431,116.546352,23.838900,0.014594
0.010000,66.465002,192.762301,1.499570,19.198996,116.456471,-8.988076,0.016797
0.010000,66.668596,192.765959,1.703197,20.362681,116.368484,-8.798704,0.019134
0.010000,66.883817,192.770343,1.918462,21.526553,116.387260,1.877600,0.021605
0.010000,67.110662,192.775540,2.145367,22.690431,116.387767,0.050760,0.024209
0.010000,67.349125,192.781641,2.383908,23.854134,116.370287,-1.748042,0.026948
0.010000,67.599215,192.788742,2.634099,25.019066,116.493243,12.295648,0.029821
0.010000,67.860927,192.796942,2.895939,26.184060,116.499438,0.619408,0.032827
0.010000,68.134236,192.806347,3.169410,27.347038,116.297763,-20.167420,0.035967
0.010000,68.419126,192.817065,3.454501,28.509128,116.208939,-8.882418,0.039241
0.010000,68.715631,192.829212,3.751255,29.675416,116.628890,41.995107,0.042649
0.010000,69.023698,192.842906,4.059626,30.837081,116.166418,-46.247198,0.046190
0.010000,69.343335,192.858268,4.379632,32.000627,116.354683,18.826516,0.049864
0.010000,69.674516,192.875428,4.711258,33.162553,116.192545,-16.213867,0.053670
0.010000,70.017246,192.894517,5.054519,34.326108,116.355523,16.297795,0.057609
0.010000,70.371475,192.915670,5.409378,35.485939,115.983115,-37.240765,0.061680
0.010000,70.737210,192.939029,5.775859,36.648100,116.216083,23.296785,0.065883
0.010000,71.114428,192.964738,6.153952,37.809272,116.117163,-9.891961,0.070216
0.010000,71.503089,192.992946,6.543635,38.968323,115.905134,-21.202899,0.074680
0.010000,71.903170,193.023804,6.944904,40.126921,115.859784,-4.535038,0.079274
0.010000,72.314643,193.057469,7.357752,41.284799,115.787780,-7.200399,0.083996
0.010000,72.737476,193.094103,7.782169,42.441697,115.689836,-9.794413,0.088847
0.010000,73.171632,193.133867,8.218143,43.597364,115.566699,-12.313633,0.093824
0.010000,73.617071,193.176930,8.665658,44.751556,115.419152,-14.754790,0.098928
0.010000,74.073747,193.223462,9.124699,45.904036,115.248004,-17.114801,0.104156
0.010000,74.541614,193.273637,9.595248,47.054963,115.092700,-15.530329,0.109507
0.010000,75.020645,193.327632,10.077313,48.206486,115.152357,5.965700,0.114981
0.010000,75.510756,193.385626,10.570843,49.352971,114.648460,-50.389744,0.120576
0.010000,76.011897,193.447799,11.075826,50.498315,114.534389,-11.407096,0.126289
0.010000,76.524022,193.514339,11.592255,51.642918,114.460336,-7.405265,0.132120
0.010000,77.047042,193.585429,12.120085,52.782998,114.007986,-45.235000,0.138065
0.010000,77.580907,193.661259,12.659308,53.922312,113.931377,-7.660955,0.144124
0.010000,78.125536,193.742019,13.209893,55.058413,113.610144,-32.123231,0.150295
